DATAH,Record,Date,Time,INPUT1,INPUT2,AVG1.15,AVG2.15,INT1.15,INT2.15,INT1.05,INT2.05,MULT_1,MULT_2,BATT,CHK
DATA,0,9/1/2021,7:40:05,0.0013963,83.742,0,0,0,0,0.39626,24022,-195.4,-202,6.3,200
DATA,1,9/1/2021,7:45:05,0.0015845,83.921,0,0,0,0,0.40091,25674,-195.4,-202,6.28,209
DATA,2,9/1/2021,7:50:05,0.00045523,0.012729,0.0013544,71.554,1.2187,64437,0.42152,14741,-195.4,-202,6.25,52
DATA,3,9/1/2021,7:55:05,0.00083166,0.0022217,0.0012596,44.861,1.2187,64437,0.31151,1.996,-195.4,-202,6.24,109
DATA,4,9/1/2021,8:00:05,0.0013963,0,0.0011445,16.387,1.2187,64437,0.29711,47.55,-195.4,-202,6.2,148
DATA,5,9/1/2021,8:05:05,0.0013963,0,0.0010401,0.06821,0.93558,61.395,0.32696,11.849,-195.4,-202,6.19,47
DATA,6,9/1/2021,8:10:05,0.00045523,0.049308,0.0010287,0.072567,0.93558,61.395,0.30197,5.8871,-195.4,-202,6.13,237
DATA,7,9/1/2021,8:15:05,0.00083166,0.093864,0.0010221,0.053006,0.93558,61.395,0.2912,29.923,-195.4,-202,6.1,211
DATA,8,9/1/2021,8:20:05,0.00045523,0.1141,0.0010037,0.076013,0.90376,68.355,0.31059,32.545,-195.4,-202,6.14,135
DATA,9,9/1/2021,8:25:05,0.0017727,0.10418,0.0010374,0.10543,0.90376,68.355,0.3312,32.392,-195.4,-202,6.11,48
DATA,10,9/1/2021,8:30:05,0.0010199,0.060982,0.0010552,0.10112,0.90376,68.355,0.30776,26.089,-195.4,-202,6.09,103
DATA,11,9/1/2021,8:35:05,0.00045523,6.6791,0.0011109,3.5708,0.9998,3210.5,0.36084,3152,-195.4,-202,6.07,12
DATA,12,9/1/2021,8:40:05,0.0010199,34.85,0.0011791,14.594,0.9998,3210.5,0.39293,9938.9,-195.4,-202,6.06,242
DATA,13,9/1/2021,8:45:05,0.0013963,35.839,0.0013402,26.262,0.9998,3210.5,0.4522,10527,-195.4,-202,6.04,219
DATA,14,9/1/2021,8:50:05,0.0017727,19.933,0.001473,32.027,1.325,28818,0.47987,8352.3,-195.4,-202,6.02,180
DATA,15,9/1/2021,8:55:05,0.0019609,36.468,0.0015508,29.182,1.325,28818,0.46321,7384,-195.4,-202,6.02,178
DATA,16,9/1/2021,9:00:05,0.0021491,62.907,0.0016606,35.592,1.325,28818,0.55111,16283,-195.4,-202,5.99,174
DATA,17,9/1/2021,9:05:05,0.002902,229.8,0.0019544,46.699,1.7584,41924,0.74412,18257,-195.4,-202,5.98,196
DATA,18,9/1/2021,9:10:04,0.0027138,743.78,0.0024503,153.96,1.7584,41924,0.74412,1.04E+05,-195.4,-202,5.97,171
DATA,19,9/1/2021,9:15:04,0.0038431,657.37,0.0030377,333.86,1.7584,41924,0.91116,1.78E+05,-195.4,-202,5.97,179
DATA,20,9/1/2021,9:20:04,0.0038431,563.84,0.0034995,505.19,1.7584,4.55E+05,1.0791,1.73E+05,-195.4,-202,5.96,123
DATA,21,9/1/2021,9:25:04,0.0044077,617,0.0038587,599.84,3.1503,4.55E+05,1.16,1.89E+05,-195.4,-202,5.95,110
DATA,22,9/1/2021,9:30:04,0.0040313,592.41,0.003998,605.69,3.1503,4.55E+05,1.234,1.83E+05,-195.4,-202,5.94,94
DATA,23,9/1/2021,9:35:04,0.0036548,601.67,0.0040329,603.83,3.1503,5.43E+05,1.2047,1.71E+05,-195.4,-202,5.93,94
DATA,24,9/1/2021,9:40:04,0.0036548,556.51,0.0040099,588.39,3.6298,5.43E+05,1.1911,1.75E+05,-195.4,-202,5.91,113
DATA,25,9/1/2021,9:45:04,0.0040313,643.05,0.0039648,577.85,3.6298,5.43E+05,1.2126,1.74E+05,-195.4,-202,5.87,121
DATA,26,9/1/2021,9:50:04,0.0036548,725.01,0.0039058,575.5,3.6298,5.18E+05,1.1646,1.69E+05,-195.4,-202,5.86,125
DATA,27,9/1/2021,9:55:04,0.0042195,575.09,0.0038071,578.23,3.5147,5.18E+05,1.1376,1.78E+05,-195.4,-202,5.87,142
DATA,28,9/1/2021,10:00:04,0.0040313,1017.2,0.0037734,589.03,3.5147,5.18E+05,1.124,1.83E+05,-195.4,-202,5.89,91
DATA,29,9/1/2021,10:05:04,0.0044077,566.16,0.0038673,608.34,3.5147,5.48E+05,1.1345,1.86E+05,-195.4,-202,5.88,126
DATA,30,9/1/2021,10:10:04,0.0040313,659.49,0.0039786,627.94,3.4807,5.48E+05,1.2222,1.95E+05,-195.4,-202,5.87,115
DATA,31,9/1/2021,10:15:04,0.0044077,672.41,0.0041026,645.46,3.4807,5.48E+05,1.2245,1.99E+05,-195.4,-202,5.86,102
DATA,32,9/1/2021,10:20:04,0.0047841,673.17,0.004195,661.92,3.4807,5.96E+05,1.2458,2.01E+05,-195.4,-202,5.85,107
DATA,33,9/1/2021,10:25:04,0.0044077,671.63,0.0042904,669.71,3.7758,5.96E+05,1.3055,2.02E+05,-195.4,-202,5.84,105
DATA,34,9/1/2021,10:30:04,0.0036548,649.03,0.0043836,672.31,3.7758,5.96E+05,1.31,2.02E+05,-195.4,-202,5.82,116
DATA,35,9/1/2021,10:35:04,0.0045959,724.32,0.0044474,666.97,3.7758,6.00E+05,1.3298,1.96E+05,-195.4,-202,5.81,132
DATA,36,9/1/2021,10:40:04,0.0044077,657.47,0.0045369,667.29,4.0024,6.00E+05,1.3626,2.03E+05,-195.4,-202,5.82,107
DATA,37,9/1/2021,10:45:03,0.0034666,515.47,0.0046195,666.33,4.0024,6.00E+05,1.3911,2.03E+05,-195.4,-202,5.83,88
DATA,38,9/1/2021,10:50:03,0.0053488,474.61,0.0046819,666.18,4.0024,6.00E+05,1.4044,2.01E+05,-195.4,-202,5.81,84
DATA,39,9/1/2021,10:55:03,0.0051605,396.04,0.0046946,545.07,4.2141,5.99E+05,1.4187,1.96E+05,-195.4,-202,5.81,119
DATA,40,9/1/2021,11:00:03,0.0045959,595.23,0.004709,462.88,4.2141,5.99E+05,1.4025,93583,-195.4,-202,5.8,116
DATA,41,9/1/2021,11:05:03,0.0051605,708.74,0.0046978,454.17,4.2141,5.99E+05,1.4166,1.27E+05,-195.4,-202,5.8,108
DATA,42,9/1/2021,11:10:03,0.0053488,627.19,0.0046003,555.14,4.2279,4.09E+05,1.4088,1.88E+05,-195.4,-202,5.79,113
DATA,43,9/1/2021,11:15:03,0.0038431,674.11,0.0044253,644.34,4.2279,4.09E+05,1.314,1.84E+05,-195.4,-202,5.74,96
DATA,44,9/1/2021,11:20:03,0.0042195,568.71,0.0041795,674.02,4.2279,4.09E+05,1.2594,2.07E+05,-195.4,-202,5.76,108
DATA,45,9/1/2021,11:25:03,0.0044077,709.09,0.0039947,702.2,3.7612,6.07E+05,1.1877,2.15E+05,-195.4,-202,5.76,118
DATA,46,9/1/2021,11:30:03,0.0036548,598.34,0.0038592,709.23,3.7612,6.07E+05,1.1487,2.10E+05,-195.4,-202,5.74,118
DATA,47,9/1/2021,11:35:03,0.0010199,568.16,0.0037757,705.24,3.7612,6.07E+05,1.1369,2.14E+05,-195.4,-202,5.76,103
DATA,48,9/1/2021,11:40:03,0.002902,693.5,0.0036774,706.01,3.3982,6.35E+05,1.1125,2.11E+05,-195.4,-202,5.76,94
DATA,49,9/1/2021,11:45:03,0.0038431,573.69,0.0036074,695.16,3.3982,6.35E+05,1.0593,2.11E+05,-195.4,-202,5.75,116
DATA,50,9/1/2021,11:50:03,0.0034666,626.69,0.0035241,688.21,3.3982,6.35E+05,1.0748,2.04E+05,-195.4,-202,5.74,118
DATA,51,9/1/2021,11:55:03,0.0042195,580.79,0.0034514,677.46,3.1714,6.20E+05,1.0373,2.05E+05,-195.4,-202,5.74,100
DATA,52,9/1/2021,12:00:03,0.0025256,737.28,0.0033156,676.61,3.1714,6.20E+05,0.99435,2.01E+05,-195.4,-202,5.72,150
DATA,53,9/1/2021,12:05:03,0.0042195,737.26,0.003209,672.71,3.1714,6.20E+05,0.95228,2.03E+05,-195.4,-202,5.73,133
DATA,54,9/1/2021,12:10:03,0.0038431,595.95,0.0031657,669.31,2.8878,6.05E+05,0.94118,2.02E+05,-195.4,-202,5.7,163
DATA,55,9/1/2021,12:15:03,0.0030902,637.23,0.0031814,666.92,2.8878,6.05E+05,0.95548,1.98E+05,-195.4,-202,5.71,183
DATA,56,9/1/2021,12:20:03,0.0030902,634.04,0.0032272,666.74,2.8878,6.05E+05,0.96621,2.01E+05,-195.4,-202,5.72,153
DATA,57,9/1/2021,12:25:03,0.0030902,691.85,0.0031789,669.14,2.9033,6.00E+05,0.98164,2.01E+05,-195.4,-202,5.71,156
DATA,58,9/1/2021,12:30:03,0.0034666,767.81,0.0031032,664.71,2.9033,6.00E+05,0.91219,2.00E+05,-195.4,-202,5.71,124
DATA,59,9/1/2021,12:35:03,0.0017727,637.9,0.0029942,654.61,2.9033,6.00E+05,0.89874,1.97E+05,-195.4,-202,5.7,185
DATA,60,9/1/2021,12:40:03,0.0023374,708.31,0.0029265,641.83,2.6941,5.89E+05,0.88321,1.92E+05,-195.4,-202,5.7,151
DATA,61,9/1/2021,12:45:03,0.0021491,615.7,0.0028713,630.56,2.6941,5.89E+05,0.85168,1.89E+05,-195.4,-202,5.69,175
DATA,62,9/1/2021,12:50:03,0.0032784,659.07,0.0028137,622.4,2.6941,5.89E+05,0.84858,1.87E+05,-195.4,-202,5.68,184
DATA,63,9/1/2021,12:55:03,0.0019609,525.65,0.0027744,611.81,2.5328,5.60E+05,0.83258,1.85E+05,-195.4,-202,5.68,171
DATA,64,9/1/2021,13:00:03,0.0021491,573.86,0.0026879,597.92,2.5328,5.60E+05,0.81432,1.79E+05,-195.4,-202,5.68,178
DATA,65,9/1/2021,13:05:03,0.0038431,555.9,0.0026439,585.68,2.5328,5.60E+05,0.77245,1.74E+05,-195.4,-202,5.69,164
DATA,66,9/1/2021,13:10:03,0.0034666,596.71,0.0026379,574.38,2.3792,5.27E+05,0.7924,1.74E+05,-195.4,-202,5.68,187
DATA,67,9/1/2021,13:15:03,0.0019609,557.48,0.0027178,564.81,2.3792,5.27E+05,0.81028,1.69E+05,-195.4,-202,5.68,180
DATA,68,9/1/2021,13:20:03,0.0017727,571.55,0.0027464,549.81,2.3792,5.27E+05,0.84227,1.66E+05,-195.4,-202,5.67,178
DATA,69,9/1/2021,13:25:02,0.0021491,529.99,0.0027372,540.16,2.4713,4.95E+05,0.81875,1.60E+05,-195.4,-202,5.67,183
DATA,70,9/1/2021,13:30:02,0.0023374,505.04,0.0026684,530.05,2.4713,4.95E+05,0.80247,1.60E+05,-195.4,-202,5.66,149
DATA,71,9/1/2021,13:35:02,0.0021491,518.08,0.0026134,519.58,2.4713,4.95E+05,0.78045,1.57E+05,-195.4,-202,5.65,168
DATA,72,9/1/2021,13:40:02,0.0034666,442.46,0.0025841,509.04,2.3523,4.68E+05,0.76943,1.51E+05,-195.4,-202,5.64,155
DATA,73,9/1/2021,13:45:02,0.0021491,475.86,0.0025538,482.66,2.3523,4.68E+05,0.77612,1.51E+05,-195.4,-202,5.67,174
DATA,74,9/1/2021,13:50:02,0.0023374,468.73,0.0025548,467.32,2.3523,4.68E+05,0.75457,1.33E+05,-195.4,-202,5.62,160
DATA,0,9/2/2021,9:30:02,0.001528,661.62,0,0,0,0,0.48116,1.97E+05,-195.4,-202,5.78,200
DATA,1,9/2/2021,9:35:02,0.0020927,344.43,0,0,0,0,0.54433,1.30E+05,-195.4,-202,5.76,187
DATA,2,9/2/2021,9:40:02,0.0019044,53.986,0.0017533,465.41,1.5773,4.19E+05,0.55185,92142,-195.4,-202,5.73,175
