Site Name ,LICOR CAL
Site Number ,14
Logger ,Integrating Light Sensor
Logger Serial Number ,7881


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,01/09/2021 , 07:05:00,0,0
2,01/09/2021 , 07:10:00,83,83
3,01/09/2021 , 07:15:00,367,367
4,01/09/2021 , 07:20:00,459,459
5,01/09/2021 , 07:25:00,481,481
6,01/09/2021 , 07:30:00,494,494
7,01/09/2021 , 07:35:00,534,534
8,01/09/2021 , 07:40:00,606,606
9,01/09/2021 , 07:45:00,642,642
10,01/09/2021 , 07:50:00,443,443
11,01/09/2021 , 07:55:00,283,283
12,01/09/2021 , 08:00:00,1435,1435
13,01/09/2021 , 08:05:00,403,403
14,01/09/2021 , 08:10:00,257,257
15,01/09/2021 , 08:15:00,4452,4452
16,01/09/2021 , 08:20:00,5357,5357
17,01/09/2021 , 08:25:00,5149,5149
18,01/09/2021 , 08:30:00,5318,5318
19,01/09/2021 , 08:35:00,1544,1544
20,01/09/2021 , 08:40:00,129,129
21,01/09/2021 , 08:45:00,274,274
22,01/09/2021 , 08:50:00,255,255
23,01/09/2021 , 08:55:00,306,306
24,01/09/2021 , 09:00:00,110,110
25,01/09/2021 , 09:05:00,203,203
26,01/09/2021 , 09:10:00,1556,1556
27,01/09/2021 , 09:15:00,2832,2832
28,01/09/2021 , 09:20:00,2734,2734
29,01/09/2021 , 09:25:00,3040,3040
30,01/09/2021 , 09:30:00,2985,2985
31,01/09/2021 , 09:35:00,2759,2759
32,01/09/2021 , 09:40:00,2793,2793
33,01/09/2021 , 09:45:00,2832,2832
34,01/09/2021 , 09:50:00,2874,2874
35,01/09/2021 , 09:55:00,2908,2908
36,01/09/2021 , 10:00:00,2924,2924
37,01/09/2021 , 10:05:00,2904,2904
38,01/09/2021 , 10:10:00,3048,3048
39,01/09/2021 , 10:15:00,3096,3096
40,01/09/2021 , 10:20:00,3119,3119
41,01/09/2021 , 10:25:00,3129,3129
42,01/09/2021 , 10:30:00,3138,3138
43,01/09/2021 , 10:35:00,3186,3186
44,01/09/2021 , 10:40:00,3441,3441
45,01/09/2021 , 10:45:00,3468,3468
46,01/09/2021 , 10:50:00,3461,3461
47,01/09/2021 , 10:55:00,3429,3429
48,01/09/2021 , 11:00:00,3442,3442
49,01/09/2021 , 11:05:00,3431,3431
50,01/09/2021 , 11:10:00,3370,3370
51,01/09/2021 , 11:15:00,3326,3326
52,01/09/2021 , 11:20:00,3318,3318
53,01/09/2021 , 11:25:00,3281,3281
54,01/09/2021 , 11:30:00,3252,3252
55,01/09/2021 , 11:35:00,3215,3215
56,01/09/2021 , 11:40:00,3188,3188
57,01/09/2021 , 11:45:00,3154,3154
58,01/09/2021 , 11:50:00,3116,3116
59,01/09/2021 , 11:55:00,3066,3066
60,01/09/2021 , 12:00:00,3034,3034
61,01/09/2021 , 12:05:00,3022,3022
62,01/09/2021 , 12:10:00,2999,2999
63,01/09/2021 , 12:15:00,3018,3018
64,01/09/2021 , 12:20:00,2978,2978
65,01/09/2021 , 12:25:00,2975,2975
66,01/09/2021 , 12:30:00,2960,2960
67,01/09/2021 , 12:35:00,2892,2892
68,01/09/2021 , 12:40:00,2840,2840
69,01/09/2021 , 12:45:00,2817,2817
70,01/09/2021 , 12:50:00,2794,2794
71,01/09/2021 , 12:55:00,2732,2732
72,01/09/2021 , 13:00:00,2684,2684
73,01/09/2021 , 13:05:00,2659,2659
74,01/09/2021 , 13:10:00,2625,2625
75,01/09/2021 , 13:15:00,2551,2551
76,01/09/2021 , 13:20:00,2501,2501
77,01/09/2021 , 13:25:00,2491,2491
78,01/09/2021 , 13:30:00,2431,2431
79,01/09/2021 , 13:35:00,2345,2345
80,01/09/2021 , 13:40:00,2338,2338
81,01/09/2021 , 13:45:00,2043,2043
82,01/09/2021 , 13:50:00,2121,2121
83,01/09/2021 , 13:55:00,1879,1879
84,01/09/2021 , 14:00:00,1723,1723
85,01/09/2021 , 14:05:00,2087,2087
86,01/09/2021 , 14:10:00,2025,2025
87,01/09/2021 , 14:15:00,1926,1926
88,01/09/2021 , 14:20:00,1925,1925
89,01/09/2021 , 14:25:00,1901,1901
90,01/09/2021 , 14:30:00,1862,1862
91,01/09/2021 , 14:35:00,1849,1849
92,01/09/2021 , 14:40:00,1845,1845
93,01/09/2021 , 14:45:00,1800,1800
94,01/09/2021 , 14:50:00,1748,1748
95,01/09/2021 , 14:55:00,1721,1721
96,01/09/2021 , 15:00:00,1715,1715
97,01/09/2021 , 15:05:00,1618,1618
98,01/09/2021 , 15:10:00,1595,1595
99,01/09/2021 , 15:15:00,1517,1517
100,01/09/2021 , 15:20:00,1494,1494
101,01/09/2021 , 15:25:00,1407,1407
102,01/09/2021 , 15:30:00,1293,1293
103,01/09/2021 , 15:35:00,1262,1262
104,01/09/2021 , 15:40:00,1163,1163
