Date,Time,Abs Pres (kPa) c:1 2
09/01/21,07:00:00,101.438
09/01/21,07:05:00,101.438
09/01/21,07:10:00,101.438
09/01/21,07:15:00,101.438
09/01/21,07:20:00,101.454
09/01/21,07:25:00,101.485
09/01/21,07:30:00,101.485
09/01/21,07:35:00,101.454
09/01/21,07:40:00,101.485
09/01/21,07:45:00,101.469
09/01/21,07:50:00,101.485
09/01/21,07:55:00,101.463
09/01/21,08:00:00,101.605
09/01/21,08:05:00,101.702
09/01/21,08:10:00,101.721
09/01/21,08:15:00,101.715
09/01/21,08:20:00,101.724
09/01/21,08:25:00,101.756
09/01/21,08:30:00,101.746
09/01/21,08:35:00,101.752
09/01/21,08:40:00,101.755
09/01/21,08:45:00,101.758
09/01/21,08:50:00,101.748
09/01/21,08:55:00,101.748
09/01/21,09:00:00,101.736
09/01/21,09:05:00,101.736
09/01/21,09:10:00,101.717
09/01/21,09:15:00,105.936
09/01/21,09:20:00,105.248
09/01/21,09:25:00,105.487
09/01/21,09:30:00,105.735
09/01/21,09:35:00,106.050
09/01/21,09:40:00,106.305
09/01/21,09:45:00,106.576
09/01/21,09:50:00,106.844
09/01/21,09:55:00,107.130
09/01/21,10:00:00,107.414
09/01/21,10:05:00,107.716
09/01/21,10:10:00,108.016
09/01/21,10:15:00,108.319
09/01/21,10:20:00,108.618
09/01/21,10:25:00,108.918
09/01/21,10:30:00,109.233
09/01/21,10:35:00,109.549
09/01/21,10:40:00,109.881
09/01/21,10:45:00,110.200
09/01/21,10:50:00,110.531
09/01/21,10:55:00,110.863
09/01/21,11:00:00,111.211
09/01/21,11:05:00,111.543
09/01/21,11:10:00,111.891
09/01/21,11:15:00,112.242
09/01/21,11:20:00,112.543
09/01/21,11:25:00,112.910
09/01/21,11:30:00,113.258
09/01/21,11:35:00,113.622
09/01/21,11:40:00,113.987
09/01/21,11:45:00,114.319
09/01/21,11:50:00,114.684
09/01/21,11:55:00,114.998
09/01/21,12:00:00,115.340
09/01/21,12:05:00,115.657
09/01/21,12:10:00,115.955
09/01/21,12:15:00,116.301
09/01/21,12:20:00,116.602
09/01/21,12:25:00,116.888
09/01/21,12:30:00,117.269
09/01/21,12:35:00,117.508
09/01/21,12:40:00,117.857
09/01/21,12:45:00,118.207
09/01/21,12:50:00,118.445
09/01/21,12:55:00,118.843
09/01/21,13:00:00,119.078
09/01/21,13:05:00,119.460
09/01/21,13:10:00,119.698
09/01/21,13:15:00,120.064
09/01/21,13:20:00,120.446
09/01/21,13:25:00,120.618
09/01/21,13:30:00,120.984
09/01/21,13:35:00,121.223
09/01/21,13:40:00,121.462
09/01/21,13:45:00,121.686
09/01/21,13:50:00,121.829
09/01/21,13:55:00,122.228
09/01/21,14:00:00,122.355
09/01/21,14:05:00,122.562
09/01/21,14:10:00,122.786
09/01/21,14:15:00,122.974
09/01/21,14:20:00,123.149
09/01/21,14:25:00,123.373
09/01/21,14:30:00,123.497
09/01/21,14:35:00,123.800
09/01/21,14:40:00,123.912
09/01/21,14:45:00,124.119
09/01/21,14:50:00,124.231
09/01/21,14:55:00,124.407
09/01/21,15:00:00,124.678
09/01/21,15:05:00,124.758
09/01/21,15:10:00,124.806
09/01/21,15:15:00,124.954
09/01/21,15:20:00,125.177
09/01/21,15:25:00,125.209
09/01/21,15:30:00,125.305
09/01/21,15:35:00,125.369
09/01/21,15:40:00,125.389
09/01/21,15:45:00,125.485
09/01/21,15:50:00,125.501
09/01/21,15:55:00,125.565
09/01/21,16:00:00,125.680
09/01/21,16:05:00,125.584
09/01/21,16:10:00,125.572
09/01/21,16:15:00,125.620
09/01/21,16:20:00,125.652
09/01/21,16:25:00,125.588
09/01/21,16:30:00,125.400
09/01/21,16:35:00,125.480
09/01/21,16:40:00,125.304
09/01/21,16:45:00,125.304
09/01/21,16:50:00,125.356
09/01/21,16:55:00,125.088
09/01/21,17:00:00,125.100
09/01/21,17:05:00,124.896
09/01/21,17:10:00,124.752
09/01/21,17:15:00,124.768
09/01/21,17:20:00,124.592
09/01/21,17:25:00,124.480
09/01/21,17:30:00,124.432
09/01/21,17:35:00,124.273
09/01/21,17:40:00,124.209
09/01/21,17:45:00,124.097
09/01/21,17:50:00,123.953
09/01/21,17:55:00,123.973
09/01/21,18:00:00,123.817
09/01/21,18:05:00,123.781
09/01/21,18:10:00,123.714
09/01/21,18:15:00,123.714
09/01/21,18:20:00,123.558
09/01/21,18:25:00,123.621
09/01/21,18:30:00,123.605
09/01/21,18:35:00,123.577
09/01/21,18:40:00,123.561
09/01/21,18:45:00,123.449
09/01/21,18:50:00,123.517
09/01/21,18:55:00,123.584
09/01/21,19:00:00,123.597
09/01/21,19:05:00,123.421
09/01/21,19:10:00,123.421
09/01/21,19:15:00,123.469
09/01/21,19:20:00,123.453
09/01/21,19:25:00,123.357
09/01/21,19:30:00,123.230
09/01/21,19:35:00,123.166
09/01/21,19:40:00,123.150
09/01/21,19:45:00,123.006
09/01/21,19:50:00,122.907
09/01/21,19:55:00,122.779
09/01/21,20:00:00,122.667
09/01/21,20:05:00,122.715
09/01/21,20:10:00,122.667
09/01/21,20:15:00,122.604
09/01/21,20:20:00,122.556
09/01/21,20:25:00,122.540
09/01/21,20:30:00,122.588
09/01/21,20:35:00,122.572
09/01/21,20:40:00,122.556
09/01/21,20:45:00,122.572
09/01/21,20:50:00,122.604
09/01/21,20:55:00,122.635
09/01/21,21:00:00,122.651
09/01/21,21:05:00,122.747
09/01/21,21:10:00,122.715
09/01/21,21:15:00,122.811
09/01/21,21:20:00,122.843
09/01/21,21:25:00,122.878
09/01/21,21:30:00,122.894
09/01/21,21:35:00,122.907
09/01/21,21:40:00,122.878
09/01/21,21:45:00,122.847
09/01/21,21:50:00,122.802
09/01/21,21:55:00,122.783
09/01/21,22:00:00,122.770
09/01/21,22:05:00,122.735
09/01/21,22:10:00,122.675
09/01/21,22:15:00,122.659
09/01/21,22:20:00,122.595
09/01/21,22:25:00,122.531
09/01/21,22:30:00,122.499
09/01/21,22:35:00,122.451
09/01/21,22:40:00,122.403
09/01/21,22:45:00,122.387
09/01/21,22:50:00,122.356
09/01/21,22:55:00,122.356
09/01/21,23:00:00,122.340
09/01/21,23:05:00,122.340
09/01/21,23:10:00,122.324
09/01/21,23:15:00,122.324
09/01/21,23:20:00,122.324
09/01/21,23:25:00,122.308
09/01/21,23:30:00,122.340
09/01/21,23:35:00,122.340
09/01/21,23:40:00,122.340
09/01/21,23:45:00,122.324
09/01/21,23:50:00,122.340
09/01/21,23:55:00,122.340
09/02/21,00:00:00,122.324
09/02/21,00:05:00,122.320
09/02/21,00:10:00,122.308
09/02/21,00:15:00,122.292
09/02/21,00:20:00,122.308
09/02/21,00:25:00,122.308
09/02/21,00:30:00,122.292
09/02/21,00:35:00,122.288
09/02/21,00:40:00,122.240
09/02/21,00:45:00,122.208
09/02/21,00:50:00,122.145
09/02/21,00:55:00,122.081
09/02/21,01:00:00,122.017
09/02/21,01:05:00,121.953
09/02/21,01:10:00,121.874
09/02/21,01:15:00,121.762
09/02/21,01:20:00,121.634
09/02/21,01:25:00,121.507
09/02/21,01:30:00,121.347
09/02/21,01:35:00,121.236
09/02/21,01:40:00,121.077
09/02/21,01:45:00,120.901
09/02/21,01:50:00,120.738
09/02/21,01:55:00,120.563
09/02/21,02:00:00,120.392
09/02/21,02:05:00,120.200
09/02/21,02:10:00,119.972
09/02/21,02:15:00,119.795
09/02/21,02:20:00,119.592
09/02/21,02:25:00,119.401
09/02/21,02:30:00,119.166
09/02/21,02:35:00,118.962
09/02/21,02:40:00,118.746
09/02/21,02:45:00,118.556
09/02/21,02:50:00,118.352
09/02/21,02:55:00,118.133
09/02/21,03:00:00,117.907
09/02/21,03:05:00,117.678
09/02/21,03:10:00,117.464
09/02/21,03:15:00,117.235
09/02/21,03:20:00,117.005
09/02/21,03:25:00,116.764
09/02/21,03:30:00,116.525
09/02/21,03:35:00,116.271
09/02/21,03:40:00,116.033
09/02/21,03:45:00,115.779
09/02/21,03:50:00,115.513
09/02/21,03:55:00,115.259
09/02/21,04:00:00,114.990
09/02/21,04:05:00,114.704
09/02/21,04:10:00,114.435
09/02/21,04:15:00,114.137
09/02/21,04:20:00,113.852
09/02/21,04:25:00,113.567
09/02/21,04:30:00,113.266
09/02/21,04:35:00,112.965
09/02/21,04:40:00,112.648
09/02/21,04:45:00,112.316
09/02/21,04:50:00,112.031
09/02/21,04:55:00,111.727
09/02/21,05:00:00,111.443
09/02/21,05:05:00,111.158
09/02/21,05:10:00,110.889
09/02/21,05:15:00,110.589
09/02/21,05:20:00,110.305
09/02/21,05:25:00,110.036
09/02/21,05:30:00,109.752
09/02/21,05:35:00,109.499
09/02/21,05:40:00,109.247
09/02/21,05:45:00,108.994
09/02/21,05:50:00,108.742
09/02/21,05:55:00,108.521
09/02/21,06:00:00,108.284
09/02/21,06:05:00,108.048
09/02/21,06:10:00,107.827
09/02/21,06:15:00,107.606
09/02/21,06:20:00,107.385
09/02/21,06:25:00,107.162
09/02/21,06:30:00,106.957
09/02/21,06:35:00,106.736
09/02/21,06:40:00,106.516
09/02/21,06:45:00,106.308
09/02/21,06:50:00,106.103
09/02/21,06:55:00,105.880
09/02/21,07:00:00,105.691
09/02/21,07:05:00,105.486
09/02/21,07:10:00,105.279
09/02/21,07:15:00,105.087
09/02/21,07:20:00,104.911
09/02/21,07:25:00,104.722
09/02/21,07:30:00,104.565
09/02/21,07:35:00,104.392
09/02/21,07:40:00,104.235
09/02/21,07:45:00,104.062
09/02/21,07:50:00,103.921
09/02/21,07:55:00,103.779
09/02/21,08:00:00,103.638
09/02/21,08:05:00,103.512
09/02/21,08:10:00,103.402
09/02/21,08:15:00,103.308
09/02/21,08:20:00,103.182
09/02/21,08:25:00,103.088
09/02/21,08:30:00,103.010
09/02/21,08:35:00,102.934
09/02/21,08:40:00,102.874
09/02/21,08:45:00,102.812
09/02/21,08:50:00,102.783
09/02/21,08:55:00,102.755
09/02/21,09:00:00,102.758
09/02/21,09:05:00,102.761
09/02/21,09:10:00,102.811
09/02/21,09:15:00,102.864
09/02/21,09:20:00,102.914
09/02/21,09:25:00,102.949
09/02/21,09:30:00,103.033
09/02/21,09:35:00,103.102
09/02/21,09:40:00,103.156
09/02/21,09:45:00,103.209
09/02/21,09:50:00,103.287
09/02/21,09:55:00,103.369
09/02/21,10:00:00,103.470
09/02/21,10:05:00,103.598
09/02/21,10:10:00,103.696
09/02/21,10:15:00,103.822
09/02/21,10:20:00,103.960
09/02/21,10:25:00,104.164
09/02/21,10:30:00,104.441
09/02/21,10:35:00,104.687
09/02/21,10:40:00,105.001
09/02/21,10:45:00,105.360
09/02/21,10:50:00,105.710
09/02/21,10:55:00,106.069
09/02/21,11:00:00,106.456
09/02/21,11:05:00,106.847
09/02/21,11:10:00,107.260
09/02/21,11:15:00,107.673
09/02/21,11:20:00,108.086
09/02/21,11:25:00,108.499
09/02/21,11:30:00,108.910
