7392-013141
OS REV: 1.11 Sensor Cal: 1439861813
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1618181160,+3.47,+10.895,+17.703,+0.946
1618182060,+3.47,+11.014,+18.055,+0.944
1618182960,+3.47,+11.087,+18.140,+0.943
1618183860,+3.47,+11.141,+18.127,+0.945
1618184760,+3.47,+11.205,+17.948,+0.943
1618185660,+3.47,+11.313,+17.604,+0.945
1618186560,+3.47,+11.413,+17.267,+0.943
1618187460,+3.47,+11.404,+17.274,+0.944
1618188360,+3.47,+11.322,+17.426,+0.943
1618189260,+3.47,+11.304,+17.576,+0.944
1618190160,+3.47,+11.214,+17.624,+0.944
1618191060,+3.47,+11.186,+17.608,+0.945
1618191960,+3.47,+11.132,+17.496,+0.945
1618192860,+3.47,+10.968,+16.949,+0.945
1618193760,+3.47,+10.895,+16.619,+0.944
1618194660,+3.47,+10.996,+17.016,+0.944
1618195560,+3.47,+10.986,+16.867,+0.944
1618196460,+3.47,+11.005,+16.609,+0.945
1618197360,+3.47,+11.068,+15.938,+0.941
1618198260,+3.47,+11.141,+14.905,+0.945
1618199160,+3.47,+11.557,+13.378,+0.943
1618200060,+3.47,+12.739,+11.913,+0.943
1618200960,+3.47,+12.659,+11.627,+0.939
1618201860,+3.47,+12.043,+12.366,+0.940
1618202760,+3.47,+11.494,+12.832,+0.941
1618203660,+3.47,+11.286,+12.742,+0.942
1618204560,+3.47,+11.177,+13.157,+0.942
1618205460,+3.47,+11.041,+13.504,+0.942
1618206360,+3.47,+10.968,+13.326,+0.942
1618207260,+3.47,+10.977,+13.036,+0.941
1618208160,+3.47,+10.950,+12.928,+0.942
1618209060,+3.47,+10.895,+13.107,+0.942
1618209960,+3.47,+10.877,+13.229,+0.941
1618210860,+3.47,+10.786,+13.411,+0.942
1618211760,+3.47,+10.759,+13.373,+0.942
1618212660,+3.47,+10.759,+12.813,+0.941
1618213560,+3.47,+10.695,+12.435,+0.942
1618214460,+3.47,+10.640,+12.466,+0.941
1618215360,+3.47,+10.649,+12.564,+0.942
1618216260,+3.47,+10.621,+12.126,+0.941
1618217160,+3.47,+10.749,+11.544,+0.940
1618218060,+3.47,+10.914,+11.233,+0.941
1618218960,+3.47,+11.141,+10.918,+0.941
1618219860,+3.47,+11.458,+10.505,+0.941
1618220760,+3.47,+11.548,+10.450,+0.940
1618221660,+3.47,+11.059,+10.934,+0.940
1618222560,+3.47,+10.631,+12.201,+0.942
1618223460,+3.47,+10.401,+12.984,+0.941
1618224360,+3.47,+10.199,+13.435,+0.943
1618225260,+3.47,+10.263,+13.169,+0.941
1618226160,+3.47,+10.318,+13.023,+0.942
1618227060,+3.47,+10.180,+13.300,+0.942
1618227960,+3.47,+10.134,+13.268,+0.942
1618228860,+3.47,+10.106,+13.077,+0.941
1618229760,+3.47,+10.097,+13.051,+0.943
1618230660,+3.47,+10.060,+13.041,+0.941
1618231560,+3.47,+10.005,+13.027,+0.941
1618232460,+3.47, +9.977,+13.029,+0.942
1618233360,+3.47, +9.977,+12.894,+0.942
1618234260,+3.47,+10.005,+12.743,+0.940
1618235160,+3.47,+10.042,+12.651,+0.941
1618236060,+3.47,+10.023,+12.623,+0.940
1618236960,+3.47,+10.088,+12.470,+0.940
1618237860,+3.47, +9.986,+12.136,+0.941
1618238760,+3.47, +9.792,+12.236,+0.940
1618239660,+3.47, +9.652,+12.280,+0.942
1618240560,+3.47, +9.661,+12.175,+0.941
1618241460,+3.47, +9.661,+12.099,+0.941
1618242360,+3.47, +9.921,+11.844,+0.941
1618243260,+3.47,+10.051,+11.786,+0.941
1618244160,+3.47,+10.125,+11.613,+0.940
1618245060,+3.47,+10.042,+11.657,+0.941
1618245960,+3.47,+10.282,+11.330,+0.941
1618246860,+3.47,+10.548,+10.776,+0.941
1618247760,+3.47,+10.088,+10.640,+0.939
1618248660,+3.47, +9.958,+10.756,+0.940
1618249560,+3.47, +9.634,+10.803,+0.939
1618250460,+3.47, +9.699,+10.917,+0.941
1618251360,+3.47, +9.875,+10.927,+0.940
1618252260,+3.47,+10.097,+10.947,+0.940
1618253160,+3.47,+10.346,+11.011,+0.940
1618254060,+3.47,+10.383,+11.026,+0.940
1618254960,+3.47,+10.667,+11.124,+0.941
1618255860,+3.47,+10.832,+11.153,+0.941
1618256760,+3.47,+11.005,+11.093,+0.940
1618257660,+3.47,+11.159,+11.141,+0.940
1618258560,+3.47,+11.313,+11.187,+0.941
1618259460,+3.47,+11.539,+11.079,+0.939
1618260360,+3.47,+11.837,+11.169,+0.941
1618261260,+3.47,+12.034,+11.098,+0.940
1618262160,+3.47,+12.347,+11.247,+0.940
1618263060,+3.47,+13.745,+11.651,+0.941
1618263960,+3.47,+13.894,+12.080,+0.942
1618264860,+3.48,+13.938,+13.344,+0.941
1618265760,+3.48,+13.885,+14.621,+0.942
1618266660,+3.48,+13.199,+14.574,+0.942
1618267560,+3.48,+12.801,+15.208,+0.942
