7392-122893
OS REV: 1.11 Sensor Cal: 1439861837
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1617828360,+3.47,+10.963,+13.219,+0.976
1617829260,+3.47,+10.917,+13.190,+0.974
1617830160,+3.47,+10.899,+13.186,+0.975
1617831060,+3.47,+10.836,+13.158,+0.975
1617831960,+3.47,+10.817,+13.131,+0.975
1617832860,+3.47,+10.845,+13.118,+0.977
1617833760,+3.47,+10.863,+13.029,+0.975
1617834660,+3.47,+10.863,+12.977,+0.976
1617835560,+3.47,+10.854,+12.907,+0.976
1617836460,+3.47,+10.772,+12.807,+0.974
1617837360,+3.47,+10.434,+12.803,+0.974
1617838260,+3.47,+10.066,+12.817,+0.975
1617839160,+3.47, +9.918,+12.730,+0.975
1617840060,+3.47,+10.020,+12.546,+0.973
1617840960,+3.47,+10.140,+12.492,+0.977
1617841860,+3.47,+10.305,+12.338,+0.976
1617842760,+3.47,+10.452,+12.203,+0.975
1617843660,+3.47,+10.534,+12.100,+0.976
1617844560,+3.47,+10.772,+11.908,+0.974
1617845460,+3.47,+10.927,+11.794,+0.975
1617846360,+3.47,+10.927,+11.700,+0.974
1617847260,+3.47,+10.917,+11.638,+0.975
1617848160,+3.47,+10.854,+11.539,+0.974
1617849060,+3.47,+10.808,+11.469,+0.975
1617849960,+3.47,+10.681,+11.387,+0.974
1617850860,+3.47,+10.635,+11.271,+0.974
1617851760,+3.47,+10.562,+11.197,+0.974
1617852660,+3.47,+10.470,+11.124,+0.974
1617853560,+3.47,+10.406,+11.092,+0.975
1617854460,+3.47,+10.397,+11.059,+0.975
1617855360,+3.47,+10.434,+10.988,+0.974
1617856260,+3.47,+10.342,+11.010,+0.974
1617857160,+3.47,+10.351,+10.998,+0.975
1617858060,+3.47,+10.241,+11.043,+0.975
1617858960,+3.47,+10.195,+11.029,+0.974
1617859860,+3.47,+10.158,+11.059,+0.975
1617860760,+3.47,+10.177,+11.042,+0.975
1617861660,+3.47,+10.250,+11.016,+0.974
1617862560,+3.47,+10.324,+11.072,+0.975
1617863460,+3.47,+10.333,+11.098,+0.974
1617864360,+3.47,+10.241,+11.184,+0.973
1617865260,+3.47,+10.158,+11.318,+0.974
1617866160,+3.47,+10.011,+11.463,+0.974
1617867060,+3.47, +9.937,+11.605,+0.974
1617867960,+3.47, +9.918,+11.691,+0.973
1617868860,+3.47, +9.881,+11.839,+0.975
1617869760,+3.47, +9.798,+11.935,+0.974
1617870660,+3.47, +9.752,+12.053,+0.976
1617871560,+3.47, +9.752,+12.083,+0.974
1617872460,+3.47, +9.668,+12.195,+0.974
1617873360,+3.47, +9.603,+12.297,+0.976
1617874260,+3.47, +9.575,+12.347,+0.975
1617875160,+3.47, +9.556,+12.383,+0.974
1617876060,+3.47, +9.547,+11.667,+0.973
1617876960,+3.47, +9.603,+11.579,+0.973
1617877860,+3.47, +9.622,+11.480,+0.974
1617878760,+3.47, +9.584,+11.420,+0.973
1617879660,+3.47, +9.575,+11.386,+0.974
1617880560,+3.47, +9.538,+11.335,+0.972
1617881460,+3.47, +9.556,+11.265,+0.972
1617882360,+3.47, +9.566,+11.154,+0.973
1617883260,+3.47, +9.622,+11.081,+0.973
1617884160,+3.47, +9.594,+11.076,+0.973
1617885060,+3.47, +9.594,+11.109,+0.974
1617885960,+3.47, +9.575,+11.052,+0.974
1617886860,+3.47, +9.584,+11.016,+0.973
1617887760,+3.47, +9.603,+10.951,+0.973
1617888660,+3.47, +9.612,+10.953,+0.974
1617889560,+3.47, +9.603,+10.906,+0.973
1617890460,+3.47, +9.631,+10.795,+0.973
1617891360,+3.47, +9.538,+10.603,+0.973
1617892260,+3.47, +9.435,+10.558,+0.974
1617893160,+3.46, +9.379,+10.571,+0.974
1617894060,+3.47, +9.426,+10.521,+0.973
1617894960,+3.47, +9.473,+10.484,+0.974
1617895860,+3.47, +9.473,+10.467,+0.974
1617896760,+3.47, +9.482,+10.453,+0.974
1617897660,+3.47, +9.519,+10.446,+0.974
1617898560,+3.47, +9.519,+10.428,+0.974
1617899460,+3.47, +9.538,+10.405,+0.974
1617900360,+3.47, +9.603,+10.357,+0.973
1617901260,+3.47, +9.668,+10.422,+0.974
1617902160,+3.47, +9.724,+10.505,+0.975
1617903060,+3.47, +9.798,+10.549,+0.974
1617903960,+3.47, +9.835,+10.491,+0.974
1617904860,+3.47, +9.918,+10.495,+0.974
1617905760,+3.47,+10.020,+10.464,+0.974
1617906660,+3.47,+10.075,+10.618,+0.975
1617907560,+3.47,+10.121,+10.650,+0.974
1617908460,+3.47,+10.232,+10.697,+0.975
1617909360,+3.47,+10.241,+10.723,+0.974
1617910260,+3.47,+10.250,+10.827,+0.976
1617911160,+3.47,+10.342,+10.930,+0.974
1617912060,+3.47,+10.342,+11.101,+0.974
1617912960,+3.47,+10.434,+11.227,+0.972
1617913860,+3.47,+10.525,+11.382,+0.972
1617914760,+3.47,+10.553,+11.584,+0.973
