MiniDOT Logger Concatenated Data File
Sensor:             7392-122893
Concatenation Date: 2021Apr15 12:58:13 PDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Pacific Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1617391860,           2021-04-02 19:31:00,           2021-04-02 12:31:00,      3.510000,     22.276000,          8.354000,                    96.056226,      0.972000
                1617392760,           2021-04-02 19:46:00,           2021-04-02 12:46:00,      3.510000,     21.754000,          8.436000,                    96.029068,      0.973000
                1617393660,           2021-04-02 20:01:00,           2021-04-02 13:01:00,      3.510000,     21.686000,          8.465000,                    96.232534,      0.975000
                1617394560,           2021-04-02 20:16:00,           2021-04-02 13:16:00,      3.510000,     21.787000,          8.422000,                    95.930865,      0.974000
                1617395460,           2021-04-02 20:31:00,           2021-04-02 13:31:00,      3.510000,     21.121000,          8.464000,                    95.170302,      0.972000
                1617396360,           2021-04-02 20:46:00,           2021-04-02 13:46:00,      3.510000,     18.950000,          8.905000,                    95.903458,      0.973000
                1617397260,           2021-04-02 21:01:00,           2021-04-02 14:01:00,      3.510000,     16.201000,          9.180000,                    93.403503,      0.965000
                1617398160,           2021-04-02 21:16:00,           2021-04-02 14:16:00,      3.510000,     15.625000,          9.365000,                    94.126446,      0.972000
                1617399060,           2021-04-02 21:31:00,           2021-04-02 14:31:00,      3.510000,     16.209000,          9.298000,                    94.620122,      0.974000
                1617399960,           2021-04-02 21:46:00,           2021-04-02 14:46:00,      3.510000,     14.709000,          9.449000,                    93.116487,      0.968000
                1617400860,           2021-04-02 22:01:00,           2021-04-02 15:01:00,      3.510000,     14.074000,          9.612000,                    93.419730,      0.970000
                1617401760,           2021-04-02 22:16:00,           2021-04-02 15:16:00,      3.510000,     13.873000,          9.727000,                    94.120820,      0.970000
                1617402660,           2021-04-02 22:31:00,           2021-04-02 15:31:00,      3.510000,     14.257000,          9.600000,                    93.677775,      0.971000
                1617403560,           2021-04-02 22:46:00,           2021-04-02 15:46:00,      3.500000,     14.683000,          9.497000,                    93.536721,      0.972000
                1617404460,           2021-04-02 23:01:00,           2021-04-02 16:01:00,      3.500000,     16.098000,          9.281000,                    94.225479,      0.973000
                1617405360,           2021-04-02 23:16:00,           2021-04-02 16:16:00,      3.500000,     17.252000,          9.068000,                    94.319364,      0.974000
                1617406260,           2021-04-02 23:31:00,           2021-04-02 16:31:00,      3.500000,     18.204000,          8.976000,                    95.212998,      0.976000
                1617407160,           2021-04-02 23:46:00,           2021-04-02 16:46:00,      3.500000,     19.331000,          8.808000,                    95.589693,      0.977000
                1617408060,           2021-04-03 00:01:00,           2021-04-02 17:01:00,      3.500000,     18.509000,          8.976000,                    95.807387,      0.975000
                1617408960,           2021-04-03 00:16:00,           2021-04-02 17:16:00,      3.500000,     19.770000,          8.810000,                    96.455111,      0.977000
                1617409860,           2021-04-03 00:31:00,           2021-04-02 17:31:00,      3.500000,     20.547000,          8.654000,                    96.217560,      0.977000
                1617410760,           2021-04-03 00:46:00,           2021-04-02 17:46:00,      3.500000,     16.911000,         15.611000,                   161.225559,      0.953000
                1617411660,           2021-04-03 01:01:00,           2021-04-02 18:01:00,      3.500000,     15.496000,         14.729000,                   147.631589,      0.947000
                1617412560,           2021-04-03 01:16:00,           2021-04-02 18:16:00,      3.500000,     12.783000,         12.810000,                   120.986438,      0.967000
                1617413460,           2021-04-03 01:31:00,           2021-04-02 18:31:00,      3.500000,     11.767000,         13.136000,                   121.244672,      0.974000
                1617414360,           2021-04-03 01:46:00,           2021-04-02 18:46:00,      3.500000,     11.226000,         13.576000,                   123.759674,      0.974000
                1617415260,           2021-04-03 02:01:00,           2021-04-02 19:01:00,      3.500000,     10.927000,         13.825000,                   125.161267,      0.973000
                1617416160,           2021-04-03 02:16:00,           2021-04-02 19:16:00,      3.500000,     10.735000,         14.055000,                   126.677405,      0.974000
                1617417060,           2021-04-03 02:31:00,           2021-04-02 19:31:00,      3.490000,     10.507000,         14.233000,                   127.601712,      0.974000
                1617417960,           2021-04-03 02:46:00,           2021-04-02 19:46:00,      3.490000,     10.241000,         14.364000,                   127.976592,      0.973000
                1617418860,           2021-04-03 03:01:00,           2021-04-02 20:01:00,      3.490000,     10.066000,         14.522000,                   128.853130,      0.973000
                1617419760,           2021-04-03 03:16:00,           2021-04-02 20:16:00,      3.490000,      9.992000,         14.651000,                   129.771295,      0.975000
                1617420660,           2021-04-03 03:31:00,           2021-04-02 20:31:00,      3.490000,      9.844000,         14.718000,                   129.910066,      0.975000
                1617421560,           2021-04-03 03:46:00,           2021-04-02 20:46:00,      3.490000,      9.696000,         14.860000,                   130.704757,      0.975000
                1617422460,           2021-04-03 04:01:00,           2021-04-02 21:01:00,      3.490000,      9.687000,         14.915000,                   131.160539,      0.975000
                1617423360,           2021-04-03 04:16:00,           2021-04-02 21:16:00,      3.490000,      9.640000,         14.928000,                   131.128617,      0.973000
                1617424260,           2021-04-03 04:31:00,           2021-04-02 21:31:00,      3.480000,      9.612000,         15.019000,                   131.840332,      0.973000
                1617425160,           2021-04-03 04:46:00,           2021-04-02 21:46:00,      3.480000,      9.631000,         15.151000,                   133.059047,      0.975000
                1617426060,           2021-04-03 05:01:00,           2021-04-02 22:01:00,      3.480000,      9.677000,         15.141000,                   133.116391,      0.973000
                1617426960,           2021-04-03 05:16:00,           2021-04-02 22:16:00,      3.480000,      9.584000,         15.188000,                   133.235247,      0.974000
                1617427860,           2021-04-03 05:31:00,           2021-04-02 22:31:00,      3.480000,      9.556000,         15.247000,                   133.663881,      0.975000
                1617428760,           2021-04-03 05:46:00,           2021-04-02 22:46:00,      3.480000,      9.538000,         15.276000,                   133.860836,      0.975000
                1617429660,           2021-04-03 06:01:00,           2021-04-02 23:01:00,      3.480000,      9.519000,         15.300000,                   134.010598,      0.975000
                1617430560,           2021-04-03 06:16:00,           2021-04-02 23:16:00,      3.480000,      9.529000,         15.276000,                   133.832200,      0.976000
                1617431460,           2021-04-03 06:31:00,           2021-04-02 23:31:00,      3.480000,      9.529000,         15.273000,                   133.805918,      0.976000
                1617432360,           2021-04-03 06:46:00,           2021-04-02 23:46:00,      3.480000,      9.538000,         15.202000,                   133.212387,      0.975000
                1617433260,           2021-04-03 07:01:00,           2021-04-03 00:01:00,      3.480000,      9.529000,         15.098000,                   132.272752,      0.973000
                1617434160,           2021-04-03 07:16:00,           2021-04-03 00:16:00,      3.470000,      9.501000,         15.126000,                   132.429855,      0.976000
