7392-798741
OS REV: 1.11 Sensor Cal: 1438807124
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1617395460,+3.47,+12.740,+13.273,+1.001
1617396360,+3.46,+13.161,+13.593,+0.999
1617397260,+3.47,+13.685,+13.856,+0.999
1617398160,+3.47,+14.405,+13.790,+1.001
1617399060,+3.47,+14.862, +9.865,+0.998
1617399960,+3.47,+11.202,+10.063,+0.993
1617400860,+3.47,+11.766, +9.925,+0.994
1617401760,+3.47,+12.449, +9.852,+0.996
1617402660,+3.47,+13.319, +9.680,+0.996
1617403560,+3.47,+13.859, +9.540,+0.995
1617404460,+3.47,+12.572, +9.774,+0.995
1617405360,+3.47,+13.030, +9.741,+0.997
1617406260,+3.47,+12.272, +9.819,+0.995
1617407160,+3.47,+12.042, +9.936,+0.998
1617408060,+3.47,+15.669, +9.639,+1.005
1617408960,+3.47,+15.849,+10.355,+1.000
1617409860,+3.47,+14.888,+11.539,+0.999
1617410760,+3.47,+14.336,+12.497,+0.999
1617411660,+3.47,+13.850,+13.262,+1.003
1617412560,+3.47,+13.476,+13.794,+1.001
1617413460,+3.47,+13.196,+14.220,+0.999
1617414360,+3.47,+12.959,+14.621,+1.000
1617415260,+3.47,+12.766,+15.004,+1.003
1617416160,+3.47,+12.528,+15.210,+1.000
1617417060,+3.47,+11.498,+15.634,+1.001
1617417960,+3.47,+10.280,+15.890,+1.002
1617418860,+3.47, +9.279,+15.792,+1.001
1617419760,+3.47, +8.899,+15.539,+1.002
1617420660,+3.47, +8.833,+15.167,+1.001
1617421560,+3.47, +8.731,+14.882,+1.002
1617422460,+3.46, +8.637,+14.687,+1.002
1617423360,+3.46, +8.628,+14.466,+1.002
1617424260,+3.46, +8.562,+14.293,+1.000
1617425160,+3.46, +8.553,+14.153,+1.001
1617426060,+3.46, +8.515,+14.034,+1.001
1617426960,+3.46, +8.506,+13.901,+1.000
1617427860,+3.46, +8.459,+13.826,+1.003
1617428760,+3.46, +8.459,+13.672,+1.002
1617429660,+3.46, +8.449,+13.546,+1.002
1617430560,+3.46, +8.440,+13.461,+1.002
1617431460,+3.46, +8.421,+13.330,+1.000
1617432360,+3.46, +8.402,+13.276,+1.002
1617433260,+3.46, +8.431,+13.177,+1.002
1617434160,+3.46, +8.412,+13.049,+1.001
1617435060,+3.45, +8.412,+12.898,+1.000
1617435960,+3.45, +8.421,+12.818,+1.002
1617436860,+3.45, +8.402,+12.640,+1.000
1617437760,+3.45, +8.431,+12.543,+1.001
1617438660,+3.45, +8.449,+12.438,+1.001
1617439560,+3.45, +8.421,+12.387,+1.002
1617440460,+3.45, +8.440,+12.282,+1.001
1617441360,+3.45, +8.421,+12.219,+1.001
1617442260,+3.45, +8.412,+12.157,+1.002
1617443160,+3.45, +8.421,+12.055,+1.000
1617444060,+3.45, +8.431,+11.993,+1.001
1617444960,+3.45, +8.431,+11.940,+1.002
1617445860,+3.45, +8.440,+11.872,+1.001
1617446760,+3.45, +8.421,+11.824,+1.001
1617447660,+3.45, +8.440,+11.749,+1.002
1617448560,+3.45, +8.440,+11.694,+1.001
1617449460,+3.45, +8.496,+11.609,+1.000
1617450360,+3.45, +8.543,+11.544,+0.999
1617451260,+3.45, +8.571,+11.560,+1.000
1617452160,+3.45, +8.674,+11.552,+1.001
1617453060,+3.45, +8.749,+11.554,+1.000
1617453960,+3.45, +8.796,+11.620,+1.001
1617454860,+3.45, +8.833,+11.656,+1.001
1617455760,+3.45, +8.843,+11.714,+1.001
1617456660,+3.45, +8.927,+11.702,+1.000
1617457560,+3.45, +8.973,+11.780,+1.001
1617458460,+3.45, +9.029,+11.829,+1.001
1617459360,+3.45, +9.075,+11.868,+1.000
1617460260,+3.45, +9.131,+11.947,+1.001
1617461160,+3.45, +9.187,+11.997,+1.000
1617462060,+3.45, +9.224,+12.046,+1.001
1617462960,+3.45, +9.261,+12.096,+1.001
1617463860,+3.45, +9.335,+12.104,+1.001
1617464760,+3.45, +9.381,+12.110,+1.002
1617465660,+3.45, +9.437,+12.089,+1.000
1617466560,+3.45, +9.547,+12.080,+1.001
1617467460,+3.45, +9.658,+12.068,+1.001
1617468360,+3.45, +9.740,+12.106,+1.002
1617469260,+3.45, +9.814,+12.173,+1.001
1617470160,+3.45, +9.823,+12.248,+1.001
1617471060,+3.45, +9.823,+12.227,+1.001
1617471960,+3.45, +9.878,+12.198,+1.001
1617472860,+3.45, +9.942,+12.164,+1.001
1617473760,+3.45,+10.025,+12.163,+1.000
1617474660,+3.45,+10.289,+12.237,+1.001
1617475560,+3.45,+10.462,+12.567,+1.001
1617476460,+3.45,+10.580,+12.852,+1.001
1617477360,+3.45,+10.716,+13.050,+1.001
1617478260,+3.45,+10.761,+13.137,+1.000
1617479160,+3.45,+10.842,+13.248,+1.001
1617480060,+3.45,+11.058,+13.327,+1.002
1617480960,+3.45,+11.211,+13.309,+1.000
1617481860,+3.45,+11.337,+13.326,+1.000
