MiniDOT Logger Concatenated Data File
Sensor:             7392-798741
Concatenation Date: 2021Apr15 16:19:50 PDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Pacific Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1617308160,           2021-04-01 20:16:00,           2021-04-01 13:16:00,      3.550000,     20.680000,          8.427000,                    93.939237,      0.998000
                1617309060,           2021-04-01 20:31:00,           2021-04-01 13:31:00,      3.550000,     21.159000,          8.463000,                    95.229654,      1.002000
                1617309960,           2021-04-01 20:46:00,           2021-04-01 13:46:00,      3.550000,     16.990000,          9.065000,                    93.775097,      0.999000
                1617310860,           2021-04-01 21:01:00,           2021-04-01 14:01:00,      3.550000,     14.561000,          9.408000,                    92.414858,      0.995000
                1617311760,           2021-04-01 21:16:00,           2021-04-01 14:16:00,      3.550000,     12.493000,          9.760000,                    91.580855,      0.995000
                1617312660,           2021-04-01 21:31:00,           2021-04-01 14:31:00,      3.550000,     11.926000,          9.923000,                    91.921576,      0.999000
                1617313560,           2021-04-01 21:46:00,           2021-04-01 14:46:00,      3.540000,     12.033000,          9.920000,                    92.117792,      1.000000
                1617314460,           2021-04-01 22:01:00,           2021-04-01 15:01:00,      3.540000,     12.413000,          9.832000,                    92.090062,      0.999000
                1617315360,           2021-04-01 22:16:00,           2021-04-01 15:16:00,      3.540000,     12.660000,          9.781000,                    92.123650,      0.998000
                1617316260,           2021-04-01 22:31:00,           2021-04-01 15:31:00,      3.540000,     12.652000,          9.738000,                    91.702152,      0.999000
                1617317160,           2021-04-01 22:46:00,           2021-04-01 15:46:00,      3.540000,     13.485000,         15.771000,                   151.301937,      1.006000
                1617318060,           2021-04-01 23:01:00,           2021-04-01 16:01:00,      3.540000,     13.406000,         15.625000,                   149.638884,      1.001000
                1617318960,           2021-04-01 23:16:00,           2021-04-01 16:16:00,      3.540000,     13.100000,         15.296000,                   145.494105,      1.002000
                1617319860,           2021-04-01 23:31:00,           2021-04-01 16:31:00,      3.540000,     12.854000,         15.368000,                   145.377179,      1.002000
                1617320760,           2021-04-01 23:46:00,           2021-04-01 16:46:00,      3.540000,     12.555000,         15.073000,                   141.632003,      1.002000
                1617321660,           2021-04-02 00:01:00,           2021-04-01 17:01:00,      3.530000,     12.334000,         15.013000,                   140.366385,      1.002000
                1617322560,           2021-04-02 00:16:00,           2021-04-01 17:16:00,      3.530000,     12.077000,         15.086000,                   140.229756,      1.003000
                1617323460,           2021-04-02 00:31:00,           2021-04-01 17:31:00,      3.530000,     11.882000,         15.105000,                   139.784755,      1.002000
