"Plot Title: SA_B_depth"
"#","Date Time, GMT-07:00","Abs Pres, kPa (LGR S/N: 10777827, SEN S/N: 10777827)","Temp, °C (LGR S/N: 10777827, SEN S/N: 10777827)"
1,04/01/21 12:00:00 PM,101.314,20.901
2,04/01/21 12:15:00 PM,101.326,21.664
3,04/01/21 12:30:00 PM,101.334,21.473
4,04/01/21 12:45:00 PM,101.319,21.473
5,04/01/21 01:00:00 PM,101.314,20.901
6,04/01/21 01:15:00 PM,101.304,20.615
7,04/01/21 01:30:00 PM,101.281,19.948
8,04/01/21 01:45:00 PM,101.324,15.951
9,04/01/21 02:00:00 PM,101.491,14.230
10,04/01/21 02:15:00 PM,101.465,12.110
11,04/01/21 02:30:00 PM,101.475,11.528
12,04/01/21 02:45:00 PM,101.482,11.722
13,04/01/21 03:00:00 PM,101.478,12.497
14,04/01/21 03:15:00 PM,101.497,13.076
15,04/01/21 03:30:00 PM,101.462,13.365
16,04/01/21 03:45:00 PM,102.010,13.558
17,04/01/21 04:00:00 PM,102.756,13.365
18,04/01/21 04:15:00 PM,103.616,12.980
19,04/01/21 04:30:00 PM,104.573,12.787
20,04/01/21 04:45:00 PM,105.588,12.497
21,04/01/21 05:00:00 PM,106.740,12.207
22,04/01/21 05:15:00 PM,107.925,12.013
23,04/01/21 05:30:00 PM,109.188,11.819
24,04/01/21 05:45:00 PM,110.466,11.625
25,04/01/21 06:00:00 PM,111.742,11.334
26,04/01/21 06:15:00 PM,112.981,11.236
27,04/01/21 06:30:00 PM,114.311,11.139
28,04/01/21 06:45:00 PM,115.576,10.455
29,04/01/21 07:00:00 PM,116.791,9.669
30,04/01/21 07:15:00 PM,118.041,8.978
31,04/01/21 07:30:00 PM,119.448,8.779
32,04/01/21 07:45:00 PM,120.494,8.680
33,04/01/21 08:00:00 PM,121.759,8.680
34,04/01/21 08:15:00 PM,122.803,8.481
35,04/01/21 08:30:00 PM,123.791,8.382
36,04/01/21 08:45:00 PM,124.875,8.382
37,04/01/21 09:00:00 PM,125.528,8.282
38,04/01/21 09:15:00 PM,126.215,8.282
39,04/01/21 09:30:00 PM,126.903,8.282
40,04/01/21 09:45:00 PM,127.163,8.282
41,04/01/21 10:00:00 PM,127.378,8.282
42,04/01/21 10:15:00 PM,127.439,8.282
43,04/01/21 10:30:00 PM,127.255,8.282
44,04/01/21 10:45:00 PM,127.087,8.282
45,04/01/21 11:00:00 PM,126.903,8.282
46,04/01/21 11:15:00 PM,126.475,8.282
47,04/01/21 11:30:00 PM,125.971,8.282
48,04/01/21 11:45:00 PM,125.497,8.282
49,04/02/21 12:00:00 AM,124.978,8.282
50,04/02/21 12:15:00 AM,124.489,8.282
51,04/02/21 12:30:00 AM,123.974,8.382
52,04/02/21 12:45:00 AM,123.516,8.382
53,04/02/21 01:00:00 AM,123.043,8.382
54,04/02/21 01:15:00 AM,122.662,8.382
55,04/02/21 01:30:00 AM,122.117,8.481
56,04/02/21 01:45:00 AM,121.713,8.680
57,04/02/21 02:00:00 AM,121.458,8.779
58,04/02/21 02:15:00 AM,121.203,8.879
59,04/02/21 02:30:00 AM,121.119,9.077
60,04/02/21 02:45:00 AM,121.142,9.275
61,04/02/21 03:00:00 AM,121.272,9.472
62,04/02/21 03:15:00 AM,121.424,9.866
63,04/02/21 03:30:00 AM,121.600,10.063
64,04/02/21 03:45:00 AM,121.840,10.357
65,04/02/21 04:00:00 AM,121.989,10.259
66,04/02/21 04:15:00 AM,122.317,10.063
67,04/02/21 04:30:00 AM,122.626,10.161
68,04/02/21 04:45:00 AM,122.976,10.161
69,04/02/21 05:00:00 AM,123.389,10.161
70,04/02/21 05:15:00 AM,123.969,10.161
71,04/02/21 05:30:00 AM,124.534,10.161
72,04/02/21 05:45:00 AM,125.191,10.161
73,04/02/21 06:00:00 AM,125.944,10.259
74,04/02/21 06:15:00 AM,126.617,10.259
75,04/02/21 06:30:00 AM,127.241,10.161
76,04/02/21 06:45:00 AM,127.593,10.161
77,04/02/21 07:00:00 AM,127.853,10.161
78,04/02/21 07:15:00 AM,128.037,10.161
79,04/02/21 07:30:00 AM,128.175,10.161
80,04/02/21 07:45:00 AM,128.190,10.161
81,04/02/21 08:00:00 AM,128.282,10.161
82,04/02/21 08:15:00 AM,128.324,10.063
83,04/02/21 08:30:00 AM,128.270,9.866
