"Plot Title: BV_B_depth"
"#","Date Time, GMT-07:00","Abs Pres, kPa (LGR S/N: 10777830, SEN S/N: 10777830)","Temp, °C (LGR S/N: 10777830, SEN S/N: 10777830)"
1,04/01/21 12:00:00 PM,101.327,20.710
2,04/01/21 12:15:00 PM,101.315,20.805
3,04/01/21 12:30:00 PM,101.325,21.091
4,04/01/21 12:45:00 PM,101.349,22.333
5,04/01/21 01:00:00 PM,101.313,22.142
6,04/01/21 01:15:00 PM,101.304,21.855
7,04/01/21 01:30:00 PM,101.283,22.142
8,04/01/21 01:45:00 PM,101.287,17.284
9,04/01/21 02:00:00 PM,101.382,17.855
10,04/01/21 02:15:00 PM,101.370,16.237
11,04/01/21 02:30:00 PM,101.311,14.996
12,04/01/21 02:45:00 PM,101.331,14.325
13,04/01/21 03:00:00 PM,101.331,15.569
14,04/01/21 03:15:00 PM,101.335,15.664
15,04/01/21 03:30:00 PM,101.313,14.230
16,04/01/21 03:45:00 PM,101.441,15.282
17,04/01/21 04:00:00 PM,102.541,12.883
18,04/01/21 04:15:00 PM,103.173,12.497
19,04/01/21 04:30:00 PM,103.624,12.110
20,04/01/21 04:45:00 PM,103.971,12.110
21,04/01/21 05:00:00 PM,104.784,12.110
22,04/01/21 05:15:00 PM,106.278,12.110
23,04/01/21 05:30:00 PM,107.747,12.207
24,04/01/21 05:45:00 PM,109.123,12.207
25,04/01/21 06:00:00 PM,110.504,12.980
26,04/01/21 06:15:00 PM,111.886,12.304
27,04/01/21 06:30:00 PM,113.266,11.916
28,04/01/21 06:45:00 PM,114.727,10.944
29,04/01/21 07:00:00 PM,116.192,10.357
30,04/01/21 07:15:00 PM,117.645,10.161
31,04/01/21 07:30:00 PM,119.085,9.965
32,04/01/21 07:45:00 PM,120.535,9.965
33,04/01/21 08:00:00 PM,121.728,9.965
34,04/01/21 08:15:00 PM,122.809,9.866
35,04/01/21 08:30:00 PM,123.774,9.866
36,04/01/21 08:45:00 PM,124.674,9.768
37,04/01/21 09:00:00 PM,125.564,9.768
38,04/01/21 09:15:00 PM,126.285,9.768
39,04/01/21 09:30:00 PM,126.879,9.669
40,04/01/21 09:45:00 PM,127.381,9.571
41,04/01/21 10:00:00 PM,127.566,9.571
42,04/01/21 10:15:00 PM,127.474,9.571
43,04/01/21 10:30:00 PM,127.125,9.669
44,04/01/21 10:45:00 PM,126.849,9.077
45,04/01/21 11:00:00 PM,126.665,8.779
46,04/01/21 11:15:00 PM,126.481,8.779
47,04/01/21 11:30:00 PM,126.077,8.680
48,04/01/21 11:45:00 PM,125.427,8.581
49,04/02/21 12:00:00 AM,124.875,8.581
50,04/02/21 12:15:00 AM,124.293,8.581
51,04/02/21 12:30:00 AM,123.803,8.581
52,04/02/21 12:45:00 AM,123.374,8.581
53,04/02/21 01:00:00 AM,123.011,8.680
54,04/02/21 01:15:00 AM,122.583,8.680
55,04/02/21 01:30:00 AM,122.078,8.680
56,04/02/21 01:45:00 AM,121.589,8.680
57,04/02/21 02:00:00 AM,121.176,8.680
58,04/02/21 02:15:00 AM,120.891,8.779
59,04/02/21 02:30:00 AM,120.784,8.779
60,04/02/21 02:45:00 AM,120.865,8.879
61,04/02/21 03:00:00 AM,121.038,8.978
62,04/02/21 03:15:00 AM,121.282,8.978
63,04/02/21 03:30:00 AM,121.623,9.077
64,04/02/21 03:45:00 AM,121.853,9.077
65,04/02/21 04:00:00 AM,121.960,9.077
66,04/02/21 04:15:00 AM,122.143,9.077
