"Plot Title: BV_B_light"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10436989, SEN S/N: 10436989)","Intensity, Lux (LGR S/N: 10436989, SEN S/N: 10436989)"
1,04/01/21 12:00:00 PM,21.091,32.3
2,04/01/21 12:15:00 PM,20.805,21.5
3,04/01/21 12:30:00 PM,21.282,21.5
4,04/01/21 12:45:00 PM,20.519,32.3
5,04/01/21 01:00:00 PM,21.569,43.1
6,04/01/21 01:15:00 PM,21.187,118.4
7,04/01/21 01:30:00 PM,15.569,43.1
8,04/01/21 01:45:00 PM,14.325,43.1
9,04/01/21 02:00:00 PM,14.421,86.1
10,04/01/21 02:15:00 PM,13.269,86.1
11,04/01/21 02:30:00 PM,12.497,75.3
12,04/01/21 02:45:00 PM,12.304,75.3
13,04/01/21 03:00:00 PM,12.497,86.1
14,04/01/21 03:15:00 PM,12.497,64.6
15,04/01/21 03:30:00 PM,12.594,0.0
16,04/01/21 03:45:00 PM,16.523,15844.5
17,04/01/21 04:00:00 PM,15.187,57867.0
18,04/01/21 04:15:00 PM,14.230,57867.0
19,04/01/21 04:30:00 PM,13.750,38578.0
20,04/01/21 04:45:00 PM,13.365,31689.1
21,04/01/21 05:00:00 PM,13.173,30311.3
22,04/01/21 05:15:00 PM,12.980,22044.6
23,04/01/21 05:30:00 PM,12.690,16533.4
24,04/01/21 05:45:00 PM,12.497,8266.7
25,04/01/21 06:00:00 PM,13.076,5511.1
26,04/01/21 06:15:00 PM,12.304,4305.6
27,04/01/21 06:30:00 PM,12.497,1636.1
28,04/01/21 06:45:00 PM,11.041,1377.8
29,04/01/21 07:00:00 PM,10.553,807.3
30,04/01/21 07:15:00 PM,10.259,452.1
31,04/01/21 07:30:00 PM,10.161,193.8
32,04/01/21 07:45:00 PM,10.161,32.3
33,04/01/21 08:00:00 PM,10.063,0.0
34,04/01/21 08:15:00 PM,10.063,0.0
35,04/01/21 08:30:00 PM,9.965,0.0
36,04/01/21 08:45:00 PM,9.965,0.0
37,04/01/21 09:00:00 PM,9.965,0.0
38,04/01/21 09:15:00 PM,9.866,0.0
39,04/01/21 09:30:00 PM,9.866,0.0
40,04/01/21 09:45:00 PM,9.768,0.0
41,04/01/21 10:00:00 PM,9.768,0.0
42,04/01/21 10:15:00 PM,9.768,0.0
43,04/01/21 10:30:00 PM,9.768,0.0
44,04/01/21 10:45:00 PM,9.176,0.0
45,04/01/21 11:00:00 PM,9.077,0.0
46,04/01/21 11:15:00 PM,9.077,0.0
47,04/01/21 11:30:00 PM,8.879,0.0
48,04/01/21 11:45:00 PM,8.779,0.0
49,04/02/21 12:00:00 AM,8.779,0.0
50,04/02/21 12:15:00 AM,8.978,0.0
51,04/02/21 12:30:00 AM,8.779,0.0
52,04/02/21 12:45:00 AM,8.779,0.0
53,04/02/21 01:00:00 AM,8.779,0.0
54,04/02/21 01:15:00 AM,8.879,0.0
55,04/02/21 01:30:00 AM,8.978,0.0
56,04/02/21 01:45:00 AM,8.978,0.0
57,04/02/21 02:00:00 AM,9.275,0.0
58,04/02/21 02:15:00 AM,9.373,0.0
59,04/02/21 02:30:00 AM,9.472,0.0
60,04/02/21 02:45:00 AM,9.768,0.0
61,04/02/21 03:00:00 AM,9.669,0.0
62,04/02/21 03:15:00 AM,9.571,0.0
63,04/02/21 03:30:00 AM,9.472,0.0
64,04/02/21 03:45:00 AM,9.176,0.0
65,04/02/21 04:00:00 AM,9.176,0.0
66,04/02/21 04:15:00 AM,9.176,0.0
67,04/02/21 04:30:00 AM,9.176,0.0
68,04/02/21 04:45:00 AM,9.275,0.0
69,04/02/21 05:00:00 AM,9.472,0.0
70,04/02/21 05:15:00 AM,9.768,0.0
71,04/02/21 05:30:00 AM,9.965,0.0
72,04/02/21 05:45:00 AM,9.965,0.0
73,04/02/21 06:00:00 AM,10.063,0.0
74,04/02/21 06:15:00 AM,9.965,0.0
75,04/02/21 06:30:00 AM,9.965,0.0
76,04/02/21 06:45:00 AM,9.866,21.5
77,04/02/21 07:00:00 AM,9.965,118.4
78,04/02/21 07:15:00 AM,9.965,258.3
