7392-013141
OS REV: 1.11 Sensor Cal: 1439861813
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1618268460,+3.48,+12.614,+15.734,+0.943
1618269360,+3.48,+12.614,+15.830,+0.942
1618270260,+3.48,+12.677,+15.820,+0.942
1618271160,+3.48,+12.819,+15.647,+0.945
1618272060,+3.48,+12.907,+15.444,+0.944
1618272960,+3.48,+12.960,+15.240,+0.944
1618273860,+3.48,+12.916,+15.135,+0.945
1618274760,+3.48,+12.845,+15.079,+0.943
1618275660,+3.48,+12.792,+15.057,+0.943
1618276560,+3.48,+12.712,+14.949,+0.943
1618277460,+3.48,+12.703,+14.891,+0.941
1618278360,+3.48,+12.703,+14.845,+0.943
1618279260,+3.48,+12.685,+14.783,+0.941
1618280160,+3.48,+12.765,+14.852,+0.943
1618281060,+3.48,+12.730,+14.706,+0.942
1618281960,+3.48,+12.765,+15.005,+0.943
1618282860,+3.48,+12.427,+15.163,+0.943
1618283760,+3.48,+12.508,+14.979,+0.942
1618284660,+3.48,+12.418,+14.860,+0.943
1618285560,+3.48,+12.240,+14.653,+0.941
1618286460,+3.48,+12.285,+14.407,+0.943
1618287360,+3.48,+12.186,+14.232,+0.941
1618288260,+3.48,+12.329,+13.938,+0.943
1618289160,+3.48,+12.258,+13.736,+0.941
1618290060,+3.48,+12.195,+13.578,+0.942
1618290960,+3.48,+12.088,+13.516,+0.941
1618291860,+3.48,+12.195,+13.013,+0.941
1618292760,+3.48,+12.267,+12.675,+0.940
1618293660,+3.48,+12.258,+12.558,+0.941
1618294560,+3.48,+12.115,+12.534,+0.942
1618295460,+3.48,+12.079,+12.463,+0.942
1618296360,+3.48,+12.115,+12.319,+0.941
1618297260,+3.48,+12.088,+12.218,+0.941
1618298160,+3.48,+11.989,+12.160,+0.940
1618299060,+3.48,+11.810,+12.199,+0.942
1618299960,+3.48,+11.944,+12.202,+0.941
1618300860,+3.48,+11.846,+12.273,+0.941
1618301760,+3.48,+11.837,+12.245,+0.942
1618302660,+3.48,+11.828,+12.147,+0.940
1618303560,+3.48,+11.765,+12.062,+0.940
1618304460,+3.48,+11.711,+12.082,+0.941
1618305360,+3.48,+11.657,+12.285,+0.942
1618306260,+3.48,+11.729,+12.342,+0.942
1618307160,+3.48,+11.899,+12.182,+0.943
1618308060,+3.48,+11.917,+12.082,+0.941
1618308960,+3.48,+11.819,+12.049,+0.939
1618309860,+3.48,+11.575,+12.356,+0.940
1618310760,+3.48,+11.395,+12.525,+0.941
1618311660,+3.48,+11.368,+12.391,+0.942
1618312560,+3.48,+11.359,+12.231,+0.942
1618313460,+3.48,+11.377,+12.086,+0.941
1618314360,+3.48,+11.277,+12.047,+0.941
1618315260,+3.48,+11.177,+11.909,+0.940
1618316160,+3.48,+11.105,+11.938,+0.940
1618317060,+3.48,+11.114,+12.015,+0.941
1618317960,+3.48,+11.032,+12.113,+0.940
1618318860,+3.48,+10.841,+12.162,+0.940
1618319760,+3.48,+10.768,+12.158,+0.942
1618320660,+3.48,+10.685,+12.009,+0.941
1618321560,+3.48,+10.640,+11.904,+0.941
1618322460,+3.48,+10.576,+11.712,+0.939
1618323360,+3.48,+10.530,+11.634,+0.941
1618324260,+3.47,+10.466,+11.532,+0.941
1618325160,+3.47,+10.438,+11.435,+0.941
1618326060,+3.47,+10.346,+11.344,+0.940
1618326960,+3.47,+10.291,+11.345,+0.941
1618327860,+3.47,+10.208,+11.376,+0.941
1618328760,+3.47,+10.217,+11.394,+0.940
1618329660,+3.47,+10.346,+11.598,+0.941
1618330560,+3.47,+10.521,+11.782,+0.940
1618331460,+3.47,+10.722,+11.725,+0.940
1618332360,+3.47,+10.649,+11.895,+0.941
1618333260,+3.47,+10.868,+12.020,+0.941
1618334160,+3.47,+11.313,+11.810,+0.941
1618335060,+3.47,+11.359,+11.460,+0.939
1618335960,+3.47,+11.159,+11.507,+0.939
1618336860,+3.47,+11.168,+11.570,+0.939
1618337760,+3.47,+11.304,+11.580,+0.941
1618338660,+3.47,+11.431,+11.525,+0.940
1618339560,+3.48,+11.819,+11.523,+0.942
1618340460,+3.48,+11.882,+11.590,+0.940
1618341360,+3.48,+12.213,+11.451,+0.941
1618342260,+3.48,+12.525,+11.412,+0.941
1618343160,+3.48,+12.845,+11.364,+0.939
1618344060,+3.48,+13.217,+11.356,+0.940
1618344960,+3.48,+13.789,+11.802,+0.940
1618345860,+3.48,+14.157,+11.627,+0.941
1618346760,+3.48,+15.053,+11.179,+0.942
1618347660,+3.48,+15.330,+11.430,+0.940
1618348560,+3.48,+14.541,+11.807,+0.940
1618349460,+3.48,+14.454,+11.545,+0.939
1618350360,+3.48,+14.888,+11.157,+0.941
1618351260,+3.49,+14.549,+11.289,+0.939
1618352160,+3.49,+14.610,+11.317,+0.941
1618353060,+3.48,+16.098,+12.043,+0.943
1618353960,+3.49,+15.641,+13.674,+0.942
1618354860,+3.49,+13.903,+13.974,+0.939
