MiniDOT Logger Concatenated Data File
Sensor:             7392-013141
Concatenation Date: 2021Apr15 16:02:51 PDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Pacific Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1617308160,           2021-04-01 20:16:00,           2021-04-01 13:16:00,      3.570000,     21.481000,          8.738000,                    98.942167,      0.939000
                1617309060,           2021-04-01 20:31:00,           2021-04-01 13:31:00,      3.570000,     21.591000,          8.671000,                    98.393218,      0.939000
                1617309960,           2021-04-01 20:46:00,           2021-04-01 13:46:00,      3.570000,     17.358000,          9.256000,                    96.486926,      0.934000
                1617310860,           2021-04-01 21:01:00,           2021-04-01 14:01:00,      3.570000,     17.247000,          9.289000,                    96.608022,      0.937000
                1617311760,           2021-04-01 21:16:00,           2021-04-01 14:16:00,      3.570000,     16.012000,          9.522000,                    96.496124,      0.936000
                1617312660,           2021-04-01 21:31:00,           2021-04-01 14:31:00,      3.570000,     15.053000,          9.693000,                    96.234449,      0.938000
                1617313560,           2021-04-01 21:46:00,           2021-04-01 14:46:00,      3.560000,     14.401000,          9.860000,                    96.517918,      0.939000
                1617314460,           2021-04-01 22:01:00,           2021-04-01 15:01:00,      3.560000,     14.749000,          9.745000,                    96.116805,      0.938000
                1617315360,           2021-04-01 22:16:00,           2021-04-01 15:16:00,      3.560000,     14.810000,          9.732000,                    96.115545,      0.938000
                1617316260,           2021-04-01 22:31:00,           2021-04-01 15:31:00,      3.560000,     14.157000,          9.912000,                    96.510868,      0.940000
                1617317160,           2021-04-01 22:46:00,           2021-04-01 15:46:00,      3.560000,     15.036000,          9.762000,                    96.883964,      0.939000
                1617318060,           2021-04-01 23:01:00,           2021-04-01 16:01:00,      3.560000,     12.960000,         11.833000,                   112.202947,      0.934000
                1617318960,           2021-04-01 23:16:00,           2021-04-01 16:16:00,      3.560000,     13.014000,         12.495000,                   118.623273,      0.939000
                1617319860,           2021-04-01 23:31:00,           2021-04-01 16:31:00,      3.550000,     12.659000,         12.917000,                   121.657748,      0.940000
                1617320760,           2021-04-01 23:46:00,           2021-04-01 16:46:00,      3.550000,     12.650000,         13.005000,                   122.461784,      0.940000
                1617321660,           2021-04-02 00:01:00,           2021-04-01 17:01:00,      3.550000,     12.632000,         13.335000,                   125.518412,      0.940000
                1617322560,           2021-04-02 00:16:00,           2021-04-01 17:16:00,      3.550000,     12.605000,         13.355000,                   125.630325,      0.941000
                1617323460,           2021-04-02 00:31:00,           2021-04-01 17:31:00,      3.550000,     12.783000,         13.326000,                   125.859897,      0.940000
                1617324360,           2021-04-02 00:46:00,           2021-04-01 17:46:00,      3.550000,     12.757000,         13.567000,                   128.061331,      0.941000
                1617325260,           2021-04-02 01:01:00,           2021-04-01 18:01:00,      3.550000,     13.824000,         19.422000,                   187.729331,      0.946000
                1617326160,           2021-04-02 01:16:00,           2021-04-01 18:16:00,      3.550000,     12.508000,         17.373000,                   163.070937,      0.940000
                1617327060,           2021-04-02 01:31:00,           2021-04-01 18:31:00,      3.540000,     12.534000,         18.707000,                   175.695397,      0.944000
                1617327960,           2021-04-02 01:46:00,           2021-04-01 18:46:00,      3.540000,     11.350000,         16.020000,                   146.457071,      0.942000
                1617328860,           2021-04-02 02:01:00,           2021-04-01 19:01:00,      3.540000,     10.932000,         15.322000,                   138.730072,      0.944000
                1617329760,           2021-04-02 02:16:00,           2021-04-01 19:16:00,      3.540000,     10.631000,         14.506000,                   130.426026,      0.940000
                1617330660,           2021-04-02 02:31:00,           2021-04-01 19:31:00,      3.540000,     10.548000,         14.457000,                   129.734060,      0.942000
                1617331560,           2021-04-02 02:46:00,           2021-04-01 19:46:00,      3.540000,     10.566000,         14.606000,                   131.126227,      0.942000
                1617332460,           2021-04-02 03:01:00,           2021-04-01 20:01:00,      3.530000,     10.484000,         14.415000,                   129.163952,      0.942000
                1617333360,           2021-04-02 03:16:00,           2021-04-01 20:16:00,      3.530000,     10.429000,         14.318000,                   128.129927,      0.941000
                1617334260,           2021-04-02 03:31:00,           2021-04-01 20:31:00,      3.530000,     10.420000,         14.475000,                   129.507630,      0.940000
                1617335160,           2021-04-02 03:46:00,           2021-04-01 20:46:00,      3.530000,     10.392000,         14.239000,                   127.312695,      0.941000
                1617336060,           2021-04-02 04:01:00,           2021-04-01 21:01:00,      3.530000,     10.355000,         14.410000,                   128.730054,      0.943000
                1617336960,           2021-04-02 04:16:00,           2021-04-01 21:16:00,      3.530000,     10.282000,         14.160000,                   126.280462,      0.940000
                1617337860,           2021-04-02 04:31:00,           2021-04-01 21:31:00,      3.530000,     10.254000,         13.933000,                   124.174459,      0.941000
                1617338760,           2021-04-02 04:46:00,           2021-04-01 21:46:00,      3.530000,     10.143000,         13.632000,                   121.175527,      0.941000
                1617339660,           2021-04-02 05:01:00,           2021-04-01 22:01:00,      3.530000,     10.153000,         13.624000,                   121.132889,      0.942000
                1617340560,           2021-04-02 05:16:00,           2021-04-01 22:16:00,      3.520000,     10.162000,         13.562000,                   120.607150,      0.940000
                1617341460,           2021-04-02 05:31:00,           2021-04-01 22:31:00,      3.520000,     10.208000,         13.475000,                   119.963035,      0.941000
                1617342360,           2021-04-02 05:46:00,           2021-04-01 22:46:00,      3.520000,      9.587000,         12.050000,                   105.714980,      0.938000
                1617343260,           2021-04-02 06:01:00,           2021-04-01 23:01:00,      3.520000,      9.353000,         11.689000,                   101.978426,      0.939000
                1617344160,           2021-04-02 06:16:00,           2021-04-01 23:16:00,      3.520000,      9.316000,         11.495000,                   100.197426,      0.938000
                1617345060,           2021-04-02 06:31:00,           2021-04-01 23:31:00,      3.520000,      9.222000,         11.134000,                    96.833075,      0.939000
                1617345960,           2021-04-02 06:46:00,           2021-04-01 23:46:00,      3.520000,      9.147000,         10.983000,                    95.348597,      0.938000
                1617346860,           2021-04-02 07:01:00,           2021-04-02 00:01:00,      3.510000,      9.119000,         10.963000,                    95.111180,      0.940000
                1617347760,           2021-04-02 07:16:00,           2021-04-02 00:16:00,      3.510000,      9.128000,         11.045000,                    95.843239,      0.939000
                1617348660,           2021-04-02 07:31:00,           2021-04-02 00:31:00,      3.510000,      9.166000,         11.054000,                    96.008630,      0.941000
                1617349560,           2021-04-02 07:46:00,           2021-04-02 00:46:00,      3.510000,      9.157000,         10.948000,                    95.067498,      0.940000
                1617350460,           2021-04-02 08:01:00,           2021-04-02 01:01:00,      3.510000,      9.213000,         10.916000,                    94.916690,      0.940000
                1617351360,           2021-04-02 08:16:00,           2021-04-02 01:16:00,      3.510000,      9.232000,         10.937000,                    95.142493,      0.940000
                1617352260,           2021-04-02 08:31:00,           2021-04-02 01:31:00,      3.510000,      9.250000,         11.037000,                    96.053716,      0.941000
                1617353160,           2021-04-02 08:46:00,           2021-04-02 01:46:00,      3.510000,      9.250000,         11.001000,                    95.740412,      0.940000
                1617354060,           2021-04-02 09:01:00,           2021-04-02 02:01:00,      3.500000,      9.288000,         10.920000,                    95.121776,      0.941000
                1617354960,           2021-04-02 09:16:00,           2021-04-02 02:16:00,      3.500000,      9.279000,         10.632000,                    92.593168,      0.940000
                1617355860,           2021-04-02 09:31:00,           2021-04-02 02:31:00,      3.500000,      9.410000,         11.098000,                    96.954002,      0.941000
                1617356760,           2021-04-02 09:46:00,           2021-04-02 02:46:00,      3.500000,      9.438000,         10.943000,                    95.663674,      0.940000
                1617357660,           2021-04-02 10:01:00,           2021-04-02 03:01:00,      3.500000,      9.503000,         10.981000,                    96.144481,      0.939000
                1617358560,           2021-04-02 10:16:00,           2021-04-02 03:16:00,      3.500000,      9.494000,         10.841000,                    94.898388,      0.940000
                1617359460,           2021-04-02 10:31:00,           2021-04-02 03:31:00,      3.500000,      9.624000,         11.167000,                    98.054490,      0.940000
                1617360360,           2021-04-02 10:46:00,           2021-04-02 03:46:00,      3.500000,      9.699000,         11.223000,                    98.721655,      0.941000
                1617361260,           2021-04-02 11:01:00,           2021-04-02 04:01:00,      3.500000,      9.680000,         11.197000,                    98.448600,      0.940000
                1617362160,           2021-04-02 11:16:00,           2021-04-02 04:16:00,      3.500000,      9.689000,         11.066000,                    97.317556,      0.939000
                1617363060,           2021-04-02 11:31:00,           2021-04-02 04:31:00,      3.490000,      9.699000,         11.112000,                    97.745258,      0.940000
                1617363960,           2021-04-02 11:46:00,           2021-04-02 04:46:00,      3.490000,      9.615000,         10.986000,                    96.444573,      0.940000
                1617364860,           2021-04-02 12:01:00,           2021-04-02 05:01:00,      3.490000,      9.661000,         11.083000,                    97.402371,      0.941000
                1617365760,           2021-04-02 12:16:00,           2021-04-02 05:16:00,      3.490000,      9.689000,         11.136000,                    97.933156,      0.941000
                1617366660,           2021-04-02 12:31:00,           2021-04-02 05:31:00,      3.490000,     10.051000,         12.119000,                   107.493432,      0.941000
