"Plot Title: SA_B_light"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10612053, SEN S/N: 10612053)","Intensity, Lux (LGR S/N: 10612053, SEN S/N: 10612053)"
1,04/01/21 12:00:00 PM,21.091,10.8
2,04/01/21 12:15:00 PM,20.901,10.8
3,04/01/21 12:30:00 PM,21.473,10.8
4,04/01/21 12:45:00 PM,20.710,21.5
5,04/01/21 01:00:00 PM,21.951,172.2
6,04/01/21 01:15:00 PM,20.234,118.4
7,04/01/21 01:30:00 PM,15.187,43.1
8,04/01/21 01:45:00 PM,14.134,75.3
9,04/01/21 02:00:00 PM,15.091,74400.5
10,04/01/21 02:15:00 PM,13.461,49600.3
11,04/01/21 02:30:00 PM,13.654,46844.8
12,04/01/21 02:45:00 PM,13.846,57867.0
13,04/01/21 03:00:00 PM,15.473,79911.6
14,04/01/21 03:15:00 PM,16.332,68889.3
15,04/01/21 03:30:00 PM,15.855,68889.3
16,04/01/21 03:45:00 PM,16.427,55111.5
17,04/01/21 04:00:00 PM,15.378,52355.9
18,04/01/21 04:15:00 PM,13.654,30311.3
19,04/01/21 04:30:00 PM,12.883,27555.7
20,04/01/21 04:45:00 PM,13.076,27555.7
21,04/01/21 05:00:00 PM,13.365,24800.2
22,04/01/21 05:15:00 PM,12.401,13777.9
23,04/01/21 05:30:00 PM,12.110,9300.1
24,04/01/21 05:45:00 PM,11.916,6200.0
25,04/01/21 06:00:00 PM,11.625,4305.6
26,04/01/21 06:15:00 PM,11.528,2927.8
27,04/01/21 06:30:00 PM,11.236,1636.1
28,04/01/21 06:45:00 PM,10.455,1097.9
29,04/01/21 07:00:00 PM,9.669,796.5
30,04/01/21 07:15:00 PM,9.077,430.6
31,04/01/21 07:30:00 PM,8.978,183.0
32,04/01/21 07:45:00 PM,8.978,21.5
33,04/01/21 08:00:00 PM,8.779,0.0
34,04/01/21 08:15:00 PM,8.680,0.0
35,04/01/21 08:30:00 PM,8.581,0.0
36,04/01/21 08:45:00 PM,8.581,0.0
37,04/01/21 09:00:00 PM,8.581,0.0
38,04/01/21 09:15:00 PM,8.581,0.0
39,04/01/21 09:30:00 PM,8.481,0.0
40,04/01/21 09:45:00 PM,8.481,0.0
41,04/01/21 10:00:00 PM,8.481,0.0
42,04/01/21 10:15:00 PM,8.481,0.0
43,04/01/21 10:30:00 PM,8.481,0.0
44,04/01/21 10:45:00 PM,8.481,0.0
45,04/01/21 11:00:00 PM,8.481,0.0
46,04/01/21 11:15:00 PM,8.481,0.0
47,04/01/21 11:30:00 PM,8.581,0.0
48,04/01/21 11:45:00 PM,8.481,0.0
49,04/02/21 12:00:00 AM,8.481,0.0
50,04/02/21 12:15:00 AM,8.581,0.0
51,04/02/21 12:30:00 AM,8.680,0.0
52,04/02/21 12:45:00 AM,8.680,0.0
53,04/02/21 01:00:00 AM,8.978,0.0
54,04/02/21 01:15:00 AM,9.275,0.0
55,04/02/21 01:30:00 AM,9.373,0.0
56,04/02/21 01:45:00 AM,9.176,0.0
57,04/02/21 02:00:00 AM,9.176,0.0
58,04/02/21 02:15:00 AM,9.571,0.0
59,04/02/21 02:30:00 AM,9.866,0.0
60,04/02/21 02:45:00 AM,10.357,0.0
61,04/02/21 03:00:00 AM,10.553,0.0
62,04/02/21 03:15:00 AM,10.553,0.0
63,04/02/21 03:30:00 AM,10.651,0.0
64,04/02/21 03:45:00 AM,10.651,0.0
65,04/02/21 04:00:00 AM,10.455,0.0
66,04/02/21 04:15:00 AM,10.357,0.0
67,04/02/21 04:30:00 AM,10.357,0.0
68,04/02/21 04:45:00 AM,10.357,0.0
69,04/02/21 05:00:00 AM,10.455,0.0
70,04/02/21 05:15:00 AM,10.455,0.0
71,04/02/21 05:30:00 AM,10.455,0.0
72,04/02/21 05:45:00 AM,10.455,0.0
73,04/02/21 06:00:00 AM,10.455,0.0
74,04/02/21 06:15:00 AM,10.455,0.0
75,04/02/21 06:30:00 AM,10.455,0.0
76,04/02/21 06:45:00 AM,10.455,21.5
77,04/02/21 07:00:00 AM,10.455,118.4
78,04/02/21 07:15:00 AM,10.455,430.6
79,04/02/21 07:30:00 AM,10.553,667.4
80,04/02/21 07:45:00 AM,10.553,979.5
81,04/02/21 08:00:00 AM,10.553,721.2
82,04/02/21 08:15:00 AM,10.357,1227.1
83,04/02/21 08:30:00 AM,10.455,1162.5
84,04/02/21 08:45:00 AM,10.553,1087.2
85,04/02/21 09:00:00 AM,10.553,2411.1
86,04/02/21 09:15:00 AM,10.651,3272.2
87,04/02/21 09:30:00 AM,10.748,2755.6
88,04/02/21 09:45:00 AM,10.748,2755.6
89,04/02/21 10:00:00 AM,10.748,2411.1
90,04/02/21 10:15:00 AM,10.846,2497.2
91,04/02/21 10:30:00 AM,10.846,2497.2
92,04/02/21 10:45:00 AM,10.944,2152.8
93,04/02/21 11:00:00 AM,10.944,2411.1
