7392-122893
OS REV: 1.11 Sensor Cal: 1439861837
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1618090260,+3.47, +9.872,+14.197,+0.976
1618091160,+3.46, +9.863,+14.562,+0.976
1618092060,+3.46, +9.891,+14.349,+0.974
1618092960,+3.47, +9.891,+14.133,+0.975
1618093860,+3.46, +9.909,+14.022,+0.974
1618094760,+3.47, +9.900,+13.969,+0.975
1618095660,+3.47, +9.881,+13.913,+0.974
1618096560,+3.47, +9.881,+13.907,+0.975
1618097460,+3.47, +9.909,+13.849,+0.976
1618098360,+3.47, +9.900,+13.558,+0.974
1618099260,+3.47, +9.816,+13.149,+0.975
1618100160,+3.47, +9.733,+12.817,+0.973
1618101060,+3.47, +9.724,+12.663,+0.976
1618101960,+3.47, +9.742,+12.654,+0.976
1618102860,+3.47, +9.724,+12.499,+0.975
1618103760,+3.47, +9.770,+12.630,+0.974
1618104660,+3.47, +9.826,+12.746,+0.974
1618105560,+3.47, +9.789,+12.701,+0.975
1618106460,+3.47, +9.761,+12.647,+0.974
1618107360,+3.47, +9.798,+12.541,+0.976
1618108260,+3.47, +9.779,+12.680,+0.975
1618109160,+3.47, +9.835,+12.841,+0.974
1618110060,+3.47, +9.872,+13.227,+0.977
1618110960,+3.47, +9.964,+13.185,+0.975
1618111860,+3.47,+10.048,+12.848,+0.974
1618112760,+3.47,+10.084,+12.887,+0.975
1618113660,+3.47,+10.103,+12.824,+0.975
1618114560,+3.47,+10.066,+12.731,+0.976
1618115460,+3.47,+10.066,+12.524,+0.974
1618116360,+3.47,+10.075,+12.389,+0.975
1618117260,+3.47,+10.075,+12.298,+0.975
1618118160,+3.47,+10.121,+12.165,+0.975
1618119060,+3.47,+10.075,+12.075,+0.974
1618119960,+3.47,+10.094,+11.952,+0.975
1618120860,+3.47,+10.121,+11.755,+0.974
1618121760,+3.47,+10.241,+11.580,+0.976
1618122660,+3.47,+10.287,+11.385,+0.975
1618123560,+3.47,+10.333,+11.242,+0.975
1618124460,+3.47,+10.131,+11.377,+0.976
1618125360,+3.47, +9.937,+11.495,+0.975
1618126260,+3.47, +9.779,+11.555,+0.974
1618127160,+3.47, +9.659,+11.581,+0.975
1618128060,+3.47, +9.575,+11.622,+0.975
1618128960,+3.47, +9.482,+11.660,+0.975
1618129860,+3.47, +9.407,+11.698,+0.974
1618130760,+3.47, +9.351,+11.734,+0.975
1618131660,+3.47, +9.379,+11.699,+0.975
1618132560,+3.47, +9.389,+11.737,+0.974
1618133460,+3.47, +9.351,+11.923,+0.975
1618134360,+3.47, +9.211,+11.842,+0.974
1618135260,+3.47, +9.117,+11.671,+0.975
1618136160,+3.47, +9.061,+11.643,+0.976
1618137060,+3.47, +9.033,+11.562,+0.974
1618137960,+3.47, +9.023,+11.529,+0.975
1618138860,+3.47, +8.967,+11.453,+0.974
1618139760,+3.47, +8.967,+11.379,+0.976
1618140660,+3.47, +8.929,+11.276,+0.975
1618141560,+3.47, +8.882,+11.204,+0.974
1618142460,+3.47, +8.854,+11.081,+0.975
1618143360,+3.47, +8.826,+10.925,+0.973
1618144260,+3.47, +8.826,+10.867,+0.975
1618145160,+3.47, +8.769,+10.838,+0.975
1618146060,+3.47, +8.769,+10.888,+0.975
1618146960,+3.47, +8.769,+11.171,+0.975
1618147860,+3.47, +8.816,+11.314,+0.975
1618148760,+3.47, +8.844,+11.493,+0.974
1618149660,+3.47, +8.750,+11.743,+0.974
1618150560,+3.46, +8.589,+11.862,+0.976
1618151460,+3.47, +8.504,+11.829,+0.975
1618152360,+3.47, +8.485,+11.794,+0.975
1618153260,+3.47, +8.485,+11.830,+0.975
1618154160,+3.46, +8.485,+11.933,+0.974
1618155060,+3.47, +8.485,+12.104,+0.977
1618155960,+3.46, +8.523,+12.056,+0.973
1618156860,+3.46, +8.561,+11.742,+0.973
1618157760,+3.46, +8.599,+11.714,+0.975
1618158660,+3.46, +8.674,+11.759,+0.974
1618159560,+3.47, +8.712,+11.837,+0.974
1618160460,+3.47, +8.788,+11.909,+0.975
1618161360,+3.47, +8.844,+12.003,+0.974
1618162260,+3.46, +8.948,+12.124,+0.975
1618163160,+3.46, +9.127,+12.219,+0.975
1618164060,+3.47, +9.305,+12.311,+0.974
1618164960,+3.47, +9.482,+12.302,+0.974
1618165860,+3.47, +9.696,+12.034,+0.975
1618166760,+3.47, +9.853,+12.364,+0.974
1618167660,+3.47,+10.001,+12.735,+0.974
1618168560,+3.47,+10.204,+12.933,+0.974
1618169460,+3.47,+10.324,+13.216,+0.975
1618170360,+3.47,+10.480,+13.401,+0.974
1618171260,+3.47,+10.562,+14.014,+0.974
1618172160,+3.47,+10.608,+14.537,+0.975
1618173060,+3.47,+10.617,+14.902,+0.974
1618173960,+3.47,+10.708,+15.439,+0.977
1618174860,+3.47,+10.735,+15.536,+0.975
1618175760,+3.47,+10.735,+15.743,+0.976
1618176660,+3.47,+10.744,+16.137,+0.977
