"Plot Title: SA_B_salinity"
"#","Date Time, GMT-07:00","High Range, μS/cm (LGR S/N: 10745661, SEN S/N: 10745661)","Temp, °C (LGR S/N: 10745661, SEN S/N: 10745661)"
1,04/01/21 12:00:00 PM,0.0,22.25
2,04/01/21 12:15:00 PM,0.0,21.65
3,04/01/21 12:30:00 PM,0.0,21.44
4,04/01/21 12:45:00 PM,0.0,21.49
5,04/01/21 01:00:00 PM,0.0,21.42
6,04/01/21 01:15:00 PM,0.0,20.64
7,04/01/21 01:30:00 PM,0.0,21.69
8,04/01/21 01:45:00 PM,0.0,15.80
9,04/01/21 02:00:00 PM,0.0,13.82
10,04/01/21 02:15:00 PM,0.0,12.07
11,04/01/21 02:30:00 PM,1402.8,11.76
12,04/01/21 02:45:00 PM,0.0,12.78
13,04/01/21 03:00:00 PM,0.0,13.72
14,04/01/21 03:15:00 PM,0.0,14.22
15,04/01/21 03:30:00 PM,3461.4,13.70
16,04/01/21 03:45:00 PM,32710.2,13.74
17,04/01/21 04:00:00 PM,31560.6,13.62
18,04/01/21 04:15:00 PM,30164.9,13.28
19,04/01/21 04:30:00 PM,29058.9,13.06
20,04/01/21 04:45:00 PM,27672.1,12.73
21,04/01/21 05:00:00 PM,26539.7,12.53
22,04/01/21 05:15:00 PM,25577.3,12.26
23,04/01/21 05:30:00 PM,24657.5,12.07
24,04/01/21 05:45:00 PM,24122.4,11.86
25,04/01/21 06:00:00 PM,23792.3,11.64
26,04/01/21 06:15:00 PM,23393.1,11.57
27,04/01/21 06:30:00 PM,23147.8,11.28
28,04/01/21 06:45:00 PM,23287.9,10.39
29,04/01/21 07:00:00 PM,23705.7,9.65
30,04/01/21 07:15:00 PM,24245.8,9.07
31,04/01/21 07:30:00 PM,24956.2,9.07
32,04/01/21 07:45:00 PM,25655.5,9.06
33,04/01/21 08:00:00 PM,26344.8,8.92
34,04/01/21 08:15:00 PM,27158.4,8.82
35,04/01/21 08:30:00 PM,27904.7,8.71
36,04/01/21 08:45:00 PM,28372.7,8.68
37,04/01/21 09:00:00 PM,28415.4,8.66
38,04/01/21 09:15:00 PM,28355.7,8.64
39,04/01/21 09:30:00 PM,28432.5,8.64
40,04/01/21 09:45:00 PM,28406.9,8.62
41,04/01/21 10:00:00 PM,28429.7,8.63
42,04/01/21 10:15:00 PM,28429.7,8.64
43,04/01/21 10:30:00 PM,28401.2,8.64
44,04/01/21 10:45:00 PM,28401.2,8.64
45,04/01/21 11:00:00 PM,28369.9,8.64
46,04/01/21 11:15:00 PM,28347.2,8.63
47,04/01/21 11:30:00 PM,28341.5,8.64
48,04/01/21 11:45:00 PM,28335.9,8.62
49,04/02/21 12:00:00 AM,28364.2,8.60
50,04/02/21 12:15:00 AM,28404.0,8.67
51,04/02/21 12:30:00 AM,28406.9,8.70
52,04/02/21 12:45:00 AM,28401.2,8.71
53,04/02/21 01:00:00 AM,28392.6,8.74
54,04/02/21 01:15:00 AM,28398.3,8.76
55,04/02/21 01:30:00 AM,28429.7,8.84
56,04/02/21 01:45:00 AM,28509.8,9.06
57,04/02/21 02:00:00 AM,28509.8,9.12
58,04/02/21 02:15:00 AM,28555.9,9.24
59,04/02/21 02:30:00 AM,28553.0,9.38
60,04/02/21 02:45:00 AM,28587.6,9.53
61,04/02/21 03:00:00 AM,28753.5,9.89
62,04/02/21 03:15:00 AM,28853.5,10.13
63,04/02/21 03:30:00 AM,28954.3,10.53
64,04/02/21 03:45:00 AM,29023.0,10.73
65,04/02/21 04:00:00 AM,28897.9,10.52
66,04/02/21 04:15:00 AM,28827.0,10.40
67,04/02/21 04:30:00 AM,28827.0,10.47
68,04/02/21 04:45:00 AM,28829.9,10.49
69,04/02/21 05:00:00 AM,28812.2,10.52
70,04/02/21 05:15:00 AM,28797.5,10.52
71,04/02/21 05:30:00 AM,28800.5,10.52
72,04/02/21 05:45:00 AM,28774.0,10.53
73,04/02/21 06:00:00 AM,28759.4,10.53
74,04/02/21 06:15:00 AM,28771.1,10.56
75,04/02/21 06:30:00 AM,28727.2,10.53
76,04/02/21 06:45:00 AM,28715.5,10.53
77,04/02/21 07:00:00 AM,28703.8,10.52
78,04/02/21 07:15:00 AM,28674.6,10.52
