7392-798741
OS REV: 1.11 Sensor Cal: 1438807124
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1617482760,+3.45,+11.516,+13.325,+1.001
1617483660,+3.45,+11.730,+13.311,+1.001
1617484560,+3.45,+11.837,+13.340,+1.001
1617485460,+3.45,+11.997,+13.242,+1.000
1617486360,+3.45,+12.245,+13.201,+1.002
1617487260,+3.46,+12.572,+13.218,+1.004
1617488160,+3.46,+12.845,+13.231,+1.002
1617489060,+3.46,+13.152,+13.392,+1.001
1617489960,+3.46,+12.325, +9.795,+0.994
1617490860,+3.46,+12.219, +9.861,+0.996
1617491760,+3.46,+12.625, +9.783,+0.997
1617492660,+3.46,+13.109, +9.680,+0.997
1617493560,+3.46,+13.546, +9.608,+0.996
1617494460,+3.47,+13.798, +9.544,+0.996
1617495360,+3.47,+13.833, +9.553,+0.996
1617496260,+3.47,+13.406, +9.651,+0.997
1617497160,+3.47,+14.024,+16.560,+1.005
1617498060,+3.47,+13.624,+16.300,+1.003
1617498960,+3.47,+13.275,+15.645,+1.000
1617499860,+3.47,+12.977,+15.482,+1.001
1617500760,+3.47,+12.669,+15.288,+1.001
1617501660,+3.47,+12.440,+15.399,+1.001
1617502560,+3.47,+12.210,+15.168,+1.002
1617503460,+3.47,+12.015,+15.078,+1.003
1617504360,+3.47,+11.801,+14.972,+1.001
1617505260,+3.47,+11.686,+14.936,+1.002
1617506160,+3.47,+11.525,+14.713,+1.002
1617507060,+3.47,+11.229,+14.195,+1.001
1617507960,+3.47,+10.416,+12.961,+0.999
1617508860,+3.47, +9.501,+11.784,+1.000
1617509760,+3.46, +9.159,+11.297,+0.999
1617510660,+3.46, +8.852,+10.993,+1.000
1617511560,+3.46, +8.796,+10.860,+1.001
1617512460,+3.46, +8.796,+10.789,+1.001
1617513360,+3.46, +8.731,+10.697,+0.999
1617514260,+3.46, +8.703,+10.687,+1.000
1617515160,+3.46, +8.693,+10.621,+1.000
1617516060,+3.46, +8.628,+10.568,+0.999
1617516960,+3.46, +8.543,+10.544,+1.001
1617517860,+3.46, +8.562,+10.442,+1.000
1617518760,+3.46, +8.543,+10.368,+1.000
1617519660,+3.46, +8.581,+10.332,+1.000
1617520560,+3.46, +8.506,+10.341,+1.000
1617521460,+3.46, +8.525,+10.344,+1.001
1617522360,+3.46, +8.515,+10.345,+1.000
1617523260,+3.45, +8.515,+10.299,+0.999
1617524160,+3.46, +8.534,+10.240,+1.000
1617525060,+3.46, +8.534,+10.233,+1.000
1617525960,+3.46, +8.525,+10.221,+1.000
1617526860,+3.46, +8.543,+10.207,+1.001
1617527760,+3.45, +8.478,+10.219,+1.001
1617528660,+3.46, +8.534,+10.190,+1.000
1617529560,+3.45, +8.534,+10.137,+1.000
1617530460,+3.45, +8.534,+10.117,+1.000
1617531360,+3.45, +8.534,+10.091,+1.000
1617532260,+3.45, +8.543,+10.095,+1.000
1617533160,+3.45, +8.543,+10.063,+1.000
1617534060,+3.45, +8.562,+10.004,+1.000
1617534960,+3.45, +8.571,+10.015,+1.000
1617535860,+3.45, +8.571,+10.007,+1.001
1617536760,+3.45, +8.562, +9.948,+1.001
1617537660,+3.45, +8.581, +9.886,+1.001
1617538560,+3.45, +8.562, +9.841,+1.000
1617539460,+3.45, +8.581, +9.796,+1.000
1617540360,+3.45, +8.600, +9.800,+1.000
1617541260,+3.45, +8.581, +9.763,+0.999
1617542160,+3.45, +8.534, +9.773,+1.000
1617543060,+3.45, +8.553, +9.724,+1.000
1617543960,+3.45, +8.553, +9.709,+1.001
1617544860,+3.45, +8.543, +9.692,+1.000
1617545760,+3.45, +8.562, +9.691,+1.000
1617546660,+3.45, +8.543, +9.670,+1.000
1617547560,+3.45, +8.543, +9.638,+1.000
1617548460,+3.45, +8.534, +9.670,+1.001
1617549360,+3.45, +8.571, +9.610,+0.999
1617550260,+3.45, +8.534, +9.651,+1.001
1617551160,+3.45, +8.534, +9.648,+1.000
1617552060,+3.45, +8.543, +9.633,+1.000
1617552960,+3.45, +8.553, +9.673,+1.000
1617553860,+3.45, +8.600, +9.745,+1.001
1617554760,+3.45, +8.637, +9.767,+1.000
1617555660,+3.45, +8.609, +9.829,+1.000
1617556560,+3.45, +8.646, +9.890,+1.000
1617557460,+3.45, +8.674, +9.991,+1.000
1617558360,+3.45, +8.693,+10.075,+1.000
1617559260,+3.45, +8.693,+10.160,+1.000
1617560160,+3.45, +8.787,+10.296,+1.000
1617561060,+3.45, +8.852,+10.416,+1.001
1617561960,+3.45, +8.899,+10.514,+1.000
1617562860,+3.45, +8.954,+10.610,+1.000
1617563760,+3.45, +9.010,+10.685,+1.000
1617564660,+3.45, +9.057,+10.680,+1.000
1617565560,+3.45, +9.168,+10.667,+1.000
1617566460,+3.45, +9.233,+10.633,+1.001
1617567360,+3.45, +9.363,+10.688,+0.999
1617568260,+3.45, +9.520,+10.726,+1.000
1617569160,+3.45, +9.667,+10.806,+1.000
