7392-013141
OS REV: 1.11 Sensor Cal: 1439861813
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1617482760,+3.45,+10.548,+12.232,+0.941
1617483660,+3.45,+10.822,+12.361,+0.940
1617484560,+3.45,+11.123,+12.622,+0.940
1617485460,+3.45,+11.377,+12.744,+0.941
1617486360,+3.45,+11.630,+12.705,+0.942
1617487260,+3.45,+11.621,+12.881,+0.941
1617488160,+3.46,+11.765,+12.823,+0.940
1617489060,+3.46,+11.962,+12.875,+0.941
1617489960,+3.46,+12.481,+13.053,+0.941
1617490860,+3.46,+13.684, +9.920,+0.937
1617491760,+3.46,+13.481, +9.970,+0.936
1617492660,+3.46,+13.349,+10.023,+0.938
1617493560,+3.47,+13.701, +9.972,+0.938
1617494460,+3.47,+13.649, +9.963,+0.938
1617495360,+3.47,+13.314,+10.079,+0.939
1617496260,+3.47,+13.243,+10.052,+0.938
1617497160,+3.47,+13.243,+10.073,+0.939
1617498060,+3.47,+13.323,+10.875,+0.940
1617498960,+3.47,+12.854,+11.686,+0.940
1617499860,+3.47,+12.952,+12.077,+0.941
1617500760,+3.47,+12.721,+12.947,+0.941
1617501660,+3.47,+12.712,+12.905,+0.942
1617502560,+3.47,+12.694,+12.787,+0.941
1617503460,+3.47,+12.641,+12.676,+0.943
1617504360,+3.47,+12.605,+12.682,+0.941
1617505260,+3.47,+12.597,+14.255,+0.942
1617506160,+3.47,+11.917,+14.016,+0.941
1617507060,+3.47,+11.998,+14.736,+0.942
1617507960,+3.47,+11.331,+13.522,+0.941
1617508860,+3.47,+10.968,+13.737,+0.942
1617509760,+3.47,+10.722,+13.298,+0.941
1617510660,+3.47,+10.603,+13.192,+0.943
1617511560,+3.47,+10.640,+13.074,+0.941
1617512460,+3.47,+10.676,+13.085,+0.941
1617513360,+3.47,+10.576,+12.959,+0.943
1617514260,+3.47,+10.557,+12.882,+0.942
1617515160,+3.47,+10.364,+12.590,+0.941
1617516060,+3.47,+10.272,+12.538,+0.943
1617516960,+3.46,+10.272,+12.463,+0.941
1617517860,+3.47,+10.263,+12.408,+0.943
1617518760,+3.47,+10.226,+12.322,+0.941
1617519660,+3.46,+10.217,+12.225,+0.940
1617520560,+3.46,+10.199,+12.216,+0.940
1617521460,+3.46,+10.217,+12.202,+0.941
1617522360,+3.46,+10.282,+12.272,+0.940
1617523260,+3.46,+10.005,+11.388,+0.940
1617524160,+3.46, +9.540,+10.849,+0.941
1617525060,+3.46, +9.307,+10.663,+0.941
1617525960,+3.46, +9.203,+10.544,+0.941
1617526860,+3.46, +9.119,+10.531,+0.941
1617527760,+3.46, +9.166,+10.453,+0.942
1617528660,+3.46, +9.138,+10.463,+0.941
1617529560,+3.46, +9.110,+10.408,+0.941
1617530460,+3.46, +9.119,+10.354,+0.941
1617531360,+3.46, +9.128,+10.341,+0.941
1617532260,+3.46, +9.128,+10.236,+0.941
1617533160,+3.46, +9.110,+10.194,+0.940
1617534060,+3.46, +9.119,+10.185,+0.941
1617534960,+3.46, +9.185,+10.155,+0.941
1617535860,+3.46, +9.166,+10.141,+0.941
1617536760,+3.46, +9.166,+10.319,+0.942
1617537660,+3.46, +9.194,+10.301,+0.941
1617538560,+3.46, +9.194,+10.042,+0.941
1617539460,+3.46, +9.194,+10.094,+0.941
1617540360,+3.46, +9.250, +9.993,+0.940
1617541260,+3.46, +9.241,+10.126,+0.941
1617542160,+3.46, +9.241,+10.041,+0.942
1617543060,+3.46, +9.241,+10.129,+0.941
1617543960,+3.46, +9.260,+10.037,+0.942
1617544860,+3.46, +9.232, +9.991,+0.940
1617545760,+3.46, +9.269,+10.090,+0.941
1617546660,+3.46, +9.250,+10.177,+0.942
1617547560,+3.46, +9.279,+10.197,+0.940
1617548460,+3.46, +9.316,+10.211,+0.941
1617549360,+3.46, +9.325,+10.245,+0.941
1617550260,+3.46, +9.335,+10.167,+0.940
1617551160,+3.46, +9.494,+10.962,+0.941
1617552060,+3.46, +9.540,+10.905,+0.942
1617552960,+3.46, +9.522,+10.836,+0.941
1617553860,+3.46, +9.568,+11.035,+0.941
1617554760,+3.46, +9.494,+10.907,+0.941
1617555660,+3.46, +9.475,+10.940,+0.941
1617556560,+3.46, +9.484,+10.927,+0.941
1617557460,+3.46, +9.512,+10.892,+0.940
1617558360,+3.46, +9.643,+11.290,+0.941
1617559260,+3.46, +9.661,+11.292,+0.940
1617560160,+3.46, +9.699,+11.322,+0.941
1617561060,+3.46, +9.754,+11.399,+0.941
1617561960,+3.46, +9.949,+11.656,+0.941
1617562860,+3.46,+10.143,+11.887,+0.941
1617563760,+3.46,+10.217,+11.659,+0.942
1617564660,+3.46,+10.383,+11.854,+0.941
1617565560,+3.46,+10.621,+12.211,+0.941
1617566460,+3.46,+10.813,+12.206,+0.940
1617567360,+3.46,+10.977,+12.201,+0.941
1617568260,+3.46,+11.159,+12.164,+0.942
1617569160,+3.46,+11.159,+12.069,+0.941
