7392-122893
OS REV: 1.11 Sensor Cal: 1439861837
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1617915660,+3.47,+10.635,+11.679,+0.974
1617916560,+3.47,+10.681,+11.755,+0.974
1617917460,+3.47,+10.671,+11.743,+0.971
1617918360,+3.47,+10.772,+11.929,+0.972
1617919260,+3.47,+10.808,+11.790,+0.972
1617920160,+3.47,+10.881,+11.854,+0.972
1617921060,+3.47,+10.927,+11.941,+0.972
1617921960,+3.47,+10.981,+12.001,+0.971
1617922860,+3.47,+10.954,+12.080,+0.972
1617923760,+3.47,+10.954,+12.158,+0.972
1617924660,+3.47,+10.972,+12.100,+0.973
1617925560,+3.47,+11.017,+12.119,+0.973
1617926460,+3.47,+11.099,+12.156,+0.974
1617927360,+3.47,+11.172,+12.230,+0.974
1617928260,+3.47,+11.172,+12.248,+0.972
1617929160,+3.47,+11.181,+12.245,+0.971
1617930060,+3.47,+11.226,+12.324,+0.974
1617930960,+3.47,+11.334,+12.078,+0.972
1617931860,+3.47,+11.343,+12.126,+0.973
1617932760,+3.47,+11.253,+12.128,+0.974
1617933660,+3.47,+11.153,+12.171,+0.974
1617934560,+3.47,+11.162,+12.026,+0.974
1617935460,+3.47,+11.126,+11.854,+0.973
1617936360,+3.47,+11.117,+11.748,+0.973
1617937260,+3.47,+11.153,+11.629,+0.975
1617938160,+3.47,+11.162,+11.442,+0.973
1617939060,+3.47,+11.190,+11.305,+0.975
1617939960,+3.47,+11.199,+11.184,+0.976
1617940860,+3.47,+11.190,+11.025,+0.974
1617941760,+3.47,+11.135,+10.960,+0.974
1617942660,+3.47,+11.090,+10.883,+0.974
1617943560,+3.47,+10.981,+10.844,+0.974
1617944460,+3.47,+10.863,+10.836,+0.975
1617945360,+3.47,+10.799,+10.778,+0.973
1617946260,+3.47,+10.717,+10.795,+0.975
1617947160,+3.47,+10.681,+10.742,+0.974
1617948060,+3.47,+10.626,+10.697,+0.974
1617948960,+3.47,+10.571,+10.669,+0.974
1617949860,+3.47,+10.544,+10.695,+0.974
1617950760,+3.47,+10.507,+10.813,+0.975
1617951660,+3.47,+10.434,+10.981,+0.973
1617952560,+3.47,+10.370,+11.119,+0.974
1617953460,+3.47,+10.425,+11.147,+0.976
1617954360,+3.47,+10.571,+11.222,+0.975
1617955260,+3.47,+10.644,+12.055,+0.974
1617956160,+3.47,+10.754,+12.299,+0.974
1617957060,+3.47,+10.799,+12.369,+0.974
1617957960,+3.47,+10.754,+12.344,+0.974
1617958860,+3.47,+10.653,+12.392,+0.975
1617959760,+3.47,+10.617,+12.341,+0.974
1617960660,+3.47,+10.553,+12.324,+0.974
1617961560,+3.47,+10.544,+12.243,+0.974
1617962460,+3.47,+10.470,+12.248,+0.974
1617963360,+3.47,+10.406,+12.178,+0.974
1617964260,+3.47,+10.360,+12.159,+0.975
1617965160,+3.47,+10.333,+12.183,+0.974
1617966060,+3.47,+10.360,+12.098,+0.975
1617966960,+3.47,+10.241,+12.062,+0.975
1617967860,+3.47,+10.223,+12.076,+0.974
1617968760,+3.47,+10.213,+12.125,+0.974
1617969660,+3.47,+10.232,+12.145,+0.975
1617970560,+3.47,+10.259,+12.035,+0.976
1617971460,+3.47,+10.269,+12.130,+0.975
1617972360,+3.47,+10.287,+11.973,+0.974
1617973260,+3.47,+10.259,+11.930,+0.973
1617974160,+3.47,+10.379,+12.016,+0.974
1617975060,+3.47,+10.415,+12.019,+0.974
1617975960,+3.47,+10.443,+12.032,+0.975
1617976860,+3.47,+10.406,+12.026,+0.975
1617977760,+3.47,+10.360,+11.798,+0.974
1617978660,+3.47,+10.278,+11.593,+0.973
1617979560,+3.47,+10.259,+11.518,+0.975
1617980460,+3.47,+10.250,+11.386,+0.975
1617981360,+3.47,+10.259,+11.342,+0.974
1617982260,+3.47,+10.278,+11.353,+0.973
1617983160,+3.47,+10.269,+11.440,+0.974
1617984060,+3.47,+10.324,+11.443,+0.975
1617984960,+3.47,+10.342,+11.374,+0.975
1617985860,+3.47,+10.305,+11.347,+0.974
1617986760,+3.47,+10.351,+11.295,+0.972
1617987660,+3.47,+10.379,+11.364,+0.973
1617988560,+3.47,+10.388,+11.411,+0.975
1617989460,+3.47,+10.388,+11.426,+0.974
1617990360,+3.47,+10.388,+11.467,+0.974
1617991260,+3.47,+10.379,+11.536,+0.975
1617992160,+3.47,+10.370,+11.593,+0.975
1617993060,+3.47,+10.370,+11.642,+0.975
1617993960,+3.47,+10.370,+11.699,+0.974
1617994860,+3.47,+10.370,+11.814,+0.975
1617995760,+3.47,+10.415,+11.922,+0.975
1617996660,+3.47,+10.388,+12.104,+0.976
1617997560,+3.47,+10.379,+12.166,+0.975
1617998460,+3.47,+10.370,+12.283,+0.975
1617999360,+3.47,+10.370,+12.523,+0.974
1618000260,+3.47,+10.397,+12.607,+0.974
1618001160,+3.47,+10.388,+12.607,+0.976
1618002060,+3.47,+10.333,+12.523,+0.975
