7392-122893
OS REV: 1.11 Sensor Cal: 1439861837
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1621895400,+3.51,+19.111, +8.650,+0.976
1621896300,+3.51,+18.967, +8.660,+0.977
1621897200,+3.51,+18.933, +8.683,+0.979
1621898100,+3.51,+18.942, +8.662,+0.978
1621899000,+3.51,+18.891, +8.674,+0.978
1621899900,+3.51,+18.908, +8.709,+0.980
1621900800,+3.51,+18.899, +8.676,+0.978
1621901700,+3.51,+18.967, +8.671,+0.978
1621902600,+3.51,+18.984, +8.677,+0.979
1621903500,+3.51,+19.018, +8.661,+0.978
1621904400,+3.51,+19.043, +8.659,+0.979
1621905300,+3.51,+19.069, +8.632,+0.978
1621906200,+3.51,+19.102, +8.637,+0.979
1621907100,+3.51,+19.111, +8.637,+0.979
1621908000,+3.51,+19.136, +8.621,+0.978
1621908900,+3.51,+19.128, +8.637,+0.978
1621909800,+3.51,+19.162, +8.608,+0.977
1621910700,+3.51,+19.170, +8.624,+0.978
1621911600,+3.51,+19.179, +8.633,+0.979
1621912500,+3.51,+19.195, +8.611,+0.978
1621913400,+3.51,+19.195, +8.609,+0.978
1621914300,+3.51,+19.212, +8.601,+0.978
1621915200,+3.51,+19.204, +8.604,+0.977
1621916100,+3.51,+19.229, +8.608,+0.978
1621917000,+3.51,+19.246, +8.634,+0.980
1621917900,+3.51,+19.238, +8.611,+0.978
1621918800,+3.51,+19.221, +8.618,+0.978
1621919700,+3.51,+19.246, +8.609,+0.978
1621920600,+3.51,+19.246, +8.619,+0.979
1621921500,+3.51,+19.272, +8.600,+0.978
1621922400,+3.51,+19.238, +8.605,+0.978
1621923300,+3.51,+19.204, +8.605,+0.977
1621924200,+3.51,+19.187, +8.622,+0.978
1621925100,+3.51,+19.221, +8.592,+0.977
1621926000,+3.51,+19.204, +8.620,+0.979
1621926900,+3.51,+19.204, +8.610,+0.979
1621927800,+3.51,+19.170, +8.634,+0.979
1621928700,+3.51,+19.162, +8.631,+0.978
1621929600,+3.51,+19.145, +8.642,+0.979
1621930500,+3.51,+19.136, +8.632,+0.979
1621931400,+3.51,+19.119, +8.625,+0.978
1621932300,+3.51,+19.111, +8.629,+0.978
1621933200,+3.51,+19.085, +8.633,+0.979
1621934100,+3.51,+19.035, +8.646,+0.978
1621935000,+3.51,+19.026, +8.668,+0.980
1621935900,+3.51,+19.035, +8.619,+0.977
1621936800,+3.51,+19.009, +8.655,+0.979
1621937700,+3.51,+18.984, +8.660,+0.979
1621938600,+3.51,+18.975, +8.652,+0.978
1621939500,+3.51,+18.975, +8.642,+0.978
1621940400,+3.51,+18.899, +8.661,+0.978
1621941300,+3.51,+18.899, +8.657,+0.978
1621942200,+3.51,+18.899, +8.665,+0.978
1621943100,+3.51,+18.857, +8.667,+0.978
1621944000,+3.51,+18.848, +8.671,+0.978
1621944900,+3.51,+18.814, +8.693,+0.979
1621945800,+3.51,+18.798, +8.674,+0.978
1621946700,+3.51,+18.781, +8.687,+0.979
1621947600,+3.51,+18.755, +8.698,+0.979
1621948500,+3.51,+18.747, +8.702,+0.980
1621949400,+3.51,+18.704, +8.711,+0.979
1621950300,+3.51,+18.687, +8.702,+0.978
1621951200,+3.51,+18.687, +8.711,+0.978
1621952100,+3.51,+18.696, +8.716,+0.979
1621953000,+3.51,+18.670, +8.741,+0.979
1621953900,+3.51,+18.755, +8.679,+0.977
1621954800,+3.51,+18.738, +8.687,+0.977
1621955700,+3.51,+18.730, +8.716,+0.978
1621956600,+3.51,+18.730, +8.707,+0.978
1621957500,+3.51,+18.764, +8.738,+0.980
1621958400,+3.51,+18.798, +8.691,+0.978
1621959300,+3.51,+18.806, +8.695,+0.978
1621960200,+3.51,+18.814, +8.687,+0.977
1621961100,+3.51,+18.806, +8.688,+0.978
1621962000,+3.51,+18.798, +8.694,+0.978
1621962900,+3.51,+18.823, +8.713,+0.980
1621963800,+3.51,+18.831, +8.705,+0.979
1621964700,+3.51,+18.857, +8.707,+0.979
1621965600,+3.51,+18.916, +8.703,+0.980
1621966500,+3.51,+18.882, +8.702,+0.979
1621967400,+3.51,+18.925, +8.701,+0.979
1621968300,+3.51,+18.925, +8.693,+0.979
1621969200,+3.51,+18.967, +8.694,+0.979
1621970100,+3.51,+18.975, +8.678,+0.978
1621971000,+3.51,+19.001, +8.691,+0.979
1621971900,+3.51,+19.026, +8.664,+0.978
1621972800,+3.51,+19.069, +8.674,+0.979
1621973700,+3.51,+19.102, +8.669,+0.979
1621974600,+3.51,+19.136, +8.661,+0.979
