7392-798741
OS REV: 1.11 Sensor Cal: 1438807124
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1623465900,+3.50,+16.590,+13.127,+0.998
1623466800,+3.50,+16.539,+13.116,+0.996
1623467700,+3.50,+16.471,+13.187,+0.998
1623468600,+3.50,+16.454,+13.176,+0.997
1623469500,+3.50,+16.420,+13.173,+0.998
1623470400,+3.50,+16.420,+13.151,+0.998
1623471300,+3.50,+16.412,+13.123,+0.998
1623472200,+3.50,+16.403,+13.022,+0.998
1623473100,+3.50,+16.437,+12.974,+0.998
1623474000,+3.50,+16.454,+12.881,+0.998
1623474900,+3.50,+16.471,+12.836,+0.999
1623475800,+3.50,+16.488,+12.767,+0.999
1623476700,+3.50,+16.497,+12.703,+0.999
1623477600,+3.50,+16.480,+12.650,+0.998
1623478500,+3.50,+16.378,+12.635,+0.999
1623479400,+3.50,+16.276,+12.560,+0.998
1623480300,+3.50,+16.267,+12.460,+0.997
1623481200,+3.50,+16.250,+12.395,+0.998
1623482100,+3.50,+16.224,+12.323,+0.997
1623483000,+3.50,+16.233,+12.242,+0.997
1623483900,+3.50,+16.241,+12.194,+0.998
1623484800,+3.50,+16.207,+12.121,+0.996
1623485700,+3.50,+16.173,+12.098,+0.997
1623486600,+3.50,+16.182,+12.106,+0.999
1623487500,+3.50,+16.156,+12.073,+0.998
1623488400,+3.50,+16.122,+12.030,+0.997
1623489300,+3.50,+16.079,+12.017,+0.998
1623490200,+3.50,+15.986,+11.993,+0.997
1623491100,+3.50,+15.977,+11.957,+0.999
1623492000,+3.50,+15.900,+11.898,+0.998
1623492900,+3.50,+15.874,+11.857,+0.997
1623493800,+3.50,+15.900,+11.854,+0.999
1623494700,+3.50,+15.892,+11.825,+0.998
1623495600,+3.50,+15.926,+11.763,+0.998
1623496500,+3.50,+15.866,+11.784,+0.998
1623497400,+3.50,+15.909,+11.757,+0.998
1623498300,+3.50,+15.849,+11.751,+0.998
1623499200,+3.49,+15.849,+11.695,+0.998
1623500100,+3.49,+15.798,+11.657,+0.998
1623501000,+3.49,+15.738,+11.589,+0.998
1623501900,+3.49,+15.755,+11.494,+0.998
1623502800,+3.49,+15.695,+11.422,+0.998
1623503700,+3.49,+15.704,+11.352,+0.999
1623504600,+3.49,+15.661,+11.280,+0.999
1623505500,+3.49,+15.635,+11.179,+0.998
1623506400,+3.49,+15.584,+11.113,+0.998
1623507300,+3.49,+15.652,+11.030,+0.999
1623508200,+3.49,+16.062,+10.774,+0.996
1623509100,+3.49,+16.488,+10.594,+0.998
1623510000,+3.49,+16.777,+10.418,+0.998
1623510900,+3.49,+16.854,+10.280,+0.998
1623511800,+3.49,+17.058,+10.102,+0.998
1623512700,+3.49,+17.312, +9.931,+0.998
1623513600,+3.49,+17.490, +9.780,+0.996
1623514500,+3.49,+17.583, +9.698,+0.996
1623515400,+3.49,+17.617, +9.634,+0.997
1623516300,+3.49,+17.727, +9.538,+0.995
1623517200,+3.49,+17.963, +9.458,+0.997
1623518100,+3.49,+18.259, +9.332,+0.996
1623519000,+3.50,+18.714, +9.189,+0.996
1623519900,+3.50,+19.152, +9.100,+0.997
1623520800,+3.50,+19.740, +8.957,+0.996
1623521700,+3.50,+20.412, +8.892,+0.998
1623522600,+3.50,+20.680, +8.276,+0.999
1623523500,+3.50,+17.743, +8.831,+0.993
1623524400,+3.50,+18.233, +8.804,+0.995
1623525300,+3.50,+18.908, +8.694,+0.993
1623526200,+3.50,+20.059, +8.520,+0.994
1623527100,+3.50,+20.806, +8.430,+0.996
1623528000,+3.50,+21.779, +8.312,+0.996
1623528900,+3.50,+22.215, +8.267,+0.997
1623529800,+3.51,+21.880, +8.253,+0.997
1623530700,+3.51,+22.106, +8.264,+0.998
1623531600,+3.51,+22.181, +8.267,+0.998
1623532500,+3.51,+22.794, +8.188,+0.997
1623533400,+3.51,+23.003, +8.202,+0.999
1623534300,+3.51,+23.599, +8.094,+0.999
1623535200,+3.51,+23.859, +8.016,+0.998
1623536100,+3.51,+25.926, +8.039,+0.999
1623537000,+3.51,+25.018, +8.562,+0.997
1623537900,+3.52,+23.968, +9.152,+0.997
1623538800,+3.52,+21.343, +9.976,+0.996
1623539700,+3.52,+20.210,+10.491,+0.996
1623540600,+3.52,+19.614,+10.892,+0.996
1623541500,+3.52,+19.782,+11.150,+0.997
1623542400,+3.52,+20.135,+11.389,+0.997
1623543300,+3.52,+18.748,+11.973,+0.998
1623544200,+3.51,+18.722,+12.185,+0.998
1623545100,+3.51,+19.244,+12.286,+0.997
1623546000,+3.51,+19.564,+12.501,+1.000
1623546900,+3.51,+19.295,+12.717,+0.998
1623547800,+3.51,+18.941,+13.078,+0.998
1623548700,+3.51,+18.714,+13.433,+1.000
1623549600,+3.51,+18.520,+13.693,+0.999
1623550500,+3.51,+18.326,+13.955,+1.000
1623551400,+3.51,+18.216,+14.117,+0.999
1623552300,+3.51,+18.081,+14.316,+0.999
