7450-914536
OS REV: 1.05 Sensor Cal: 1620327588
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1623727860,+3.51,+11.817,+10.298,+0.954
1623728760,+3.51,+11.826,+10.259,+0.953
1623729660,+3.51,+11.781,+10.121,+0.954
1623730560,+3.51,+11.790, +9.912,+0.954
1623731460,+3.51,+11.772, +9.869,+0.954
1623732360,+3.51,+11.799, +9.705,+0.954
1623733260,+3.51,+11.764, +9.249,+0.954
1623734160,+3.51,+11.710, +8.846,+0.954
1623735060,+3.51,+11.621, +9.067,+0.954
1623735960,+3.51,+11.585, +8.924,+0.954
1623736860,+3.51,+11.576, +8.818,+0.954
1623737760,+3.51,+11.585, +8.612,+0.954
1623738660,+3.51,+11.576, +8.605,+0.954
1623739560,+3.51,+11.496, +8.651,+0.954
1623740460,+3.51,+11.469, +8.803,+0.954
1623741360,+3.51,+11.478, +8.545,+0.954
1623742260,+3.51,+11.496, +8.576,+0.954
1623743160,+3.51,+11.514, +8.325,+0.954
1623744060,+3.51,+11.523, +8.166,+0.955
1623744960,+3.51,+11.514, +7.885,+0.954
1623745860,+3.51,+11.540, +7.739,+0.955
1623746760,+3.51,+11.549, +7.500,+0.955
1623747660,+3.51,+11.290, +7.847,+0.954
1623748560,+3.50,+11.164, +7.932,+0.954
1623749460,+3.50,+11.182, +7.469,+0.955
1623750360,+3.51,+11.281, +7.774,+0.955
1623751260,+3.51,+11.415, +7.826,+0.955
1623752160,+3.51,+11.478, +7.383,+0.954
1623753060,+3.51,+11.523, +7.015,+0.955
1623753960,+3.51,+11.505, +6.814,+0.955
1623754860,+3.51,+11.531, +6.617,+0.955
1623755760,+3.50,+11.236, +6.397,+0.956
1623756660,+3.50,+11.146, +7.249,+0.955
1623757560,+3.50,+11.128, +6.870,+0.955
1623758460,+3.50,+11.119, +6.774,+0.955
1623759360,+3.50,+11.128, +6.963,+0.955
1623760260,+3.50,+11.137, +6.865,+0.955
1623761160,+3.50,+11.164, +5.977,+0.956
1623762060,+3.50,+11.191, +6.310,+0.955
1623762960,+3.50,+11.227, +6.695,+0.955
1623763860,+3.50,+11.236, +6.683,+0.955
1623764760,+3.50,+11.254, +6.433,+0.956
1623765660,+3.51,+11.317, +6.580,+0.955
1623766560,+3.50,+11.254, +6.857,+0.955
1623767460,+3.50,+11.218, +6.636,+0.955
1623768360,+3.50,+11.236, +6.369,+0.955
1623769260,+3.51,+11.281, +6.329,+0.956
1623770160,+3.50,+11.290, +6.620,+0.955
1623771060,+3.50,+11.352, +6.760,+0.954
1623771960,+3.50,+11.415, +6.848,+0.955
1623772860,+3.50,+11.451, +6.928,+0.955
1623773760,+3.50,+11.514, +7.040,+0.954
1623774660,+3.50,+11.594, +7.241,+0.954
1623775560,+3.50,+11.657, +7.520,+0.954
1623776460,+3.50,+11.737, +7.926,+0.954
1623777360,+3.50,+12.199, +9.023,+0.953
1623778260,+3.50,+12.817,+10.703,+0.953
1623779160,+3.50,+13.177,+11.505,+0.952
1623780060,+3.50,+13.378,+11.715,+0.952
1623780960,+3.50,+13.605,+11.917,+0.952
1623781860,+3.50,+13.910,+12.093,+0.952
1623782760,+3.50,+13.962,+12.040,+0.952
1623783660,+3.50,+14.006,+12.049,+0.951
1623784560,+3.50,+14.127,+12.239,+0.952
1623785460,+3.50,+14.318,+12.724,+0.952
1623786360,+3.50,+14.612,+13.467,+0.952
1623787260,+3.50,+14.896,+14.047,+0.952
1623788160,+3.50,+15.197,+14.709,+0.952
1623789060,+3.50,+15.455,+15.205,+0.953
1623789960,+3.50,+15.754,+15.712,+0.953
1623790860,+3.50,+16.351,+16.509,+0.953
1623791760,+3.50,+16.861,+17.115,+0.953
1623792660,+3.50,+17.276,+17.111,+0.951
1623793560,+3.50,+17.792,+17.206,+0.951
1623794460,+3.50,+18.533,+17.402,+0.953
1623795360,+3.50,+19.105,+17.183,+0.952
1623796260,+3.50,+19.264,+17.475,+0.952
1623797160,+3.50,+19.155,+17.377,+0.953
1623798060,+3.50,+18.735,+17.664,+0.953
1623798960,+3.50,+18.685,+17.724,+0.952
1623799860,+3.50,+18.415,+17.974,+0.954
1623800760,+3.50,+18.340,+18.083,+0.951
1623801660,+3.50,+17.674,+18.489,+0.954
1623802560,+3.50,+17.572,+18.542,+0.953
1623803460,+3.50,+16.734,+18.874,+0.953
1623804360,+3.51,+15.352,+18.595,+0.953
1623805260,+3.51,+14.612,+18.066,+0.953
1623806160,+3.51,+13.988,+17.786,+0.953
1623807060,+3.51,+13.649,+17.311,+0.954
1623807960,+3.51,+13.509,+17.151,+0.954
1623808860,+3.51,+13.028,+17.054,+0.954
1623809760,+3.51,+12.685,+16.843,+0.954
1623810660,+3.51,+12.385,+16.641,+0.954
1623811560,+3.51,+12.323,+16.341,+0.954
1623812460,+3.51,+12.420,+16.057,+0.954
1623813360,+3.51,+12.509,+15.940,+0.954
1623814260,+3.51,+12.420,+15.928,+0.955
