"Plot Title: BO_Depth"
"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 21071863, SEN S/N: 21071863)","Temp, °F (LGR S/N: 21071863, SEN S/N: 21071863)"
1,05/25/21 02:00:00 PM,14.7393,72.718
2,05/25/21 02:15:00 PM,14.7373,72.891
3,05/25/21 02:30:00 PM,14.7396,72.891
4,05/25/21 02:45:00 PM,14.7421,72.891
5,05/25/21 03:00:00 PM,14.7444,72.891
6,05/25/21 03:15:00 PM,14.7444,72.891
7,05/25/21 03:30:00 PM,14.7444,72.891
8,05/25/21 03:45:00 PM,14.7487,72.718
9,05/25/21 04:00:00 PM,14.7492,73.926
10,05/25/21 04:15:00 PM,14.7485,73.580
11,05/25/21 04:30:00 PM,14.7500,73.234
12,05/25/21 04:45:00 PM,14.7515,72.891
13,05/25/21 05:00:00 PM,14.7487,72.718
14,05/25/21 05:15:00 PM,14.7508,72.545
15,05/25/21 05:30:00 PM,14.7528,72.372
16,05/25/21 05:45:00 PM,14.7524,72.199
17,05/25/21 06:00:00 PM,14.7524,72.199
18,05/25/21 06:15:00 PM,14.7547,72.199
19,05/25/21 06:30:00 PM,14.7528,72.372
20,05/25/21 06:45:00 PM,14.7528,72.372
21,05/25/21 07:00:00 PM,14.7531,72.545
22,05/25/21 07:15:00 PM,14.7556,72.545
23,05/25/21 07:30:00 PM,14.7560,72.718
24,05/25/21 07:45:00 PM,14.7583,72.718
25,05/25/21 08:00:00 PM,14.7560,72.718
26,05/25/21 08:15:00 PM,14.7588,72.891
27,05/25/21 08:30:00 PM,14.7588,72.891
28,05/25/21 08:45:00 PM,14.7611,72.891
29,05/25/21 09:00:00 PM,14.7611,72.891
30,05/25/21 09:15:00 PM,14.7659,72.891
31,05/25/21 09:30:00 PM,14.7659,72.891
32,05/25/21 09:45:00 PM,14.7659,72.891
33,05/25/21 10:00:00 PM,14.7706,72.891
34,05/25/21 10:15:00 PM,14.7706,72.891
35,05/25/21 10:30:00 PM,14.7730,72.891
36,05/25/21 10:45:00 PM,14.7754,72.891
37,05/25/21 11:00:00 PM,14.7727,72.718
38,05/25/21 11:15:00 PM,14.7741,72.372
39,05/25/21 11:30:00 PM,14.7762,72.199
40,05/25/21 11:45:00 PM,14.7753,71.856
41,05/26/21 12:00:00 AM,14.7793,71.512
42,05/26/21 12:15:00 AM,14.7812,71.339
43,05/26/21 12:30:00 AM,14.7785,71.168
44,05/26/21 12:45:00 AM,14.7776,70.824
45,05/26/21 01:00:00 AM,14.7796,70.651
46,05/26/21 01:15:00 AM,14.7769,70.480
47,05/26/21 01:30:00 AM,14.7764,70.308
48,05/26/21 01:45:00 AM,14.7760,70.137
49,05/26/21 02:00:00 AM,14.7756,69.964
50,05/26/21 02:15:00 AM,14.7756,69.964
51,05/26/21 02:30:00 AM,14.7776,69.793
52,05/26/21 02:45:00 AM,14.7820,69.622
53,05/26/21 03:00:00 AM,14.7792,69.449
54,05/26/21 03:15:00 AM,14.7815,69.449
55,05/26/21 03:30:00 AM,14.7811,69.278
56,05/26/21 03:45:00 AM,14.7807,69.107
57,05/26/21 04:00:00 AM,14.7831,69.107
58,05/26/21 04:15:00 AM,14.7827,68.934
59,05/26/21 04:30:00 AM,14.7827,68.934
60,05/26/21 04:45:00 AM,14.7846,68.763
61,05/26/21 05:00:00 AM,14.7846,68.763
62,05/26/21 05:15:00 AM,14.7843,68.592
63,05/26/21 05:30:00 AM,14.7818,68.592
64,05/26/21 05:45:00 AM,14.7838,68.421
65,05/26/21 06:00:00 AM,14.7814,68.421
66,05/26/21 06:15:00 AM,14.7834,68.248
67,05/26/21 06:30:00 AM,14.7786,68.248
68,05/26/21 06:45:00 AM,14.7782,68.077
69,05/26/21 07:00:00 AM,14.7782,68.077
70,05/26/21 07:15:00 AM,14.7795,68.592
71,05/26/21 07:30:00 AM,14.7786,68.248
72,05/26/21 07:45:00 AM,14.7799,68.763
