"Plot Title: NI_C_Light"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10436989, SEN S/N: 10436989)","Intensity, Lux (LGR S/N: 10436989, SEN S/N: 10436989)"
1,05/25/21 02:00:00 PM,23.100,53.8
2,05/25/21 02:15:00 PM,23.100,21.5
3,05/25/21 02:30:00 PM,23.100,21.5
4,05/25/21 02:45:00 PM,23.004,21.5
5,05/25/21 03:00:00 PM,23.100,21.5
6,05/25/21 03:15:00 PM,24.062,226.0
7,05/25/21 03:30:00 PM,23.388,236.8
8,05/25/21 03:45:00 PM,23.100,236.8
9,05/25/21 04:00:00 PM,23.100,236.8
10,05/25/21 04:15:00 PM,23.100,258.3
11,05/25/21 04:30:00 PM,23.100,236.8
12,05/25/21 04:45:00 PM,23.196,226.0
13,05/25/21 05:00:00 PM,23.292,236.8
14,05/25/21 05:15:00 PM,23.292,236.8
15,05/25/21 05:30:00 PM,23.388,236.8
16,05/25/21 05:45:00 PM,23.484,236.8
17,05/25/21 06:00:00 PM,23.581,236.8
18,05/25/21 06:15:00 PM,23.677,236.8
19,05/25/21 06:30:00 PM,23.773,236.8
20,05/25/21 06:45:00 PM,23.869,236.8
21,05/25/21 07:00:00 PM,23.966,236.8
22,05/25/21 07:15:00 PM,24.062,226.0
23,05/25/21 07:30:00 PM,24.158,226.0
24,05/25/21 07:45:00 PM,24.158,226.0
25,05/25/21 08:00:00 PM,24.255,226.0
26,05/25/21 08:15:00 PM,24.255,226.0
27,05/25/21 08:30:00 PM,24.448,226.0
28,05/25/21 08:45:00 PM,30.862,75.3
29,05/25/21 09:00:00 PM,26.195,64.6
30,05/25/21 09:15:00 PM,25.028,53.8
31,05/25/21 09:30:00 PM,24.738,53.8
32,05/25/21 09:45:00 PM,26.683,236.8
33,05/25/21 10:00:00 PM,23.966,882.6
34,05/25/21 10:15:00 PM,23.004,258.3
35,05/25/21 10:30:00 PM,22.717,258.3
36,05/25/21 10:45:00 PM,22.621,247.6
37,05/25/21 11:00:00 PM,22.046,129.2
38,05/25/21 11:15:00 PM,21.664,0.0
39,05/25/21 11:30:00 PM,21.473,0.0
40,05/25/21 11:45:00 PM,21.569,0.0
41,05/26/21 12:00:00 AM,21.378,0.0
42,05/26/21 12:15:00 AM,21.282,0.0
43,05/26/21 12:30:00 AM,21.378,0.0
44,05/26/21 12:45:00 AM,21.187,0.0
45,05/26/21 01:00:00 AM,21.282,0.0
46,05/26/21 01:15:00 AM,21.187,0.0
47,05/26/21 01:30:00 AM,21.091,0.0
48,05/26/21 01:45:00 AM,21.187,0.0
49,05/26/21 02:00:00 AM,21.091,0.0
50,05/26/21 02:15:00 AM,21.091,0.0
51,05/26/21 02:30:00 AM,21.091,0.0
52,05/26/21 02:45:00 AM,20.996,0.0
53,05/26/21 03:00:00 AM,20.901,0.0
54,05/26/21 03:15:00 AM,20.805,0.0
55,05/26/21 03:30:00 AM,20.710,0.0
56,05/26/21 03:45:00 AM,20.710,0.0
57,05/26/21 04:00:00 AM,20.615,0.0
58,05/26/21 04:15:00 AM,20.615,0.0
59,05/26/21 04:30:00 AM,20.519,0.0
60,05/26/21 04:45:00 AM,20.424,0.0
61,05/26/21 05:00:00 AM,20.424,0.0
62,05/26/21 05:15:00 AM,20.329,0.0
63,05/26/21 05:30:00 AM,20.329,0.0
64,05/26/21 05:45:00 AM,20.234,0.0
65,05/26/21 06:00:00 AM,20.138,0.0
66,05/26/21 06:15:00 AM,20.138,0.0
67,05/26/21 06:30:00 AM,20.138,0.0
68,05/26/21 06:45:00 AM,20.043,0.0
69,05/26/21 07:00:00 AM,20.138,0.0
70,05/26/21 07:15:00 AM,20.519,0.0
71,05/26/21 07:30:00 AM,20.329,10.8
72,05/26/21 07:45:00 AM,20.805,118.4
73,05/26/21 08:00:00 AM,20.805,118.4
74,05/26/21 08:15:00 AM,20.615,107.6
75,05/26/21 08:30:00 AM,20.615,118.4
76,05/26/21 08:45:00 AM,20.519,107.6
77,05/26/21 09:00:00 AM,20.424,10.8
78,05/26/21 09:15:00 AM,20.710,10.8
79,05/26/21 09:30:00 AM,20.424,21.5
80,05/26/21 09:45:00 AM,20.424,21.5
81,05/26/21 10:00:00 AM,20.710,10.8
82,05/26/21 10:15:00 AM,20.424,21.5
83,05/26/21 10:30:00 AM,20.424,10.8
84,05/26/21 10:45:00 AM,20.710,21.5
85,05/26/21 11:00:00 AM,20.805,21.5
86,05/26/21 11:15:00 AM,20.519,64.6
87,05/26/21 11:30:00 AM,20.519,32.3
88,05/26/21 11:45:00 AM,20.519,53.8
89,05/26/21 12:00:00 PM,20.901,43.1
90,05/26/21 12:15:00 PM,20.901,32.3
91,05/26/21 12:30:00 PM,20.805,64.6
92,05/26/21 12:45:00 PM,20.805,43.1
93,05/26/21 01:00:00 PM,20.710,43.1
94,05/26/21 01:15:00 PM,20.710,53.8
95,05/26/21 01:30:00 PM,20.805,43.1
96,05/26/21 01:45:00 PM,20.805,53.8
97,05/26/21 02:00:00 PM,20.901,32.3
98,05/26/21 02:15:00 PM,20.805,43.1
99,05/26/21 02:30:00 PM,22.238,247.6
100,05/26/21 02:45:00 PM,21.855,226.0
101,05/26/21 03:00:00 PM,21.760,226.0
102,05/26/21 03:15:00 PM,21.855,226.0
103,05/26/21 03:30:00 PM,22.238,764.2
104,05/26/21 03:45:00 PM,22.908,215.3
105,05/26/21 04:00:00 PM,22.429,215.3
106,05/26/21 04:15:00 PM,21.951,32.3
107,05/26/21 04:30:00 PM,21.664,258.3
108,05/26/21 04:45:00 PM,21.855,247.6
109,05/26/21 05:00:00 PM,21.855,236.8
110,05/26/21 05:15:00 PM,21.951,226.0
111,05/26/21 05:30:00 PM,22.046,247.6
112,05/26/21 05:45:00 PM,22.142,247.6
113,05/26/21 06:00:00 PM,22.333,215.3
114,05/26/21 06:15:00 PM,22.621,10.8
115,05/26/21 06:30:00 PM,22.621,10.8
116,05/26/21 06:45:00 PM,22.525,10.8
117,05/26/21 07:00:00 PM,22.429,10.8
118,05/26/21 07:15:00 PM,22.333,0.0
119,05/26/21 07:30:00 PM,22.333,0.0
120,05/26/21 07:45:00 PM,22.333,301.4
121,05/26/21 08:00:00 PM,22.429,0.0
122,05/26/21 08:15:00 PM,22.429,0.0
123,05/26/21 08:30:00 PM,22.333,0.0
124,05/26/21 08:45:00 PM,22.238,0.0
125,05/26/21 09:00:00 PM,22.142,0.0
126,05/26/21 09:15:00 PM,22.046,0.0
127,05/26/21 09:30:00 PM,21.951,0.0
128,05/26/21 09:45:00 PM,21.855,0.0
129,05/26/21 10:00:00 PM,21.855,0.0
130,05/26/21 10:15:00 PM,21.760,0.0
131,05/26/21 10:30:00 PM,21.664,0.0
132,05/26/21 10:45:00 PM,21.569,0.0
133,05/26/21 11:00:00 PM,21.569,0.0
134,05/26/21 11:15:00 PM,21.473,0.0
135,05/26/21 11:30:00 PM,21.378,0.0
136,05/26/21 11:45:00 PM,21.378,0.0
137,05/27/21 12:00:00 AM,21.282,0.0
138,05/27/21 12:15:00 AM,21.282,0.0
139,05/27/21 12:30:00 AM,21.187,0.0
140,05/27/21 12:45:00 AM,21.091,0.0
141,05/27/21 01:00:00 AM,21.091,0.0
142,05/27/21 01:15:00 AM,20.996,0.0
143,05/27/21 01:30:00 AM,20.996,0.0
144,05/27/21 01:45:00 AM,20.996,0.0
145,05/27/21 02:00:00 AM,20.901,0.0
146,05/27/21 02:15:00 AM,20.901,0.0
147,05/27/21 02:30:00 AM,20.805,0.0
148,05/27/21 02:45:00 AM,20.710,0.0
149,05/27/21 03:00:00 AM,20.710,0.0
150,05/27/21 03:15:00 AM,20.710,0.0
151,05/27/21 03:30:00 AM,20.615,0.0
152,05/27/21 03:45:00 AM,20.615,0.0
153,05/27/21 04:00:00 AM,20.519,0.0
154,05/27/21 04:15:00 AM,20.519,0.0
155,05/27/21 04:30:00 AM,20.424,0.0
156,05/27/21 04:45:00 AM,20.424,0.0
