"Plot Title: SA_C_Light"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10436990, SEN S/N: 10436990)","Intensity, Lux (LGR S/N: 10436990, SEN S/N: 10436990)"
1,05/25/21 02:00:00 PM,23.004,785.8
2,05/25/21 02:15:00 PM,23.004,764.2
3,05/25/21 02:30:00 PM,23.100,775.0
4,05/25/21 02:45:00 PM,23.100,53.8
5,05/25/21 03:00:00 PM,23.196,43.1
6,05/25/21 03:15:00 PM,23.869,172.2
7,05/25/21 03:30:00 PM,23.196,183.0
8,05/25/21 03:45:00 PM,23.004,183.0
9,05/25/21 04:00:00 PM,23.004,204.5
10,05/25/21 04:15:00 PM,23.004,215.3
11,05/25/21 04:30:00 PM,23.004,204.5
12,05/25/21 04:45:00 PM,23.100,204.5
13,05/25/21 05:00:00 PM,23.196,161.5
14,05/25/21 05:15:00 PM,23.196,161.5
15,05/25/21 05:30:00 PM,23.292,161.5
16,05/25/21 05:45:00 PM,23.388,161.5
17,05/25/21 06:00:00 PM,23.484,161.5
18,05/25/21 06:15:00 PM,23.581,161.5
19,05/25/21 06:30:00 PM,23.677,172.2
20,05/25/21 06:45:00 PM,23.773,161.5
21,05/25/21 07:00:00 PM,23.869,161.5
22,05/25/21 07:15:00 PM,23.869,161.5
23,05/25/21 07:30:00 PM,23.966,161.5
24,05/25/21 07:45:00 PM,24.062,161.5
25,05/25/21 08:00:00 PM,24.062,161.5
26,05/25/21 08:15:00 PM,24.062,161.5
27,05/25/21 08:30:00 PM,28.456,236.8
28,05/25/21 08:45:00 PM,25.416,226.0
29,05/25/21 09:00:00 PM,24.835,236.8
30,05/25/21 09:15:00 PM,24.641,236.8
31,05/25/21 09:30:00 PM,24.448,236.8
32,05/25/21 09:45:00 PM,24.448,226.0
33,05/25/21 10:00:00 PM,24.448,226.0
34,05/25/21 10:15:00 PM,24.448,226.0
35,05/25/21 10:30:00 PM,24.448,226.0
36,05/25/21 10:45:00 PM,24.351,226.0
37,05/25/21 11:00:00 PM,24.255,193.8
38,05/25/21 11:15:00 PM,23.966,0.0
39,05/25/21 11:30:00 PM,23.581,0.0
40,05/25/21 11:45:00 PM,23.292,0.0
41,05/26/21 12:00:00 AM,23.100,0.0
42,05/26/21 12:15:00 AM,22.812,0.0
43,05/26/21 12:30:00 AM,22.621,0.0
44,05/26/21 12:45:00 AM,22.429,0.0
45,05/26/21 01:00:00 AM,22.238,0.0
46,05/26/21 01:15:00 AM,22.142,0.0
47,05/26/21 01:30:00 AM,22.046,0.0
48,05/26/21 01:45:00 AM,21.855,0.0
49,05/26/21 02:00:00 AM,21.760,0.0
50,05/26/21 02:15:00 AM,21.664,0.0
51,05/26/21 02:30:00 AM,21.569,0.0
52,05/26/21 02:45:00 AM,21.473,0.0
53,05/26/21 03:00:00 AM,21.378,0.0
54,05/26/21 03:15:00 AM,21.282,0.0
55,05/26/21 03:30:00 AM,21.187,0.0
56,05/26/21 03:45:00 AM,21.091,0.0
57,05/26/21 04:00:00 AM,20.996,0.0
58,05/26/21 04:15:00 AM,20.996,0.0
59,05/26/21 04:30:00 AM,20.901,0.0
60,05/26/21 04:45:00 AM,20.805,0.0
61,05/26/21 05:00:00 AM,20.805,10.8
62,05/26/21 05:15:00 AM,20.710,0.0
63,05/26/21 05:30:00 AM,20.615,0.0
64,05/26/21 05:45:00 AM,20.615,0.0
65,05/26/21 06:00:00 AM,20.519,10.8
66,05/26/21 06:15:00 AM,20.424,0.0
67,05/26/21 06:30:00 AM,20.424,10.8
68,05/26/21 06:45:00 AM,20.234,10.8
69,05/26/21 07:00:00 AM,20.615,10.8
70,05/26/21 07:15:00 AM,20.901,10.8
71,05/26/21 07:30:00 AM,20.710,10.8
72,05/26/21 07:45:00 AM,21.187,129.2
73,05/26/21 08:00:00 AM,21.187,129.2
74,05/26/21 08:15:00 AM,21.091,129.2
75,05/26/21 08:30:00 AM,20.996,129.2
76,05/26/21 08:45:00 AM,20.996,129.2
77,05/26/21 09:00:00 AM,20.805,10.8
78,05/26/21 09:15:00 AM,21.091,10.8
79,05/26/21 09:30:00 AM,20.805,21.5
80,05/26/21 09:45:00 AM,20.805,10.8
81,05/26/21 10:00:00 AM,20.996,10.8
82,05/26/21 10:15:00 AM,20.710,21.5
83,05/26/21 10:30:00 AM,20.519,21.5
84,05/26/21 10:45:00 AM,21.091,21.5
85,05/26/21 11:00:00 AM,20.996,10.8
86,05/26/21 11:15:00 AM,20.805,21.5
87,05/26/21 11:30:00 AM,20.615,21.5
88,05/26/21 11:45:00 AM,20.615,21.5
89,05/26/21 12:00:00 PM,20.805,21.5
90,05/26/21 12:15:00 PM,20.901,21.5
91,05/26/21 12:30:00 PM,20.805,32.3
92,05/26/21 12:45:00 PM,20.805,21.5
93,05/26/21 01:00:00 PM,20.710,21.5
94,05/26/21 01:15:00 PM,20.710,21.5
95,05/26/21 01:30:00 PM,20.710,21.5
96,05/26/21 01:45:00 PM,20.710,21.5
97,05/26/21 02:00:00 PM,20.805,21.5
98,05/26/21 02:15:00 PM,20.805,21.5
99,05/26/21 02:30:00 PM,21.091,161.5
100,05/26/21 02:45:00 PM,21.378,150.7
