"Plot Title: TS_Light"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10612055, SEN S/N: 10612055)","Intensity, lum/ft² (LGR S/N: 10612055, SEN S/N: 10612055)"
1,05/25/21 02:00:00 PM,73.407,3.0
2,05/25/21 02:15:00 PM,73.580,3.0
3,05/25/21 02:30:00 PM,73.580,3.0
4,05/25/21 02:45:00 PM,73.753,3.0
5,05/25/21 03:00:00 PM,73.580,2.0
6,05/25/21 03:15:00 PM,75.312,15.0
7,05/25/21 03:30:00 PM,74.098,15.0
8,05/25/21 03:45:00 PM,73.580,15.0
9,05/25/21 04:00:00 PM,73.580,15.0
10,05/25/21 04:15:00 PM,73.580,16.0
11,05/25/21 04:30:00 PM,73.580,15.0
12,05/25/21 04:45:00 PM,73.753,15.0
13,05/25/21 05:00:00 PM,73.926,16.0
14,05/25/21 05:15:00 PM,73.926,16.0
15,05/25/21 05:30:00 PM,74.098,15.0
16,05/25/21 05:45:00 PM,74.271,15.0
17,05/25/21 06:00:00 PM,74.446,16.0
18,05/25/21 06:15:00 PM,74.619,15.0
19,05/25/21 06:30:00 PM,74.791,15.0
20,05/25/21 06:45:00 PM,74.964,15.0
21,05/25/21 07:00:00 PM,74.964,15.0
22,05/25/21 07:15:00 PM,75.139,15.0
23,05/25/21 07:30:00 PM,75.312,15.0
24,05/25/21 07:45:00 PM,75.312,15.0
25,05/25/21 08:00:00 PM,75.484,15.0
26,05/25/21 08:15:00 PM,75.484,15.0
27,05/25/21 08:30:00 PM,81.090,15.0
28,05/25/21 08:45:00 PM,78.975,16.0
29,05/25/21 09:00:00 PM,77.050,16.0
30,05/25/21 09:15:00 PM,76.528,16.0
31,05/25/21 09:30:00 PM,78.449,24.0
32,05/25/21 09:45:00 PM,74.271,20.0
33,05/25/21 10:00:00 PM,73.062,22.0
34,05/25/21 10:15:00 PM,73.062,21.0
35,05/25/21 10:30:00 PM,72.718,19.0
36,05/25/21 10:45:00 PM,72.718,20.0
37,05/25/21 11:00:00 PM,71.856,9.0
38,05/25/21 11:15:00 PM,71.168,0.0
39,05/25/21 11:30:00 PM,70.824,0.0
40,05/25/21 11:45:00 PM,70.995,0.0
41,05/26/21 12:00:00 AM,70.651,0.0
42,05/26/21 12:15:00 AM,70.480,0.0
43,05/26/21 12:30:00 AM,70.651,0.0
44,05/26/21 12:45:00 AM,70.308,0.0
45,05/26/21 01:00:00 AM,70.480,0.0
46,05/26/21 01:15:00 AM,70.308,0.0
47,05/26/21 01:30:00 AM,70.137,0.0
