"Plot Title: BO"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20409019, SEN S/N: 20409019)","Temp, °C (LGR S/N: 20409019, SEN S/N: 20409019)"
1,05/25/21 04:00:00 PM,8.90,22.84
2,05/25/21 04:15:00 PM,8.92,22.58
3,05/25/21 04:30:00 PM,9.02,22.26
4,05/25/21 04:45:00 PM,9.11,22.08
5,05/25/21 05:00:00 PM,9.13,21.98
6,05/25/21 05:15:00 PM,9.12,21.88
7,05/25/21 05:30:00 PM,9.14,21.74
8,05/25/21 05:45:00 PM,9.15,21.68
9,05/25/21 06:00:00 PM,9.15,21.64
10,05/25/21 06:15:00 PM,9.15,21.64
11,05/25/21 06:30:00 PM,9.16,21.66
12,05/25/21 06:45:00 PM,9.16,21.70
13,05/25/21 07:00:00 PM,9.14,21.74
14,05/25/21 07:15:00 PM,9.14,21.76
15,05/25/21 07:30:00 PM,9.13,21.80
16,05/25/21 07:45:00 PM,9.12,21.84
17,05/25/21 08:00:00 PM,9.13,21.88
18,05/25/21 08:15:00 PM,9.12,21.90
19,05/25/21 08:30:00 PM,9.12,21.92
20,05/25/21 08:45:00 PM,9.12,21.94
21,05/25/21 09:00:00 PM,9.10,21.96
22,05/25/21 09:15:00 PM,9.11,21.98
23,05/25/21 09:30:00 PM,9.11,21.98
24,05/25/21 09:45:00 PM,9.11,21.98
25,05/25/21 10:00:00 PM,9.11,21.98
26,05/25/21 10:15:00 PM,9.12,21.96
27,05/25/21 10:30:00 PM,9.11,21.96
28,05/25/21 10:45:00 PM,9.13,21.96
29,05/25/21 11:00:00 PM,9.10,21.98
30,05/25/21 11:15:00 PM,9.09,21.92
31,05/25/21 11:30:00 PM,9.11,21.82
32,05/25/21 11:45:00 PM,9.12,21.72
33,05/26/21 12:00:00 AM,9.15,21.62
34,05/26/21 12:15:00 AM,9.16,21.52
35,05/26/21 12:30:00 AM,9.17,21.42
36,05/26/21 12:45:00 AM,9.19,21.34
37,05/26/21 01:00:00 AM,9.20,21.26
38,05/26/21 01:15:00 AM,9.21,21.18
39,05/26/21 01:30:00 AM,9.23,21.12
40,05/26/21 01:45:00 AM,9.24,21.04
41,05/26/21 02:00:00 AM,9.27,20.98
42,05/26/21 02:15:00 AM,9.27,20.92
43,05/26/21 02:30:00 AM,9.29,20.86
44,05/26/21 02:45:00 AM,9.29,20.80
45,05/26/21 03:00:00 AM,9.31,20.74
46,05/26/21 03:15:00 AM,9.32,20.70
47,05/26/21 03:30:00 AM,9.32,20.64
48,05/26/21 03:45:00 AM,9.33,20.60
49,05/26/21 04:00:00 AM,9.34,20.56
50,05/26/21 04:15:00 AM,9.34,20.50
51,05/26/21 04:30:00 AM,9.35,20.48
52,05/26/21 04:45:00 AM,9.35,20.44
53,05/26/21 05:00:00 AM,9.36,20.38
54,05/26/21 05:15:00 AM,9.39,20.36
55,05/26/21 05:30:00 AM,9.38,20.32
56,05/26/21 05:45:00 AM,9.38,20.28
57,05/26/21 06:00:00 AM,9.39,20.24
58,05/26/21 06:15:00 AM,9.41,20.20
59,05/26/21 06:30:00 AM,9.41,20.16
60,05/26/21 06:45:00 AM,9.41,20.06
61,05/26/21 07:00:00 AM,9.43,20.06
62,05/26/21 07:15:00 AM,9.44,20.22
63,05/26/21 07:30:00 AM,9.41,20.12
64,05/26/21 07:45:00 AM,9.44,20.30
65,05/26/21 08:00:00 AM,9.40,20.30
66,05/26/21 08:15:00 AM,9.40,20.24
67,05/26/21 08:30:00 AM,9.41,20.22
68,05/26/21 08:45:00 AM,9.41,20.18
69,05/26/21 09:00:00 AM,9.42,20.08
70,05/26/21 09:15:00 AM,9.46,20.22
71,05/26/21 09:30:00 AM,9.41,20.14
72,05/26/21 09:45:00 AM,9.42,20.08
73,05/26/21 10:00:00 AM,9.45,20.22
74,05/26/21 10:15:00 AM,9.43,20.12
75,05/26/21 10:30:00 AM,9.46,20.06
76,05/26/21 10:45:00 AM,9.48,20.14
77,05/26/21 11:00:00 AM,9.46,20.26
78,05/26/21 11:15:00 AM,9.45,20.16
79,05/26/21 11:30:00 AM,9.46,20.12
80,05/26/21 11:45:00 AM,9.48,20.12
81,05/26/21 12:00:00 PM,9.51,20.22
82,05/26/21 12:15:00 PM,9.46,20.34
83,05/26/21 12:30:00 PM,9.44,20.32
84,05/26/21 12:45:00 PM,9.45,20.32
85,05/26/21 01:00:00 PM,9.43,20.30
86,05/26/21 01:15:00 PM,9.43,20.30
87,05/26/21 01:30:00 PM,9.45,20.32
88,05/26/21 01:45:00 PM,9.43,20.32
89,05/26/21 02:00:00 PM,9.42,20.36
90,05/26/21 02:15:00 PM,9.42,20.38
91,05/26/21 02:30:00 PM,9.43,20.50
92,05/26/21 02:45:00 PM,9.40,20.72
93,05/26/21 03:00:00 PM,9.36,20.88
94,05/26/21 03:15:00 PM,9.33,21.02
95,05/26/21 03:30:00 PM,9.32,21.12
96,05/26/21 03:45:00 PM,9.29,21.20
97,05/26/21 04:00:00 PM,9.28,21.22
98,05/26/21 04:15:00 PM,9.19,21.64
99,05/26/21 04:30:00 PM,9.16,21.66
100,05/26/21 04:45:00 PM,9.08,22.04
101,05/26/21 05:00:00 PM,8.99,22.90
102,05/26/21 05:15:00 PM,8.80,24.48
103,05/26/21 05:30:00 PM,8.68,23.92
104,05/26/21 05:45:00 PM,8.88,22.88
105,05/26/21 06:00:00 PM,8.90,22.80
106,05/26/21 06:15:00 PM,8.91,22.70
107,05/26/21 06:30:00 PM,8.93,22.62
108,05/26/21 06:45:00 PM,8.95,22.52
109,05/26/21 07:00:00 PM,8.96,22.44
110,05/26/21 07:15:00 PM,8.97,22.38
111,05/26/21 07:30:00 PM,8.98,22.30
112,05/26/21 07:45:00 PM,8.99,22.24
113,05/26/21 08:00:00 PM,9.00,22.22
114,05/26/21 08:15:00 PM,9.00,22.20
115,05/26/21 08:30:00 PM,9.00,22.18
116,05/26/21 08:45:00 PM,9.01,22.14
117,05/26/21 09:00:00 PM,9.01,22.08
118,05/26/21 09:15:00 PM,9.01,22.02
119,05/26/21 09:30:00 PM,9.04,21.96
120,05/26/21 09:45:00 PM,9.04,21.92
121,05/26/21 10:00:00 PM,9.04,21.86
122,05/26/21 10:15:00 PM,9.06,21.80
123,05/26/21 10:30:00 PM,9.08,21.72
124,05/26/21 10:45:00 PM,9.09,21.66
125,05/26/21 11:00:00 PM,9.10,21.60
126,05/26/21 11:15:00 PM,9.11,21.54
127,05/26/21 11:30:00 PM,9.12,21.48
128,05/26/21 11:45:00 PM,9.13,21.42
129,05/27/21 12:00:00 AM,9.12,21.36
130,05/27/21 12:15:00 AM,9.14,21.32
131,05/27/21 12:30:00 AM,9.14,21.26
132,05/27/21 12:45:00 AM,9.16,21.20
133,05/27/21 01:00:00 AM,9.17,21.16
134,05/27/21 01:15:00 AM,9.17,21.10
135,05/27/21 01:30:00 AM,9.18,21.06
136,05/27/21 01:45:00 AM,9.19,21.02
137,05/27/21 02:00:00 AM,9.18,20.98
138,05/27/21 02:15:00 AM,9.20,20.94
139,05/27/21 02:30:00 AM,9.20,20.88
140,05/27/21 02:45:00 AM,9.21,20.84
141,05/27/21 03:00:00 AM,9.21,20.80
142,05/27/21 03:15:00 AM,9.22,20.76
143,05/27/21 03:30:00 AM,9.23,20.72
144,05/27/21 03:45:00 AM,9.23,20.68
145,05/27/21 04:00:00 AM,9.24,20.64
146,05/27/21 04:15:00 AM,9.24,20.60
147,05/27/21 04:30:00 AM,9.26,20.56
148,05/27/21 04:45:00 AM,9.26,20.52
149,05/27/21 05:00:00 AM,9.26,20.48
150,05/27/21 05:15:00 AM,9.28,20.44
151,05/27/21 05:30:00 AM,9.29,20.40
