Sensor:             7392-122893,,,
#,         Pacific Standard Time,  Dissolved Oxygen,   Temperature
1,           2021-05-24 15:30:00,8.65,19.111
2,           2021-05-24 15:45:00,8.66,18.967
3,           2021-05-24 16:00:00,8.683,18.933
4,           2021-05-24 16:15:00,8.662,18.942
5,           2021-05-24 16:30:00,8.674,18.891
6,           2021-05-24 16:45:00,8.709,18.908
7,           2021-05-24 17:00:00,8.676,18.899
8,           2021-05-24 17:15:00,8.671,18.967
9,           2021-05-24 17:30:00,8.677,18.984
10,           2021-05-24 17:45:00,8.661,19.018
11,           2021-05-24 18:00:00,8.659,19.043
12,           2021-05-24 18:15:00,8.632,19.069
13,           2021-05-24 18:30:00,8.637,19.102
14,           2021-05-24 18:45:00,8.637,19.111
15,           2021-05-24 19:00:00,8.621,19.136
16,           2021-05-24 19:15:00,8.637,19.128
17,           2021-05-24 19:30:00,8.608,19.162
18,           2021-05-24 19:45:00,8.624,19.17
19,           2021-05-24 20:00:00,8.633,19.179
20,           2021-05-24 20:15:00,8.611,19.195
21,           2021-05-24 20:30:00,8.609,19.195
22,           2021-05-24 20:45:00,8.601,19.212
23,           2021-05-24 21:00:00,8.604,19.204
24,           2021-05-24 21:15:00,8.608,19.229
25,           2021-05-24 21:30:00,8.634,19.246
26,           2021-05-24 21:45:00,8.611,19.238
27,           2021-05-24 22:00:00,8.618,19.221
28,           2021-05-24 22:15:00,8.609,19.246
29,           2021-05-24 22:30:00,8.619,19.246
30,           2021-05-24 22:45:00,8.6,19.272
31,           2021-05-24 23:00:00,8.605,19.238
32,           2021-05-24 23:15:00,8.605,19.204
33,           2021-05-24 23:30:00,8.622,19.187
34,           2021-05-24 23:45:00,8.592,19.221
35,           2021-05-25 00:00:00,8.62,19.204
36,           2021-05-25 00:15:00,8.61,19.204
37,           2021-05-25 00:30:00,8.634,19.17
38,           2021-05-25 00:45:00,8.631,19.162
39,           2021-05-25 01:00:00,8.642,19.145
40,           2021-05-25 01:15:00,8.632,19.136
41,           2021-05-25 01:30:00,8.625,19.119
42,           2021-05-25 01:45:00,8.629,19.111
43,           2021-05-25 02:00:00,8.633,19.085
44,           2021-05-25 02:15:00,8.646,19.035
45,           2021-05-25 02:30:00,8.668,19.026
46,           2021-05-25 02:45:00,8.619,19.035
47,           2021-05-25 03:00:00,8.655,19.009
48,           2021-05-25 03:15:00,8.66,18.984
49,           2021-05-25 03:30:00,8.652,18.975
50,           2021-05-25 03:45:00,8.642,18.975
51,           2021-05-25 04:00:00,8.661,18.899
52,           2021-05-25 04:15:00,8.657,18.899
53,           2021-05-25 04:30:00,8.665,18.899
54,           2021-05-25 04:45:00,8.667,18.857
55,           2021-05-25 05:00:00,8.671,18.848
56,           2021-05-25 05:15:00,8.693,18.814
57,           2021-05-25 05:30:00,8.674,18.798
58,           2021-05-25 05:45:00,8.687,18.781
59,           2021-05-25 06:00:00,8.698,18.755
60,           2021-05-25 06:15:00,8.702,18.747
61,           2021-05-25 06:30:00,8.711,18.704
62,           2021-05-25 06:45:00,8.702,18.687
63,           2021-05-25 07:00:00,8.711,18.687
64,           2021-05-25 07:15:00,8.716,18.696
65,           2021-05-25 07:30:00,8.741,18.67
66,           2021-05-25 07:45:00,8.679,18.755
67,           2021-05-25 08:00:00,8.687,18.738
68,           2021-05-25 08:15:00,8.716,18.73
69,           2021-05-25 08:30:00,8.707,18.73
70,           2021-05-25 08:45:00,8.738,18.764
71,           2021-05-25 09:00:00,8.691,18.798
72,           2021-05-25 09:15:00,8.695,18.806
73,           2021-05-25 09:30:00,8.687,18.814
74,           2021-05-25 09:45:00,8.688,18.806
75,           2021-05-25 10:00:00,8.694,18.798
76,           2021-05-25 10:15:00,8.713,18.823
77,           2021-05-25 10:30:00,8.705,18.831
78,           2021-05-25 10:45:00,8.707,18.857
79,           2021-05-25 11:00:00,8.703,18.916
80,           2021-05-25 11:15:00,8.702,18.882
81,           2021-05-25 11:30:00,8.701,18.925
82,           2021-05-25 11:45:00,8.693,18.925
83,           2021-05-25 12:00:00,8.694,18.967
84,           2021-05-25 12:15:00,8.678,18.975
85,           2021-05-25 12:30:00,8.691,19.001
86,           2021-05-25 12:45:00,8.664,19.026
87,           2021-05-25 13:00:00,8.674,19.069
88,           2021-05-25 13:15:00,8.669,19.102
89,           2021-05-25 13:30:00,8.661,19.136
90,           2021-05-25 15:30:00,8.087,23.347
91,           2021-05-25 15:45:00,7.996,23.92
92,           2021-05-25 16:00:00,8.166,22.689
93,           2021-05-25 16:15:00,8.3,21.973
94,           2021-05-25 16:30:00,8.318,21.661
95,           2021-05-25 16:45:00,8.336,21.517
96,           2021-05-25 17:00:00,8.374,21.45
97,           2021-05-25 17:15:00,8.367,21.492
98,           2021-05-25 17:30:00,8.35,21.636
99,           2021-05-25 17:45:00,8.341,21.711
100,           2021-05-25 18:00:00,8.375,21.754
101,           2021-05-25 18:15:00,8.369,21.804
102,           2021-05-25 18:30:00,8.355,21.872
103,           2021-05-25 18:45:00,8.327,21.947
104,           2021-05-25 19:00:00,8.3,21.981
105,           2021-05-25 19:15:00,8.314,22.032
106,           2021-05-25 19:30:00,8.337,22.082
107,           2021-05-25 19:45:00,8.303,22.124
108,           2021-05-25 20:00:00,8.324,22.175
109,           2021-05-25 20:15:00,8.312,22.183
110,           2021-05-25 20:30:00,8.314,22.226
111,           2021-05-25 20:45:00,8.322,22.251
112,           2021-05-25 21:00:00,8.303,22.251
113,           2021-05-25 21:15:00,8.324,22.276
114,           2021-05-25 21:30:00,8.33,22.259
115,           2021-05-25 21:45:00,8.296,22.268
116,           2021-05-25 22:00:00,8.314,22.2
117,           2021-05-25 22:15:00,8.31,22.234
118,           2021-05-25 22:30:00,8.094,23.667
119,           2021-05-25 22:45:00,7.669,26.945
120,           2021-05-25 23:00:00,7.901,25.437
121,           2021-05-25 23:15:00,8.06,24.206
122,           2021-05-25 23:30:00,8.152,23.431
123,           2021-05-25 23:45:00,8.205,23.035
124,           2021-05-26 00:00:00,8.271,22.647
125,           2021-05-26 00:15:00,8.328,22.369
126,           2021-05-26 00:30:00,8.329,22.226
127,           2021-05-26 00:45:00,8.362,22.049
128,           2021-05-26 01:00:00,8.375,21.99
129,           2021-05-26 01:15:00,8.369,21.88
130,           2021-05-26 01:30:00,8.402,21.754
131,           2021-05-26 01:45:00,8.395,21.737
132,           2021-05-26 02:00:00,8.389,21.669
133,           2021-05-26 02:15:00,8.44,21.619
134,           2021-05-26 02:30:00,8.409,21.602
135,           2021-05-26 02:45:00,8.411,21.534
136,           2021-05-26 03:00:00,8.443,21.484
137,           2021-05-26 03:15:00,8.464,21.425
138,           2021-05-26 03:30:00,8.462,21.374
139,           2021-05-26 03:45:00,8.471,21.307
140,           2021-05-26 04:00:00,8.489,21.273
141,           2021-05-26 04:15:00,8.466,21.248
142,           2021-05-26 04:30:00,8.477,21.197
143,           2021-05-26 04:45:00,8.481,21.138
144,           2021-05-26 05:00:00,8.492,21.121
145,           2021-05-26 05:15:00,8.509,21.037
146,           2021-05-26 05:30:00,8.487,21.011
147,           2021-05-26 05:45:00,8.534,20.961
148,           2021-05-26 06:00:00,8.523,20.902
149,           2021-05-26 06:15:00,8.539,20.834
150,           2021-05-26 06:30:00,8.542,20.809
151,           2021-05-26 06:45:00,8.547,20.758
152,           2021-05-26 07:00:00,8.557,20.725
153,           2021-05-26 07:15:00,8.523,20.809
154,           2021-05-26 07:30:00,8.539,20.834
155,           2021-05-26 07:45:00,8.512,20.986
156,           2021-05-26 08:00:00,8.497,21.079
157,           2021-05-26 08:15:00,8.494,21.13
158,           2021-05-26 08:30:00,8.47,21.163
159,           2021-05-26 08:45:00,8.469,21.155
160,           2021-05-26 09:00:00,8.474,21.138
161,           2021-05-26 09:15:00,8.486,21.163
162,           2021-05-26 09:30:00,8.496,21.096
163,           2021-05-26 09:45:00,8.512,21.028
164,           2021-05-26 10:00:00,8.475,21.07
165,           2021-05-26 10:15:00,8.506,21.054
166,           2021-05-26 10:30:00,8.498,21.045
167,           2021-05-26 10:45:00,8.474,21.189
168,           2021-05-26 11:00:00,8.497,21.205
169,           2021-05-26 11:15:00,8.685,19.897
170,           2021-05-26 11:30:00,8.98,17.805
