Sensor:             7450-914536,,,
#,         Pacific Standard Time,  Dissolved Oxygen,   Temperature
1,           2021-05-25 15:30:00,8.622,23.156
2,           2021-05-25 15:45:00,8.594,23.274
3,           2021-05-25 15:00:00,8.266,25.887
4,           2021-05-25 16:15:00,8.523,23.986
5,           2021-05-25 16:30:00,8.671,22.888
6,           2021-05-25 16:45:00,8.775,22.227
7,           2021-05-25 17:00:00,8.818,21.876
8,           2021-05-25 17:15:00,8.871,21.642
9,           2021-05-25 17:30:00,8.868,21.542
10,           2021-05-25 17:45:00,8.887,21.458
11,           2021-05-25 18:00:00,8.895,21.433
12,           2021-05-25 18:15:00,8.883,21.466
13,           2021-05-25 18:30:00,8.873,21.483
14,           2021-05-25 18:45:00,8.88,21.542
15,           2021-05-25 19:00:00,8.861,21.567
16,           2021-05-25 19:15:00,8.863,21.592
17,           2021-05-25 19:30:00,8.849,21.634
18,           2021-05-25 19:45:00,8.85,21.675
19,           2021-05-25 20:00:00,8.859,21.692
20,           2021-05-25 20:15:00,8.856,21.717
21,           2021-05-25 20:30:00,8.845,21.742
22,           2021-05-25 20:45:00,8.85,21.742
23,           2021-05-25 21:00:00,8.854,21.767
24,           2021-05-25 21:15:00,8.858,21.776
25,           2021-05-25 21:30:00,8.846,21.776
26,           2021-05-25 21:45:00,8.664,22.738
27,           2021-05-25 22:00:00,8.421,24.599
28,           2021-05-25 22:15:00,8.572,23.919
29,           2021-05-25 22:30:00,8.639,23.491
30,           2021-05-25 22:45:00,8.686,23.156
31,           2021-05-25 23:00:00,8.776,22.604
32,           2021-05-25 23:15:00,8.851,22.018
33,           2021-05-25 23:30:00,8.913,21.667
34,           2021-05-25 23:45:00,8.928,21.5
35,           2021-05-26 00:00:00,8.967,21.307
36,           2021-05-26 00:15:00,8.99,21.19
37,           2021-05-26 00:30:00,8.992,21.123
38,           2021-05-26 00:45:00,9.018,21.031
39,           2021-05-26 01:00:00,9.027,21.031
40,           2021-05-26 01:15:00,9.026,20.956
41,           2021-05-26 01:30:00,9.043,20.881
42,           2021-05-26 01:45:00,9.033,20.889
43,           2021-05-26 02:00:00,9.05,20.831
44,           2021-05-26 02:15:00,9.062,20.797
45,           2021-05-26 02:30:00,9.063,20.772
46,           2021-05-26 02:45:00,9.063,20.764
47,           2021-05-26 03:00:00,9.068,20.722
48,           2021-05-26 03:15:00,9.078,20.697
49,           2021-05-26 03:30:00,9.079,20.663
50,           2021-05-26 03:45:00,9.081,20.672
51,           2021-05-26 04:00:00,9.083,20.655
52,           2021-05-26 04:15:00,9.095,20.621
53,           2021-05-26 04:30:00,9.095,20.605
54,           2021-05-26 04:45:00,9.103,20.588
55,           2021-05-26 05:00:00,9.1,20.563
56,           2021-05-26 05:15:00,9.112,20.513
57,           2021-05-26 05:30:00,9.122,20.479
58,           2021-05-26 05:45:00,9.132,20.429
59,           2021-05-26 06:00:00,9.139,20.395
60,           2021-05-26 06:15:00,9.136,20.345
61,           2021-05-26 06:30:00,9.157,20.295
62,           2021-05-26 06:45:00,9.147,20.278
63,           2021-05-26 07:00:00,9.177,20.136
64,           2021-05-26 07:15:00,9.167,20.203
65,           2021-05-26 07:30:00,9.163,20.195
66,           2021-05-26 07:45:00,9.129,20.395
67,           2021-05-26 08:00:00,9.107,20.496
68,           2021-05-26 08:15:00,9.097,20.571
69,           2021-05-26 08:30:00,9.095,20.613
70,           2021-05-26 08:45:00,9.083,20.638
71,           2021-05-26 09:00:00,9.087,20.588
72,           2021-05-26 09:15:00,9.099,20.554
73,           2021-05-26 09:30:00,9.103,20.504
74,           2021-05-26 09:45:00,9.122,20.421
75,           2021-05-26 10:00:00,9.115,20.479
76,           2021-05-26 10:15:00,9.121,20.479
77,           2021-05-26 10:30:00,9.123,20.462
78,           2021-05-26 10:45:00,9.12,20.529
79,           2021-05-26 11:00:00,9.092,20.638
80,           2021-05-26 11:15:00,9.087,20.605
81,           2021-05-26 11:30:00,9.108,20.571
82,           2021-05-26 11:45:00,9.109,20.571
83,           2021-05-26 12:00:00,9.097,20.688
84,           2021-05-26 12:15:00,9.082,20.739
85,           2021-05-26 12:30:00,9.08,20.73
86,           2021-05-26 12:45:00,9.085,20.722
87,           2021-05-26 13:00:00,9.076,20.705
88,           2021-05-26 13:15:00,9.078,20.705
89,           2021-05-26 13:30:00,9.082,20.688
90,           2021-05-26 13:45:00,9.08,20.655
91,           2021-05-26 14:00:00,9.068,20.705
92,           2021-05-26 14:15:00,9.083,20.588
93,           2021-05-26 14:30:00,9.028,20.939
94,           2021-05-26 14:45:00,8.98,21.165
95,           2021-05-26 15:00:00,8.964,21.299
96,           2021-05-26 15:15:00,8.947,21.441
97,           2021-05-26 15:30:00,8.899,21.767
98,           2021-05-26 15:45:00,8.839,22.194
99,           2021-05-26 15:00:00,8.831,22.211
100,           2021-05-26 16:15:00,8.851,22.094
101,           2021-05-26 16:30:00,8.877,21.868
102,           2021-05-26 16:45:00,8.882,21.859
103,           2021-05-26 17:00:00,8.884,21.826
104,           2021-05-26 17:15:00,8.876,21.818
105,           2021-05-26 17:30:00,8.883,21.734
106,           2021-05-26 17:45:00,8.869,21.742
107,           2021-05-26 18:00:00,8.863,21.868
108,           2021-05-26 18:15:00,8.821,22.127
109,           2021-05-26 18:30:00,8.798,22.227
110,           2021-05-26 18:45:00,8.786,22.261
111,           2021-05-26 19:00:00,8.773,22.286
112,           2021-05-26 19:15:00,8.773,22.269
113,           2021-05-26 19:30:00,8.795,22.253
114,           2021-05-26 19:45:00,8.783,22.244
115,           2021-05-26 20:00:00,8.778,22.303
116,           2021-05-26 20:15:00,8.776,22.294
117,           2021-05-26 20:30:00,8.772,22.261
118,           2021-05-26 20:45:00,8.781,22.211
119,           2021-05-26 21:00:00,8.796,22.152
120,           2021-05-26 21:15:00,8.8,22.094
121,           2021-05-26 21:30:00,8.817,22.027
122,           2021-05-26 21:45:00,8.809,21.976
123,           2021-05-26 22:00:00,8.834,21.918
124,           2021-05-26 22:15:00,8.834,21.851
125,           2021-05-26 22:30:00,8.838,21.784
126,           2021-05-26 22:45:00,8.847,21.692
127,           2021-05-26 23:00:00,8.871,21.625
128,           2021-05-26 23:15:00,8.862,21.575
129,           2021-05-26 23:30:00,8.872,21.516
130,           2021-05-26 23:45:00,8.881,21.45
131,           2021-05-27 00:00:00,8.893,21.374
132,           2021-05-27 00:15:00,8.901,21.316
133,           2021-05-27 00:30:00,8.903,21.257
134,           2021-05-27 00:45:00,8.907,21.182
135,           2021-05-27 01:00:00,8.915,21.14
136,           2021-05-27 01:15:00,8.93,21.09
137,           2021-05-27 01:30:00,8.945,21.04
138,           2021-05-27 01:45:00,8.938,20.99
139,           2021-05-27 02:00:00,8.958,20.914
140,           2021-05-27 02:15:00,8.962,20.898
141,           2021-05-27 02:30:00,8.947,20.847
142,           2021-05-27 02:45:00,8.96,20.814
143,           2021-05-27 03:00:00,8.973,20.755
144,           2021-05-27 03:15:00,8.991,20.713
145,           2021-05-27 03:30:00,8.974,20.688
146,           2021-05-27 03:45:00,8.981,20.638
147,           2021-05-27 04:00:00,8.992,20.58
148,           2021-05-27 04:15:00,9.002,20.554
149,           2021-05-27 04:30:00,8.998,20.521
150,           2021-05-27 04:45:00,9.004,20.479
151,           2021-05-27 05:00:00,9.027,20.437
152,           2021-05-27 05:15:00,9.036,20.387
153,           2021-05-27 05:30:00,9.023,20.345
154,           2021-05-27 05:45:00,9.041,20.278
155,           2021-05-27 06:00:00,9.05,20.211
156,           2021-05-27 06:15:00,9.049,20.178
157,           2021-05-27 06:30:00,9.073,20.144
158,           2021-05-27 06:45:00,9.063,20.086
159,           2021-05-27 07:00:00,9.048,20.27
160,           2021-05-27 07:15:00,9.048,20.261
161,           2021-05-27 07:30:00,9.023,20.412
162,           2021-05-27 07:45:00,9.013,20.454
163,           2021-05-27 08:00:00,8.991,20.58
164,           2021-05-27 08:15:00,8.982,20.588
165,           2021-05-27 08:30:00,8.95,20.764
166,           2021-05-27 08:45:00,8.946,20.831
167,           2021-05-27 09:00:00,8.952,20.789
168,           2021-05-27 09:15:00,8.961,20.789
169,           2021-05-27 09:30:00,8.93,20.99
170,           2021-05-27 09:45:00,8.936,20.923
171,           2021-05-27 10:00:00,8.949,20.831
172,           2021-05-27 10:15:00,8.949,20.906
173,           2021-05-27 10:30:00,8.97,20.747
174,           2021-05-27 10:45:00,8.987,20.672
175,           2021-05-27 11:00:00,8.957,20.831
176,           2021-05-27 11:15:00,8.989,20.697
177,           2021-05-27 11:30:00,9.002,20.605
178,           2021-05-27 11:45:00,8.951,20.831
179,           2021-05-27 12:00:00,8.983,20.73
180,           2021-05-27 12:15:00,8.992,20.697
181,           2021-05-27 12:30:00,8.975,20.713
182,           2021-05-27 12:45:00,8.976,20.739
183,           2021-05-27 13:00:00,8.988,20.747
184,           2021-05-27 13:15:00,8.939,20.973
185,           2021-05-27 13:30:00,8.926,21.098
186,           2021-05-27 13:45:00,8.92,20.956
187,           2021-05-27 14:00:00,8.963,20.73
188,           2021-05-27 14:15:00,8.969,20.663
189,           2021-05-27 14:30:00,8.978,20.655
190,           2021-05-27 14:45:00,8.781,22.144
191,           2021-05-27 15:00:00,8.836,21.617
192,           2021-05-27 15:15:00,8.916,21.048
193,           2021-05-27 15:30:00,8.955,20.806
194,           2021-05-27 15:45:00,8.976,20.73
195,           2021-05-27 15:00:00,8.986,20.906
196,           2021-05-27 16:15:00,8.75,22.328
197,           2021-05-27 16:30:00,8.853,21.525
198,           2021-05-27 16:45:00,8.934,21.065
199,           2021-05-27 17:00:00,8.975,20.839
200,           2021-05-27 17:15:00,8.98,20.78
201,           2021-05-27 17:30:00,8.968,20.822
202,           2021-05-27 17:45:00,8.962,20.839
203,           2021-05-27 18:00:00,8.973,20.864
204,           2021-05-27 18:15:00,8.957,20.898
205,           2021-05-27 18:30:00,8.96,20.847
206,           2021-05-27 18:45:00,8.97,20.822
207,           2021-05-27 19:00:00,8.988,20.789
208,           2021-05-27 19:15:00,8.989,20.747
209,           2021-05-27 19:30:00,9.007,20.68
210,           2021-05-27 19:45:00,9.021,20.638
211,           2021-05-27 20:00:00,9.036,20.58
212,           2021-05-27 20:15:00,9.035,20.521
213,           2021-05-27 20:30:00,9.047,20.471
214,           2021-05-27 20:45:00,9.058,20.412
215,           2021-05-27 21:00:00,9.073,20.337
216,           2021-05-27 21:15:00,9.079,20.287
217,           2021-05-27 21:30:00,9.09,20.228
218,           2021-05-27 21:45:00,9.116,20.169
219,           2021-05-27 22:00:00,9.121,20.102
220,           2021-05-27 22:15:00,8.958,21.215
221,           2021-05-27 22:30:00,9.023,20.806
222,           2021-05-27 22:45:00,9.079,20.446
223,           2021-05-27 23:00:00,9.106,20.261
224,           2021-05-27 23:15:00,8.943,21.374
225,           2021-05-27 23:30:00,9.014,20.864
226,           2021-05-27 23:45:00,9.068,20.513
227,           2021-05-28 00:00:00,9.052,20.831
228,           2021-05-28 00:15:00,8.967,21.24
229,           2021-05-28 00:30:00,9.04,20.73
230,           2021-05-28 00:45:00,9.09,20.387
231,           2021-05-28 01:00:00,8.961,21.424
232,           2021-05-28 01:15:00,9.017,20.914
233,           2021-05-28 01:30:00,9.093,20.479
234,           2021-05-28 01:45:00,9,21.358
235,           2021-05-28 02:00:00,8.966,21.441
236,           2021-05-28 02:15:00,9.035,20.831
237,           2021-05-28 02:30:00,9.094,20.437
238,           2021-05-28 02:45:00,8.935,21.726
239,           2021-05-28 03:00:00,8.977,21.224
240,           2021-05-28 03:15:00,9.075,20.68
241,           2021-05-28 03:30:00,9.088,20.814
242,           2021-05-28 03:45:00,8.937,21.642
243,           2021-05-28 04:00:00,9.034,20.956
244,           2021-05-28 04:15:00,9.119,20.488
245,           2021-05-28 04:30:00,8.938,21.792
246,           2021-05-28 04:45:00,9.003,21.207
247,           2021-05-28 05:00:00,9.086,20.621
248,           2021-05-28 05:15:00,9.006,21.433
249,           2021-05-28 05:30:00,8.971,21.399
250,           2021-05-28 05:45:00,9.077,20.789
251,           2021-05-28 06:00:00,9.093,20.847
252,           2021-05-28 06:15:00,8.96,21.617
253,           2021-05-28 06:30:00,9.052,20.931
254,           2021-05-28 06:45:00,9.109,20.605
255,           2021-05-28 07:00:00,8.926,21.951
256,           2021-05-28 07:15:00,8.982,21.399
257,           2021-05-28 07:30:00,9.03,21.349
258,           2021-05-28 07:45:00,8.772,22.897
259,           2021-05-28 08:00:00,8.912,21.884
260,           2021-05-28 08:15:00,8.902,22.085
261,           2021-05-28 08:30:00,8.86,22.278
262,           2021-05-28 08:45:00,8.942,21.6
263,           2021-05-28 09:00:00,8.99,21.274
264,           2021-05-28 09:15:00,9.022,21.157
265,           2021-05-28 09:30:00,9.007,21.282
266,           2021-05-28 09:45:00,9.032,21.056
267,           2021-05-28 10:00:00,9.086,20.73
268,           2021-05-28 10:15:00,8.953,21.767
269,           2021-05-28 10:30:00,8.9,21.926
270,           2021-05-28 10:45:00,8.976,21.374
271,           2021-05-28 11:00:00,8.982,21.558
272,           2021-05-28 11:15:00,9.486,18.811
273,           2021-05-28 11:30:00,9.733,17.208
274,           2021-05-28 11:45:00,9.853,16.683
275,           2021-05-28 12:00:00,10.005,15.882
276,           2021-05-28 12:15:00,10.2,14.603
277,           2021-05-28 12:30:00,10.303,14.24
278,           2021-05-28 12:45:00,10.3,14.101
279,           2021-05-28 13:00:00,10.3,14.344
280,           2021-05-28 13:15:00,17.345,14.136
281,           2021-05-28 13:30:00,18.206,15.137
282,           2021-05-28 13:45:00,18.729,15.916
283,           2021-05-28 14:00:00,19.288,16.734
284,           2021-05-28 14:15:00,19.519,17.344
285,           2021-05-28 14:30:00,19.863,17.792
286,           2021-05-28 14:45:00,19.815,18.188
287,           2021-05-28 15:00:00,19.066,18.676
288,           2021-05-28 15:15:00,18.618,18.995
289,           2021-05-28 15:30:00,18.304,18.886
290,           2021-05-28 15:45:00,17.652,17.031
291,           2021-05-28 15:00:00,17.268,15.343
292,           2021-05-28 16:15:00,16.615,14.956
293,           2021-05-28 16:30:00,15.721,14.3
294,           2021-05-28 16:45:00,14.577,12.923
295,           2021-05-28 17:00:00,13.781,12.518
296,           2021-05-28 17:15:00,12.864,11.853
297,           2021-05-28 17:30:00,12.472,11.155
298,           2021-05-28 17:45:00,12.006,11.011
299,           2021-05-28 18:00:00,11.91,11.065
300,           2021-05-28 18:15:00,11.914,11.209
301,           2021-05-28 18:30:00,11.946,11.263
302,           2021-05-28 18:45:00,12.132,11.397
303,           2021-05-28 19:00:00,12.274,11.54
304,           2021-05-28 19:15:00,12.393,11.657
305,           2021-05-28 19:30:00,12.523,11.514
306,           2021-05-28 19:45:00,12.682,11.245
307,           2021-05-28 20:00:00,12.73,11.074
308,           2021-05-28 20:15:00,12.694,10.876
309,           2021-05-28 20:30:00,12.545,10.659
310,           2021-05-28 20:45:00,12.455,10.587
311,           2021-05-28 21:00:00,12.38,10.596
312,           2021-05-28 21:15:00,12.253,10.568
313,           2021-05-28 21:30:00,12.111,10.605
314,           2021-05-28 21:45:00,12.056,10.596
315,           2021-05-28 22:00:00,12.016,10.596
316,           2021-05-28 22:15:00,11.572,10.605
317,           2021-05-28 22:30:00,11.343,10.614
318,           2021-05-28 22:45:00,11.271,10.614
319,           2021-05-28 23:00:00,11.079,10.614
320,           2021-05-28 23:15:00,10.888,10.623
321,           2021-05-28 23:30:00,10.7,10.632
322,           2021-05-28 23:45:00,10.563,10.596
323,           2021-05-29 00:00:00,10.461,10.632
324,           2021-05-29 00:15:00,10.113,10.641
325,           2021-05-29 00:30:00,9.922,10.641
326,           2021-05-29 00:45:00,9.857,10.659
327,           2021-05-29 01:00:00,9.784,10.659
328,           2021-05-29 01:15:00,9.617,10.668
329,           2021-05-29 01:30:00,9.091,10.668
330,           2021-05-29 01:45:00,9.273,10.677
331,           2021-05-29 02:00:00,9.284,10.677
332,           2021-05-29 02:15:00,9.171,10.686
333,           2021-05-29 02:30:00,9.058,10.704
334,           2021-05-29 02:45:00,8.904,10.704
335,           2021-05-29 03:00:00,8.796,10.704
336,           2021-05-29 03:15:00,8.67,10.713
337,           2021-05-29 03:30:00,8.656,10.731
338,           2021-05-29 03:45:00,8.287,10.731
339,           2021-05-29 04:00:00,8.401,10.704
340,           2021-05-29 04:15:00,8.015,10.731
341,           2021-05-29 04:30:00,7.96,10.731
342,           2021-05-29 04:45:00,7.785,10.74
343,           2021-05-29 05:00:00,7.682,10.758
344,           2021-05-29 05:15:00,7.546,10.768
345,           2021-05-29 05:30:00,7.441,10.758
346,           2021-05-29 05:45:00,7.508,10.731
347,           2021-05-29 06:00:00,7.667,10.722
348,           2021-05-29 06:15:00,7.553,10.731
349,           2021-05-29 06:30:00,7.703,10.731
350,           2021-05-29 06:45:00,7.527,10.74
351,           2021-05-29 07:00:00,7.463,10.749
352,           2021-05-29 07:15:00,6.84,10.786
353,           2021-05-29 07:30:00,6.81,10.777
354,           2021-05-29 07:45:00,6.758,10.804
355,           2021-05-29 08:00:00,6.808,10.768
356,           2021-05-29 08:15:00,7.001,10.731
357,           2021-05-29 08:30:00,7.032,10.758
358,           2021-05-29 08:45:00,7.157,10.786
359,           2021-05-29 09:00:00,7.653,10.984
360,           2021-05-29 09:15:00,8.384,11.442
361,           2021-05-29 09:30:00,8.921,11.612
362,           2021-05-29 09:45:00,9.477,11.799
363,           2021-05-29 10:00:00,9.781,11.986
364,           2021-05-29 10:15:00,9.955,12.137
365,           2021-05-29 10:30:00,10.1,12.137
366,           2021-05-29 10:45:00,10.426,12.164
367,           2021-05-29 11:00:00,10.517,12.367
368,           2021-05-29 11:15:00,10.713,12.623
369,           2021-05-29 11:30:00,11.089,12.949
370,           2021-05-29 11:45:00,11.589,13.3
371,           2021-05-29 12:00:00,12.348,13.806
372,           2021-05-29 12:15:00,13.477,14.335
373,           2021-05-29 12:30:00,14.582,14.982
374,           2021-05-29 12:45:00,15.188,15.651
375,           2021-05-29 13:00:00,15.538,16.377
376,           2021-05-29 13:15:00,16.223,16.946
377,           2021-05-29 13:30:00,18.532,17.53
378,           2021-05-29 13:45:00,18.822,18.154
379,           2021-05-29 14:00:00,18.943,18.962
380,           2021-05-29 14:15:00,18.929,19.851
381,           2021-05-29 14:30:00,18.886,20.471
382,           2021-05-29 14:45:00,18.98,20.914
383,           2021-05-29 15:00:00,19.148,21.266
384,           2021-05-29 15:15:00,19.315,21.608
385,           2021-05-29 15:30:00,19.03,21.968
386,           2021-05-29 15:45:00,18.202,22.445
387,           2021-05-29 15:00:00,18.17,22.755
388,           2021-05-29 16:15:00,17.98,22.035
389,           2021-05-29 16:30:00,17.625,20.621
390,           2021-05-29 16:45:00,18.129,17.783
391,           2021-05-29 17:00:00,17.294,19.256
392,           2021-05-29 17:15:00,16.708,15.386
393,           2021-05-29 17:30:00,15.49,13.771
394,           2021-05-29 17:45:00,15.175,13.474
395,           2021-05-29 18:00:00,14.274,12.562
396,           2021-05-29 18:15:00,13.709,11.648
397,           2021-05-29 18:30:00,13.301,11.388
398,           2021-05-29 18:45:00,13.272,11.308
399,           2021-05-29 19:00:00,12.787,11.227
400,           2021-05-29 19:15:00,12.703,11.209
401,           2021-05-29 19:30:00,12.845,11.361
402,           2021-05-29 19:45:00,12.941,11.514
403,           2021-05-29 20:00:00,13.198,11.576
404,           2021-05-29 20:15:00,13.05,11.54
