MiniDOT Logger Concatenated Data File
Sensor:             7450-914536
Concatenation Date: 2021Jun23 15:46:56 PDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

"            Unix Timestamp,               UTC_Date_&_Time,         Pacific Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q"
"                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)"
"                1621981860,           2021-05-25 22:31:00,           2021-05-25 15:31:00,      3.470000,     23.156000,          8.622000,                   100.813743,      0.977000"
"                1621982760,           2021-05-25 22:46:00,           2021-05-25 15:46:00,      3.470000,     23.274000,          8.594000,                   100.710803,      0.970000"
"                1621983660,           2021-05-25 23:01:00,           2021-05-25 16:01:00,      3.480000,     25.887000,          8.266000,                   101.674719,      0.963000"
"                1621984560,           2021-05-25 23:16:00,           2021-05-25 16:16:00,      3.480000,     23.986000,          8.523000,                   101.224177,      0.963000"
"                1621985460,           2021-05-25 23:31:00,           2021-05-25 16:31:00,      3.490000,     22.888000,          8.671000,                   100.872737,      0.963000"
"                1621986360,           2021-05-25 23:46:00,           2021-05-25 16:46:00,      3.490000,     22.227000,          8.775000,                   100.802179,      0.963000"
"                1621987260,           2021-05-26 00:01:00,           2021-05-25 17:01:00,      3.490000,     21.876000,          8.818000,                   100.614255,      0.963000"
"                1621988160,           2021-05-26 00:16:00,           2021-05-25 17:16:00,      3.500000,     21.642000,          8.871000,                   100.762197,      0.964000"
"                1621989060,           2021-05-26 00:31:00,           2021-05-25 17:31:00,      3.500000,     21.542000,          8.868000,                   100.533105,      0.963000"
"                1621989960,           2021-05-26 00:46:00,           2021-05-25 17:46:00,      3.500000,     21.458000,          8.887000,                   100.584396,      0.963000"
"                1621990860,           2021-05-26 01:01:00,           2021-05-25 18:01:00,      3.500000,     21.433000,          8.895000,                   100.626067,      0.963000"
"                1621991760,           2021-05-26 01:16:00,           2021-05-25 18:16:00,      3.500000,     21.466000,          8.883000,                   100.554743,      0.963000"
"                1621992660,           2021-05-26 01:31:00,           2021-05-25 18:31:00,      3.500000,     21.483000,          8.873000,                   100.474700,      0.962000"
"                1621993560,           2021-05-26 01:46:00,           2021-05-25 18:46:00,      3.510000,     21.542000,          8.880000,                   100.669145,      0.963000"
"                1621994460,           2021-05-26 02:01:00,           2021-05-25 19:01:00,      3.510000,     21.567000,          8.861000,                   100.502458,      0.962000"
"                1621995360,           2021-05-26 02:16:00,           2021-05-25 19:16:00,      3.510000,     21.592000,          8.863000,                   100.573866,      0.962000"
"                1621996260,           2021-05-26 02:31:00,           2021-05-25 19:31:00,      3.510000,     21.634000,          8.849000,                   100.496737,      0.962000"
"                1621997160,           2021-05-26 02:46:00,           2021-05-25 19:46:00,      3.510000,     21.675000,          8.850000,                   100.587908,      0.962000"
"                1621998060,           2021-05-26 03:01:00,           2021-05-25 20:01:00,      3.510000,     21.692000,          8.859000,                   100.723332,      0.962000"
"                1621998960,           2021-05-26 03:16:00,           2021-05-25 20:16:00,      3.510000,     21.717000,          8.856000,                   100.737933,      0.963000"
"                1621999860,           2021-05-26 03:31:00,           2021-05-25 20:31:00,      3.510000,     21.742000,          8.845000,                   100.661461,      0.962000"
"                1622000760,           2021-05-26 03:46:00,           2021-05-25 20:46:00,      3.510000,     21.742000,          8.850000,                   100.718364,      0.962000"
"                1622001660,           2021-05-26 04:01:00,           2021-05-25 21:01:00,      3.510000,     21.767000,          8.854000,                   100.812594,      0.963000"
"                1622002560,           2021-05-26 04:16:00,           2021-05-25 21:16:00,      3.510000,     21.776000,          8.858000,                   100.875683,      0.963000"
"                1622003460,           2021-05-26 04:31:00,           2021-05-25 21:31:00,      3.510000,     21.776000,          8.846000,                   100.739026,      0.962000"
"                1622004360,           2021-05-26 04:46:00,           2021-05-25 21:46:00,      3.510000,     22.738000,          8.664000,                   100.504121,      0.962000"
