Sensor:             7392-798741,,,
#,         Pacific Standard Time,  Dissolved Oxygen,   Temperature
1,           2021-05-24 15:30:00,8.65,18.714
2,           2021-05-24 15:45:00,8.702,18.47
3,           2021-05-24 16:00:00,8.678,18.486
4,           2021-05-24 16:15:00,8.69,18.486
5,           2021-05-24 16:30:00,8.676,18.453
6,           2021-05-24 16:45:00,8.69,18.486
7,           2021-05-24 17:00:00,8.692,18.512
8,           2021-05-24 17:15:00,8.658,18.537
9,           2021-05-24 17:30:00,8.664,18.545
10,           2021-05-24 17:45:00,8.653,18.588
11,           2021-05-24 18:00:00,8.66,18.596
12,           2021-05-24 18:15:00,8.656,18.604
13,           2021-05-24 18:30:00,8.662,18.638
14,           2021-05-24 18:45:00,8.661,18.663
15,           2021-05-24 19:00:00,8.659,18.655
16,           2021-05-24 19:15:00,8.654,18.672
17,           2021-05-24 19:30:00,8.623,18.714
18,           2021-05-24 19:45:00,8.65,18.722
19,           2021-05-24 20:00:00,8.644,18.722
20,           2021-05-24 20:15:00,8.625,18.764
21,           2021-05-24 20:30:00,8.626,18.756
22,           2021-05-24 20:45:00,8.628,18.756
23,           2021-05-24 21:00:00,8.639,18.798
24,           2021-05-24 21:15:00,8.65,18.773
25,           2021-05-24 21:30:00,8.645,18.79
26,           2021-05-24 21:45:00,8.634,18.781
27,           2021-05-24 22:00:00,8.625,18.798
28,           2021-05-24 22:15:00,8.65,18.773
29,           2021-05-24 22:30:00,8.635,18.79
30,           2021-05-24 22:45:00,8.633,18.807
31,           2021-05-24 23:00:00,8.631,18.79
32,           2021-05-24 23:15:00,8.623,18.781
33,           2021-05-24 23:30:00,8.622,18.764
34,           2021-05-24 23:45:00,8.639,18.764
35,           2021-05-25 00:00:00,8.609,18.748
36,           2021-05-25 00:15:00,8.644,18.731
37,           2021-05-25 00:30:00,8.615,18.731
38,           2021-05-25 00:45:00,8.638,18.714
39,           2021-05-25 01:00:00,8.651,18.697
40,           2021-05-25 01:15:00,8.64,18.663
