Site Name ,BLAUOYSTER,,,
Site Number ,1,,,
Logger ,Integrating Light Sensor,,,
Logger Serial Number ,14726,,,
,,,,
,,,,
Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,
,,,,
1,25/05/2021 , 20:15:00,35,35
2,25/05/2021 , 20:30:00,37,37
3,25/05/2021 , 20:45:00,40,40
4,25/05/2021 , 21:00:00,38,38
5,25/05/2021 , 21:15:00,41,41
6,25/05/2021 , 21:30:00,44,44
7,25/05/2021 , 21:45:00,42,42
8,25/05/2021 , 22:00:00,45,45
9,25/05/2021 , 22:15:00,41,41
10,25/05/2021 , 22:30:00,45,45
11,25/05/2021 , 22:45:00,46,46
12,25/05/2021 , 23:00:00,57,57
13,25/05/2021 , 23:15:00,1,1
14,25/05/2021 , 23:30:00,0,0
15,25/05/2021 , 23:45:00,0,0
16,25/05/2021 , 24:00:00,0,0
17,26/05/2021 , 00:15:00,0,0
18,26/05/2021 , 00:30:00,0,0
19,26/05/2021 , 00:45:00,0,0
20,26/05/2021 , 01:00:00,0,0
21,26/05/2021 , 01:15:00,0,0
22,26/05/2021 , 01:30:00,0,0
23,26/05/2021 , 01:45:00,0,0
24,26/05/2021 , 02:00:00,0,0
25,26/05/2021 , 02:15:00,0,0
26,26/05/2021 , 02:30:00,0,0
27,26/05/2021 , 02:45:00,0,0
28,26/05/2021 , 03:00:00,0,0
29,26/05/2021 , 03:15:00,0,0
30,26/05/2021 , 03:30:00,0,0
31,26/05/2021 , 03:45:00,0,0
32,26/05/2021 , 04:00:00,0,0
33,26/05/2021 , 04:15:00,0,0
34,26/05/2021 , 04:30:00,0,0
35,26/05/2021 , 04:45:00,0,0
36,26/05/2021 , 05:00:00,0,0
37,26/05/2021 , 05:15:00,0,0
38,26/05/2021 , 05:30:00,0,0
39,26/05/2021 , 05:45:00,0,0
40,26/05/2021 , 06:00:00,0,0
41,26/05/2021 , 06:15:00,0,0
42,26/05/2021 , 06:30:00,0,0
43,26/05/2021 , 06:45:00,0,0
44,26/05/2021 , 07:00:00,0,0
45,26/05/2021 , 07:15:00,0,0
46,26/05/2021 , 07:30:00,0,0
47,26/05/2021 , 07:45:00,39,39
48,26/05/2021 , 08:00:00,52,52
49,26/05/2021 , 08:15:00,50,50
50,26/05/2021 , 08:30:00,51,51
51,26/05/2021 , 08:45:00,49,49
52,26/05/2021 , 09:00:00,18,18
53,26/05/2021 , 09:15:00,0,0
54,26/05/2021 , 09:30:00,2,2
55,26/05/2021 , 09:45:00,1,1
56,26/05/2021 , 10:00:00,1,1
57,26/05/2021 , 10:15:00,1,1
58,26/05/2021 , 10:30:00,2,2
59,26/05/2021 , 10:45:00,30,30
60,26/05/2021 , 11:00:00,1,1
61,26/05/2021 , 11:15:00,2,2
62,26/05/2021 , 11:30:00,4,4
63,26/05/2021 , 11:45:00,4,4
64,26/05/2021 , 12:00:00,3,3
65,26/05/2021 , 12:15:00,4,4
66,26/05/2021 , 12:30:00,4,4
67,26/05/2021 , 12:45:00,5,5
68,26/05/2021 , 13:00:00,4,4
69,26/05/2021 , 13:15:00,5,5
70,26/05/2021 , 13:30:00,6,6
71,26/05/2021 , 13:45:00,6,6
72,26/05/2021 , 14:00:00,4,4
73,26/05/2021 , 14:15:00,5,5
74,26/05/2021 , 14:30:00,62,62
75,26/05/2021 , 14:45:00,81,81
76,26/05/2021 , 15:00:00,78,78
77,26/05/2021 , 15:15:00,76,76
78,26/05/2021 , 15:30:00,71,71
79,26/05/2021 , 15:45:00,76,76
80,26/05/2021 , 16:00:00,76,76
81,26/05/2021 , 16:15:00,65,65
82,26/05/2021 , 16:30:00,18,18
83,26/05/2021 , 16:45:00,78,78
84,26/05/2021 , 17:00:00,79,79
85,26/05/2021 , 17:15:00,83,83
86,26/05/2021 , 17:30:00,57,57
87,26/05/2021 , 17:45:00,51,51
88,26/05/2021 , 18:00:00,51,51
89,26/05/2021 , 18:15:00,10,10
90,26/05/2021 , 18:30:00,1,1
91,26/05/2021 , 18:45:00,1,1
92,26/05/2021 , 19:00:00,0,0
93,26/05/2021 , 19:15:00,0,0
94,26/05/2021 , 19:30:00,0,0
95,26/05/2021 , 19:45:00,18,18
96,26/05/2021 , 20:00:00,36,36
97,26/05/2021 , 20:15:00,0,0
98,26/05/2021 , 20:30:00,0,0
99,26/05/2021 , 20:45:00,0,0
100,26/05/2021 , 21:00:00,0,0
101,26/05/2021 , 21:15:00,0,0
102,26/05/2021 , 21:30:00,0,0
103,26/05/2021 , 21:45:00,0,0
104,26/05/2021 , 22:00:00,0,0
105,26/05/2021 , 22:15:00,0,0
106,26/05/2021 , 22:30:00,0,0
107,26/05/2021 , 22:45:00,0,0
108,26/05/2021 , 23:00:00,0,0
109,26/05/2021 , 23:15:00,0,0
110,26/05/2021 , 23:30:00,0,0
111,26/05/2021 , 23:45:00,0,0
112,26/05/2021 , 24:00:00,0,0
113,27/05/2021 , 00:15:00,0,0
114,27/05/2021 , 00:30:00,0,0
115,27/05/2021 , 00:45:00,0,0
116,27/05/2021 , 01:00:00,0,0
117,27/05/2021 , 01:15:00,0,0
118,27/05/2021 , 01:30:00,0,0
119,27/05/2021 , 01:45:00,0,0
120,27/05/2021 , 02:00:00,0,0
121,27/05/2021 , 02:15:00,0,0
122,27/05/2021 , 02:30:00,0,0
123,27/05/2021 , 02:45:00,0,0
124,27/05/2021 , 03:00:00,0,0
125,27/05/2021 , 03:15:00,0,0
126,27/05/2021 , 03:30:00,0,0
127,27/05/2021 , 03:45:00,0,0
128,27/05/2021 , 04:00:00,0,0
129,27/05/2021 , 04:15:00,0,0
130,27/05/2021 , 04:30:00,0,0
131,27/05/2021 , 04:45:00,0,0
132,27/05/2021 , 05:00:00,0,0
133,27/05/2021 , 05:15:00,0,0
134,27/05/2021 , 05:30:00,0,0
135,27/05/2021 , 05:45:00,0,0
136,27/05/2021 , 06:00:00,0,0
137,27/05/2021 , 06:15:00,0,0
138,27/05/2021 , 06:30:00,0,0
139,27/05/2021 , 06:45:00,0,0
140,27/05/2021 , 07:00:00,0,0
141,27/05/2021 , 07:15:00,0,0
142,27/05/2021 , 07:30:00,0,0
143,27/05/2021 , 07:45:00,0,0
144,27/05/2021 , 08:00:00,7,7
145,27/05/2021 , 08:15:00,21,21
146,27/05/2021 , 08:30:00,21,21
147,27/05/2021 , 08:45:00,22,22
148,27/05/2021 , 09:00:00,24,24
149,27/05/2021 , 09:15:00,24,24
150,27/05/2021 , 09:30:00,24,24
151,27/05/2021 , 09:45:00,21,21
152,27/05/2021 , 10:00:00,0,0
153,27/05/2021 , 10:15:00,0,0
154,27/05/2021 , 10:30:00,193,193
155,27/05/2021 , 10:45:00,208,208
156,27/05/2021 , 11:00:00,2334,2334
157,27/05/2021 , 11:15:00,6861,6861
158,27/05/2021 , 11:30:00,6491,6491
159,27/05/2021 , 11:45:00,5350,5350
160,27/05/2021 , 12:00:00,6622,6622
161,27/05/2021 , 12:15:00,5551,5551
162,27/05/2021 , 12:30:00,7095,7095
163,27/05/2021 , 12:45:00,7765,7765
164,27/05/2021 , 13:00:00,11200,11200
165,27/05/2021 , 13:15:00,14954,14954
166,27/05/2021 , 13:30:00,9605,9605
167,27/05/2021 , 13:45:00,9721,9721
168,27/05/2021 , 14:00:00,12496,12496
169,27/05/2021 , 14:15:00,11950,11950
170,27/05/2021 , 14:30:00,13297,13297
171,27/05/2021 , 14:45:00,8455,8455
172,27/05/2021 , 15:00:00,1591,1591
173,27/05/2021 , 15:15:00,574,574
174,27/05/2021 , 15:30:00,684,684
175,27/05/2021 , 15:45:00,234,234
176,27/05/2021 , 16:00:00,136,136
177,27/05/2021 , 16:15:00,163,163
178,27/05/2021 , 16:30:00,141,141
179,27/05/2021 , 16:45:00,99,99
180,27/05/2021 , 17:00:00,141,141
181,27/05/2021 , 17:15:00,241,241
182,27/05/2021 , 17:30:00,10,10
183,27/05/2021 , 17:45:00,2,2
184,27/05/2021 , 18:00:00,1,1
185,27/05/2021 , 18:15:00,1,1
186,27/05/2021 , 18:30:00,1,1
187,27/05/2021 , 18:45:00,0,0
188,27/05/2021 , 19:00:00,0,0
189,27/05/2021 , 19:15:00,0,0
190,27/05/2021 , 19:30:00,1,1
191,27/05/2021 , 19:45:00,15,15
192,27/05/2021 , 20:00:00,10,10
193,27/05/2021 , 20:15:00,23,23
194,27/05/2021 , 20:30:00,11,11
195,27/05/2021 , 20:45:00,6,6
196,27/05/2021 , 21:00:00,3,3
197,27/05/2021 , 21:15:00,0,0
198,27/05/2021 , 21:30:00,0,0
199,27/05/2021 , 21:45:00,0,0
200,27/05/2021 , 22:00:00,0,0
201,27/05/2021 , 22:15:00,0,0
202,27/05/2021 , 22:30:00,0,0
203,27/05/2021 , 22:45:00,0,0
204,27/05/2021 , 23:00:00,0,0
205,27/05/2021 , 23:15:00,0,0
206,27/05/2021 , 23:30:00,0,0
207,27/05/2021 , 23:45:00,0,0
208,27/05/2021 , 24:00:00,0,0
209,28/05/2021 , 00:15:00,0,0
210,28/05/2021 , 00:30:00,0,0
211,28/05/2021 , 00:45:00,0,0
212,28/05/2021 , 01:00:00,0,0
213,28/05/2021 , 01:15:00,0,0
214,28/05/2021 , 01:30:00,0,0
215,28/05/2021 , 01:45:00,0,0
216,28/05/2021 , 02:00:00,0,0
217,28/05/2021 , 02:15:00,0,0
218,28/05/2021 , 02:30:00,0,0
219,28/05/2021 , 02:45:00,0,0
220,28/05/2021 , 03:00:00,0,0
221,28/05/2021 , 03:15:00,0,0
222,28/05/2021 , 03:30:00,0,0
223,28/05/2021 , 03:45:00,0,0
224,28/05/2021 , 04:00:00,0,0
225,28/05/2021 , 04:15:00,0,0
226,28/05/2021 , 04:30:00,0,0
227,28/05/2021 , 04:45:00,0,0
228,28/05/2021 , 05:00:00,0,0
229,28/05/2021 , 05:15:00,0,0
230,28/05/2021 , 05:30:00,4,4
231,28/05/2021 , 05:45:00,10,10
232,28/05/2021 , 06:00:00,15,15
233,28/05/2021 , 06:15:00,27,27
234,28/05/2021 , 06:30:00,32,32
235,28/05/2021 , 06:45:00,63,63
236,28/05/2021 , 07:00:00,133,133
237,28/05/2021 , 07:15:00,188,188
238,28/05/2021 , 07:30:00,302,302
239,28/05/2021 , 07:45:00,431,431
240,28/05/2021 , 08:00:00,461,461
241,28/05/2021 , 08:15:00,652,652
242,28/05/2021 , 08:30:00,688,688
243,28/05/2021 , 08:45:00,737,737
244,28/05/2021 , 09:00:00,575,575
245,28/05/2021 , 09:15:00,445,445
246,28/05/2021 , 09:30:00,347,347
247,28/05/2021 , 09:45:00,161,161
248,28/05/2021 , 10:00:00,126,126
249,28/05/2021 , 10:15:00,224,224
250,28/05/2021 , 10:30:00,160,160
251,28/05/2021 , 10:45:00,143,143
252,28/05/2021 , 11:00:00,170,170
253,28/05/2021 , 11:15:00,90,90
254,28/05/2021 , 11:30:00,106,106
255,28/05/2021 , 11:45:00,346,346
256,28/05/2021 , 12:00:00,596,596
257,28/05/2021 , 12:15:00,595,595
258,28/05/2021 , 12:30:00,704,704
259,28/05/2021 , 12:45:00,773,773
260,28/05/2021 , 13:00:00,921,921
261,28/05/2021 , 13:15:00,701,701
262,28/05/2021 , 13:30:00,737,737
263,28/05/2021 , 13:45:00,609,609
264,28/05/2021 , 14:00:00,412,412
265,28/05/2021 , 14:15:00,341,341
266,28/05/2021 , 14:30:00,313,313
267,28/05/2021 , 14:45:00,314,314
268,28/05/2021 , 15:00:00,335,335
269,28/05/2021 , 15:15:00,306,306
270,28/05/2021 , 15:30:00,264,264
271,28/05/2021 , 15:45:00,193,193
272,28/05/2021 , 16:00:00,785,785
273,28/05/2021 , 16:15:00,3854,3854
274,28/05/2021 , 16:30:00,3368,3368
275,28/05/2021 , 16:45:00,2195,2195
276,28/05/2021 , 17:00:00,1153,1153
277,28/05/2021 , 17:15:00,766,766
278,28/05/2021 , 17:30:00,652,652
279,28/05/2021 , 17:45:00,579,579
280,28/05/2021 , 18:00:00,301,301
281,28/05/2021 , 18:15:00,59,59
282,28/05/2021 , 18:30:00,8,8
283,28/05/2021 , 18:45:00,6,6
284,28/05/2021 , 19:00:00,3,3
285,28/05/2021 , 19:15:00,3,3
286,28/05/2021 , 19:30:00,2,2
287,28/05/2021 , 19:45:00,1,1
288,28/05/2021 , 20:00:00,1,1
289,28/05/2021 , 20:15:00,2,2
290,28/05/2021 , 20:30:00,1,1
291,28/05/2021 , 20:45:00,2,2
292,28/05/2021 , 21:00:00,0,0
293,28/05/2021 , 21:15:00,0,0
294,28/05/2021 , 21:30:00,0,0
295,28/05/2021 , 21:45:00,0,0
296,28/05/2021 , 22:00:00,0,0
297,28/05/2021 , 22:15:00,0,0
298,28/05/2021 , 22:30:00,0,0
299,28/05/2021 , 22:45:00,0,0
300,28/05/2021 , 23:00:00,0,0
301,28/05/2021 , 23:15:00,0,0
302,28/05/2021 , 23:30:00,0,0
303,28/05/2021 , 23:45:00,0,0
304,28/05/2021 , 24:00:00,0,0
305,29/05/2021 , 00:15:00,0,0
306,29/05/2021 , 00:30:00,0,0
307,29/05/2021 , 00:45:00,0,0
308,29/05/2021 , 01:00:00,0,0
309,29/05/2021 , 01:15:00,0,0
310,29/05/2021 , 01:30:00,0,0
311,29/05/2021 , 01:45:00,0,0
312,29/05/2021 , 02:00:00,0,0
313,29/05/2021 , 02:15:00,0,0
314,29/05/2021 , 02:30:00,0,0
315,29/05/2021 , 02:45:00,0,0
316,29/05/2021 , 03:00:00,0,0
317,29/05/2021 , 03:15:00,0,0
318,29/05/2021 , 03:30:00,0,0
319,29/05/2021 , 03:45:00,0,0
320,29/05/2021 , 04:00:00,0,0
321,29/05/2021 , 04:15:00,0,0
322,29/05/2021 , 04:30:00,0,0
323,29/05/2021 , 04:45:00,0,0
324,29/05/2021 , 05:00:00,0,0
325,29/05/2021 , 05:15:00,0,0
326,29/05/2021 , 05:30:00,2,2
327,29/05/2021 , 05:45:00,8,8
328,29/05/2021 , 06:00:00,14,14
329,29/05/2021 , 06:15:00,32,32
330,29/05/2021 , 06:30:00,78,78
331,29/05/2021 , 06:45:00,218,218
332,29/05/2021 , 07:00:00,332,332
333,29/05/2021 , 07:15:00,439,439
334,29/05/2021 , 07:30:00,550,550
335,29/05/2021 , 07:45:00,676,676
336,29/05/2021 , 08:00:00,812,812
337,29/05/2021 , 08:15:00,1033,1033
338,29/05/2021 , 08:30:00,1292,1292
339,29/05/2021 , 08:45:00,1471,1471
340,29/05/2021 , 09:00:00,1711,1711
341,29/05/2021 , 09:15:00,864,864
342,29/05/2021 , 09:30:00,82,82
343,29/05/2021 , 09:45:00,55,55
344,29/05/2021 , 10:00:00,48,48
345,29/05/2021 , 10:15:00,55,55
346,29/05/2021 , 10:30:00,56,56
347,29/05/2021 , 10:45:00,57,57
348,29/05/2021 , 11:00:00,84,84
349,29/05/2021 , 11:15:00,83,83
350,29/05/2021 , 11:30:00,118,118
351,29/05/2021 , 11:45:00,142,142
352,29/05/2021 , 12:00:00,161,161
353,29/05/2021 , 12:15:00,396,396
354,29/05/2021 , 12:30:00,868,868
355,29/05/2021 , 12:45:00,908,908
356,29/05/2021 , 13:00:00,1089,1089
357,29/05/2021 , 13:15:00,1102,1102
358,29/05/2021 , 13:30:00,1178,1178
359,29/05/2021 , 13:45:00,1278,1278
360,29/05/2021 , 14:00:00,1398,1398
361,29/05/2021 , 14:15:00,1503,1503
362,29/05/2021 , 14:30:00,1457,1457
363,29/05/2021 , 14:45:00,1561,1561
364,29/05/2021 , 15:00:00,1836,1836
365,29/05/2021 , 15:15:00,2036,2036
366,29/05/2021 , 15:30:00,2195,2195
367,29/05/2021 , 15:45:00,2359,2359
368,29/05/2021 , 16:00:00,2524,2524
369,29/05/2021 , 16:15:00,2573,2573
370,29/05/2021 , 16:30:00,2640,2640
371,29/05/2021 , 16:45:00,3474,3474
372,29/05/2021 , 17:00:00,2861,2861
373,29/05/2021 , 17:15:00,1934,1934
374,29/05/2021 , 17:30:00,1039,1039
375,29/05/2021 , 17:45:00,961,961
376,29/05/2021 , 18:00:00,583,583
377,29/05/2021 , 18:15:00,225,225
378,29/05/2021 , 18:30:00,66,66
379,29/05/2021 , 18:45:00,16,16
380,29/05/2021 , 19:00:00,17,17
381,29/05/2021 , 19:15:00,8,8
382,29/05/2021 , 19:30:00,1,1
383,29/05/2021 , 19:45:00,2,2
384,29/05/2021 , 20:00:00,3,3
385,29/05/2021 , 20:15:00,2,2
386,29/05/2021 , 20:30:00,1,1
387,29/05/2021 , 20:45:00,0,0
388,29/05/2021 , 21:00:00,0,0
389,29/05/2021 , 21:15:00,0,0
390,29/05/2021 , 21:30:00,0,0
391,29/05/2021 , 21:45:00,0,0
392,29/05/2021 , 22:00:00,0,0
393,29/05/2021 , 22:15:00,0,0
394,29/05/2021 , 22:30:00,0,0
395,29/05/2021 , 22:45:00,0,0
396,29/05/2021 , 23:00:00,0,0
397,29/05/2021 , 23:15:00,0,0
398,29/05/2021 , 23:30:00,0,0
399,29/05/2021 , 23:45:00,0,0
400,29/05/2021 , 24:00:00,0,0
401,30/05/2021 , 00:15:00,0,0
402,30/05/2021 , 00:30:00,0,0
403,30/05/2021 , 00:45:00,0,0
404,30/05/2021 , 01:00:00,0,0
405,30/05/2021 , 01:15:00,0,0
406,30/05/2021 , 01:30:00,0,0
407,30/05/2021 , 01:45:00,0,0
408,30/05/2021 , 02:00:00,0,0
409,30/05/2021 , 02:15:00,0,0
410,30/05/2021 , 02:30:00,0,0
411,30/05/2021 , 02:45:00,0,0
412,30/05/2021 , 03:00:00,0,0
413,30/05/2021 , 03:15:00,0,0
414,30/05/2021 , 03:30:00,0,0
415,30/05/2021 , 03:45:00,0,0
416,30/05/2021 , 04:00:00,0,0
417,30/05/2021 , 04:15:00,0,0
418,30/05/2021 , 04:30:00,0,0
419,30/05/2021 , 04:45:00,0,0
420,30/05/2021 , 05:00:00,0,0
