"Plot Title: BO"
"#","Date Time, GMT-07:00","High Range, μS/cm (LGR S/N: 21076249, SEN S/N: 21076249)","Temp, °C (LGR S/N: 21076249, SEN S/N: 21076249)"
1,05/25/21 02:00:00 PM,0.0,22.91
2,05/25/21 02:15:00 PM,0.0,22.97
3,05/25/21 02:30:00 PM,0.0,23.02
4,05/25/21 02:45:00 PM,0.0,22.94
5,05/25/21 03:00:00 PM,0.0,22.95
6,05/25/21 03:15:00 PM,0.0,22.97
7,05/25/21 03:30:00 PM,0.0,22.94
8,05/25/21 03:45:00 PM,0.0,22.90
9,05/25/21 04:00:00 PM,0.0,23.43
10,05/25/21 04:15:00 PM,0.0,23.20
11,05/25/21 04:30:00 PM,0.0,22.85
12,05/25/21 04:45:00 PM,0.0,22.75
13,05/25/21 05:00:00 PM,0.0,22.75
14,05/25/21 05:15:00 PM,0.0,22.67
15,05/25/21 05:30:00 PM,0.0,22.58
16,05/25/21 05:45:00 PM,0.0,22.53
17,05/25/21 06:00:00 PM,0.0,22.54
18,05/25/21 06:15:00 PM,0.0,22.58
19,05/25/21 06:30:00 PM,0.0,22.63
20,05/25/21 06:45:00 PM,0.0,22.70
21,05/25/21 07:00:00 PM,0.0,22.75
22,05/25/21 07:15:00 PM,0.0,22.78
23,05/25/21 07:30:00 PM,0.0,22.84
24,05/25/21 07:45:00 PM,0.0,22.87
25,05/25/21 08:00:00 PM,0.0,22.91
26,05/25/21 08:15:00 PM,0.0,22.92
27,05/25/21 08:30:00 PM,0.0,22.95
28,05/25/21 08:45:00 PM,0.0,22.96
29,05/25/21 09:00:00 PM,0.0,22.97
30,05/25/21 09:15:00 PM,0.0,22.96
31,05/25/21 09:30:00 PM,0.0,22.96
32,05/25/21 09:45:00 PM,0.0,22.94
33,05/25/21 10:00:00 PM,0.0,22.89
34,05/25/21 10:15:00 PM,0.0,22.87
35,05/25/21 10:30:00 PM,0.0,22.86
36,05/25/21 10:45:00 PM,0.0,22.86
37,05/25/21 11:00:00 PM,0.0,22.76
38,05/25/21 11:15:00 PM,0.0,22.60
39,05/25/21 11:30:00 PM,0.0,22.43
40,05/25/21 11:45:00 PM,0.0,22.28
41,05/26/21 12:00:00 AM,0.0,22.13
42,05/26/21 12:15:00 AM,0.0,21.98
43,05/26/21 12:30:00 AM,0.0,21.86
44,05/26/21 12:45:00 AM,0.0,21.75
45,05/26/21 01:00:00 AM,0.0,21.63
46,05/26/21 01:15:00 AM,0.0,21.53
47,05/26/21 01:30:00 AM,0.0,21.43
48,05/26/21 01:45:00 AM,0.0,21.36
49,05/26/21 02:00:00 AM,0.0,21.28
50,05/26/21 02:15:00 AM,0.0,21.20
51,05/26/21 02:30:00 AM,0.0,21.14
52,05/26/21 02:45:00 AM,0.0,21.07
53,05/26/21 03:00:00 AM,0.0,21.00
54,05/26/21 03:15:00 AM,0.0,20.93
55,05/26/21 03:30:00 AM,0.0,20.86
56,05/26/21 03:45:00 AM,0.0,20.83
57,05/26/21 04:00:00 AM,0.0,20.78
58,05/26/21 04:15:00 AM,0.0,20.72
59,05/26/21 04:30:00 AM,0.0,20.67
60,05/26/21 04:45:00 AM,0.0,20.62
61,05/26/21 05:00:00 AM,0.0,20.57
62,05/26/21 05:15:00 AM,0.0,20.52
63,05/26/21 05:30:00 AM,0.0,20.46
64,05/26/21 05:45:00 AM,0.0,20.42
65,05/26/21 06:00:00 AM,0.0,20.37
66,05/26/21 06:15:00 AM,0.0,20.32
67,05/26/21 06:30:00 AM,0.0,20.28
68,05/26/21 06:45:00 AM,0.0,20.11
69,05/26/21 07:00:00 AM,0.0,20.35
70,05/26/21 07:15:00 AM,0.0,20.61
71,05/26/21 07:30:00 AM,0.0,20.40
72,05/26/21 07:45:00 AM,0.0,20.81
73,05/26/21 08:00:00 AM,0.0,20.66
74,05/26/21 08:15:00 AM,0.0,20.51
75,05/26/21 08:30:00 AM,0.0,20.45
76,05/26/21 08:45:00 AM,0.0,20.38
77,05/26/21 09:00:00 AM,0.0,20.26
78,05/26/21 09:15:00 AM,0.0,20.62
79,05/26/21 09:30:00 AM,0.0,20.33
80,05/26/21 09:45:00 AM,0.0,20.33
81,05/26/21 10:00:00 AM,0.0,20.61
82,05/26/21 10:15:00 AM,0.0,20.36
83,05/26/21 10:30:00 AM,0.0,20.23
84,05/26/21 10:45:00 AM,0.0,20.61
85,05/26/21 11:00:00 AM,0.0,20.66
86,05/26/21 11:15:00 AM,0.0,20.40
87,05/26/21 11:30:00 AM,0.0,20.32
88,05/26/21 11:45:00 AM,0.0,20.37
89,05/26/21 12:00:00 PM,0.0,20.75
90,05/26/21 12:15:00 PM,0.0,20.81
91,05/26/21 12:30:00 PM,0.0,20.71
92,05/26/21 12:45:00 PM,0.0,20.69
93,05/26/21 01:00:00 PM,0.0,20.64
94,05/26/21 01:15:00 PM,0.0,20.65
95,05/26/21 01:30:00 PM,0.0,20.70
96,05/26/21 01:45:00 PM,0.0,20.74
97,05/26/21 02:00:00 PM,0.0,20.79
98,05/26/21 02:15:00 PM,0.0,20.83
99,05/26/21 02:30:00 PM,0.0,21.03
100,05/26/21 02:45:00 PM,0.0,21.27
101,05/26/21 03:00:00 PM,0.0,21.44
102,05/26/21 03:15:00 PM,0.0,21.56
103,05/26/21 03:30:00 PM,0.0,21.66
104,05/26/21 03:45:00 PM,0.0,21.74
105,05/26/21 04:00:00 PM,0.0,21.89
106,05/26/21 04:15:00 PM,0.0,22.00
107,05/26/21 04:30:00 PM,0.0,21.72
108,05/26/21 04:45:00 PM,0.0,21.86
109,05/26/21 05:00:00 PM,0.0,24.57
110,05/26/21 05:15:00 PM,0.0,25.77
111,05/26/21 05:30:00 PM,0.0,23.72
112,05/26/21 05:45:00 PM,0.0,23.20
113,05/26/21 06:00:00 PM,0.0,23.15
114,05/26/21 06:15:00 PM,0.0,23.13
115,05/26/21 06:30:00 PM,0.0,23.02
116,05/26/21 06:45:00 PM,0.0,22.89
117,05/26/21 07:00:00 PM,0.0,22.77
118,05/26/21 07:15:00 PM,0.0,22.68
119,05/26/21 07:30:00 PM,0.0,22.58
120,05/26/21 07:45:00 PM,0.0,22.56
121,05/26/21 08:00:00 PM,0.0,22.63
122,05/26/21 08:15:00 PM,0.0,22.61
123,05/26/21 08:30:00 PM,0.0,22.53
124,05/26/21 08:45:00 PM,0.0,22.46
125,05/26/21 09:00:00 PM,0.0,22.35
126,05/26/21 09:15:00 PM,0.0,22.27
127,05/26/21 09:30:00 PM,0.0,22.19
128,05/26/21 09:45:00 PM,0.0,22.14
129,05/26/21 10:00:00 PM,0.0,22.06
130,05/26/21 10:15:00 PM,0.0,21.99
131,05/26/21 10:30:00 PM,0.0,21.91
132,05/26/21 10:45:00 PM,0.0,21.84
133,05/26/21 11:00:00 PM,0.0,21.79
134,05/26/21 11:15:00 PM,0.0,21.71
135,05/26/21 11:30:00 PM,0.0,21.66
136,05/26/21 11:45:00 PM,0.0,21.58
137,05/27/21 12:00:00 AM,0.0,21.52
138,05/27/21 12:15:00 AM,0.0,21.47
139,05/27/21 12:30:00 AM,0.0,21.41
140,05/27/21 12:45:00 AM,0.0,21.36
141,05/27/21 01:00:00 AM,0.0,21.31
142,05/27/21 01:15:00 AM,0.0,21.26
143,05/27/21 01:30:00 AM,0.0,21.22
144,05/27/21 01:45:00 AM,0.0,21.17
145,05/27/21 02:00:00 AM,0.0,21.10
146,05/27/21 02:15:00 AM,0.0,21.08
147,05/27/21 02:30:00 AM,0.0,21.02
148,05/27/21 02:45:00 AM,0.0,20.96
149,05/27/21 03:00:00 AM,0.0,20.94
150,05/27/21 03:15:00 AM,0.0,20.88
151,05/27/21 03:30:00 AM,0.0,20.85
152,05/27/21 03:45:00 AM,0.0,20.81
153,05/27/21 04:00:00 AM,0.0,20.75
154,05/27/21 04:15:00 AM,0.0,20.74
155,05/27/21 04:30:00 AM,0.0,20.69
156,05/27/21 04:45:00 AM,0.0,20.65
157,05/27/21 05:00:00 AM,0.0,20.61
158,05/27/21 05:15:00 AM,0.0,20.56
159,05/27/21 05:30:00 AM,0.0,20.50
160,05/27/21 05:45:00 AM,0.0,20.43
161,05/27/21 06:00:00 AM,0.0,20.38
162,05/27/21 06:15:00 AM,0.0,20.33
163,05/27/21 06:30:00 AM,0.0,20.31
164,05/27/21 06:45:00 AM,0.0,20.28
