"Plot Title: JL"
"#","Date Time, GMT-07:00","High Range, μS/cm (LGR S/N: 21076247, SEN S/N: 21076247)","Temp, °C (LGR S/N: 21076247, SEN S/N: 21076247)"
1,05/25/21 02:00:00 PM,0.0,22.96
2,05/25/21 02:15:00 PM,0.0,23.04
3,05/25/21 02:30:00 PM,0.0,23.06
4,05/25/21 02:45:00 PM,0.0,23.01
5,05/25/21 03:00:00 PM,0.0,23.02
6,05/25/21 03:15:00 PM,0.0,23.09
7,05/25/21 03:30:00 PM,0.0,23.06
8,05/25/21 03:45:00 PM,0.0,23.58
9,05/25/21 04:00:00 PM,0.0,22.27
10,05/25/21 04:15:00 PM,0.0,21.58
11,05/25/21 04:30:00 PM,0.0,21.42
12,05/25/21 04:45:00 PM,0.0,21.41
13,05/25/21 05:00:00 PM,0.0,21.51
14,05/25/21 05:15:00 PM,0.0,21.52
15,05/25/21 05:30:00 PM,0.0,21.57
16,05/25/21 05:45:00 PM,0.0,21.60
17,05/25/21 06:00:00 PM,0.0,21.63
18,05/25/21 06:15:00 PM,0.0,21.67
19,05/25/21 06:30:00 PM,0.0,21.72
20,05/25/21 06:45:00 PM,0.0,21.82
21,05/25/21 07:00:00 PM,0.0,21.86
22,05/25/21 07:15:00 PM,0.0,21.91
23,05/25/21 07:30:00 PM,0.0,21.96
24,05/25/21 07:45:00 PM,0.0,21.99
25,05/25/21 08:00:00 PM,0.0,22.04
26,05/25/21 08:15:00 PM,0.0,22.05
27,05/25/21 08:30:00 PM,0.0,22.06
28,05/25/21 08:45:00 PM,0.0,22.06
29,05/25/21 09:00:00 PM,0.0,22.08
30,05/25/21 09:15:00 PM,0.0,22.06
31,05/25/21 09:30:00 PM,0.0,22.03
32,05/25/21 09:45:00 PM,0.0,21.98
33,05/25/21 10:00:00 PM,0.0,21.81
34,05/25/21 10:15:00 PM,0.0,21.81
35,05/25/21 10:30:00 PM,0.0,23.57
36,05/25/21 10:45:00 PM,0.0,25.70
37,05/25/21 11:00:00 PM,0.0,24.57
38,05/25/21 11:15:00 PM,0.0,23.21
39,05/25/21 11:30:00 PM,0.0,22.49
40,05/25/21 11:45:00 PM,0.0,22.11
41,05/26/21 12:00:00 AM,0.0,21.89
42,05/26/21 12:15:00 AM,0.0,21.71
43,05/26/21 12:30:00 AM,0.0,21.61
44,05/26/21 12:45:00 AM,0.0,21.51
45,05/26/21 01:00:00 AM,0.0,21.43
46,05/26/21 01:15:00 AM,0.0,21.37
47,05/26/21 01:30:00 AM,0.0,21.29
48,05/26/21 01:45:00 AM,0.0,21.26
49,05/26/21 02:00:00 AM,0.0,21.20
50,05/26/21 02:15:00 AM,0.0,21.15
51,05/26/21 02:30:00 AM,0.0,21.13
52,05/26/21 02:45:00 AM,0.0,21.08
53,05/26/21 03:00:00 AM,0.0,21.04
54,05/26/21 03:15:00 AM,0.0,20.99
55,05/26/21 03:30:00 AM,0.0,20.95
56,05/26/21 03:45:00 AM,0.0,20.91
57,05/26/21 04:00:00 AM,0.0,20.89
58,05/26/21 04:15:00 AM,0.0,20.84
59,05/26/21 04:30:00 AM,0.0,20.81
60,05/26/21 04:45:00 AM,0.0,20.76
61,05/26/21 05:00:00 AM,0.0,20.72
62,05/26/21 05:15:00 AM,0.0,20.69
63,05/26/21 05:30:00 AM,0.0,20.65
64,05/26/21 05:45:00 AM,0.0,20.61
65,05/26/21 06:00:00 AM,0.0,20.56
66,05/26/21 06:15:00 AM,0.0,20.53
67,05/26/21 06:30:00 AM,0.0,20.50
68,05/26/21 06:45:00 AM,0.0,20.46
69,05/26/21 07:00:00 AM,0.0,20.43
70,05/26/21 07:15:00 AM,0.0,20.51
71,05/26/21 07:30:00 AM,0.0,20.52
72,05/26/21 07:45:00 AM,0.0,20.62
73,05/26/21 08:00:00 AM,0.0,20.69
74,05/26/21 08:15:00 AM,0.0,20.70
75,05/26/21 08:30:00 AM,0.0,20.71
76,05/26/21 08:45:00 AM,0.0,20.71
77,05/26/21 09:00:00 AM,0.0,20.66
78,05/26/21 09:15:00 AM,0.0,20.69
79,05/26/21 09:30:00 AM,0.0,20.66
80,05/26/21 09:45:00 AM,0.0,20.61
81,05/26/21 10:00:00 AM,0.0,20.65
82,05/26/21 10:15:00 AM,0.0,20.64
83,05/26/21 10:30:00 AM,0.0,20.61
84,05/26/21 10:45:00 AM,0.0,21.04
85,05/26/21 11:00:00 AM,0.0,21.23
86,05/26/21 11:15:00 AM,0.0,19.32
87,05/26/21 11:30:00 AM,0.0,18.49
88,05/26/21 11:45:00 AM,0.0,18.13
89,05/26/21 12:00:00 PM,0.0,17.46
90,05/26/21 12:15:00 PM,4397.7,17.11
91,05/26/21 12:30:00 PM,23226.2,17.32
92,05/26/21 12:45:00 PM,18501.0,17.64
93,05/26/21 01:00:00 PM,19318.6,18.07
94,05/26/21 01:15:00 PM,19803.8,18.47
95,05/26/21 01:30:00 PM,27400.2,18.20
96,05/26/21 01:45:00 PM,25146.1,18.17
97,05/26/21 02:00:00 PM,26200.3,17.55
98,05/26/21 02:15:00 PM,27793.6,17.07
99,05/26/21 02:30:00 PM,31051.0,16.00
100,05/26/21 02:45:00 PM,30978.1,15.45
101,05/26/21 03:00:00 PM,31935.7,14.47
102,05/26/21 03:15:00 PM,33043.2,12.40
103,05/26/21 03:30:00 PM,32760.1,11.75
104,05/26/21 03:45:00 PM,33023.6,11.20
105,05/26/21 04:00:00 PM,32811.7,10.94
106,05/26/21 04:15:00 PM,33086.6,10.79
107,05/26/21 04:30:00 PM,33432.5,10.78
108,05/26/21 04:45:00 PM,33613.7,10.61
109,05/26/21 05:00:00 PM,33762.7,10.74
110,05/26/21 05:15:00 PM,33834.1,10.73
111,05/26/21 05:30:00 PM,33896.8,10.79
112,05/26/21 05:45:00 PM,33952.9,10.89
113,05/26/21 06:00:00 PM,33919.2,10.85
114,05/26/21 06:15:00 PM,33926.0,10.85
115,05/26/21 06:30:00 PM,33843.1,10.82
116,05/26/21 06:45:00 PM,33591.6,10.82
117,05/26/21 07:00:00 PM,33892.3,10.89
118,05/26/21 07:15:00 PM,33892.3,10.90
119,05/26/21 07:30:00 PM,33854.3,10.89
120,05/26/21 07:45:00 PM,33901.3,10.93
121,05/26/21 08:00:00 PM,33948.4,11.02
122,05/26/21 08:15:00 PM,33890.1,10.95
123,05/26/21 08:30:00 PM,33937.2,11.09
124,05/26/21 08:45:00 PM,33930.4,11.09
125,05/26/21 09:00:00 PM,33979.8,11.12
126,05/26/21 09:15:00 PM,34009.1,11.17
127,05/26/21 09:30:00 PM,34031.6,11.20
128,05/26/21 09:45:00 PM,34036.1,11.18
129,05/26/21 10:00:00 PM,33937.2,10.99
130,05/26/21 10:15:00 PM,33957.4,11.01
131,05/26/21 10:30:00 PM,33968.6,11.04
132,05/26/21 10:45:00 PM,33968.6,11.03
133,05/26/21 11:00:00 PM,33977.6,10.99
134,05/26/21 11:15:00 PM,33941.7,11.02
135,05/26/21 11:30:00 PM,33892.3,10.90
136,05/26/21 11:45:00 PM,33874.4,10.89
137,05/27/21 12:00:00 AM,33867.7,10.88
138,05/27/21 12:15:00 AM,33858.7,10.87
139,05/27/21 12:30:00 AM,33863.2,10.85
140,05/27/21 12:45:00 AM,33872.2,10.89
141,05/27/21 01:00:00 AM,33887.9,10.88
142,05/27/21 01:15:00 AM,33899.1,10.92
143,05/27/21 01:30:00 AM,33894.6,10.95
144,05/27/21 01:45:00 AM,33977.6,11.04
145,05/27/21 02:00:00 AM,33948.4,11.11
146,05/27/21 02:15:00 AM,33946.2,11.11
147,05/27/21 02:30:00 AM,33946.2,11.08
148,05/27/21 02:45:00 AM,33926.0,11.07
149,05/27/21 03:00:00 AM,33930.4,11.04
150,05/27/21 03:15:00 AM,33932.7,11.07
151,05/27/21 03:30:00 AM,33919.2,11.08
152,05/27/21 03:45:00 AM,33919.2,11.09
153,05/27/21 04:00:00 AM,33917.0,11.11
154,05/27/21 04:15:00 AM,33932.7,11.12
155,05/27/21 04:30:00 AM,33930.4,11.13
156,05/27/21 04:45:00 AM,33932.7,11.13
157,05/27/21 05:00:00 AM,33718.1,11.18
158,05/27/21 05:15:00 AM,33261.2,11.31
159,05/27/21 05:30:00 AM,32978.1,11.42
160,05/27/21 05:45:00 AM,32941.3,11.57
161,05/27/21 06:00:00 AM,32982.4,11.60
162,05/27/21 06:15:00 AM,33010.6,11.64
163,05/27/21 06:30:00 AM,33012.8,11.71
164,05/27/21 06:45:00 AM,33014.9,11.78
165,05/27/21 07:00:00 AM,32982.4,11.88
166,05/27/21 07:15:00 AM,32921.8,12.03
167,05/27/21 07:30:00 AM,32811.7,12.12
168,05/27/21 07:45:00 AM,32783.7,12.13
169,05/27/21 08:00:00 AM,32826.8,12.18
170,05/27/21 08:15:00 AM,32906.6,12.31
171,05/27/21 08:30:00 AM,33252.5,12.45
172,05/27/21 08:45:00 AM,33538.4,12.66
173,05/27/21 09:00:00 AM,33952.9,12.88
174,05/27/21 09:15:00 AM,33966.4,13.07
175,05/27/21 09:30:00 AM,33946.2,13.09
176,05/27/21 09:45:00 AM,33912.5,13.10
177,05/27/21 10:00:00 AM,33905.8,13.08
178,05/27/21 10:15:00 AM,33934.9,13.08
179,05/27/21 10:30:00 AM,33939.4,13.09
180,05/27/21 10:45:00 AM,33961.9,13.14
181,05/27/21 11:00:00 AM,33970.9,13.24
182,05/27/21 11:15:00 AM,33368.7,13.47
183,05/27/21 11:30:00 AM,31183.0,13.65
184,05/27/21 11:45:00 AM,28614.9,13.92
185,05/27/21 12:00:00 PM,26914.6,14.19
186,05/27/21 12:15:00 PM,26020.4,14.35
187,05/27/21 12:30:00 PM,27441.9,14.30
188,05/27/21 12:45:00 PM,28782.4,14.35
189,05/27/21 01:00:00 PM,29979.4,14.85
190,05/27/21 01:15:00 PM,31146.4,15.30
191,05/27/21 01:30:00 PM,30413.1,15.54
192,05/27/21 01:45:00 PM,26189.8,15.48
193,05/27/21 02:00:00 PM,24032.3,15.66
194,05/27/21 02:15:00 PM,25715.1,15.78
195,05/27/21 02:30:00 PM,26608.7,15.95
196,05/27/21 02:45:00 PM,27336.9,15.45
197,05/27/21 03:00:00 PM,30071.5,14.89
198,05/27/21 03:15:00 PM,32891.5,14.18
199,05/27/21 03:30:00 PM,33406.1,13.62
200,05/27/21 03:45:00 PM,33669.2,13.08
201,05/27/21 04:00:00 PM,33647.0,11.45
202,05/27/21 04:15:00 PM,33627.0,11.06
203,05/27/21 04:30:00 PM,33567.2,10.83
204,05/27/21 04:45:00 PM,33658.1,10.85
205,05/27/21 05:00:00 PM,33609.3,10.60
206,05/27/21 05:15:00 PM,33534.0,10.40
207,05/27/21 05:30:00 PM,33596.0,10.44
208,05/27/21 05:45:00 PM,33640.3,10.49
209,05/27/21 06:00:00 PM,33620.4,10.47
210,05/27/21 06:15:00 PM,33607.1,10.44
211,05/27/21 06:30:00 PM,33600.4,10.44
212,05/27/21 06:45:00 PM,33573.8,10.46
213,05/27/21 07:00:00 PM,33598.2,10.46
214,05/27/21 07:15:00 PM,33593.8,10.49
215,05/27/21 07:30:00 PM,33615.9,10.50
216,05/27/21 07:45:00 PM,33598.2,10.53
217,05/27/21 08:00:00 PM,33604.9,10.55
218,05/27/21 08:15:00 PM,33598.2,10.55
219,05/27/21 08:30:00 PM,33611.5,10.54
220,05/27/21 08:45:00 PM,33624.8,10.56
221,05/27/21 09:00:00 PM,33613.7,10.59
222,05/27/21 09:15:00 PM,33627.0,10.63
223,05/27/21 09:30:00 PM,33640.3,10.64
224,05/27/21 09:45:00 PM,33647.0,10.66
225,05/27/21 10:00:00 PM,33660.3,10.70
226,05/27/21 10:15:00 PM,33671.4,10.77
227,05/27/21 10:30:00 PM,33720.4,10.89
228,05/27/21 10:45:00 PM,33724.8,10.99
229,05/27/21 11:00:00 PM,33751.6,11.11
230,05/27/21 11:15:00 PM,33753.8,11.12
231,05/27/21 11:30:00 PM,33767.2,11.20
232,05/27/21 11:45:00 PM,33747.1,11.30
233,05/28/21 12:00:00 AM,33802.9,11.41
234,05/28/21 12:15:00 AM,33818.5,11.45
235,05/28/21 12:30:00 AM,33836.4,11.54
236,05/28/21 12:45:00 AM,33838.6,11.62
237,05/28/21 01:00:00 AM,33849.8,11.66
238,05/28/21 01:15:00 AM,33849.8,11.69
239,05/28/21 01:30:00 AM,33856.5,11.66
240,05/28/21 01:45:00 AM,33840.9,11.61
241,05/28/21 02:00:00 AM,33802.9,11.40
242,05/28/21 02:15:00 AM,33778.3,11.21
243,05/28/21 02:30:00 AM,33709.2,11.04
244,05/28/21 02:45:00 AM,33704.8,10.89
245,05/28/21 03:00:00 AM,33675.9,10.83
246,05/28/21 03:15:00 AM,33671.4,10.78
247,05/28/21 03:30:00 AM,33649.2,10.71
248,05/28/21 03:45:00 AM,33649.2,10.68
249,05/28/21 04:00:00 AM,33629.3,10.63
250,05/28/21 04:15:00 AM,33620.4,10.65
251,05/28/21 04:30:00 AM,33627.0,10.66
252,05/28/21 04:45:00 AM,33604.9,10.65
253,05/28/21 05:00:00 AM,33534.0,10.66
254,05/28/21 05:15:00 AM,33305.0,10.65
255,05/28/21 05:30:00 AM,33278.7,10.66
256,05/28/21 05:45:00 AM,33206.5,10.66
257,05/28/21 06:00:00 AM,33141.1,10.68
258,05/28/21 06:15:00 AM,33093.2,10.68
259,05/28/21 06:30:00 AM,33051.8,10.70
260,05/28/21 06:45:00 AM,32960.7,10.71
261,05/28/21 07:00:00 AM,32822.5,10.74
262,05/28/21 07:15:00 AM,32697.8,10.74
263,05/28/21 07:30:00 AM,32650.6,10.77
264,05/28/21 07:45:00 AM,32416.0,10.79
265,05/28/21 08:00:00 AM,31956.6,10.79
266,05/28/21 08:15:00 AM,31692.4,10.80
267,05/28/21 08:30:00 AM,31619.9,10.83
268,05/28/21 08:45:00 AM,31810.7,10.90
269,05/28/21 09:00:00 AM,32120.1,11.01
270,05/28/21 09:15:00 AM,32479.8,11.14
271,05/28/21 09:30:00 AM,33165.1,11.55
272,05/28/21 09:45:00 AM,33874.4,11.80
273,05/28/21 10:00:00 AM,33834.1,12.26
274,05/28/21 10:15:00 AM,33691.4,12.65
275,05/28/21 10:30:00 AM,33939.4,12.74
276,05/28/21 10:45:00 AM,34065.4,12.83
277,05/28/21 11:00:00 AM,33984.3,13.19
278,05/28/21 11:15:00 AM,33787.2,13.65
279,05/28/21 11:30:00 AM,33296.3,14.38
280,05/28/21 11:45:00 AM,30057.8,15.48
281,05/28/21 12:00:00 PM,27955.2,16.24
282,05/28/21 12:15:00 PM,27409.3,16.64
283,05/28/21 12:30:00 PM,25763.5,16.95
284,05/28/21 12:45:00 PM,24312.1,17.29
285,05/28/21 01:00:00 PM,24417.0,17.55
286,05/28/21 01:15:00 PM,27070.4,17.68
287,05/28/21 01:30:00 PM,26402.2,17.94
288,05/28/21 01:45:00 PM,25839.7,18.34
289,05/28/21 02:00:00 PM,24101.6,18.97
290,05/28/21 02:15:00 PM,499.3,18.98
291,05/28/21 02:30:00 PM,498.8,18.84
292,05/28/21 02:45:00 PM,21661.7,19.59
293,05/28/21 03:00:00 PM,21394.0,20.02
294,05/28/21 03:15:00 PM,22026.5,20.09
295,05/28/21 03:30:00 PM,26342.3,20.27
296,05/28/21 03:45:00 PM,28673.2,20.81
297,05/28/21 04:00:00 PM,31120.0,19.56
298,05/28/21 04:15:00 PM,33997.8,17.87
299,05/28/21 04:30:00 PM,34264.5,16.38
300,05/28/21 04:45:00 PM,34015.8,15.45
301,05/28/21 05:00:00 PM,33627.0,13.70
302,05/28/21 05:15:00 PM,33086.6,12.05
303,05/28/21 05:30:00 PM,32859.1,11.56
304,05/28/21 05:45:00 PM,32805.2,11.31
305,05/28/21 06:00:00 PM,32902.3,11.13
306,05/28/21 06:15:00 PM,32906.6,10.90
307,05/28/21 06:30:00 PM,32919.6,10.83
308,05/28/21 06:45:00 PM,32917.5,10.84
309,05/28/21 07:00:00 PM,32952.1,10.85
310,05/28/21 07:15:00 PM,32965.1,10.85
311,05/28/21 07:30:00 PM,32975.9,10.89
312,05/28/21 07:45:00 PM,32962.9,10.89
313,05/28/21 08:00:00 PM,32995.4,10.90
314,05/28/21 08:15:00 PM,32986.7,10.90
315,05/28/21 08:30:00 PM,33004.1,10.85
316,05/28/21 08:45:00 PM,33117.1,10.84
317,05/28/21 09:00:00 PM,33038.8,10.77
318,05/28/21 09:15:00 PM,33088.8,10.80
319,05/28/21 09:30:00 PM,33038.8,10.75
320,05/28/21 09:45:00 PM,33093.2,10.79
321,05/28/21 10:00:00 PM,33077.9,10.82
322,05/28/21 10:15:00 PM,33084.5,10.84
323,05/28/21 10:30:00 PM,33086.6,10.88
324,05/28/21 10:45:00 PM,33101.9,10.88
325,05/28/21 11:00:00 PM,33134.5,10.95
326,05/28/21 11:15:00 PM,33147.6,10.97
327,05/28/21 11:30:00 PM,33064.9,10.94
328,05/28/21 11:45:00 PM,33077.9,10.97
329,05/29/21 12:00:00 AM,33091.0,10.95
330,05/29/21 12:15:00 AM,33091.0,10.94
331,05/29/21 12:30:00 AM,33075.8,10.94
332,05/29/21 12:45:00 AM,33088.8,10.97
333,05/29/21 01:00:00 AM,33080.1,10.95
334,05/29/21 01:15:00 AM,33067.1,10.93
335,05/29/21 01:30:00 AM,33032.3,10.89
336,05/29/21 01:45:00 AM,33067.1,10.93
337,05/29/21 02:00:00 AM,33038.8,10.90
338,05/29/21 02:15:00 AM,33067.1,10.92
339,05/29/21 02:30:00 AM,33071.4,10.93
340,05/29/21 02:45:00 AM,33084.5,10.94
341,05/29/21 03:00:00 AM,33106.2,10.97
342,05/29/21 03:15:00 AM,33084.5,10.97
343,05/29/21 03:30:00 AM,33071.4,10.95
344,05/29/21 03:45:00 AM,33069.2,10.95
345,05/29/21 04:00:00 AM,33056.2,10.94
346,05/29/21 04:15:00 AM,33062.7,10.94
347,05/29/21 04:30:00 AM,33047.5,10.94
348,05/29/21 04:45:00 AM,33034.5,10.93
349,05/29/21 05:00:00 AM,33054.0,10.95
350,05/29/21 05:15:00 AM,33073.6,10.95
351,05/29/21 05:30:00 AM,33069.2,10.97
352,05/29/21 05:45:00 AM,33069.2,10.97
353,05/29/21 06:00:00 AM,33054.0,10.98
354,05/29/21 06:15:00 AM,33060.5,10.97
355,05/29/21 06:30:00 AM,33060.5,10.97
356,05/29/21 06:45:00 AM,33060.5,10.97
357,05/29/21 07:00:00 AM,33054.0,10.95
358,05/29/21 07:15:00 AM,33025.8,10.94
359,05/29/21 07:30:00 AM,33025.8,10.94
360,05/29/21 07:45:00 AM,33038.8,10.94
361,05/29/21 08:00:00 AM,33038.8,10.97
362,05/29/21 08:15:00 AM,33054.0,10.98
363,05/29/21 08:30:00 AM,33012.8,10.94
364,05/29/21 08:45:00 AM,32975.9,10.87
