"Plot Title: NI_C_Salinity"
"#","Date Time, GMT-07:00","High Range, μS/cm (LGR S/N: 10745660, SEN S/N: 10745660)","Temp, °C (LGR S/N: 10745660, SEN S/N: 10745660)"
1,05/25/21 02:00:00 PM,0.0,23.62
2,05/25/21 02:15:00 PM,0.0,23.67
3,05/25/21 02:30:00 PM,0.0,23.71
4,05/25/21 02:45:00 PM,0.0,23.63
5,05/25/21 03:00:00 PM,0.0,23.65
6,05/25/21 03:15:00 PM,0.0,23.59
7,05/25/21 03:30:00 PM,0.0,23.63
8,05/25/21 03:45:00 PM,0.0,23.58
9,05/25/21 04:00:00 PM,0.0,23.42
10,05/25/21 04:15:00 PM,0.0,22.35
11,05/25/21 04:30:00 PM,0.0,21.99
12,05/25/21 04:45:00 PM,0.0,21.87
13,05/25/21 05:00:00 PM,0.0,21.91
14,05/25/21 05:15:00 PM,0.0,21.82
15,05/25/21 05:30:00 PM,0.0,21.86
16,05/25/21 05:45:00 PM,0.0,21.87
17,05/25/21 06:00:00 PM,0.0,21.89
18,05/25/21 06:15:00 PM,0.0,21.93
19,05/25/21 06:30:00 PM,0.0,21.98
20,05/25/21 06:45:00 PM,0.0,22.12
21,05/25/21 07:00:00 PM,0.0,22.12
22,05/25/21 07:15:00 PM,0.0,22.17
23,05/25/21 07:30:00 PM,0.0,22.20
24,05/25/21 07:45:00 PM,0.0,22.21
25,05/25/21 08:00:00 PM,0.0,22.28
26,05/25/21 08:15:00 PM,0.0,22.28
27,05/25/21 08:30:00 PM,0.0,22.31
28,05/25/21 08:45:00 PM,0.0,22.29
29,05/25/21 09:00:00 PM,0.0,22.31
30,05/25/21 09:15:00 PM,0.0,22.31
31,05/25/21 09:30:00 PM,0.0,22.32
32,05/25/21 09:45:00 PM,0.0,23.43
33,05/25/21 10:00:00 PM,0.0,24.91
34,05/25/21 10:15:00 PM,0.0,24.15
35,05/25/21 10:30:00 PM,0.0,23.62
36,05/25/21 10:45:00 PM,0.0,23.35
37,05/25/21 11:00:00 PM,0.0,22.90
38,05/25/21 11:15:00 PM,0.0,22.36
39,05/25/21 11:30:00 PM,0.0,22.07
40,05/25/21 11:45:00 PM,0.0,21.97
41,05/26/21 12:00:00 AM,0.0,21.83
42,05/26/21 12:15:00 AM,0.0,21.75
43,05/26/21 12:30:00 AM,0.0,21.70
44,05/26/21 12:45:00 AM,0.0,21.61
45,05/26/21 01:00:00 AM,0.0,21.61
46,05/26/21 01:15:00 AM,0.0,21.55
47,05/26/21 01:30:00 AM,0.0,21.48
48,05/26/21 01:45:00 AM,0.0,21.49
49,05/26/21 02:00:00 AM,0.0,21.44
50,05/26/21 02:15:00 AM,0.0,21.38
51,05/26/21 02:30:00 AM,0.0,21.40
52,05/26/21 02:45:00 AM,0.0,21.37
53,05/26/21 03:00:00 AM,0.0,21.33
54,05/26/21 03:15:00 AM,0.0,21.28
55,05/26/21 03:30:00 AM,0.0,21.25
56,05/26/21 03:45:00 AM,0.0,21.26
57,05/26/21 04:00:00 AM,0.0,21.23
58,05/26/21 04:15:00 AM,0.0,21.21
59,05/26/21 04:30:00 AM,0.0,21.19
60,05/26/21 04:45:00 AM,0.0,21.15
61,05/26/21 05:00:00 AM,0.0,21.11
62,05/26/21 05:15:00 AM,0.0,21.09
63,05/26/21 05:30:00 AM,0.0,21.04
64,05/26/21 05:45:00 AM,0.0,21.02
65,05/26/21 06:00:00 AM,0.0,20.96
66,05/26/21 06:15:00 AM,0.0,20.91
67,05/26/21 06:30:00 AM,0.0,20.88
68,05/26/21 06:45:00 AM,0.0,20.84
69,05/26/21 07:00:00 AM,0.0,20.72
70,05/26/21 07:15:00 AM,0.0,20.81
71,05/26/21 07:30:00 AM,0.0,20.83
72,05/26/21 07:45:00 AM,0.0,21.02
73,05/26/21 08:00:00 AM,0.0,21.14
74,05/26/21 08:15:00 AM,0.0,21.19
75,05/26/21 08:30:00 AM,0.0,21.22
76,05/26/21 08:45:00 AM,0.0,21.23
77,05/26/21 09:00:00 AM,0.0,21.17
78,05/26/21 09:15:00 AM,0.0,21.13
79,05/26/21 09:30:00 AM,0.0,21.06
80,05/26/21 09:45:00 AM,0.0,20.99
81,05/26/21 10:00:00 AM,0.0,21.03
82,05/26/21 10:15:00 AM,0.0,21.04
83,05/26/21 10:30:00 AM,0.0,21.03
84,05/26/21 10:45:00 AM,0.0,21.13
85,05/26/21 11:00:00 AM,0.0,21.25
86,05/26/21 11:15:00 AM,0.0,21.17
87,05/26/21 11:30:00 AM,0.0,21.14
88,05/26/21 11:45:00 AM,0.0,21.18
89,05/26/21 12:00:00 PM,0.0,21.32
90,05/26/21 12:15:00 PM,0.0,21.36
91,05/26/21 12:30:00 PM,0.0,21.33
92,05/26/21 12:45:00 PM,0.0,21.32
93,05/26/21 01:00:00 PM,0.0,21.29
94,05/26/21 01:15:00 PM,0.0,21.28
95,05/26/21 01:30:00 PM,0.0,21.26
96,05/26/21 01:45:00 PM,0.0,21.22
97,05/26/21 02:00:00 PM,0.0,21.26
98,05/26/21 02:15:00 PM,0.0,21.11
99,05/26/21 02:30:00 PM,0.0,21.68
100,05/26/21 02:45:00 PM,0.0,21.76
101,05/26/21 03:00:00 PM,0.0,21.86
102,05/26/21 03:15:00 PM,0.0,21.95
103,05/26/21 03:30:00 PM,0.0,22.63
104,05/26/21 03:45:00 PM,0.0,23.19
105,05/26/21 04:00:00 PM,0.0,22.86
106,05/26/21 04:15:00 PM,0.0,22.45
107,05/26/21 04:30:00 PM,0.0,22.12
108,05/26/21 04:45:00 PM,0.0,22.10
109,05/26/21 05:00:00 PM,0.0,22.10
110,05/26/21 05:15:00 PM,0.0,22.10
111,05/26/21 05:30:00 PM,0.0,22.09
112,05/26/21 05:45:00 PM,0.0,22.13
113,05/26/21 06:00:00 PM,0.0,22.35
114,05/26/21 06:15:00 PM,0.0,22.67
115,05/26/21 06:30:00 PM,0.0,22.79
116,05/26/21 06:45:00 PM,0.0,22.82
117,05/26/21 07:00:00 PM,0.0,22.79
118,05/26/21 07:15:00 PM,0.0,22.77
119,05/26/21 07:30:00 PM,0.0,22.73
120,05/26/21 07:45:00 PM,0.0,22.70
121,05/26/21 08:00:00 PM,0.0,22.77
122,05/26/21 08:15:00 PM,0.0,22.77
123,05/26/21 08:30:00 PM,0.0,22.73
124,05/26/21 08:45:00 PM,0.0,22.67
125,05/26/21 09:00:00 PM,0.0,22.62
126,05/26/21 09:15:00 PM,0.0,22.55
127,05/26/21 09:30:00 PM,0.0,22.47
128,05/26/21 09:45:00 PM,0.0,22.43
129,05/26/21 10:00:00 PM,0.0,22.37
130,05/26/21 10:15:00 PM,0.0,22.32
131,05/26/21 10:30:00 PM,0.0,22.25
132,05/26/21 10:45:00 PM,0.0,22.20
133,05/26/21 11:00:00 PM,0.0,22.14
134,05/26/21 11:15:00 PM,0.0,22.07
135,05/26/21 11:30:00 PM,0.0,22.02
136,05/26/21 11:45:00 PM,0.0,21.97
137,05/27/21 12:00:00 AM,0.0,21.91
138,05/27/21 12:15:00 AM,0.0,21.84
139,05/27/21 12:30:00 AM,0.0,21.79
140,05/27/21 12:45:00 AM,0.0,21.74
141,05/27/21 01:00:00 AM,0.0,21.70
142,05/27/21 01:15:00 AM,0.0,21.64
143,05/27/21 01:30:00 AM,0.0,21.59
144,05/27/21 01:45:00 AM,0.0,21.55
145,05/27/21 02:00:00 AM,0.0,21.49
146,05/27/21 02:15:00 AM,0.0,21.46
147,05/27/21 02:30:00 AM,0.0,21.41
148,05/27/21 02:45:00 AM,0.0,21.36
149,05/27/21 03:00:00 AM,0.0,21.32
150,05/27/21 03:15:00 AM,0.0,21.26
151,05/27/21 03:30:00 AM,0.0,21.22
152,05/27/21 03:45:00 AM,0.0,21.18
153,05/27/21 04:00:00 AM,0.0,21.13
154,05/27/21 04:15:00 AM,0.0,21.10
155,05/27/21 04:30:00 AM,0.0,21.06
156,05/27/21 04:45:00 AM,0.0,21.02
157,05/27/21 05:00:00 AM,0.0,20.98
158,05/27/21 05:15:00 AM,0.0,20.94
159,05/27/21 05:30:00 AM,0.0,20.88
160,05/27/21 05:45:00 AM,0.0,20.83
161,05/27/21 06:00:00 AM,0.0,20.77
162,05/27/21 06:15:00 AM,0.0,20.72
163,05/27/21 06:30:00 AM,0.0,20.67
164,05/27/21 06:45:00 AM,0.0,20.62
165,05/27/21 07:00:00 AM,0.0,20.76
166,05/27/21 07:15:00 AM,0.0,20.77
167,05/27/21 07:30:00 AM,0.0,20.94
168,05/27/21 07:45:00 AM,0.0,20.92
169,05/27/21 08:00:00 AM,0.0,21.06
170,05/27/21 08:15:00 AM,0.0,21.09
171,05/27/21 08:30:00 AM,0.0,21.19
172,05/27/21 08:45:00 AM,0.0,21.32
173,05/27/21 09:00:00 AM,0.0,21.25
174,05/27/21 09:15:00 AM,0.0,21.22
175,05/27/21 09:30:00 AM,0.0,21.42
176,05/27/21 09:45:00 AM,0.0,21.40
177,05/27/21 10:00:00 AM,0.0,21.26
178,05/27/21 10:15:00 AM,0.0,21.36
179,05/27/21 10:30:00 AM,0.0,21.26
180,05/27/21 10:45:00 AM,0.0,21.17
181,05/27/21 11:00:00 AM,0.0,21.28
182,05/27/21 11:15:00 AM,0.0,21.22
183,05/27/21 11:30:00 AM,0.0,21.13
184,05/27/21 11:45:00 AM,0.0,21.25
185,05/27/21 12:00:00 PM,0.0,21.26
186,05/27/21 12:15:00 PM,0.0,21.22
187,05/27/21 12:30:00 PM,0.0,21.19
188,05/27/21 12:45:00 PM,0.0,21.23
189,05/27/21 01:00:00 PM,0.0,21.25
190,05/27/21 01:15:00 PM,0.0,21.41
191,05/27/21 01:30:00 PM,0.0,21.56
192,05/27/21 01:45:00 PM,0.0,21.53
193,05/27/21 02:00:00 PM,0.0,21.23
194,05/27/21 02:15:00 PM,0.0,21.26
195,05/27/21 02:30:00 PM,0.0,21.28
196,05/27/21 02:45:00 PM,0.0,23.12
197,05/27/21 03:00:00 PM,0.0,22.37
198,05/27/21 03:15:00 PM,0.0,21.56
199,05/27/21 03:30:00 PM,0.0,21.29
200,05/27/21 03:45:00 PM,0.0,21.23
201,05/27/21 04:00:00 PM,0.0,21.46
202,05/27/21 04:15:00 PM,0.0,23.25
203,05/27/21 04:30:00 PM,0.0,22.12
204,05/27/21 04:45:00 PM,0.0,21.55
205,05/27/21 05:00:00 PM,0.0,21.30
206,05/27/21 05:15:00 PM,0.0,21.37
207,05/27/21 05:30:00 PM,0.0,21.48
208,05/27/21 05:45:00 PM,0.0,21.55
209,05/27/21 06:00:00 PM,0.0,21.59
210,05/27/21 06:15:00 PM,0.0,21.45
211,05/27/21 06:30:00 PM,0.0,21.37
212,05/27/21 06:45:00 PM,0.0,21.34
213,05/27/21 07:00:00 PM,0.0,21.32
214,05/27/21 07:15:00 PM,0.0,21.25
215,05/27/21 07:30:00 PM,0.0,21.18
216,05/27/21 07:45:00 PM,0.0,21.13
217,05/27/21 08:00:00 PM,0.0,21.06
218,05/27/21 08:15:00 PM,0.0,21.00
219,05/27/21 08:30:00 PM,0.0,20.94
220,05/27/21 08:45:00 PM,0.0,20.88
221,05/27/21 09:00:00 PM,0.0,20.81
222,05/27/21 09:15:00 PM,0.0,20.75
223,05/27/21 09:30:00 PM,0.0,20.69
224,05/27/21 09:45:00 PM,0.0,20.64
225,05/27/21 10:00:00 PM,0.0,20.58
226,05/27/21 10:15:00 PM,0.0,22.10
227,05/27/21 10:30:00 PM,0.0,21.38
228,05/27/21 10:45:00 PM,0.0,20.91
229,05/27/21 11:00:00 PM,0.0,20.65
230,05/27/21 11:15:00 PM,0.0,22.21
231,05/27/21 11:30:00 PM,0.0,21.41
232,05/27/21 11:45:00 PM,0.0,20.91
233,05/28/21 12:00:00 AM,0.0,21.45
234,05/28/21 12:15:00 AM,0.0,21.95
235,05/28/21 12:30:00 AM,0.0,21.18
236,05/28/21 12:45:00 AM,0.0,20.76
237,05/28/21 01:00:00 AM,0.0,22.26
238,05/28/21 01:15:00 AM,0.0,21.44
239,05/28/21 01:30:00 AM,0.0,20.86
240,05/28/21 01:45:00 AM,0.0,22.21
241,05/28/21 02:00:00 AM,0.0,22.18
242,05/28/21 02:15:00 AM,0.0,21.23
243,05/28/21 02:30:00 AM,0.0,20.76
244,05/28/21 02:45:00 AM,0.0,22.63
245,05/28/21 03:00:00 AM,0.0,21.80
246,05/28/21 03:15:00 AM,0.0,21.03
247,05/28/21 03:30:00 AM,0.0,21.37
248,05/28/21 03:45:00 AM,0.0,22.45
249,05/28/21 04:00:00 AM,0.0,21.38
250,05/28/21 04:15:00 AM,0.0,20.83
251,05/28/21 04:30:00 AM,0.0,22.73
252,05/28/21 04:45:00 AM,0.0,21.76
253,05/28/21 05:00:00 AM,0.0,20.98
254,05/28/21 05:15:00 AM,0.0,22.24
255,05/28/21 05:30:00 AM,0.0,22.07
256,05/28/21 05:45:00 AM,0.0,21.15
257,05/28/21 06:00:00 AM,0.0,21.40
258,05/28/21 06:15:00 AM,0.0,22.40
259,05/28/21 06:30:00 AM,0.0,21.34
260,05/28/21 06:45:00 AM,0.0,20.91
261,05/28/21 07:00:00 AM,0.0,22.83
262,05/28/21 07:15:00 AM,0.0,22.02
263,05/28/21 07:30:00 AM,0.0,21.91
264,05/28/21 07:45:00 AM,0.0,23.96
265,05/28/21 08:00:00 AM,0.0,22.37
266,05/28/21 08:15:00 AM,0.0,22.77
267,05/28/21 08:30:00 AM,0.0,23.00
268,05/28/21 08:45:00 AM,0.0,22.01
269,05/28/21 09:00:00 AM,0.0,21.60
270,05/28/21 09:15:00 AM,0.0,21.49
271,05/28/21 09:30:00 AM,0.0,21.67
272,05/28/21 09:45:00 AM,0.0,21.59
273,05/28/21 10:00:00 AM,0.0,21.26
274,05/28/21 10:15:00 AM,0.0,22.22
275,05/28/21 10:30:00 AM,0.0,22.70
276,05/28/21 10:45:00 AM,0.0,21.97
277,05/28/21 11:00:00 AM,0.0,23.48
278,05/28/21 11:15:00 AM,0.0,19.17
279,05/28/21 11:30:00 AM,0.0,16.76
280,05/28/21 11:45:00 AM,0.0,17.10
281,05/28/21 12:00:00 PM,0.0,16.23
282,05/28/21 12:15:00 PM,0.0,15.41
283,05/28/21 12:30:00 PM,0.0,15.05
284,05/28/21 12:45:00 PM,0.0,14.76
285,05/28/21 01:00:00 PM,0.0,15.16
286,05/28/21 01:15:00 PM,28992.8,14.70
287,05/28/21 01:30:00 PM,29422.3,15.69
288,05/28/21 01:45:00 PM,29965.9,16.45
289,05/28/21 02:00:00 PM,30414.7,17.32
290,05/28/21 02:15:00 PM,30669.2,17.90
291,05/28/21 02:30:00 PM,30824.8,18.31
292,05/28/21 02:45:00 PM,30938.5,18.67
293,05/28/21 03:00:00 PM,31243.6,19.16
294,05/28/21 03:15:00 PM,31450.5,19.49
295,05/28/21 03:30:00 PM,31267.6,19.20
296,05/28/21 03:45:00 PM,31114.0,17.17
297,05/28/21 04:00:00 PM,30421.1,15.27
