"Plot Title: SA_C_Salinity"
"#","Date Time, GMT-07:00","High Range, μS/cm (LGR S/N: 10745661, SEN S/N: 10745661)","Temp, °C (LGR S/N: 10745661, SEN S/N: 10745661)"
1,05/25/21 02:00:00 PM,0.0,23.27
2,05/25/21 02:15:00 PM,0.0,23.35
3,05/25/21 02:30:00 PM,0.0,23.40
4,05/25/21 02:45:00 PM,0.0,23.30
5,05/25/21 03:00:00 PM,0.0,23.35
6,05/25/21 03:15:00 PM,0.0,23.51
7,05/25/21 03:30:00 PM,0.0,23.44
8,05/25/21 03:45:00 PM,0.0,23.84
9,05/25/21 04:00:00 PM,0.0,23.52
10,05/25/21 04:15:00 PM,0.0,23.03
11,05/25/21 04:30:00 PM,0.0,22.89
12,05/25/21 04:45:00 PM,0.0,22.87
13,05/25/21 05:00:00 PM,0.0,22.93
14,05/25/21 05:15:00 PM,0.0,22.86
15,05/25/21 05:30:00 PM,0.0,22.79
16,05/25/21 05:45:00 PM,0.0,22.78
17,05/25/21 06:00:00 PM,0.0,22.81
18,05/25/21 06:15:00 PM,0.0,22.85
19,05/25/21 06:30:00 PM,0.0,22.90
20,05/25/21 06:45:00 PM,0.0,22.98
21,05/25/21 07:00:00 PM,0.0,23.02
22,05/25/21 07:15:00 PM,0.0,23.06
23,05/25/21 07:30:00 PM,0.0,23.11
24,05/25/21 07:45:00 PM,0.0,23.15
25,05/25/21 08:00:00 PM,0.0,23.21
26,05/25/21 08:15:00 PM,0.0,23.21
27,05/25/21 08:30:00 PM,0.0,23.23
28,05/25/21 08:45:00 PM,0.0,23.26
29,05/25/21 09:00:00 PM,0.0,23.26
30,05/25/21 09:15:00 PM,0.0,23.25
31,05/25/21 09:30:00 PM,0.0,23.25
32,05/25/21 09:45:00 PM,0.0,23.22
33,05/25/21 10:00:00 PM,0.0,23.18
34,05/25/21 10:15:00 PM,0.0,23.15
35,05/25/21 10:30:00 PM,0.0,23.15
36,05/25/21 10:45:00 PM,0.0,23.14
37,05/25/21 11:00:00 PM,0.0,23.05
38,05/25/21 11:15:00 PM,0.0,22.79
39,05/25/21 11:30:00 PM,0.0,22.58
40,05/25/21 11:45:00 PM,0.0,22.41
41,05/26/21 12:00:00 AM,0.0,22.26
42,05/26/21 12:15:00 AM,0.0,22.11
43,05/26/21 12:30:00 AM,0.0,22.00
44,05/26/21 12:45:00 AM,0.0,21.89
45,05/26/21 01:00:00 AM,0.0,21.77
46,05/26/21 01:15:00 AM,0.0,21.69
47,05/26/21 01:30:00 AM,0.0,21.60
48,05/26/21 01:45:00 AM,0.0,21.53
49,05/26/21 02:00:00 AM,0.0,21.45
50,05/26/21 02:15:00 AM,0.0,21.37
51,05/26/21 02:30:00 AM,0.0,21.33
52,05/26/21 02:45:00 AM,0.0,21.25
53,05/26/21 03:00:00 AM,0.0,21.18
54,05/26/21 03:15:00 AM,0.0,21.13
55,05/26/21 03:30:00 AM,0.0,21.06
56,05/26/21 03:45:00 AM,0.0,21.04
57,05/26/21 04:00:00 AM,0.0,20.98
58,05/26/21 04:15:00 AM,0.0,20.93
59,05/26/21 04:30:00 AM,0.0,20.89
60,05/26/21 04:45:00 AM,0.0,20.84
61,05/26/21 05:00:00 AM,0.0,20.80
62,05/26/21 05:15:00 AM,0.0,20.76
63,05/26/21 05:30:00 AM,0.0,20.71
64,05/26/21 05:45:00 AM,0.0,20.67
65,05/26/21 06:00:00 AM,0.0,20.63
66,05/26/21 06:15:00 AM,0.0,20.59
67,05/26/21 06:30:00 AM,0.0,20.55
68,05/26/21 06:45:00 AM,0.0,20.41
69,05/26/21 07:00:00 AM,0.0,20.67
70,05/26/21 07:15:00 AM,0.0,20.85
71,05/26/21 07:30:00 AM,0.0,20.71
72,05/26/21 07:45:00 AM,0.0,21.02
73,05/26/21 08:00:00 AM,0.0,20.92
74,05/26/21 08:15:00 AM,0.0,20.78
75,05/26/21 08:30:00 AM,0.0,20.71
76,05/26/21 08:45:00 AM,0.0,20.64
77,05/26/21 09:00:00 AM,0.0,20.56
78,05/26/21 09:15:00 AM,0.0,20.82
79,05/26/21 09:30:00 AM,0.0,20.63
80,05/26/21 09:45:00 AM,0.0,20.65
81,05/26/21 10:00:00 AM,0.0,20.84
82,05/26/21 10:15:00 AM,0.0,20.63
83,05/26/21 10:30:00 AM,0.0,20.51
84,05/26/21 10:45:00 AM,0.0,20.82
85,05/26/21 11:00:00 AM,0.0,20.85
86,05/26/21 11:15:00 AM,0.0,20.64
87,05/26/21 11:30:00 AM,0.0,20.56
88,05/26/21 11:45:00 AM,0.0,20.60
89,05/26/21 12:00:00 PM,0.0,20.92
90,05/26/21 12:15:00 PM,0.0,20.97
91,05/26/21 12:30:00 PM,0.0,20.89
92,05/26/21 12:45:00 PM,0.0,20.86
93,05/26/21 01:00:00 PM,0.0,20.84
94,05/26/21 01:15:00 PM,0.0,20.84
95,05/26/21 01:30:00 PM,0.0,20.88
96,05/26/21 01:45:00 PM,0.0,20.90
97,05/26/21 02:00:00 PM,0.0,20.96
98,05/26/21 02:15:00 PM,0.0,20.98
99,05/26/21 02:30:00 PM,0.0,21.44
100,05/26/21 02:45:00 PM,0.0,21.73
101,05/26/21 03:00:00 PM,0.0,21.90
102,05/26/21 03:15:00 PM,0.0,22.06
103,05/26/21 03:30:00 PM,0.0,22.21
104,05/26/21 03:45:00 PM,0.0,22.30
105,05/26/21 04:00:00 PM,0.0,24.32
106,05/26/21 04:15:00 PM,0.0,23.47
107,05/26/21 04:30:00 PM,0.0,22.73
108,05/26/21 04:45:00 PM,0.0,22.70
109,05/26/21 05:00:00 PM,0.0,22.59
110,05/26/21 05:15:00 PM,0.0,22.61
111,05/26/21 05:30:00 PM,0.0,23.68
112,05/26/21 05:45:00 PM,0.0,26.33
113,05/26/21 06:00:00 PM,0.0,25.23
114,05/26/21 06:15:00 PM,0.0,24.15
115,05/26/21 06:30:00 PM,0.0,23.63
116,05/26/21 06:45:00 PM,0.0,23.31
117,05/26/21 07:00:00 PM,0.0,23.11
118,05/26/21 07:15:00 PM,0.0,22.98
119,05/26/21 07:30:00 PM,0.0,22.85
120,05/26/21 07:45:00 PM,0.0,22.78
121,05/26/21 08:00:00 PM,0.0,22.78
122,05/26/21 08:15:00 PM,0.0,22.74
123,05/26/21 08:30:00 PM,0.0,22.69
124,05/26/21 08:45:00 PM,0.0,22.63
125,05/26/21 09:00:00 PM,0.0,22.55
126,05/26/21 09:15:00 PM,0.0,22.49
127,05/26/21 09:30:00 PM,0.0,22.42
128,05/26/21 09:45:00 PM,0.0,22.37
129,05/26/21 10:00:00 PM,0.0,22.30
130,05/26/21 10:15:00 PM,0.0,22.23
131,05/26/21 10:30:00 PM,0.0,22.15
132,05/26/21 10:45:00 PM,0.0,22.10
133,05/26/21 11:00:00 PM,0.0,22.03
134,05/26/21 11:15:00 PM,0.0,21.97
135,05/26/21 11:30:00 PM,0.0,21.92
136,05/26/21 11:45:00 PM,0.0,21.86
137,05/27/21 12:00:00 AM,0.0,21.80
138,05/27/21 12:15:00 AM,0.0,21.76
139,05/27/21 12:30:00 AM,0.0,21.70
140,05/27/21 12:45:00 AM,0.0,21.65
141,05/27/21 01:00:00 AM,0.0,21.61
142,05/27/21 01:15:00 AM,0.0,21.56
143,05/27/21 01:30:00 AM,0.0,21.52
144,05/27/21 01:45:00 AM,0.0,21.48
145,05/27/21 02:00:00 AM,0.0,21.42
146,05/27/21 02:15:00 AM,0.0,21.38
147,05/27/21 02:30:00 AM,0.0,21.34
