"Plot Title: TS"
"#","Date Time, GMT-07:00","High Range, μS/cm (LGR S/N: 21076248, SEN S/N: 21076248)","Temp, °C (LGR S/N: 21076248, SEN S/N: 21076248)"
1,05/25/21 02:00:00 PM,0.0,23.07
2,05/25/21 02:15:00 PM,0.0,23.15
3,05/25/21 02:30:00 PM,0.0,23.11
4,05/25/21 02:45:00 PM,0.0,23.02
5,05/25/21 03:00:00 PM,0.0,23.01
6,05/25/21 03:15:00 PM,0.0,23.16
7,05/25/21 03:30:00 PM,0.0,23.56
8,05/25/21 03:45:00 PM,0.0,23.49
9,05/25/21 04:00:00 PM,0.0,22.18
10,05/25/21 04:15:00 PM,0.0,21.55
11,05/25/21 04:30:00 PM,0.0,21.33
12,05/25/21 04:45:00 PM,0.0,21.35
13,05/25/21 05:00:00 PM,0.0,21.44
14,05/25/21 05:15:00 PM,0.0,21.37
15,05/25/21 05:30:00 PM,0.0,21.40
16,05/25/21 05:45:00 PM,0.0,21.42
17,05/25/21 06:00:00 PM,0.0,21.45
18,05/25/21 06:15:00 PM,0.0,21.51
19,05/25/21 06:30:00 PM,0.0,21.56
20,05/25/21 06:45:00 PM,0.0,21.82
21,05/25/21 07:00:00 PM,0.0,21.70
22,05/25/21 07:15:00 PM,0.0,21.68
23,05/25/21 07:30:00 PM,0.0,21.70
24,05/25/21 07:45:00 PM,0.0,21.71
25,05/25/21 08:00:00 PM,0.0,21.75
26,05/25/21 08:15:00 PM,0.0,21.77
27,05/25/21 08:30:00 PM,0.0,21.79
28,05/25/21 08:45:00 PM,0.0,21.80
29,05/25/21 09:00:00 PM,0.0,21.80
30,05/25/21 09:15:00 PM,0.0,22.49
31,05/25/21 09:30:00 PM,0.0,24.29
32,05/25/21 09:45:00 PM,0.0,24.41
33,05/25/21 10:00:00 PM,0.0,24.00
34,05/25/21 10:15:00 PM,0.0,23.70
35,05/25/21 10:30:00 PM,0.0,23.70
36,05/25/21 10:45:00 PM,0.0,23.70
37,05/25/21 11:00:00 PM,0.0,23.22
38,05/25/21 11:15:00 PM,0.0,22.60
39,05/25/21 11:30:00 PM,0.0,22.23
40,05/25/21 11:45:00 PM,0.0,22.03
41,05/26/21 12:00:00 AM,0.0,21.88
42,05/26/21 12:15:00 AM,0.0,21.74
43,05/26/21 12:30:00 AM,0.0,21.64
44,05/26/21 12:45:00 AM,0.0,21.54
45,05/26/21 01:00:00 AM,0.0,21.50
46,05/26/21 01:15:00 AM,0.0,21.42
47,05/26/21 01:30:00 AM,0.0,21.33
48,05/26/21 01:45:00 AM,0.0,21.31
49,05/26/21 02:00:00 AM,0.0,21.23
50,05/26/21 02:15:00 AM,0.0,21.18
51,05/26/21 02:30:00 AM,0.0,21.16
52,05/26/21 02:45:00 AM,0.0,21.09
53,05/26/21 03:00:00 AM,0.0,21.04
54,05/26/21 03:15:00 AM,0.0,20.98
55,05/26/21 03:30:00 AM,0.0,20.93
56,05/26/21 03:45:00 AM,0.0,20.93
57,05/26/21 04:00:00 AM,0.0,20.89
58,05/26/21 04:15:00 AM,0.0,20.85
59,05/26/21 04:30:00 AM,0.0,20.82
60,05/26/21 04:45:00 AM,0.0,20.76
61,05/26/21 05:00:00 AM,0.0,20.73
62,05/26/21 05:15:00 AM,0.0,20.68
63,05/26/21 05:30:00 AM,0.0,20.63
64,05/26/21 05:45:00 AM,0.0,20.59
65,05/26/21 06:00:00 AM,0.0,20.52
66,05/26/21 06:15:00 AM,0.0,20.47
67,05/26/21 06:30:00 AM,0.0,20.44
68,05/26/21 06:45:00 AM,0.0,20.36
69,05/26/21 07:00:00 AM,0.0,20.37
70,05/26/21 07:15:00 AM,0.0,20.51
71,05/26/21 07:30:00 AM,0.0,20.51
72,05/26/21 07:45:00 AM,0.0,20.78
73,05/26/21 08:00:00 AM,0.0,20.90
74,05/26/21 08:15:00 AM,0.0,20.95
75,05/26/21 08:30:00 AM,0.0,20.99
76,05/26/21 08:45:00 AM,0.0,20.99
77,05/26/21 09:00:00 AM,0.0,20.89
78,05/26/21 09:15:00 AM,0.0,20.92
79,05/26/21 09:30:00 AM,0.0,20.82
80,05/26/21 09:45:00 AM,0.0,20.73
81,05/26/21 10:00:00 AM,0.0,20.80
82,05/26/21 10:15:00 AM,0.0,20.78
83,05/26/21 10:30:00 AM,0.0,20.74
84,05/26/21 10:45:00 AM,0.0,20.89
85,05/26/21 11:00:00 AM,0.0,20.97
86,05/26/21 11:15:00 AM,0.0,20.88
87,05/26/21 11:30:00 AM,0.0,20.80
88,05/26/21 11:45:00 AM,0.0,20.80
89,05/26/21 12:00:00 PM,0.0,20.94
90,05/26/21 12:15:00 PM,0.0,20.98
91,05/26/21 12:30:00 PM,0.0,20.95
92,05/26/21 12:45:00 PM,0.0,20.94
93,05/26/21 01:00:00 PM,0.0,20.90
94,05/26/21 01:15:00 PM,0.0,20.89
95,05/26/21 01:30:00 PM,0.0,20.88
96,05/26/21 01:45:00 PM,0.0,20.85
97,05/26/21 02:00:00 PM,0.0,20.89
98,05/26/21 02:15:00 PM,0.0,20.78
99,05/26/21 02:30:00 PM,0.0,21.18
100,05/26/21 02:45:00 PM,0.0,21.46
101,05/26/21 03:00:00 PM,0.0,21.63
102,05/26/21 03:15:00 PM,0.0,21.79
103,05/26/21 03:30:00 PM,0.0,21.92
104,05/26/21 03:45:00 PM,0.0,22.02
105,05/26/21 04:00:00 PM,0.0,22.03
106,05/26/21 04:15:00 PM,0.0,22.04
107,05/26/21 04:30:00 PM,0.0,21.92
108,05/26/21 04:45:00 PM,0.0,22.06
109,05/26/21 05:00:00 PM,0.0,22.22
110,05/26/21 05:15:00 PM,0.0,22.31
111,05/26/21 05:30:00 PM,0.0,22.20
112,05/26/21 05:45:00 PM,0.0,22.13
113,05/26/21 06:00:00 PM,0.0,22.15
114,05/26/21 06:15:00 PM,0.0,22.44
115,05/26/21 06:30:00 PM,0.0,22.55
116,05/26/21 06:45:00 PM,0.0,22.54
117,05/26/21 07:00:00 PM,0.0,22.50
118,05/26/21 07:15:00 PM,0.0,22.45
119,05/26/21 07:30:00 PM,0.0,22.37
120,05/26/21 07:45:00 PM,0.0,22.40
121,05/26/21 08:00:00 PM,0.0,22.54
122,05/26/21 08:15:00 PM,0.0,22.50
123,05/26/21 08:30:00 PM,0.0,22.44
124,05/26/21 08:45:00 PM,0.0,22.36
125,05/26/21 09:00:00 PM,0.0,22.27
126,05/26/21 09:15:00 PM,0.0,22.20
127,05/26/21 09:30:00 PM,0.0,22.13
128,05/26/21 09:45:00 PM,0.0,22.08
129,05/26/21 10:00:00 PM,0.0,22.01
130,05/26/21 10:15:00 PM,0.0,21.93
131,05/26/21 10:30:00 PM,0.0,21.85
132,05/26/21 10:45:00 PM,0.0,21.79
133,05/26/21 11:00:00 PM,0.0,21.73
134,05/26/21 11:15:00 PM,0.0,21.65
135,05/26/21 11:30:00 PM,0.0,21.59
136,05/26/21 11:45:00 PM,0.0,21.54
137,05/27/21 12:00:00 AM,0.0,21.47
138,05/27/21 12:15:00 AM,0.0,21.41
139,05/27/21 12:30:00 AM,0.0,21.36
140,05/27/21 12:45:00 AM,0.0,21.31
141,05/27/21 01:00:00 AM,0.0,21.26
142,05/27/21 01:15:00 AM,0.0,21.20
143,05/27/21 01:30:00 AM,0.0,21.16
144,05/27/21 01:45:00 AM,0.0,21.09
145,05/27/21 02:00:00 AM,0.0,21.06
146,05/27/21 02:15:00 AM,0.0,21.01
147,05/27/21 02:30:00 AM,0.0,20.95
148,05/27/21 02:45:00 AM,0.0,20.90
149,05/27/21 03:00:00 AM,0.0,20.87
150,05/27/21 03:15:00 AM,0.0,20.82
151,05/27/21 03:30:00 AM,0.0,20.76
152,05/27/21 03:45:00 AM,0.0,20.73
153,05/27/21 04:00:00 AM,0.0,20.68
154,05/27/21 04:15:00 AM,0.0,20.64
155,05/27/21 04:30:00 AM,0.0,20.60
156,05/27/21 04:45:00 AM,0.0,20.55
157,05/27/21 05:00:00 AM,0.0,20.51
158,05/27/21 05:15:00 AM,0.0,20.47
159,05/27/21 05:30:00 AM,0.0,20.41
160,05/27/21 05:45:00 AM,0.0,20.36
161,05/27/21 06:00:00 AM,0.0,20.31
162,05/27/21 06:15:00 AM,0.0,20.26
163,05/27/21 06:30:00 AM,0.0,20.21
164,05/27/21 06:45:00 AM,0.0,20.18
165,05/27/21 07:00:00 AM,0.0,20.55
166,05/27/21 07:15:00 AM,0.0,20.56
167,05/27/21 07:30:00 AM,0.0,20.74
168,05/27/21 07:45:00 AM,0.0,20.76
169,05/27/21 08:00:00 AM,0.0,20.89
170,05/27/21 08:15:00 AM,0.0,20.82
171,05/27/21 08:30:00 AM,0.0,21.07
172,05/27/21 08:45:00 AM,0.0,21.11
173,05/27/21 09:00:00 AM,0.0,20.94
174,05/27/21 09:15:00 AM,0.0,20.92
175,05/27/21 09:30:00 AM,0.0,21.20
176,05/27/21 09:45:00 AM,0.0,21.07
177,05/27/21 10:00:00 AM,0.0,20.93
178,05/27/21 10:15:00 AM,0.0,21.06
179,05/27/21 10:30:00 AM,0.0,20.85
180,05/27/21 10:45:00 AM,0.0,20.78
181,05/27/21 11:00:00 AM,0.0,21.01
182,05/27/21 11:15:00 AM,0.0,20.84
183,05/27/21 11:30:00 AM,0.0,20.65
184,05/27/21 11:45:00 AM,0.0,21.01
185,05/27/21 12:00:00 PM,0.0,20.94
186,05/27/21 12:15:00 PM,0.0,20.84
187,05/27/21 12:30:00 PM,0.0,20.79
188,05/27/21 12:45:00 PM,0.0,20.83
189,05/27/21 01:00:00 PM,0.0,20.83
190,05/27/21 01:15:00 PM,0.0,21.22
191,05/27/21 01:30:00 PM,0.0,21.35
192,05/27/21 01:45:00 PM,0.0,21.30
193,05/27/21 02:00:00 PM,0.0,21.25
194,05/27/21 02:15:00 PM,0.0,21.22
195,05/27/21 02:30:00 PM,0.0,21.18
196,05/27/21 02:45:00 PM,0.0,21.16
197,05/27/21 03:00:00 PM,0.0,21.11
198,05/27/21 03:15:00 PM,0.0,21.07
199,05/27/21 03:30:00 PM,0.0,21.27
200,05/27/21 03:45:00 PM,0.0,21.59
201,05/27/21 04:00:00 PM,0.0,21.31
202,05/27/21 04:15:00 PM,0.0,21.16
203,05/27/21 04:30:00 PM,0.0,21.11
204,05/27/21 04:45:00 PM,0.0,21.13
205,05/27/21 05:00:00 PM,0.0,21.12
206,05/27/21 05:15:00 PM,0.0,21.31
207,05/27/21 05:30:00 PM,0.0,21.41
