scan_no,datetime,do_mgL,temp,date,time,do_cor
1,2021-05-25T23:00:00Z,8.9,22.84,05/25/21,16:00:00,9.033440322621695
2,2021-05-25T23:15:00Z,8.92,22.58,05/25/21,16:15:00,9.04974632979672
3,2021-05-25T23:30:00Z,9.02,22.26,05/25/21,16:30:00,9.131276365671843
4,2021-05-25T23:45:00Z,9.11,22.08,05/25/21,16:45:00,9.204653397959454
5,2021-05-26T00:00:00Z,9.13,21.98,05/25/21,17:00:00,9.22095940513448
6,2021-05-26T00:15:00Z,9.12,21.88,05/25/21,17:15:00,9.212806401546965
7,2021-05-26T00:30:00Z,9.14,21.74,05/25/21,17:30:00,9.229112408721992
8,2021-05-26T00:45:00Z,9.15,21.68,05/25/21,17:45:00,9.237265412309505
9,2021-05-26T01:00:00Z,9.15,21.64,05/25/21,18:00:00,9.237265412309505
10,2021-05-26T01:15:00Z,9.15,21.64,05/25/21,18:15:00,9.237265412309505
11,2021-05-26T01:30:00Z,9.16,21.66,05/25/21,18:30:00,9.245418415897015
12,2021-05-26T01:45:00Z,9.16,21.7,05/25/21,18:45:00,9.245418415897015
13,2021-05-26T02:00:00Z,9.14,21.74,05/25/21,19:00:00,9.229112408721992
14,2021-05-26T02:15:00Z,9.14,21.76,05/25/21,19:15:00,9.229112408721992
15,2021-05-26T02:30:00Z,9.13,21.8,05/25/21,19:30:00,9.22095940513448
16,2021-05-26T02:45:00Z,9.12,21.84,05/25/21,19:45:00,9.212806401546965
17,2021-05-26T03:00:00Z,9.13,21.88,05/25/21,20:00:00,9.22095940513448
18,2021-05-26T03:15:00Z,9.12,21.9,05/25/21,20:15:00,9.212806401546965
19,2021-05-26T03:30:00Z,9.12,21.92,05/25/21,20:30:00,9.212806401546965
20,2021-05-26T03:45:00Z,9.12,21.94,05/25/21,20:45:00,9.212806401546965
21,2021-05-26T04:00:00Z,9.1,21.96,05/25/21,21:00:00,9.196500394371942
22,2021-05-26T04:15:00Z,9.11,21.98,05/25/21,21:15:00,9.204653397959454
23,2021-05-26T04:30:00Z,9.11,21.98,05/25/21,21:30:00,9.204653397959454
24,2021-05-26T04:45:00Z,9.11,21.98,05/25/21,21:45:00,9.204653397959454
25,2021-05-26T05:00:00Z,9.11,21.98,05/25/21,22:00:00,9.204653397959454
26,2021-05-26T05:15:00Z,9.12,21.96,05/25/21,22:15:00,9.212806401546965
27,2021-05-26T05:30:00Z,9.11,21.96,05/25/21,22:30:00,9.204653397959454
28,2021-05-26T05:45:00Z,9.13,21.96,05/25/21,22:45:00,9.22095940513448
29,2021-05-26T06:00:00Z,9.1,21.98,05/25/21,23:00:00,9.196500394371942
30,2021-05-26T06:15:00Z,9.09,21.92,05/25/21,23:15:00,9.188347390784429
31,2021-05-26T06:30:00Z,9.11,21.82,05/25/21,23:30:00,9.204653397959454
32,2021-05-26T06:45:00Z,9.12,21.72,05/25/21,23:45:00,9.212806401546965
33,2021-05-26T07:00:00Z,9.15,21.62,05/26/21,00:00:00,9.237265412309505
34,2021-05-26T07:15:00Z,9.16,21.52,05/26/21,00:15:00,9.245418415897015
35,2021-05-26T07:30:00Z,9.17,21.42,05/26/21,00:30:00,9.253571419484528
36,2021-05-26T07:45:00Z,9.19,21.34,05/26/21,00:45:00,9.269877426659553
37,2021-05-26T08:00:00Z,9.2,21.26,05/26/21,01:00:00,9.278030430247064
38,2021-05-26T08:15:00Z,9.21,21.18,05/26/21,01:15:00,9.286183433834578
39,2021-05-26T08:30:00Z,9.23,21.12,05/26/21,01:30:00,9.302489441009602
40,2021-05-26T08:45:00Z,9.24,21.04,05/26/21,01:45:00,9.310642444597114
41,2021-05-26T09:00:00Z,9.27,20.98,05/26/21,02:00:00,9.33510145535965
42,2021-05-26T09:15:00Z,9.27,20.92,05/26/21,02:15:00,9.33510145535965
43,2021-05-26T09:30:00Z,9.29,20.86,05/26/21,02:30:00,9.351407462534675
44,2021-05-26T09:45:00Z,9.29,20.8,05/26/21,02:45:00,9.351407462534675
45,2021-05-26T10:00:00Z,9.31,20.74,05/26/21,03:00:00,9.3677134697097
46,2021-05-26T10:15:00Z,9.32,20.7,05/26/21,03:15:00,9.375866473297213
47,2021-05-26T10:30:00Z,9.32,20.64,05/26/21,03:30:00,9.375866473297213
48,2021-05-26T10:45:00Z,9.33,20.6,05/26/21,03:45:00,9.384019476884726
49,2021-05-26T11:00:00Z,9.34,20.56,05/26/21,04:00:00,9.392172480472237
50,2021-05-26T11:15:00Z,9.34,20.5,05/26/21,04:15:00,9.392172480472237
51,2021-05-26T11:30:00Z,9.35,20.48,05/26/21,04:30:00,9.40032548405975
52,2021-05-26T11:45:00Z,9.35,20.44,05/26/21,04:45:00,9.40032548405975
53,2021-05-26T12:00:00Z,9.36,20.38,05/26/21,05:00:00,9.408478487647262
54,2021-05-26T12:15:00Z,9.39,20.36,05/26/21,05:15:00,9.4329374984098
55,2021-05-26T12:30:00Z,9.38,20.32,05/26/21,05:30:00,9.424784494822287
56,2021-05-26T12:45:00Z,9.38,20.28,05/26/21,05:45:00,9.424784494822287
57,2021-05-26T13:00:00Z,9.39,20.24,05/26/21,06:00:00,9.4329374984098
58,2021-05-26T13:15:00Z,9.41,20.2,05/26/21,06:15:00,9.449243505584823
59,2021-05-26T13:30:00Z,9.41,20.16,05/26/21,06:30:00,9.449243505584823
60,2021-05-26T13:45:00Z,9.41,20.06,05/26/21,06:45:00,9.449243505584823
61,2021-05-26T14:00:00Z,9.43,20.06,05/26/21,07:00:00,9.465549512759848
62,2021-05-26T14:15:00Z,9.44,20.22,05/26/21,07:15:00,9.47370251634736
63,2021-05-26T14:30:00Z,9.41,20.12,05/26/21,07:30:00,9.449243505584823
64,2021-05-26T14:45:00Z,9.44,20.3,05/26/21,07:45:00,9.47370251634736
65,2021-05-26T15:00:00Z,9.4,20.3,05/26/21,08:00:00,9.441090501997312
66,2021-05-26T15:15:00Z,9.4,20.24,05/26/21,08:15:00,9.441090501997312
67,2021-05-26T15:30:00Z,9.41,20.22,05/26/21,08:30:00,9.449243505584823
68,2021-05-26T15:45:00Z,9.41,20.18,05/26/21,08:45:00,9.449243505584823
69,2021-05-26T16:00:00Z,9.42,20.08,05/26/21,09:00:00,9.457396509172336
70,2021-05-26T16:15:00Z,9.46,20.22,05/26/21,09:15:00,9.490008523522386
71,2021-05-26T16:30:00Z,9.41,20.14,05/26/21,09:30:00,9.449243505584823
72,2021-05-26T16:45:00Z,9.42,20.08,05/26/21,09:45:00,9.457396509172336
73,2021-05-26T17:00:00Z,9.45,20.22,05/26/21,10:00:00,9.481855519934872
74,2021-05-26T17:15:00Z,9.43,20.12,05/26/21,10:15:00,9.465549512759848
75,2021-05-26T17:30:00Z,9.46,20.06,05/26/21,10:30:00,9.490008523522386
76,2021-05-26T17:45:00Z,9.48,20.14,05/26/21,10:45:00,9.50631453069741
77,2021-05-26T18:00:00Z,9.46,20.26,05/26/21,11:00:00,9.490008523522386
78,2021-05-26T18:15:00Z,9.45,20.16,05/26/21,11:15:00,9.481855519934872
79,2021-05-26T18:30:00Z,9.46,20.12,05/26/21,11:30:00,9.490008523522386
80,2021-05-26T18:45:00Z,9.48,20.12,05/26/21,11:45:00,9.50631453069741
81,2021-05-26T19:00:00Z,9.51,20.22,05/26/21,12:00:00,9.530773541459947
82,2021-05-26T19:15:00Z,9.46,20.34,05/26/21,12:15:00,9.490008523522386
83,2021-05-26T19:30:00Z,9.44,20.32,05/26/21,12:30:00,9.47370251634736
84,2021-05-26T19:45:00Z,9.45,20.32,05/26/21,12:45:00,9.481855519934872
85,2021-05-26T20:00:00Z,9.43,20.3,05/26/21,13:00:00,9.465549512759848
86,2021-05-26T20:15:00Z,9.43,20.3,05/26/21,13:15:00,9.465549512759848
87,2021-05-26T20:30:00Z,9.45,20.32,05/26/21,13:30:00,9.481855519934872
88,2021-05-26T20:45:00Z,9.43,20.32,05/26/21,13:45:00,9.465549512759848
89,2021-05-26T21:00:00Z,9.42,20.36,05/26/21,14:00:00,9.457396509172336
90,2021-05-26T21:15:00Z,9.42,20.38,05/26/21,14:15:00,9.457396509172336
91,2021-05-26T21:30:00Z,9.43,20.5,05/26/21,14:30:00,9.465549512759848
92,2021-05-26T21:45:00Z,9.4,20.72,05/26/21,14:45:00,9.441090501997312
93,2021-05-26T22:00:00Z,9.36,20.88,05/26/21,15:00:00,9.408478487647262
94,2021-05-26T22:15:00Z,9.33,21.02,05/26/21,15:15:00,9.384019476884726
95,2021-05-26T22:30:00Z,9.32,21.12,05/26/21,15:30:00,9.375866473297213
96,2021-05-26T22:45:00Z,9.29,21.2,05/26/21,15:45:00,9.351407462534675
97,2021-05-26T23:00:00Z,9.28,21.22,05/26/21,16:00:00,9.343254458947163
98,2021-05-26T23:15:00Z,9.19,21.64,05/26/21,16:15:00,9.269877426659553
99,2021-05-26T23:30:00Z,9.16,21.66,05/26/21,16:30:00,9.245418415897015
100,2021-05-26T23:45:00Z,9.08,22.04,05/26/21,16:45:00,9.180194387196916
101,2021-05-27T00:00:00Z,8.99,22.9,05/26/21,17:00:00,9.106817354909307
102,2021-05-27T00:15:00Z,8.8,24.48,05/26/21,17:15:00,8.951910286746573
103,2021-05-27T00:30:00Z,8.68,23.92,05/26/21,17:30:00,8.854074243696425
104,2021-05-27T00:45:00Z,8.88,22.88,05/26/21,17:45:00,9.017134315446672
105,2021-05-27T01:00:00Z,8.9,22.8,05/26/21,18:00:00,9.033440322621695
106,2021-05-27T01:15:00Z,8.91,22.7,05/26/21,18:15:00,9.041593326209208
107,2021-05-27T01:30:00Z,8.93,22.62,05/26/21,18:30:00,9.057899333384233
108,2021-05-27T01:45:00Z,8.95,22.52,05/26/21,18:45:00,9.074205340559256
109,2021-05-27T02:00:00Z,8.96,22.44,05/26/21,19:00:00,9.08235834414677
110,2021-05-27T02:15:00Z,8.97,22.38,05/26/21,19:15:00,9.090511347734282
111,2021-05-27T02:30:00Z,8.98,22.3,05/26/21,19:30:00,9.098664351321794
