scan_no,datetime,do_mgL,temp,date,time,do_cor
1,2021-05-24T15:30:00Z,8.65,19.111,05/24/21,15:30:00,9.57862646643742
2,2021-05-24T15:45:00Z,8.66,18.967,05/24/21,15:45:00,9.589072602466516
3,2021-05-24T16:00:00Z,8.683,18.933,05/24/21,16:00:00,9.61309871533344
4,2021-05-24T16:15:00Z,8.662,18.942,05/24/21,16:15:00,9.591161829672336
5,2021-05-24T16:30:00Z,8.674,18.891,05/24/21,16:30:00,9.603697192907251
6,2021-05-24T16:45:00Z,8.709,18.908,05/24/21,16:45:00,9.640258669009091
7,2021-05-24T17:00:00Z,8.676,18.899,05/24/21,17:00:00,9.605786420113072
8,2021-05-24T17:15:00Z,8.671,18.967,05/24/21,17:15:00,9.600563352098522
9,2021-05-24T17:30:00Z,8.677,18.984,05/24/21,17:30:00,9.60683103371598
10,2021-05-24T17:45:00Z,8.661,19.018,05/24/21,17:45:00,9.590117216069425
11,2021-05-24T18:00:00Z,8.659,19.043,05/24/21,18:00:00,9.588027988863606
12,2021-05-24T18:15:00Z,8.632,19.069,05/24/21,18:15:00,9.559823421585046
13,2021-05-24T18:30:00Z,8.637,19.102,05/24/21,18:30:00,9.565046489599593
14,2021-05-24T18:45:00Z,8.637,19.111,05/24/21,18:45:00,9.565046489599593
15,2021-05-24T19:00:00Z,8.621,19.136,05/24/21,19:00:00,9.54833267195304
16,2021-05-24T19:15:00Z,8.637,19.128,05/24/21,19:15:00,9.565046489599593
17,2021-05-24T19:30:00Z,8.608,19.162,05/24/21,19:30:00,9.534752695115213
18,2021-05-24T19:45:00Z,8.624,19.17,05/24/21,19:45:00,9.551466512761769
19,2021-05-24T20:00:00Z,8.633,19.179,05/24/21,20:00:00,9.560868035187953
20,2021-05-24T20:15:00Z,8.611,19.195,05/24/21,20:15:00,9.537886535923942
21,2021-05-24T20:30:00Z,8.609,19.195,05/24/21,20:30:00,9.535797308718122
22,2021-05-24T20:45:00Z,8.601,19.212,05/24/21,20:45:00,9.527440399894846
23,2021-05-24T21:00:00Z,8.604,19.204,05/24/21,21:00:00,9.530574240703574
24,2021-05-24T21:15:00Z,8.608,19.229,05/24/21,21:15:00,9.534752695115213
25,2021-05-24T21:30:00Z,8.634,19.246,05/24/21,21:30:00,9.561912648790864
26,2021-05-24T21:45:00Z,8.611,19.238,05/24/21,21:45:00,9.537886535923942
27,2021-05-24T22:00:00Z,8.618,19.221,05/24/21,22:00:00,9.54519883114431
28,2021-05-24T22:15:00Z,8.609,19.246,05/24/21,22:15:00,9.535797308718122
29,2021-05-24T22:30:00Z,8.619,19.246,05/24/21,22:30:00,9.546243444747219
30,2021-05-24T22:45:00Z,8.6,19.272,05/24/21,22:45:00,9.526395786291936
31,2021-05-24T23:00:00Z,8.605,19.238,05/24/21,23:00:00,9.531618854306485
32,2021-05-24T23:15:00Z,8.605,19.204,05/24/21,23:15:00,9.531618854306485
33,2021-05-24T23:30:00Z,8.622,19.187,05/24/21,23:30:00,9.549377285555948
34,2021-05-24T23:45:00Z,8.592,19.221,05/24/21,23:45:00,9.518038877468658
35,2021-05-25T00:00:00Z,8.62,19.204,05/25/21,00:00:00,9.547288058350128
36,2021-05-25T00:15:00Z,8.61,19.204,05/25/21,00:15:00,9.536841922321031
37,2021-05-25T00:30:00Z,8.634,19.17,05/25/21,00:30:00,9.561912648790864
38,2021-05-25T00:45:00Z,8.631,19.162,05/25/21,00:45:00,9.558778807982137
39,2021-05-25T01:00:00Z,8.642,19.145,05/25/21,01:00:00,9.570269557614141
40,2021-05-25T01:15:00Z,8.632,19.136,05/25/21,01:15:00,9.559823421585046
41,2021-05-25T01:30:00Z,8.625,19.119,05/25/21,01:30:00,9.552511126364678
42,2021-05-25T01:45:00Z,8.629,19.111,05/25/21,01:45:00,9.556689580776316
43,2021-05-25T02:00:00Z,8.633,19.085,05/25/21,02:00:00,9.560868035187953
44,2021-05-25T02:15:00Z,8.646,19.035,05/25/21,02:15:00,9.574448012025782
45,2021-05-25T02:30:00Z,8.668,19.026,05/25/21,02:30:00,9.597429511289793
46,2021-05-25T02:45:00Z,8.619,19.035,05/25/21,02:45:00,9.546243444747219
