scan_no,datetime,do_mgL,temp,date,time,do_cor
1,2021-05-25T15:30:00Z,8.622,23.156,05/25/21,15:30:00,8.95400702683806
2,2021-05-25T15:45:00Z,8.594,23.274,05/25/21,15:45:00,8.926959230728766
3,2021-05-25T15:00:00Z,8.266,25.887,05/25/21,15:00:00,8.610113619162764
4,2021-05-25T16:15:00Z,8.523,23.986,05/25/21,16:15:00,8.858373747737344
5,2021-05-25T16:30:00Z,8.671,22.888,05/25/21,16:30:00,9.001340670029322
6,2021-05-25T16:45:00Z,8.775,22.227,05/25/21,16:45:00,9.101803912720982
7,2021-05-25T17:00:00Z,8.818,21.876,05/25/21,17:00:00,9.14334159960311
8,2021-05-25T17:15:00Z,8.871,21.642,05/25/21,17:15:00,9.19453921366713
9,2021-05-25T17:30:00Z,8.868,21.542,05/25/21,17:30:00,9.191641235512561
10,2021-05-25T17:45:00Z,8.887,21.458,05/25/21,17:45:00,9.209995097158153
11,2021-05-25T18:00:00Z,8.895,21.433,05/25/21,18:00:00,9.217723038903664
12,2021-05-25T18:15:00Z,8.883,21.466,05/25/21,18:15:00,9.206131126285396
13,2021-05-25T18:30:00Z,8.873,21.483,05/25/21,18:30:00,9.196471199103506
14,2021-05-25T18:45:00Z,8.88,21.542,05/25/21,18:45:00,9.20323314813083
15,2021-05-25T19:00:00Z,8.861,21.567,05/25/21,19:00:00,9.184879286485238
16,2021-05-25T19:15:00Z,8.863,21.592,05/25/21,19:15:00,9.186811271921616
17,2021-05-25T19:30:00Z,8.849,21.634,05/25/21,19:30:00,9.17328737386697
18,2021-05-25T19:45:00Z,8.85,21.675,05/25/21,19:45:00,9.174253366585159
19,2021-05-25T20:00:00Z,8.859,21.692,05/25/21,20:00:00,9.18294730104886
20,2021-05-25T20:15:00Z,8.856,21.717,05/25/21,20:15:00,9.180049322894293
21,2021-05-25T20:30:00Z,8.845,21.742,05/25/21,20:30:00,9.169423402994214
22,2021-05-25T20:45:00Z,8.85,21.742,05/25/21,20:45:00,9.174253366585159
23,2021-05-25T21:00:00Z,8.854,21.767,05/25/21,21:00:00,9.178117337457914
24,2021-05-25T21:15:00Z,8.858,21.776,05/25/21,21:15:00,9.181981308330672
25,2021-05-25T21:30:00Z,8.846,21.776,05/25/21,21:30:00,9.170389395712402
26,2021-05-25T21:45:00Z,8.664,22.738,05/25/21,21:45:00,8.994578721001998
27,2021-05-25T22:00:00Z,8.421,24.599,05/25/21,22:00:00,8.759842490482063
28,2021-05-25T22:15:00Z,8.572,23.919,05/25/21,22:15:00,8.905707390928606
29,2021-05-25T22:30:00Z,8.639,23.491,05/25/21,22:30:00,8.970428903047273
30,2021-05-25T22:45:00Z,8.686,23.156,05/25/21,22:45:00,9.015830560802158
31,2021-05-25T23:00:00Z,8.776,22.604,05/25/21,23:00:00,9.10276990543917
32,2021-05-25T23:15:00Z,8.851,22.018,05/25/21,23:15:00,9.175219359303348
33,2021-05-25T23:30:00Z,8.913,21.667,05/25/21,23:30:00,9.235110907831068
34,2021-05-25T23:45:00Z,8.928,21.5,05/25/21,23:45:00,9.249600798603904
35,2021-05-26T00:00:00Z,8.967,21.307,05/26/21,00:00:00,9.287274514613276
36,2021-05-26T00:15:00Z,8.99,21.19,05/26/21,00:15:00,9.309492347131624
37,2021-05-26T00:30:00Z,8.992,21.123,05/26/21,00:30:00,9.311424332568002
38,2021-05-26T00:45:00Z,9.018,21.031,05/26/21,00:45:00,9.336540143240917
39,2021-05-26T01:00:00Z,9.027,21.031,05/26/21,01:00:00,9.345234077704616
40,2021-05-26T01:15:00Z,9.026,20.956,05/26/21,01:15:00,9.344268084986428
41,2021-05-26T01:30:00Z,9.043,20.881,05/26/21,01:30:00,9.360689961195641
42,2021-05-26T01:45:00Z,9.033,20.889,05/26/21,01:45:00,9.351030034013752
43,2021-05-26T02:00:00Z,9.05,20.831,05/26/21,02:00:00,9.367451910222966
44,2021-05-26T02:15:00Z,9.062,20.797,05/26/21,02:15:00,9.379043822841233
45,2021-05-26T02:30:00Z,9.063,20.772,05/26/21,02:30:00,9.380009815559424
46,2021-05-26T02:45:00Z,9.063,20.764,05/26/21,02:45:00,9.380009815559424
47,2021-05-26T03:00:00Z,9.068,20.722,05/26/21,03:00:00,9.384839779150367
48,2021-05-26T03:15:00Z,9.078,20.697,05/26/21,03:15:00,9.394499706332256
49,2021-05-26T03:30:00Z,9.079,20.663,05/26/21,03:30:00,9.395465699050447
50,2021-05-26T03:45:00Z,9.081,20.672,05/26/21,03:45:00,9.397397684486824
51,2021-05-26T04:00:00Z,9.083,20.655,05/26/21,04:00:00,9.399329669923203
52,2021-05-26T04:15:00Z,9.095,20.621,05/26/21,04:15:00,9.410921582541471
53,2021-05-26T04:30:00Z,9.095,20.605,05/26/21,04:30:00,9.410921582541471
54,2021-05-26T04:45:00Z,9.103,20.588,05/26/21,04:45:00,9.418649524286984
55,2021-05-26T05:00:00Z,9.1,20.563,05/26/21,05:00:00,9.415751546132416
56,2021-05-26T05:15:00Z,9.112,20.513,05/26/21,05:15:00,9.427343458750684
57,2021-05-26T05:30:00Z,9.122,20.479,05/26/21,05:30:00,9.437003385932575
58,2021-05-26T05:45:00Z,9.132,20.429,05/26/21,05:45:00,9.446663313114465
59,2021-05-26T06:00:00Z,9.139,20.395,05/26/21,06:00:00,9.453425262141788
60,2021-05-26T06:15:00Z,9.136,20.345,05/26/21,06:15:00,9.45052728398722
61,2021-05-26T06:30:00Z,9.157,20.295,05/26/21,06:30:00,9.47081313106919
62,2021-05-26T06:45:00Z,9.147,20.278,05/26/21,06:45:00,9.461153203887301
63,2021-05-26T07:00:00Z,9.177,20.136,05/26/21,07:00:00,9.490132985432972
64,2021-05-26T07:15:00Z,9.167,20.203,05/26/21,07:15:00,9.480473058251082
65,2021-05-26T07:30:00Z,9.163,20.195,05/26/21,07:30:00,9.476609087378327
66,2021-05-26T07:45:00Z,9.129,20.395,05/26/21,07:45:00,9.443765334959899
67,2021-05-26T08:00:00Z,9.107,20.496,05/26/21,08:00:00,9.42251349515974
68,2021-05-26T08:15:00Z,9.097,20.571,05/26/21,08:15:00,9.41285356797785
69,2021-05-26T08:30:00Z,9.095,20.613,05/26/21,08:30:00,9.410921582541471
70,2021-05-26T08:45:00Z,9.083,20.638,05/26/21,08:45:00,9.399329669923203
