scan_no,datetime,do_mgL,temp,date,time,do_cor
1,2021-05-25T23:00:00Z,8.78,22.66,05/25/21,16:00:00,8.889320507036503
2,2021-05-25T23:15:00Z,8.86,22.32,05/25/21,16:15:00,8.960686333008299
3,2021-05-25T23:30:00Z,8.95,22.1,05/25/21,16:30:00,9.04097288722657
4,2021-05-25T23:45:00Z,9.06,22,05/25/21,16:45:00,9.139100897937789
5,2021-05-26T00:00:00Z,9.01,21.96,05/25/21,17:00:00,9.094497256705415
6,2021-05-26T00:15:00Z,9,21.88,05/25/21,17:15:00,9.085576528458942
7,2021-05-26T00:30:00Z,9,21.8,05/25/21,17:30:00,9.085576528458942
8,2021-05-26T00:45:00Z,9.01,21.76,05/25/21,17:45:00,9.094497256705415
9,2021-05-26T01:00:00Z,9.01,21.76,05/25/21,18:00:00,9.094497256705415
10,2021-05-26T01:15:00Z,9.03,21.78,05/25/21,18:15:00,9.112338713198364
11,2021-05-26T01:30:00Z,9.01,21.82,05/25/21,18:30:00,9.094497256705415
12,2021-05-26T01:45:00Z,9.01,21.86,05/25/21,18:45:00,9.094497256705415
13,2021-05-26T02:00:00Z,8.99,21.9,05/25/21,19:00:00,9.076655800212468
14,2021-05-26T02:15:00Z,8.99,21.94,05/25/21,19:15:00,9.076655800212468
15,2021-05-26T02:30:00Z,8.99,21.98,05/25/21,19:30:00,9.076655800212468
16,2021-05-26T02:45:00Z,8.99,22.02,05/25/21,19:45:00,9.076655800212468
17,2021-05-26T03:00:00Z,8.98,22.06,05/25/21,20:00:00,9.067735071965993
18,2021-05-26T03:15:00Z,8.97,22.08,05/25/21,20:15:00,9.058814343719519
19,2021-05-26T03:30:00Z,8.97,22.1,05/25/21,20:30:00,9.058814343719519
20,2021-05-26T03:45:00Z,8.96,22.12,05/25/21,20:45:00,9.049893615473044
21,2021-05-26T04:00:00Z,8.96,22.14,05/25/21,21:00:00,9.049893615473044
22,2021-05-26T04:15:00Z,8.97,22.16,05/25/21,21:15:00,9.058814343719519
23,2021-05-26T04:30:00Z,8.97,22.16,05/25/21,21:30:00,9.058814343719519
24,2021-05-26T04:45:00Z,8.98,22.14,05/25/21,21:45:00,9.067735071965993
25,2021-05-26T05:00:00Z,8.97,22.14,05/25/21,22:00:00,9.058814343719519
26,2021-05-26T05:15:00Z,8.98,22.12,05/25/21,22:15:00,9.067735071965993
27,2021-05-26T05:30:00Z,8.96,22.12,05/25/21,22:30:00,9.049893615473044
28,2021-05-26T05:45:00Z,8.98,22.1,05/25/21,22:45:00,9.067735071965993
29,2021-05-26T06:00:00Z,9,22,05/25/21,23:00:00,9.085576528458942
30,2021-05-26T06:15:00Z,9.02,21.9,05/25/21,23:15:00,9.10341798495189
31,2021-05-26T06:30:00Z,9.03,21.8,05/25/21,23:30:00,9.112338713198364
32,2021-05-26T06:45:00Z,9.05,21.68,05/25/21,23:45:00,9.130180169691315
33,2021-05-26T07:00:00Z,9.07,21.58,05/26/21,00:00:00,9.148021626184264
34,2021-05-26T07:15:00Z,9.1,21.48,05/26/21,00:15:00,9.174783810923685
35,2021-05-26T07:30:00Z,9.12,21.38,05/26/21,00:30:00,9.192625267416634
36,2021-05-26T07:45:00Z,9.14,21.28,05/26/21,00:45:00,9.210466723909585
37,2021-05-26T08:00:00Z,9.15,21.2,05/26/21,01:00:00,9.21938745215606
38,2021-05-26T08:15:00Z,9.16,21.12,05/26/21,01:15:00,9.228308180402532
39,2021-05-26T08:30:00Z,9.17,21.04,05/26/21,01:30:00,9.237228908649007
40,2021-05-26T08:45:00Z,9.18,20.98,05/26/21,01:45:00,9.246149636895481
41,2021-05-26T09:00:00Z,9.21,20.92,05/26/21,02:00:00,9.272911821634906
42,2021-05-26T09:15:00Z,9.21,20.84,05/26/21,02:15:00,9.272911821634906
43,2021-05-26T09:30:00Z,9.22,20.78,05/26/21,02:30:00,9.281832549881381
44,2021-05-26T09:45:00Z,9.23,20.74,05/26/21,02:45:00,9.290753278127855
45,2021-05-26T10:00:00Z,9.24,20.68,05/26/21,03:00:00,9.299674006374328
46,2021-05-26T10:15:00Z,9.26,20.62,05/26/21,03:15:00,9.317515462867277
47,2021-05-26T10:30:00Z,9.28,20.56,05/26/21,03:30:00,9.335356919360226
48,2021-05-26T10:45:00Z,9.29,20.52,05/26/21,03:45:00,9.3442776476067
49,2021-05-26T11:00:00Z,9.29,20.48,05/26/21,04:00:00,9.3442776476067
50,2021-05-26T11:15:00Z,9.29,20.44,05/26/21,04:15:00,9.3442776476067
51,2021-05-26T11:30:00Z,9.32,20.38,05/26/21,04:30:00,9.371039832346124
52,2021-05-26T11:45:00Z,9.33,20.34,05/26/21,04:45:00,9.379960560592599
53,2021-05-26T12:00:00Z,9.33,20.32,05/26/21,05:00:00,9.379960560592599
54,2021-05-26T12:15:00Z,9.35,20.26,05/26/21,05:15:00,9.397802017085548
55,2021-05-26T12:30:00Z,9.49,20.24,05/26/21,05:30:00,9.52269221253619
56,2021-05-26T12:45:00Z,9.51,20.2,05/26/21,05:45:00,9.54053366902914
57,2021-05-26T13:00:00Z,9.52,20.16,05/26/21,06:00:00,9.549454397275614
58,2021-05-26T13:15:00Z,9.53,20.14,05/26/21,06:15:00,9.558375125522089
59,2021-05-26T13:30:00Z,9.54,20.1,05/26/21,06:30:00,9.567295853768563
60,2021-05-26T13:45:00Z,9.51,20,05/26/21,06:45:00,9.54053366902914
61,2021-05-26T14:00:00Z,9.53,20.04,05/26/21,07:00:00,9.558375125522089
62,2021-05-26T14:15:00Z,9.52,20.12,05/26/21,07:15:00,9.549454397275614
63,2021-05-26T14:30:00Z,9.51,20.06,05/26/21,07:30:00,9.54053366902914
64,2021-05-26T14:45:00Z,9.51,20.2,05/26/21,07:45:00,9.54053366902914
65,2021-05-26T15:00:00Z,9.49,20.2,05/26/21,08:00:00,9.52269221253619
66,2021-05-26T15:15:00Z,9.49,20.14,05/26/21,08:15:00,9.52269221253619
