scan_no,datetime,do_mgL,temp,date,time,do_cor
1,2021-05-24T15:30:00Z,8.65,18.714,05/24/21,15:30:00,9.561606446394272
2,2021-05-24T15:45:00Z,8.702,18.47,05/24/21,15:45:00,9.626446423671158
3,2021-05-24T16:00:00Z,8.678,18.486,05/24/21,16:00:00,9.596520280312596
4,2021-05-24T16:15:00Z,8.69,18.486,05/24/21,16:15:00,9.611483351991877
5,2021-05-24T16:30:00Z,8.676,18.453,05/24/21,16:30:00,9.594026435032715
6,2021-05-24T16:45:00Z,8.69,18.486,05/24/21,16:45:00,9.611483351991877
7,2021-05-24T17:00:00Z,8.692,18.512,05/24/21,17:00:00,9.613977197271758
8,2021-05-24T17:15:00Z,8.658,18.537,05/24/21,17:15:00,9.571581827513793
9,2021-05-24T17:30:00Z,8.664,18.545,05/24/21,17:30:00,9.579063363353434
10,2021-05-24T17:45:00Z,8.653,18.588,05/24/21,17:45:00,9.565347214314093
11,2021-05-24T18:00:00Z,8.66,18.596,05/24/21,18:00:00,9.574075672793674
12,2021-05-24T18:15:00Z,8.656,18.604,05/24/21,18:15:00,9.569087982233913
13,2021-05-24T18:30:00Z,8.662,18.638,05/24/21,18:30:00,9.576569518073555
14,2021-05-24T18:45:00Z,8.661,18.663,05/24/21,18:45:00,9.575322595433613
15,2021-05-24T19:00:00Z,8.659,18.655,05/24/21,19:00:00,9.572828750153734
16,2021-05-24T19:15:00Z,8.654,18.672,05/24/21,19:15:00,9.566594136954032
17,2021-05-24T19:30:00Z,8.623,18.714,05/24/21,19:30:00,9.527939535115888
18,2021-05-24T19:45:00Z,8.65,18.722,05/24/21,19:45:00,9.561606446394272
19,2021-05-24T20:00:00Z,8.644,18.722,05/24/21,20:00:00,9.55412491055463
20,2021-05-24T20:15:00Z,8.625,18.764,05/24/21,20:15:00,9.530433380395769
21,2021-05-24T20:30:00Z,8.626,18.756,05/24/21,20:30:00,9.531680303035708
22,2021-05-24T20:45:00Z,8.628,18.756,05/24/21,20:45:00,9.53417414831559
23,2021-05-24T21:00:00Z,8.639,18.798,05/24/21,21:00:00,9.547890297354929
24,2021-05-24T21:15:00Z,8.65,18.773,05/24/21,21:15:00,9.561606446394272
25,2021-05-24T21:30:00Z,8.645,18.79,05/24/21,21:30:00,9.55537183319457
26,2021-05-24T21:45:00Z,8.634,18.781,05/24/21,21:45:00,9.54165568415523
27,2021-05-24T22:00:00Z,8.625,18.798,05/24/21,22:00:00,9.530433380395769
28,2021-05-24T22:15:00Z,8.65,18.773,05/24/21,22:15:00,9.561606446394272
29,2021-05-24T22:30:00Z,8.635,18.79,05/24/21,22:30:00,9.542902606795169
30,2021-05-24T22:45:00Z,8.633,18.807,05/24/21,22:45:00,9.540408761515287
31,2021-05-24T23:00:00Z,8.631,18.79,05/24/21,23:00:00,9.53791491623541
32,2021-05-24T23:15:00Z,8.623,18.781,05/24/21,23:15:00,9.527939535115888
33,2021-05-24T23:30:00Z,8.622,18.764,05/24/21,23:30:00,9.526692612475948
34,2021-05-24T23:45:00Z,8.639,18.764,05/24/21,23:45:00,9.547890297354929
35,2021-05-25T00:00:00Z,8.609,18.748,05/25/21,00:00:00,9.510482618156725
36,2021-05-25T00:15:00Z,8.644,18.731,05/25/21,00:15:00,9.55412491055463
37,2021-05-25T00:30:00Z,8.615,18.731,05/25/21,00:30:00,9.517964153996367
38,2021-05-25T00:45:00Z,8.638,18.714,05/25/21,00:45:00,9.54664337471499
39,2021-05-25T01:00:00Z,8.651,18.697,05/25/21,01:00:00,9.562853369034212
40,2021-05-25T01:15:00Z,8.64,18.663,05/25/21,01:15:00,9.54913721999487
41,2021-05-25T01:30:00Z,8.64,18.655,05/25/21,01:30:00,9.54913721999487
42,2021-05-25T01:45:00Z,8.64,18.646,05/25/21,01:45:00,9.54913721999487
43,2021-05-25T02:00:00Z,8.654,18.613,05/25/21,02:00:00,9.566594136954032
44,2021-05-25T02:15:00Z,8.655,18.604,05/25/21,02:15:00,9.567841059593972
45,2021-05-25T02:30:00Z,8.661,18.588,05/25/21,02:30:00,9.575322595433613
46,2021-05-25T02:45:00Z,8.664,18.562,05/25/21,02:45:00,9.579063363353434
47,2021-05-25T03:00:00Z,8.642,18.554,05/25/21,03:00:00,9.55163106527475
48,2021-05-25T03:15:00Z,8.664,18.545,05/25/21,03:15:00,9.579063363353434
49,2021-05-25T03:30:00Z,8.677,18.503,05/25/21,03:30:00,9.595273357672655
50,2021-05-25T03:45:00Z,8.656,18.503,05/25/21,03:45:00,9.569087982233913
51,2021-05-25T04:00:00Z,8.684,18.478,05/25/21,04:00:00,9.604001816152236
52,2021-05-25T04:15:00Z,8.676,18.444,05/25/21,04:15:00,9.594026435032715
53,2021-05-25T04:30:00Z,8.686,18.41,05/25/21,04:30:00,9.606495661432117
54,2021-05-25T04:45:00Z,8.679,18.41,05/25/21,04:45:00,9.597767202952536
55,2021-05-25T05:00:00Z,8.669,18.385,05/25/21,05:00:00,9.585297976553134
56,2021-05-25T05:15:00Z,8.705,18.351,05/25/21,05:15:00,9.630187191590979
57,2021-05-25T05:30:00Z,8.707,18.335,05/25/21,05:30:00,9.63268103687086
58,2021-05-25T05:45:00Z,8.692,18.318,05/25/21,05:45:00,9.613977197271758
59,2021-05-25T06:00:00Z,8.694,18.309,05/25/21,06:00:00,9.61647104255164
60,2021-05-25T06:15:00Z,8.703,18.284,05/25/21,06:15:00,9.627693346311098
61,2021-05-25T06:30:00Z,8.695,18.259,05/25/21,06:30:00,9.617717965191579
62,2021-05-25T06:45:00Z,8.698,18.242,05/25/21,06:45:00,9.6214587331114
63,2021-05-25T07:00:00Z,8.721,18.216,05/25/21,07:00:00,9.650137953830022
64,2021-05-25T07:15:00Z,8.705,18.233,05/25/21,07:15:00,9.630187191590979
65,2021-05-25T07:30:00Z,8.712,18.259,05/25/21,07:30:00,9.63891565007056
66,2021-05-25T07:45:00Z,8.727,18.301,05/25/21,07:45:00,9.657619489669663
67,2021-05-25T08:00:00Z,8.691,18.301,05/25/21,08:00:00,9.612730274631819
68,2021-05-25T08:15:00Z,8.73,18.284,05/25/21,08:15:00,9.661360257589484
69,2021-05-25T08:30:00Z,8.715,18.284,05/25/21,08:30:00,9.64265641799038
70,2021-05-25T08:45:00Z,8.711,18.318,05/25/21,08:45:00,9.63766872743062
71,2021-05-25T09:00:00Z,8.707,18.351,05/25/21,09:00:00,9.63268103687086
72,2021-05-25T09:15:00Z,8.723,18.343,05/25/21,09:15:00,9.652631799109903
73,2021-05-25T09:30:00Z,8.725,18.351,05/25/21,09:30:00,9.655125644389782
