scan_no,datetime,intensity_lux,hoboPAR
1,2021-05-25T21:00:00Z,21.5,-0.857371234575453
2,2021-05-25T21:15:00Z,21.5,-0.857371234575453
3,2021-05-25T21:30:00Z,21.5,-0.857371234575453
4,2021-05-25T21:45:00Z,21.5,-0.857371234575453
5,2021-05-25T22:00:00Z,21.5,-0.857371234575453
6,2021-05-25T22:15:00Z,570.5,39.536059519744754
7,2021-05-25T22:30:00Z,473.6,32.5612760084133
8,2021-05-25T22:45:00Z,559.7,38.761912722063926
9,2021-05-25T23:00:00Z,549,37.99413717694233
10,2021-05-25T23:15:00Z,592,41.074783203417496
11,2021-05-25T23:30:00Z,570.5,39.536059519744754
12,2021-05-25T23:45:00Z,581.3,40.309399196818504
13,2021-05-26T00:00:00Z,592,41.074783203417496
14,2021-05-26T00:15:00Z,592,41.074783203417496
15,2021-05-26T00:30:00Z,581.3,40.309399196818504
16,2021-05-26T00:45:00Z,592,41.074783203417496
17,2021-05-26T01:00:00Z,581.3,40.309399196818504
18,2021-05-26T01:15:00Z,581.3,40.309399196818504
19,2021-05-26T01:30:00Z,592,41.074783203417496
20,2021-05-26T01:45:00Z,602.8,41.84651861680709
21,2021-05-26T02:00:00Z,592,41.074783203417496
22,2021-05-26T02:15:00Z,602.8,41.84651861680709
23,2021-05-26T02:30:00Z,581.3,40.309399196818504
24,2021-05-26T02:45:00Z,592,41.074783203417496
25,2021-05-26T03:00:00Z,333.7,22.37552799851892
26,2021-05-26T03:15:00Z,161.5,9.64765273445505
27,2021-05-26T03:30:00Z,193.8,12.051211014810974
28,2021-05-26T03:45:00Z,193.8,12.051211014810974
29,2021-05-26T04:00:00Z,193.8,12.051211014810974
30,2021-05-26T04:15:00Z,161.5,9.64765273445505
31,2021-05-26T04:30:00Z,161.5,9.64765273445505
32,2021-05-26T04:45:00Z,161.5,9.64765273445505
33,2021-05-26T05:00:00Z,150.7,8.842311948226666
34,2021-05-26T05:15:00Z,150.7,8.842311948226666
35,2021-05-26T05:30:00Z,150.7,8.842311948226666
36,2021-05-26T05:45:00Z,150.7,8.842311948226666
37,2021-05-26T06:00:00Z,172.2,10.444708641341322
38,2021-05-26T06:15:00Z,0,-2.483262400000058
39,2021-05-26T06:30:00Z,0,-2.483262400000058
40,2021-05-26T06:45:00Z,0,-2.483262400000058
41,2021-05-26T07:00:00Z,0,-2.483262400000058
42,2021-05-26T07:15:00Z,0,-2.483262400000058
43,2021-05-26T07:30:00Z,0,-2.483262400000058
44,2021-05-26T07:45:00Z,0,-2.483262400000058
45,2021-05-26T08:00:00Z,0,-2.483262400000058
46,2021-05-26T08:15:00Z,0,-2.483262400000058
47,2021-05-26T08:30:00Z,0,-2.483262400000058
48,2021-05-26T08:45:00Z,0,-2.483262400000058
49,2021-05-26T09:00:00Z,0,-2.483262400000058
50,2021-05-26T09:15:00Z,0,-2.483262400000058
51,2021-05-26T09:30:00Z,0,-2.483262400000058
52,2021-05-26T09:45:00Z,0,-2.483262400000058
53,2021-05-26T10:00:00Z,0,-2.483262400000058
54,2021-05-26T10:15:00Z,0,-2.483262400000058
55,2021-05-26T10:30:00Z,0,-2.483262400000058
56,2021-05-26T10:45:00Z,0,-2.483262400000058
57,2021-05-26T11:00:00Z,0,-2.483262400000058
58,2021-05-26T11:15:00Z,0,-2.483262400000058
59,2021-05-26T11:30:00Z,0,-2.483262400000058
60,2021-05-26T11:45:00Z,0,-2.483262400000058
61,2021-05-26T12:00:00Z,0,-2.483262400000058
62,2021-05-26T12:15:00Z,0,-2.483262400000058
63,2021-05-26T12:30:00Z,0,-2.483262400000058
64,2021-05-26T12:45:00Z,0,-2.483262400000058
65,2021-05-26T13:00:00Z,0,-2.483262400000058
66,2021-05-26T13:15:00Z,0,-2.483262400000058
67,2021-05-26T13:30:00Z,0,-2.483262400000058
68,2021-05-26T13:45:00Z,0,-2.483262400000058
69,2021-05-26T14:00:00Z,0,-2.483262400000058
70,2021-05-26T14:15:00Z,0,-2.483262400000058
71,2021-05-26T14:30:00Z,0,-2.483262400000058
72,2021-05-26T14:45:00Z,107.6,5.6200267388164775
73,2021-05-26T15:00:00Z,107.6,5.6200267388164775
74,2021-05-26T15:15:00Z,107.6,5.6200267388164775
75,2021-05-26T15:30:00Z,107.6,5.6200267388164775
76,2021-05-26T15:45:00Z,107.6,5.6200267388164775
77,2021-05-26T16:00:00Z,0,-2.483262400000058
78,2021-05-26T16:15:00Z,10.8,-1.6661136408249604
79,2021-05-26T16:30:00Z,10.8,-1.6661136408249604
80,2021-05-26T16:45:00Z,10.8,-1.6661136408249604
81,2021-05-26T17:00:00Z,10.8,-1.6661136408249604
82,2021-05-26T17:15:00Z,10.8,-1.6661136408249604
83,2021-05-26T17:30:00Z,10.8,-1.6661136408249604
84,2021-05-26T17:45:00Z,10.8,-1.6661136408249604
85,2021-05-26T18:00:00Z,10.8,-1.6661136408249604
86,2021-05-26T18:15:00Z,10.8,-1.6661136408249604
87,2021-05-26T18:30:00Z,10.8,-1.6661136408249604
88,2021-05-26T18:45:00Z,21.5,-0.857371234575453
89,2021-05-26T19:00:00Z,10.8,-1.6661136408249604
90,2021-05-26T19:15:00Z,10.8,-1.6661136408249604
91,2021-05-26T19:30:00Z,21.5,-0.857371234575453
92,2021-05-26T19:45:00Z,21.5,-0.857371234575453
93,2021-05-26T20:00:00Z,10.8,-1.6661136408249604
94,2021-05-26T20:15:00Z,21.5,-0.857371234575453
95,2021-05-26T20:30:00Z,21.5,-0.857371234575453
96,2021-05-26T20:45:00Z,21.5,-0.857371234575453
97,2021-05-26T21:00:00Z,10.8,-1.6661136408249604
98,2021-05-26T21:15:00Z,21.5,-0.857371234575453
99,2021-05-26T21:30:00Z,139.9,8.036130642413468
100,2021-05-26T21:45:00Z,129.2,7.236584234171687
101,2021-05-26T22:00:00Z,107.6,5.6200267388164775
102,2021-05-26T22:15:00Z,129.2,7.236584234171687
103,2021-05-26T22:30:00Z,161.5,9.64765273445505
104,2021-05-26T22:45:00Z,172.2,10.444708641341322
105,2021-05-26T23:00:00Z,183,11.248378778804408
106,2021-05-26T23:15:00Z,21.5,-0.857371234575453
107,2021-05-26T23:30:00Z,183,11.248378778804408
108,2021-05-26T23:45:00Z,183,11.248378778804408
109,2021-05-27T00:00:00Z,333.7,22.37552799851892
110,2021-05-27T00:15:00Z,322.9,21.58347106505903
111,2021-05-27T00:30:00Z,301.4,20.00422934414462
112,2021-05-27T00:45:00Z,204.5,12.845784177986502
113,2021-05-27T01:00:00Z,172.2,10.444708641341322
114,2021-05-27T01:15:00Z,10.8,-1.6661136408249604
115,2021-05-27T01:30:00Z,10.8,-1.6661136408249604
