scan_no,date,time,raw1,raw2,odyPAR
1,25/05/2021,20:15:00,35,35,33.835514865
2,25/05/2021,20:30:00,37,37,35.188201235
3,25/05/2021,20:45:00,40,40,37.21723079
4,25/05/2021,21:00:00,38,38,35.86454442
5,25/05/2021,21:15:00,41,41,37.893573975
6,25/05/2021,21:30:00,44,44,39.92260353
7,25/05/2021,21:45:00,42,42,38.56991716
8,25/05/2021,22:00:00,45,45,40.598946715000004
9,25/05/2021,22:15:00,41,41,37.893573975
10,25/05/2021,22:30:00,45,45,40.598946715000004
11,25/05/2021,22:45:00,46,46,41.275289900000004
12,25/05/2021,23:00:00,57,57,48.715064935
13,25/05/2021,23:15:00,1,1,10.839846575000001
14,25/05/2021,23:30:00,0,0,10.16350339
15,25/05/2021,23:45:00,0,0,10.16350339
16,25/05/2021,24:00:00,0,0,10.16350339
17,26/05/2021,00:15:00,0,0,10.16350339
18,26/05/2021,00:30:00,0,0,10.16350339
19,26/05/2021,00:45:00,0,0,10.16350339
20,26/05/2021,01:00:00,0,0,10.16350339
21,26/05/2021,01:15:00,0,0,10.16350339
22,26/05/2021,01:30:00,0,0,10.16350339
23,26/05/2021,01:45:00,0,0,10.16350339
24,26/05/2021,02:00:00,0,0,10.16350339
25,26/05/2021,02:15:00,0,0,10.16350339
26,26/05/2021,02:30:00,0,0,10.16350339
27,26/05/2021,02:45:00,0,0,10.16350339
28,26/05/2021,03:00:00,0,0,10.16350339
29,26/05/2021,03:15:00,0,0,10.16350339
30,26/05/2021,03:30:00,0,0,10.16350339
31,26/05/2021,03:45:00,0,0,10.16350339
32,26/05/2021,04:00:00,0,0,10.16350339
33,26/05/2021,04:15:00,0,0,10.16350339
34,26/05/2021,04:30:00,0,0,10.16350339
35,26/05/2021,04:45:00,0,0,10.16350339
36,26/05/2021,05:00:00,0,0,10.16350339
37,26/05/2021,05:15:00,0,0,10.16350339
38,26/05/2021,05:30:00,0,0,10.16350339
39,26/05/2021,05:45:00,0,0,10.16350339
40,26/05/2021,06:00:00,0,0,10.16350339
41,26/05/2021,06:15:00,0,0,10.16350339
42,26/05/2021,06:30:00,0,0,10.16350339
43,26/05/2021,06:45:00,0,0,10.16350339
44,26/05/2021,07:00:00,0,0,10.16350339
45,26/05/2021,07:15:00,0,0,10.16350339
46,26/05/2021,07:30:00,0,0,10.16350339
47,26/05/2021,07:45:00,39,39,36.540887605
48,26/05/2021,08:00:00,52,52,45.333349010000006
49,26/05/2021,08:15:00,50,50,43.980662640000006
50,26/05/2021,08:30:00,51,51,44.657005825000006
51,26/05/2021,08:45:00,49,49,43.304319455000005
52,26/05/2021,09:00:00,18,18,22.33768072
