scan_no,datetime,intensity_lux,hoboPAR
1,2021-05-25T21:00:00Z,10.8,0.45288011081504465
2,2021-05-25T21:15:00Z,21.5,1.224460615640055
3,2021-05-25T21:30:00Z,10.8,0.45288011081504465
4,2021-05-25T21:45:00Z,10.8,0.45288011081504465
5,2021-05-25T22:00:00Z,10.8,0.45288011081504465
6,2021-05-25T22:15:00Z,592,41.25522835205629
7,2021-05-25T22:30:00Z,549,38.31254525424595
8,2021-05-25T22:45:00Z,592,41.25522835205629
9,2021-05-25T23:00:00Z,570.5,39.78537964414522
10,2021-05-25T23:15:00Z,592,41.25522835205629
11,2021-05-25T23:30:00Z,592,41.25522835205629
12,2021-05-25T23:45:00Z,592,41.25522835205629
13,2021-05-26T00:00:00Z,592,41.25522835205629
14,2021-05-26T00:15:00Z,592,41.25522835205629
15,2021-05-26T00:30:00Z,592,41.25522835205629
16,2021-05-26T00:45:00Z,581.3,40.524095073938724
17,2021-05-26T01:00:00Z,602.8,41.992446281948446
18,2021-05-26T01:15:00Z,592,41.25522835205629
19,2021-05-26T01:30:00Z,592,41.25522835205629
20,2021-05-26T01:45:00Z,592,41.25522835205629
21,2021-05-26T02:00:00Z,581.3,40.524095073938724
22,2021-05-26T02:15:00Z,570.5,39.78537964414522
23,2021-05-26T02:30:00Z,570.5,39.78537964414522
24,2021-05-26T02:45:00Z,581.3,40.524095073938724
25,2021-05-26T03:00:00Z,731.9,50.74699584155951
26,2021-05-26T03:15:00Z,710.4,49.29642762087053
27,2021-05-26T03:30:00Z,75.3,5.092209506676454
28,2021-05-26T03:45:00Z,64.6,4.324536988759746
29,2021-05-26T04:00:00Z,64.6,4.324536988759746
30,2021-05-26T04:15:00Z,64.6,4.324536988759746
31,2021-05-26T04:30:00Z,64.6,4.324536988759746
32,2021-05-26T04:45:00Z,75.3,5.092209506676454
33,2021-05-26T05:00:00Z,86.1,5.866270763949274
34,2021-05-26T05:15:00Z,86.1,5.866270763949274
35,2021-05-26T05:30:00Z,193.8,13.54236827002967
36,2021-05-26T05:45:00Z,721.2,50.0254530782687
37,2021-05-26T06:00:00Z,118.4,8.176584267579301
38,2021-05-26T06:15:00Z,0,-0.32670199999995475
39,2021-05-26T06:30:00Z,0,-0.32670199999995475
40,2021-05-26T06:45:00Z,0,-0.32670199999995475
41,2021-05-26T07:00:00Z,0,-0.32670199999995475
42,2021-05-26T07:15:00Z,0,-0.32670199999995475
43,2021-05-26T07:30:00Z,0,-0.32670199999995475
44,2021-05-26T07:45:00Z,0,-0.32670199999995475
45,2021-05-26T08:00:00Z,0,-0.32670199999995475
46,2021-05-26T08:15:00Z,0,-0.32670199999995475
47,2021-05-26T08:30:00Z,0,-0.32670199999995475
48,2021-05-26T08:45:00Z,0,-0.32670199999995475
49,2021-05-26T09:00:00Z,0,-0.32670199999995475
50,2021-05-26T09:15:00Z,0,-0.32670199999995475
51,2021-05-26T09:30:00Z,0,-0.32670199999995475
52,2021-05-26T09:45:00Z,0,-0.32670199999995475
53,2021-05-26T10:00:00Z,0,-0.32670199999995475
54,2021-05-26T10:15:00Z,0,-0.32670199999995475
55,2021-05-26T10:30:00Z,0,-0.32670199999995475
56,2021-05-26T10:45:00Z,0,-0.32670199999995475
57,2021-05-26T11:00:00Z,0,-0.32670199999995475
58,2021-05-26T11:15:00Z,0,-0.32670199999995475
59,2021-05-26T11:30:00Z,0,-0.32670199999995475
60,2021-05-26T11:45:00Z,0,-0.32670199999995475
61,2021-05-26T12:00:00Z,0,-0.32670199999995475
62,2021-05-26T12:15:00Z,0,-0.32670199999995475
63,2021-05-26T12:30:00Z,0,-0.32670199999995475
64,2021-05-26T12:45:00Z,0,-0.32670199999995475
65,2021-05-26T13:00:00Z,0,-0.32670199999995475
66,2021-05-26T13:15:00Z,0,-0.32670199999995475
67,2021-05-26T13:30:00Z,0,-0.32670199999995475
68,2021-05-26T13:45:00Z,0,-0.32670199999995475
69,2021-05-26T14:00:00Z,0,-0.32670199999995475
70,2021-05-26T14:15:00Z,0,-0.32670199999995475
71,2021-05-26T14:30:00Z,0,-0.32670199999995475
72,2021-05-26T14:45:00Z,96.9,6.639543398114029
73,2021-05-26T15:00:00Z,96.9,6.639543398114029
74,2021-05-26T15:15:00Z,96.9,6.639543398114029
75,2021-05-26T15:30:00Z,96.9,6.639543398114029
76,2021-05-26T15:45:00Z,86.1,5.866270763949274
77,2021-05-26T16:00:00Z,0,-0.32670199999995475
78,2021-05-26T16:15:00Z,10.8,0.45288011081504465
79,2021-05-26T16:30:00Z,10.8,0.45288011081504465
80,2021-05-26T16:45:00Z,10.8,0.45288011081504465
81,2021-05-26T17:00:00Z,10.8,0.45288011081504465
82,2021-05-26T17:15:00Z,10.8,0.45288011081504465
83,2021-05-26T17:30:00Z,0,-0.32670199999995475
84,2021-05-26T17:45:00Z,183,12.77613549084424
85,2021-05-26T18:00:00Z,31689.1,726.4157460538721
86,2021-05-26T18:15:00Z,68889.3,763.712326005577
87,2021-05-26T18:30:00Z,115734.1,764.8467003083448
88,2021-05-26T18:45:00Z,35822.5,738.8343605450611
89,2021-05-26T19:00:00Z,93689.5,764.7499765664662
90,2021-05-26T19:15:00Z,110223,764.8372854930241
91,2021-05-26T19:30:00Z,99200.7,764.7948018517062
92,2021-05-26T19:45:00Z,159823.3,764.8602842007874
93,2021-05-26T20:00:00Z,176356.7,764.86045412089
94,2021-05-26T20:15:00Z,176356.7,764.86045412089
