scan_no,date,time,raw1,raw2,odyPAR
1,25/05/2021,20:15:00,120,120,35.283141615000005
2,25/05/2021,20:30:00,123,123,36.043361688000005
3,25/05/2021,20:45:00,134,134,38.830835289
4,25/05/2021,21:00:00,134,134,38.830835289
5,25/05/2021,21:15:00,140,140,40.351275435
6,25/05/2021,21:30:00,153,153,43.645562418000004
7,25/05/2021,21:45:00,151,151,43.138749036
8,25/05/2021,22:00:00,153,153,43.645562418000004
9,25/05/2021,22:15:00,140,140,40.351275435
10,25/05/2021,22:30:00,128,128,37.310395143
11,25/05/2021,22:45:00,109,109,32.495668014
12,25/05/2021,23:00:00,125,125,36.55017507
13,25/05/2021,23:15:00,1,1,5.127745386
14,25/05/2021,23:30:00,0,0,4.874338695
15,25/05/2021,23:45:00,0,0,4.874338695
16,25/05/2021,24:00:00,0,0,4.874338695
17,26/05/2021,00:15:00,0,0,4.874338695
18,26/05/2021,00:30:00,0,0,4.874338695
19,26/05/2021,00:45:00,0,0,4.874338695
20,26/05/2021,01:00:00,0,0,4.874338695
21,26/05/2021,01:15:00,0,0,4.874338695
22,26/05/2021,01:30:00,0,0,4.874338695
23,26/05/2021,01:45:00,0,0,4.874338695
24,26/05/2021,02:00:00,0,0,4.874338695
25,26/05/2021,02:15:00,0,0,4.874338695
26,26/05/2021,02:30:00,0,0,4.874338695
27,26/05/2021,02:45:00,0,0,4.874338695
28,26/05/2021,03:00:00,0,0,4.874338695
29,26/05/2021,03:15:00,0,0,4.874338695
30,26/05/2021,03:30:00,0,0,4.874338695
31,26/05/2021,03:45:00,0,0,4.874338695
32,26/05/2021,04:00:00,0,0,4.874338695
33,26/05/2021,04:15:00,0,0,4.874338695
34,26/05/2021,04:30:00,0,0,4.874338695
35,26/05/2021,04:45:00,0,0,4.874338695
36,26/05/2021,05:00:00,0,0,4.874338695
37,26/05/2021,05:15:00,0,0,4.874338695
38,26/05/2021,05:30:00,0,0,4.874338695
39,26/05/2021,05:45:00,0,0,4.874338695
40,26/05/2021,06:00:00,0,0,4.874338695
41,26/05/2021,06:15:00,0,0,4.874338695
42,26/05/2021,06:30:00,0,0,4.874338695
43,26/05/2021,06:45:00,0,0,4.874338695
44,26/05/2021,07:00:00,0,0,4.874338695
45,26/05/2021,07:15:00,0,0,4.874338695
