scan_no,datetime,intensity_lux,hoboPAR
1,2021-05-25T21:00:00Z,53.8,5.464949153393036
2,2021-05-25T21:15:00Z,21.5,3.449965873895735
3,2021-05-25T21:30:00Z,21.5,3.449965873895735
4,2021-05-25T21:45:00Z,21.5,3.449965873895735
5,2021-05-25T22:00:00Z,21.5,3.449965873895735
6,2021-05-25T22:15:00Z,226,16.11694578716697
7,2021-05-25T22:30:00Z,236.8,16.779970475378946
8,2021-05-25T22:45:00Z,236.8,16.779970475378946
9,2021-05-25T23:00:00Z,236.8,16.779970475378946
10,2021-05-25T23:15:00Z,258.3,18.09811812241162
11,2021-05-25T23:30:00Z,236.8,16.779970475378946
12,2021-05-25T23:45:00Z,226,16.11694578716697
13,2021-05-26T00:00:00Z,236.8,16.779970475378946
14,2021-05-26T00:15:00Z,236.8,16.779970475378946
15,2021-05-26T00:30:00Z,236.8,16.779970475378946
16,2021-05-26T00:45:00Z,236.8,16.779970475378946
17,2021-05-26T01:00:00Z,236.8,16.779970475378946
18,2021-05-26T01:15:00Z,236.8,16.779970475378946
19,2021-05-26T01:30:00Z,236.8,16.779970475378946
20,2021-05-26T01:45:00Z,236.8,16.779970475378946
21,2021-05-26T02:00:00Z,236.8,16.779970475378946
22,2021-05-26T02:15:00Z,226,16.11694578716697
23,2021-05-26T02:30:00Z,226,16.11694578716697
24,2021-05-26T02:45:00Z,226,16.11694578716697
25,2021-05-26T03:00:00Z,226,16.11694578716697
26,2021-05-26T03:15:00Z,226,16.11694578716697
27,2021-05-26T03:30:00Z,226,16.11694578716697
28,2021-05-26T03:45:00Z,75.3,6.8032094608809075
29,2021-05-26T04:00:00Z,64.6,6.1374891459436185
30,2021-05-26T04:15:00Z,53.8,5.464949153393036
31,2021-05-26T04:30:00Z,53.8,5.464949153393036
32,2021-05-26T04:45:00Z,236.8,16.779970475378946
33,2021-05-26T05:00:00Z,882.6,55.36842702224976
34,2021-05-26T05:15:00Z,258.3,18.09811812241162
35,2021-05-26T05:30:00Z,258.3,18.09811812241162
36,2021-05-26T05:45:00Z,247.6,17.44240289137133
