scan_no,date,time,raw1,raw2,odyPAR
1,25/05/2021,20:15:00,133,133,34.086466356
2,25/05/2021,20:30:00,130,130,33.299224365
3,25/05/2021,20:45:00,140,140,35.923364335
4,25/05/2021,21:00:00,140,140,35.923364335
5,25/05/2021,21:15:00,145,145,37.23543432
6,25/05/2021,21:30:00,156,156,40.121988287
7,25/05/2021,21:45:00,153,153,39.334746296
8,25/05/2021,22:00:00,172,172,44.320612239
9,25/05/2021,22:15:00,133,133,34.086466356
10,25/05/2021,22:30:00,103,103,26.214046446
11,25/05/2021,22:45:00,105,105,26.73887444
12,25/05/2021,23:00:00,73,73,18.341626536
13,25/05/2021,23:15:00,1,1,-0.552181248
14,25/05/2021,23:30:00,0,0,-0.814595245
15,25/05/2021,23:45:00,0,0,-0.814595245
16,25/05/2021,24:00:00,0,0,-0.814595245
17,26/05/2021,00:15:00,0,0,-0.814595245
18,26/05/2021,00:30:00,0,0,-0.814595245
19,26/05/2021,00:45:00,0,0,-0.814595245
20,26/05/2021,01:00:00,0,0,-0.814595245
21,26/05/2021,01:15:00,0,0,-0.814595245
22,26/05/2021,01:30:00,0,0,-0.814595245
23,26/05/2021,01:45:00,0,0,-0.814595245
24,26/05/2021,02:00:00,0,0,-0.814595245
25,26/05/2021,02:15:00,0,0,-0.814595245
26,26/05/2021,02:30:00,0,0,-0.814595245
27,26/05/2021,02:45:00,0,0,-0.814595245
28,26/05/2021,03:00:00,0,0,-0.814595245
29,26/05/2021,03:15:00,0,0,-0.814595245
30,26/05/2021,03:30:00,0,0,-0.814595245
31,26/05/2021,03:45:00,0,0,-0.814595245
32,26/05/2021,04:00:00,0,0,-0.814595245
33,26/05/2021,04:15:00,0,0,-0.814595245
34,26/05/2021,04:30:00,0,0,-0.814595245
35,26/05/2021,04:45:00,0,0,-0.814595245
36,26/05/2021,05:00:00,0,0,-0.814595245
37,26/05/2021,05:15:00,0,0,-0.814595245
38,26/05/2021,05:30:00,0,0,-0.814595245
39,26/05/2021,05:45:00,0,0,-0.814595245
40,26/05/2021,06:00:00,0,0,-0.814595245
41,26/05/2021,06:15:00,0,0,-0.814595245
42,26/05/2021,06:30:00,0,0,-0.814595245
43,26/05/2021,06:45:00,0,0,-0.814595245
44,26/05/2021,07:00:00,0,0,-0.814595245
45,26/05/2021,07:15:00,1,1,-0.552181248
46,26/05/2021,07:30:00,1,1,-0.552181248
47,26/05/2021,07:45:00,33,33,7.845066656
48,26/05/2021,08:00:00,42,42,10.206792629
49,26/05/2021,08:15:00,40,40,9.681964635
50,26/05/2021,08:30:00,38,38,9.157136641000001
51,26/05/2021,08:45:00,37,37,8.894722644000002
52,26/05/2021,09:00:00,14,14,2.8592007130000003
53,26/05/2021,09:15:00,2,2,-0.289767251
54,26/05/2021,09:30:00,4,4,0.23506074300000002
55,26/05/2021,09:45:00,5,5,0.4974747399999999
56,26/05/2021,10:00:00,3,3,-0.027353253999999994
57,26/05/2021,10:15:00,3,3,-0.027353253999999994
58,26/05/2021,10:30:00,3,3,-0.027353253999999994
59,26/05/2021,10:45:00,25,25,5.745754680000001
60,26/05/2021,11:00:00,4,4,0.23506074300000002
61,26/05/2021,11:15:00,4,4,0.23506074300000002
62,26/05/2021,11:30:00,10,10,1.8095447249999999
63,26/05/2021,11:45:00,9,9,1.547130728
64,26/05/2021,12:00:00,7,7,1.0223027340000002
65,26/05/2021,12:15:00,6,6,0.759888737
66,26/05/2021,12:30:00,7,7,1.0223027340000002
67,26/05/2021,12:45:00,8,8,1.284716731
68,26/05/2021,13:00:00,6,6,0.759888737
69,26/05/2021,13:15:00,6,6,0.759888737
70,26/05/2021,13:30:00,6,6,0.759888737
71,26/05/2021,13:45:00,6,6,0.759888737
72,26/05/2021,14:00:00,6,6,0.759888737
73,26/05/2021,14:15:00,6,6,0.759888737
74,26/05/2021,14:30:00,140,140,35.923364335
75,26/05/2021,14:45:00,103,103,26.214046446
76,26/05/2021,15:00:00,96,96,24.377148467
77,26/05/2021,15:15:00,93,93,23.589906476000003
78,26/05/2021,15:30:00,254,254,65.83855999299999
79,26/05/2021,15:45:00,253,253,65.576145996
80,26/05/2021,16:00:00,100,100,25.426804455000003
81,26/05/2021,16:15:00,89,89,22.540250488
82,26/05/2021,16:30:00,20,20,4.433684695
83,26/05/2021,16:45:00,100,100,25.426804455000003
84,26/05/2021,17:00:00,99,99,25.164390458
85,26/05/2021,17:15:00,99,99,25.164390458
86,26/05/2021,17:30:00,103,103,26.214046446
87,26/05/2021,17:45:00,102,102,25.951632449
88,26/05/2021,18:00:00,100,100,25.426804455000003
89,26/05/2021,18:15:00,25,25,5.745754680000001
90,26/05/2021,18:30:00,2,2,-0.289767251
91,26/05/2021,18:45:00,1,1,-0.552181248
92,26/05/2021,19:00:00,0,0,-0.814595245
93,26/05/2021,19:15:00,1,1,-0.552181248
94,26/05/2021,19:30:00,0,0,-0.814595245
95,26/05/2021,19:45:00,47,47,11.518862614000001
96,26/05/2021,20:00:00,110,110,28.050944425
97,26/05/2021,20:15:00,0,0,-0.814595245
98,26/05/2021,20:30:00,0,0,-0.814595245
99,26/05/2021,20:45:00,0,0,-0.814595245
100,26/05/2021,21:00:00,0,0,-0.814595245
101,26/05/2021,21:15:00,0,0,-0.814595245
102,26/05/2021,21:30:00,0,0,-0.814595245
103,26/05/2021,21:45:00,0,0,-0.814595245
104,26/05/2021,22:00:00,0,0,-0.814595245
105,26/05/2021,22:15:00,0,0,-0.814595245
106,26/05/2021,22:30:00,0,0,-0.814595245
107,26/05/2021,22:45:00,0,0,-0.814595245
108,26/05/2021,23:00:00,0,0,-0.814595245
109,26/05/2021,23:15:00,0,0,-0.814595245
110,26/05/2021,23:30:00,0,0,-0.814595245
111,26/05/2021,23:45:00,0,0,-0.814595245
112,26/05/2021,24:00:00,0,0,-0.814595245
113,27/05/2021,00:15:00,0,0,-0.814595245
114,27/05/2021,00:30:00,0,0,-0.814595245
115,27/05/2021,00:45:00,0,0,-0.814595245
116,27/05/2021,01:00:00,0,0,-0.814595245
117,27/05/2021,01:15:00,0,0,-0.814595245
118,27/05/2021,01:30:00,0,0,-0.814595245
119,27/05/2021,01:45:00,0,0,-0.814595245
120,27/05/2021,02:00:00,0,0,-0.814595245
121,27/05/2021,02:15:00,0,0,-0.814595245
122,27/05/2021,02:30:00,0,0,-0.814595245
123,27/05/2021,02:45:00,0,0,-0.814595245
124,27/05/2021,03:00:00,0,0,-0.814595245
125,27/05/2021,03:15:00,0,0,-0.814595245
126,27/05/2021,03:30:00,0,0,-0.814595245
127,27/05/2021,03:45:00,0,0,-0.814595245
128,27/05/2021,04:00:00,0,0,-0.814595245
129,27/05/2021,04:15:00,0,0,-0.814595245
130,27/05/2021,04:30:00,0,0,-0.814595245
131,27/05/2021,04:45:00,0,0,-0.814595245
132,27/05/2021,05:00:00,0,0,-0.814595245
133,27/05/2021,05:15:00,0,0,-0.814595245
134,27/05/2021,05:30:00,0,0,-0.814595245
135,27/05/2021,05:45:00,0,0,-0.814595245
136,27/05/2021,06:00:00,0,0,-0.814595245
137,27/05/2021,06:15:00,0,0,-0.814595245
138,27/05/2021,06:30:00,0,0,-0.814595245
139,27/05/2021,06:45:00,0,0,-0.814595245
140,27/05/2021,07:00:00,0,0,-0.814595245
141,27/05/2021,07:15:00,0,0,-0.814595245
142,27/05/2021,07:30:00,0,0,-0.814595245
143,27/05/2021,07:45:00,0,0,-0.814595245
144,27/05/2021,08:00:00,17,17,3.6464427040000005
145,27/05/2021,08:15:00,58,58,14.405416581
146,27/05/2021,08:30:00,56,56,13.880588587000002
147,27/05/2021,08:45:00,53,53,13.093346596000002
148,27/05/2021,09:00:00,52,52,12.830932599
149,27/05/2021,09:15:00,51,51,12.568518602000001
150,27/05/2021,09:30:00,54,54,13.355760593000001
151,27/05/2021,09:45:00,47,47,11.518862614000001
152,27/05/2021,10:00:00,0,0,-0.814595245
153,27/05/2021,10:15:00,0,0,-0.814595245
154,27/05/2021,10:30:00,0,0,-0.814595245
155,27/05/2021,10:45:00,0,0,-0.814595245
156,27/05/2021,11:00:00,0,0,-0.814595245
157,27/05/2021,11:15:00,0,0,-0.814595245
158,27/05/2021,11:30:00,6,6,0.759888737
159,27/05/2021,11:45:00,12,12,2.334372719
160,27/05/2021,12:00:00,11,11,2.071958722
161,27/05/2021,12:15:00,56,56,13.880588587000002
162,27/05/2021,12:30:00,62,62,15.455072569000002
163,27/05/2021,12:45:00,65,65,16.24231456
164,27/05/2021,13:00:00,59,59,14.667830578
165,27/05/2021,13:15:00,63,63,15.717486566000002
166,27/05/2021,13:30:00,60,60,14.930244575000001
167,27/05/2021,13:45:00,189,189,48.781650188
168,27/05/2021,14:00:00,61,61,15.192658572000003
169,27/05/2021,14:15:00,67,67,16.767142554
170,27/05/2021,14:30:00,57,57,14.143002584000001
171,27/05/2021,14:45:00,36,36,8.632308647
172,27/05/2021,15:00:00,23,23,5.220926686
173,27/05/2021,15:15:00,23,23,5.220926686
174,27/05/2021,15:30:00,23,23,5.220926686
175,27/05/2021,15:45:00,20,20,4.433684695
176,27/05/2021,16:00:00,21,21,4.696098692
177,27/05/2021,16:15:00,21,21,4.696098692
178,27/05/2021,16:30:00,22,22,4.958512689000001
179,27/05/2021,16:45:00,26,26,6.0081686770000005
180,27/05/2021,17:00:00,10,10,1.8095447249999999
181,27/05/2021,17:15:00,69,69,17.291970548000002
182,27/05/2021,17:30:00,121,121,30.937498392000002
183,27/05/2021,17:45:00,106,106,27.001288437000003
184,27/05/2021,18:00:00,126,126,32.249568377
185,27/05/2021,18:15:00,50,50,12.306104605000002
186,27/05/2021,18:30:00,34,34,8.107480653000001
187,27/05/2021,18:45:00,52,52,12.830932599
188,27/05/2021,19:00:00,37,37,8.894722644000002
189,27/05/2021,19:15:00,18,18,3.908856701
190,27/05/2021,19:30:00,4,4,0.23506074300000002
191,27/05/2021,19:45:00,3,3,-0.027353253999999994
192,27/05/2021,20:00:00,2,2,-0.289767251
193,27/05/2021,20:15:00,0,0,-0.814595245
194,27/05/2021,20:30:00,0,0,-0.814595245
195,27/05/2021,20:45:00,0,0,-0.814595245
196,27/05/2021,21:00:00,0,0,-0.814595245
197,27/05/2021,21:15:00,0,0,-0.814595245
198,27/05/2021,21:30:00,0,0,-0.814595245
199,27/05/2021,21:45:00,0,0,-0.814595245
200,27/05/2021,22:00:00,0,0,-0.814595245
201,27/05/2021,22:15:00,0,0,-0.814595245
202,27/05/2021,22:30:00,0,0,-0.814595245
203,27/05/2021,22:45:00,0,0,-0.814595245
204,27/05/2021,23:00:00,0,0,-0.814595245
205,27/05/2021,23:15:00,0,0,-0.814595245
206,27/05/2021,23:30:00,0,0,-0.814595245
207,27/05/2021,23:45:00,0,0,-0.814595245
208,27/05/2021,24:00:00,0,0,-0.814595245
209,28/05/2021,00:15:00,0,0,-0.814595245
210,28/05/2021,00:30:00,0,0,-0.814595245
211,28/05/2021,00:45:00,0,0,-0.814595245
212,28/05/2021,01:00:00,0,0,-0.814595245
213,28/05/2021,01:15:00,0,0,-0.814595245
214,28/05/2021,01:30:00,0,0,-0.814595245
215,28/05/2021,01:45:00,0,0,-0.814595245
216,28/05/2021,02:00:00,0,0,-0.814595245
217,28/05/2021,02:15:00,0,0,-0.814595245
218,28/05/2021,02:30:00,0,0,-0.814595245
219,28/05/2021,02:45:00,0,0,-0.814595245
220,28/05/2021,03:00:00,0,0,-0.814595245
221,28/05/2021,03:15:00,0,0,-0.814595245
222,28/05/2021,03:30:00,0,0,-0.814595245
223,28/05/2021,03:45:00,0,0,-0.814595245
224,28/05/2021,04:00:00,0,0,-0.814595245
225,28/05/2021,04:15:00,0,0,-0.814595245
226,28/05/2021,04:30:00,0,0,-0.814595245
227,28/05/2021,04:45:00,0,0,-0.814595245
228,28/05/2021,05:00:00,0,0,-0.814595245
229,28/05/2021,05:15:00,0,0,-0.814595245
230,28/05/2021,05:30:00,0,0,-0.814595245
231,28/05/2021,05:45:00,0,0,-0.814595245
232,28/05/2021,06:00:00,0,0,-0.814595245
233,28/05/2021,06:15:00,1,1,-0.552181248
234,28/05/2021,06:30:00,1,1,-0.552181248
235,28/05/2021,06:45:00,3,3,-0.027353253999999994
236,28/05/2021,07:00:00,5,5,0.4974747399999999
237,28/05/2021,07:15:00,7,7,1.0223027340000002
238,28/05/2021,07:30:00,11,11,2.071958722
239,28/05/2021,07:45:00,11,11,2.071958722
240,28/05/2021,08:00:00,15,15,3.1216147100000002
241,28/05/2021,08:15:00,18,18,3.908856701
242,28/05/2021,08:30:00,20,20,4.433684695
243,28/05/2021,08:45:00,22,22,4.958512689000001
244,28/05/2021,09:00:00,25,25,5.745754680000001
245,28/05/2021,09:15:00,21,21,4.696098692
246,28/05/2021,09:30:00,21,21,4.696098692
247,28/05/2021,09:45:00,22,22,4.958512689000001
248,28/05/2021,10:00:00,30,30,7.057824665
249,28/05/2021,10:15:00,32,32,7.582652659000001
250,28/05/2021,10:30:00,32,32,7.582652659000001
251,28/05/2021,10:45:00,40,40,9.681964635
252,28/05/2021,11:00:00,3744,3744,981.663409523
253,28/05/2021,11:15:00,5960,5960,1563.172826875
254,28/05/2021,11:30:00,9620,9620,2523.6080558950002
255,28/05/2021,11:45:00,9273,9273,2432.550398936
256,28/05/2021,12:00:00,7117,7117,1866.7858214040002
257,28/05/2021,12:15:00,5454,5454,1430.391344393
258,28/05/2021,12:30:00,6474,6474,1698.0536213330001
259,28/05/2021,12:45:00,8102,8102,2125.263608449
260,28/05/2021,13:00:00,7933,7933,2080.9156429560003
261,28/05/2021,13:15:00,17742,17742,4654.934539529
262,28/05/2021,13:30:00,42550,42550,11164.900977105
263,28/05/2021,13:45:00,40741,40741,10690.194056532
264,28/05/2021,14:00:00,40305,40305,10575.781553840001
265,28/05/2021,14:15:00,35601,35601,9341.386111952
266,28/05/2021,14:30:00,36345,36345,9536.622125720001
267,28/05/2021,14:45:00,36267,36267,9516.153833954
268,28/05/2021,15:00:00,35880,35880,9414.599617115
269,28/05/2021,15:15:00,27995,27995,7345.46525077
270,28/05/2021,15:30:00,8112,8112,2127.887748419
271,28/05/2021,15:45:00,5799,5799,1520.9241733580002
272,28/05/2021,16:00:00,2724,2724,714.0011325830001
273,28/05/2021,16:15:00,3345,3345,876.96022472
274,28/05/2021,16:30:00,4143,4143,1086.366594326
275,28/05/2021,16:45:00,4639,4639,1216.523936838
276,28/05/2021,17:00:00,3560,3560,933.3792340750001
277,28/05/2021,17:15:00,1389,1389,363.678446588
278,28/05/2021,17:30:00,259,259,67.150629978
279,28/05/2021,17:45:00,217,217,56.129242104
280,28/05/2021,18:00:00,162,162,41.696472269000004
281,28/05/2021,18:15:00,124,124,31.724740383000004
282,28/05/2021,18:30:00,80,80,20.178524515
283,28/05/2021,18:45:00,98,98,24.901976461
284,28/05/2021,19:00:00,209,209,54.029930128000004
285,28/05/2021,19:15:00,212,212,54.817172119000006
286,28/05/2021,19:30:00,171,171,44.058198242
287,28/05/2021,19:45:00,136,136,34.873708347000004
288,28/05/2021,20:00:00,116,116,29.625428407
289,28/05/2021,20:15:00,82,82,20.703352509000002
290,28/05/2021,20:30:00,49,49,12.043690608
291,28/05/2021,20:45:00,30,30,7.057824665
292,28/05/2021,21:00:00,14,14,2.8592007130000003
293,28/05/2021,21:15:00,3,3,-0.027353253999999994
294,28/05/2021,21:30:00,0,0,-0.814595245
295,28/05/2021,21:45:00,0,0,-0.814595245
296,28/05/2021,22:00:00,0,0,-0.814595245
297,28/05/2021,22:15:00,0,0,-0.814595245
298,28/05/2021,22:30:00,0,0,-0.814595245
299,28/05/2021,22:45:00,0,0,-0.814595245
300,28/05/2021,23:00:00,0,0,-0.814595245
301,28/05/2021,23:15:00,0,0,-0.814595245
302,28/05/2021,23:30:00,0,0,-0.814595245
303,28/05/2021,23:45:00,0,0,-0.814595245
304,28/05/2021,24:00:00,0,0,-0.814595245
305,29/05/2021,00:15:00,0,0,-0.814595245
306,29/05/2021,00:30:00,0,0,-0.814595245
307,29/05/2021,00:45:00,0,0,-0.814595245
308,29/05/2021,01:00:00,0,0,-0.814595245
309,29/05/2021,01:15:00,0,0,-0.814595245
310,29/05/2021,01:30:00,0,0,-0.814595245
311,29/05/2021,01:45:00,0,0,-0.814595245
312,29/05/2021,02:00:00,0,0,-0.814595245
313,29/05/2021,02:15:00,0,0,-0.814595245
314,29/05/2021,02:30:00,0,0,-0.814595245
315,29/05/2021,02:45:00,0,0,-0.814595245
316,29/05/2021,03:00:00,0,0,-0.814595245
317,29/05/2021,03:15:00,0,0,-0.814595245
318,29/05/2021,03:30:00,0,0,-0.814595245
319,29/05/2021,03:45:00,0,0,-0.814595245
320,29/05/2021,04:00:00,0,0,-0.814595245
321,29/05/2021,04:15:00,0,0,-0.814595245
322,29/05/2021,04:30:00,0,0,-0.814595245
323,29/05/2021,04:45:00,0,0,-0.814595245
324,29/05/2021,05:00:00,0,0,-0.814595245
325,29/05/2021,05:15:00,4,4,0.23506074300000002
