scan_no,datetime,intensity_lux,hoboPAR
1,2021-05-25T21:00:00Z,785.8,45.35235405725291
2,2021-05-25T21:15:00Z,764.2,44.12529134998499
3,2021-05-25T21:30:00Z,775,44.73908561203257
4,2021-05-25T21:45:00Z,53.8,2.573761179278449
5,2021-05-25T22:00:00Z,43.1,1.9298349179124443
6,2021-05-25T22:15:00Z,172.2,9.662696813231946
7,2021-05-25T22:30:00Z,183,10.306014016816448
8,2021-05-25T22:45:00Z,183,10.306014016816448
9,2021-05-25T23:00:00Z,204.5,11.585051656458859
10,2021-05-25T23:15:00Z,215.3,12.226722043533641
11,2021-05-25T23:30:00Z,204.5,11.585051656458859
12,2021-05-25T23:45:00Z,204.5,11.585051656458859
13,2021-05-26T00:00:00Z,161.5,9.024792308403107
14,2021-05-26T00:15:00Z,161.5,9.024792308403107
15,2021-05-26T00:30:00Z,161.5,9.024792308403107
16,2021-05-26T00:45:00Z,161.5,9.024792308403107
17,2021-05-26T01:00:00Z,161.5,9.024792308403107
18,2021-05-26T01:15:00Z,161.5,9.024792308403107
19,2021-05-26T01:30:00Z,172.2,9.662696813231946
20,2021-05-26T01:45:00Z,161.5,9.024792308403107
21,2021-05-26T02:00:00Z,161.5,9.024792308403107
22,2021-05-26T02:15:00Z,161.5,9.024792308403107
23,2021-05-26T02:30:00Z,161.5,9.024792308403107
24,2021-05-26T02:45:00Z,161.5,9.024792308403107
25,2021-05-26T03:00:00Z,161.5,9.024792308403107
26,2021-05-26T03:15:00Z,161.5,9.024792308403107
27,2021-05-26T03:30:00Z,236.8,13.502485496989493
28,2021-05-26T03:45:00Z,226,12.86190895046127
29,2021-05-26T04:00:00Z,236.8,13.502485496989493
30,2021-05-26T04:15:00Z,236.8,13.502485496989493
31,2021-05-26T04:30:00Z,236.8,13.502485496989493
32,2021-05-26T04:45:00Z,226,12.86190895046127
33,2021-05-26T05:00:00Z,226,12.86190895046127
34,2021-05-26T05:15:00Z,226,12.86190895046127
35,2021-05-26T05:30:00Z,226,12.86190895046127
36,2021-05-26T05:45:00Z,226,12.86190895046127
37,2021-05-26T06:00:00Z,193.8,10.948780112266263
38,2021-05-26T06:15:00Z,0,-0.669467999999938
39,2021-05-26T06:30:00Z,0,-0.669467999999938
40,2021-05-26T06:45:00Z,0,-0.669467999999938
41,2021-05-26T07:00:00Z,0,-0.669467999999938
42,2021-05-26T07:15:00Z,0,-0.669467999999938
43,2021-05-26T07:30:00Z,0,-0.669467999999938
44,2021-05-26T07:45:00Z,0,-0.669467999999938
45,2021-05-26T08:00:00Z,0,-0.669467999999938
46,2021-05-26T08:15:00Z,0,-0.669467999999938
47,2021-05-26T08:30:00Z,0,-0.669467999999938
48,2021-05-26T08:45:00Z,0,-0.669467999999938
49,2021-05-26T09:00:00Z,0,-0.669467999999938
50,2021-05-26T09:15:00Z,0,-0.669467999999938
51,2021-05-26T09:30:00Z,0,-0.669467999999938
52,2021-05-26T09:45:00Z,0,-0.669467999999938
53,2021-05-26T10:00:00Z,0,-0.669467999999938
54,2021-05-26T10:15:00Z,0,-0.669467999999938
55,2021-05-26T10:30:00Z,0,-0.669467999999938
56,2021-05-26T10:45:00Z,0,-0.669467999999938
57,2021-05-26T11:00:00Z,0,-0.669467999999938
58,2021-05-26T11:15:00Z,0,-0.669467999999938
59,2021-05-26T11:30:00Z,0,-0.669467999999938
60,2021-05-26T11:45:00Z,0,-0.669467999999938
61,2021-05-26T12:00:00Z,10.8,-0.017299579557516154
62,2021-05-26T12:15:00Z,0,-0.669467999999938
63,2021-05-26T12:30:00Z,0,-0.669467999999938
64,2021-05-26T12:45:00Z,0,-0.669467999999938
65,2021-05-26T13:00:00Z,10.8,-0.017299579557516154
66,2021-05-26T13:15:00Z,0,-0.669467999999938
67,2021-05-26T13:30:00Z,10.8,-0.017299579557516154
68,2021-05-26T13:45:00Z,10.8,-0.017299579557516154
69,2021-05-26T14:00:00Z,10.8,-0.017299579557516154
70,2021-05-26T14:15:00Z,10.8,-0.017299579557516154
71,2021-05-26T14:30:00Z,10.8,-0.017299579557516154
72,2021-05-26T14:45:00Z,129.2,7.0958666814086655
73,2021-05-26T15:00:00Z,129.2,7.0958666814086655
74,2021-05-26T15:15:00Z,129.2,7.0958666814086655
75,2021-05-26T15:30:00Z,129.2,7.0958666814086655
76,2021-05-26T15:45:00Z,129.2,7.0958666814086655
77,2021-05-26T16:00:00Z,10.8,-0.017299579557516154
78,2021-05-26T16:15:00Z,10.8,-0.017299579557516154
79,2021-05-26T16:30:00Z,21.5,0.628279287912278
80,2021-05-26T16:45:00Z,10.8,-0.017299579557516154
81,2021-05-26T17:00:00Z,10.8,-0.017299579557516154
82,2021-05-26T17:15:00Z,21.5,0.628279287912278
83,2021-05-26T17:30:00Z,21.5,0.628279287912278
84,2021-05-26T17:45:00Z,21.5,0.628279287912278
85,2021-05-26T18:00:00Z,10.8,-0.017299579557516154
86,2021-05-26T18:15:00Z,21.5,0.628279287912278
87,2021-05-26T18:30:00Z,21.5,0.628279287912278
88,2021-05-26T18:45:00Z,21.5,0.628279287912278
89,2021-05-26T19:00:00Z,21.5,0.628279287912278
90,2021-05-26T19:15:00Z,21.5,0.628279287912278
91,2021-05-26T19:30:00Z,32.3,1.2793359720556055
