scan_no,date,time,raw1,raw2,odyPAR
1,25/05/2021,20:15:00,111,111,28.944466342000002
2,25/05/2021,20:30:00,127,127,32.59108631
3,25/05/2021,20:45:00,138,138,35.098137537999996
4,25/05/2021,21:00:00,138,138,35.098137537999996
5,25/05/2021,21:15:00,146,146,36.921447521999994
6,25/05/2021,21:30:00,157,157,39.428498749999996
7,25/05/2021,21:45:00,154,154,38.744757506
8,25/05/2021,22:00:00,149,149,37.605188766
9,25/05/2021,22:15:00,137,137,34.87022379
10,25/05/2021,22:30:00,143,143,36.237706278
11,25/05/2021,22:45:00,145,145,36.693533773999995
12,25/05/2021,23:00:00,158,158,39.656412497999995
13,25/05/2021,23:15:00,2,2,4.10186781
14,25/05/2021,23:30:00,0,0,3.646040314
15,25/05/2021,23:45:00,0,0,3.646040314
16,25/05/2021,24:00:00,0,0,3.646040314
17,26/05/2021,00:15:00,0,0,3.646040314
18,26/05/2021,00:30:00,0,0,3.646040314
19,26/05/2021,00:45:00,0,0,3.646040314
20,26/05/2021,01:00:00,0,0,3.646040314
21,26/05/2021,01:15:00,0,0,3.646040314
22,26/05/2021,01:30:00,0,0,3.646040314
23,26/05/2021,01:45:00,0,0,3.646040314
24,26/05/2021,02:00:00,0,0,3.646040314
25,26/05/2021,02:15:00,0,0,3.646040314
26,26/05/2021,02:30:00,0,0,3.646040314
27,26/05/2021,02:45:00,0,0,3.646040314
28,26/05/2021,03:00:00,0,0,3.646040314
29,26/05/2021,03:15:00,0,0,3.646040314
30,26/05/2021,03:30:00,0,0,3.646040314
31,26/05/2021,03:45:00,0,0,3.646040314
32,26/05/2021,04:00:00,0,0,3.646040314
33,26/05/2021,04:15:00,0,0,3.646040314
34,26/05/2021,04:30:00,0,0,3.646040314
35,26/05/2021,04:45:00,0,0,3.646040314
36,26/05/2021,05:00:00,0,0,3.646040314
37,26/05/2021,05:15:00,0,0,3.646040314
38,26/05/2021,05:30:00,0,0,3.646040314
39,26/05/2021,05:45:00,0,0,3.646040314
40,26/05/2021,06:00:00,0,0,3.646040314
41,26/05/2021,06:15:00,0,0,3.646040314
42,26/05/2021,06:30:00,0,0,3.646040314
43,26/05/2021,06:45:00,0,0,3.646040314
44,26/05/2021,07:00:00,0,0,3.646040314
45,26/05/2021,07:15:00,0,0,3.646040314
46,26/05/2021,07:30:00,0,0,3.646040314
47,26/05/2021,07:45:00,100,100,26.437415114
48,26/05/2021,08:00:00,132,132,33.730655049999996
49,26/05/2021,08:15:00,124,124,31.907345066
50,26/05/2021,08:30:00,120,120,30.995690074
51,26/05/2021,08:45:00,117,117,30.31194883
52,26/05/2021,09:00:00,40,40,12.762590234000001
53,26/05/2021,09:15:00,2,2,4.10186781
54,26/05/2021,09:30:00,2,2,4.10186781
55,26/05/2021,09:45:00,2,2,4.10186781
56,26/05/2021,10:00:00,1,1,3.873954062
57,26/05/2021,10:15:00,2,2,4.10186781
58,26/05/2021,10:30:00,1,1,3.873954062
59,26/05/2021,10:45:00,73,73,20.283743918
60,26/05/2021,11:00:00,2,2,4.10186781
61,26/05/2021,11:15:00,3,3,4.329781558
62,26/05/2021,11:30:00,7,7,5.2414365499999995
63,26/05/2021,11:45:00,6,6,5.013522802
64,26/05/2021,12:00:00,6,6,5.013522802
65,26/05/2021,12:15:00,6,6,5.013522802
66,26/05/2021,12:30:00,6,6,5.013522802
67,26/05/2021,12:45:00,9,9,5.697264046
68,26/05/2021,13:00:00,6,6,5.013522802
69,26/05/2021,13:15:00,9,9,5.697264046
70,26/05/2021,13:30:00,9,9,5.697264046
71,26/05/2021,13:45:00,9,9,5.697264046
72,26/05/2021,14:00:00,7,7,5.2414365499999995
73,26/05/2021,14:15:00,8,8,5.469350298
74,26/05/2021,14:30:00,192,192,47.40547993
75,26/05/2021,14:45:00,256,256,61.991959802
76,26/05/2021,15:00:00,241,241,58.573253582
77,26/05/2021,15:15:00,235,235,57.205771094
78,26/05/2021,15:30:00,217,217,53.10332363
79,26/05/2021,15:45:00,231,231,56.294116102
80,26/05/2021,16:00:00,231,231,56.294116102
81,26/05/2021,16:15:00,195,195,48.089221173999995
82,26/05/2021,16:30:00,41,41,12.990503982
83,26/05/2021,16:45:00,235,235,57.205771094
84,26/05/2021,17:00:00,242,242,58.80116733
85,26/05/2021,17:15:00,126,126,32.363172561999995
86,26/05/2021,17:30:00,117,117,30.31194883
87,26/05/2021,17:45:00,171,171,42.619291221999994
88,26/05/2021,18:00:00,277,277,66.77814851
89,26/05/2021,18:15:00,26,26,9.571797762
90,26/05/2021,18:30:00,1,1,3.873954062
91,26/05/2021,18:45:00,1,1,3.873954062
92,26/05/2021,19:00:00,0,0,3.646040314
93,26/05/2021,19:15:00,0,0,3.646040314
94,26/05/2021,19:30:00,0,0,3.646040314
95,26/05/2021,19:45:00,43,43,13.446331478000001
96,26/05/2021,20:00:00,99,99,26.209501366
97,26/05/2021,20:15:00,0,0,3.646040314
98,26/05/2021,20:30:00,0,0,3.646040314
99,26/05/2021,20:45:00,0,0,3.646040314
100,26/05/2021,21:00:00,0,0,3.646040314
101,26/05/2021,21:15:00,0,0,3.646040314
102,26/05/2021,21:30:00,0,0,3.646040314
103,26/05/2021,21:45:00,0,0,3.646040314
104,26/05/2021,22:00:00,0,0,3.646040314
105,26/05/2021,22:15:00,0,0,3.646040314
106,26/05/2021,22:30:00,0,0,3.646040314
107,26/05/2021,22:45:00,0,0,3.646040314
108,26/05/2021,23:00:00,0,0,3.646040314
109,26/05/2021,23:15:00,0,0,3.646040314
110,26/05/2021,23:30:00,0,0,3.646040314
111,26/05/2021,23:45:00,0,0,3.646040314
112,26/05/2021,24:00:00,0,0,3.646040314
113,27/05/2021,00:15:00,0,0,3.646040314
114,27/05/2021,00:30:00,0,0,3.646040314
115,27/05/2021,00:45:00,0,0,3.646040314
116,27/05/2021,01:00:00,0,0,3.646040314
117,27/05/2021,01:15:00,0,0,3.646040314
118,27/05/2021,01:30:00,0,0,3.646040314
119,27/05/2021,01:45:00,0,0,3.646040314
120,27/05/2021,02:00:00,0,0,3.646040314
121,27/05/2021,02:15:00,0,0,3.646040314
122,27/05/2021,02:30:00,0,0,3.646040314
123,27/05/2021,02:45:00,0,0,3.646040314
124,27/05/2021,03:00:00,0,0,3.646040314
125,27/05/2021,03:15:00,0,0,3.646040314
126,27/05/2021,03:30:00,0,0,3.646040314
127,27/05/2021,03:45:00,0,0,3.646040314
128,27/05/2021,04:00:00,0,0,3.646040314
129,27/05/2021,04:15:00,0,0,3.646040314
130,27/05/2021,04:30:00,0,0,3.646040314
131,27/05/2021,04:45:00,0,0,3.646040314
132,27/05/2021,05:00:00,0,0,3.646040314
133,27/05/2021,05:15:00,0,0,3.646040314
134,27/05/2021,05:30:00,0,0,3.646040314
135,27/05/2021,05:45:00,0,0,3.646040314
136,27/05/2021,06:00:00,0,0,3.646040314
137,27/05/2021,06:15:00,0,0,3.646040314
138,27/05/2021,06:30:00,0,0,3.646040314
139,27/05/2021,06:45:00,0,0,3.646040314
140,27/05/2021,07:00:00,0,0,3.646040314
141,27/05/2021,07:15:00,0,0,3.646040314
142,27/05/2021,07:30:00,0,0,3.646040314
143,27/05/2021,07:45:00,58,58,16.865037698
144,27/05/2021,08:00:00,119,119,30.767776326
145,27/05/2021,08:15:00,133,133,33.958568798
146,27/05/2021,08:30:00,151,151,38.061016261999995
147,27/05/2021,08:45:00,145,145,36.693533773999995
148,27/05/2021,09:00:00,181,181,44.898428702
149,27/05/2021,09:15:00,215,215,52.647496133999994
150,27/05/2021,09:30:00,193,193,47.633393678
151,27/05/2021,09:45:00,124,124,31.907345066
152,27/05/2021,10:00:00,135,135,34.414396294
153,27/05/2021,10:15:00,512,512,120.33787929
154,27/05/2021,10:30:00,6756,6756,1543.431321802
155,27/05/2021,10:45:00,3135,3135,718.1556402939999
156,27/05/2021,11:00:00,7868,7868,1796.8714095779999
157,27/05/2021,11:15:00,9787,9787,2234.2378919899998
158,27/05/2021,11:30:00,10307,10307,2352.75304095
159,27/05/2021,11:45:00,17363,17363,3960.912446838
160,27/05/2021,12:00:00,12725,12725,2903.848483614
161,27/05/2021,12:15:00,8709,8709,1988.546871646
162,27/05/2021,12:30:00,15358,15358,3503.9453820979998
163,27/05/2021,12:45:00,12307,12307,2808.58053695
164,27/05/2021,13:00:00,15442,15442,3523.09013693
165,27/05/2021,13:15:00,36676,36676,8362.610661962
166,27/05/2021,13:30:00,21489,21489,4901.284571086
167,27/05/2021,13:45:00,22535,22535,5139.682351494
168,27/05/2021,14:00:00,16506,16506,3765.590364802
169,27/05/2021,14:15:00,21226,21226,4841.343255362
170,27/05/2021,14:30:00,9163,9163,2092.019713238
171,27/05/2021,14:45:00,2234,2234,512.805353346
172,27/05/2021,15:00:00,494,494,116.23543182600001
173,27/05/2021,15:15:00,286,286,68.829372242
174,27/05/2021,15:30:00,243,243,59.029081078
175,27/05/2021,15:45:00,217,217,53.10332363
176,27/05/2021,16:00:00,116,116,30.084035082
177,27/05/2021,16:15:00,93,93,24.842018878
178,27/05/2021,16:30:00,24,24,9.115970266
179,27/05/2021,16:45:00,51,51,15.269641462000001
180,27/05/2021,17:00:00,402,402,95.26736701
181,27/05/2021,17:15:00,421,421,99.597728222
182,27/05/2021,17:30:00,719,719,167.51602512600002
183,27/05/2021,17:45:00,621,621,145.180477822
184,27/05/2021,18:00:00,885,885,205.349707294
