scan_no,datetime,intensity_lux,hoboPAR
1,2021-05-25T21:00:00Z,32.3,4.1115512858840475
2,2021-05-25T21:15:00Z,32.3,4.1115512858840475
3,2021-05-25T21:30:00Z,32.3,4.1115512858840475
4,2021-05-25T21:45:00Z,32.3,4.1115512858840475
5,2021-05-25T22:00:00Z,21.5,3.3187213632270414
6,2021-05-25T22:15:00Z,161.5,13.53328148364119
7,2021-05-25T22:30:00Z,161.5,13.53328148364119
8,2021-05-25T22:45:00Z,161.5,13.53328148364119
9,2021-05-25T23:00:00Z,161.5,13.53328148364119
10,2021-05-25T23:15:00Z,172.2,14.308386308289755
11,2021-05-25T23:30:00Z,161.5,13.53328148364119
12,2021-05-25T23:45:00Z,161.5,13.53328148364119
13,2021-05-26T00:00:00Z,172.2,14.308386308289755
14,2021-05-26T00:15:00Z,172.2,14.308386308289755
15,2021-05-26T00:30:00Z,161.5,13.53328148364119
16,2021-05-26T00:45:00Z,161.5,13.53328148364119
17,2021-05-26T01:00:00Z,172.2,14.308386308289755
18,2021-05-26T01:15:00Z,161.5,13.53328148364119
19,2021-05-26T01:30:00Z,161.5,13.53328148364119
20,2021-05-26T01:45:00Z,161.5,13.53328148364119
21,2021-05-26T02:00:00Z,161.5,13.53328148364119
22,2021-05-26T02:15:00Z,161.5,13.53328148364119
23,2021-05-26T02:30:00Z,161.5,13.53328148364119
24,2021-05-26T02:45:00Z,161.5,13.53328148364119
25,2021-05-26T03:00:00Z,161.5,13.53328148364119
26,2021-05-26T03:15:00Z,161.5,13.53328148364119
27,2021-05-26T03:30:00Z,161.5,13.53328148364119
28,2021-05-26T03:45:00Z,172.2,14.308386308289755
29,2021-05-26T04:00:00Z,172.2,14.308386308289755
30,2021-05-26T04:15:00Z,172.2,14.308386308289755
31,2021-05-26T04:30:00Z,258.3,20.5168221730936
32,2021-05-26T04:45:00Z,215.3,17.422563427477826
33,2021-05-26T05:00:00Z,236.8,18.971274327235164
34,2021-05-26T05:15:00Z,226,18.19371300217938
35,2021-05-26T05:30:00Z,204.5,16.643410777774648
36,2021-05-26T05:45:00Z,215.3,17.422563427477826
37,2021-05-26T06:00:00Z,96.9,8.836885550018792
38,2021-05-26T06:15:00Z,0,1.7379766000000245
39,2021-05-26T06:30:00Z,0,1.7379766000000245
40,2021-05-26T06:45:00Z,0,1.7379766000000245
41,2021-05-26T07:00:00Z,0,1.7379766000000245
42,2021-05-26T07:15:00Z,0,1.7379766000000245
43,2021-05-26T07:30:00Z,0,1.7379766000000245
44,2021-05-26T07:45:00Z,0,1.7379766000000245
45,2021-05-26T08:00:00Z,0,1.7379766000000245
46,2021-05-26T08:15:00Z,0,1.7379766000000245
47,2021-05-26T08:30:00Z,0,1.7379766000000245
48,2021-05-26T08:45:00Z,0,1.7379766000000245
49,2021-05-26T09:00:00Z,0,1.7379766000000245
50,2021-05-26T09:15:00Z,0,1.7379766000000245
51,2021-05-26T09:30:00Z,0,1.7379766000000245
52,2021-05-26T09:45:00Z,0,1.7379766000000245
53,2021-05-26T10:00:00Z,0,1.7379766000000245
54,2021-05-26T10:15:00Z,0,1.7379766000000245
55,2021-05-26T10:30:00Z,0,1.7379766000000245
56,2021-05-26T10:45:00Z,0,1.7379766000000245
57,2021-05-26T11:00:00Z,0,1.7379766000000245
58,2021-05-26T11:15:00Z,0,1.7379766000000245
59,2021-05-26T11:30:00Z,0,1.7379766000000245
60,2021-05-26T11:45:00Z,0,1.7379766000000245
61,2021-05-26T12:00:00Z,0,1.7379766000000245
62,2021-05-26T12:15:00Z,0,1.7379766000000245
63,2021-05-26T12:30:00Z,0,1.7379766000000245
64,2021-05-26T12:45:00Z,0,1.7379766000000245
65,2021-05-26T13:00:00Z,0,1.7379766000000245
66,2021-05-26T13:15:00Z,0,1.7379766000000245
67,2021-05-26T13:30:00Z,0,1.7379766000000245
68,2021-05-26T13:45:00Z,0,1.7379766000000245
69,2021-05-26T14:00:00Z,0,1.7379766000000245
70,2021-05-26T14:15:00Z,0,1.7379766000000245
71,2021-05-26T14:30:00Z,0,1.7379766000000245
72,2021-05-26T14:45:00Z,96.9,8.836885550018792
73,2021-05-26T15:00:00Z,96.9,8.836885550018792
74,2021-05-26T15:15:00Z,86.1,8.048910982149323
75,2021-05-26T15:30:00Z,96.9,8.836885550018792
76,2021-05-26T15:45:00Z,75.3,7.260126758099773
77,2021-05-26T16:00:00Z,0,1.7379766000000245
78,2021-05-26T16:15:00Z,10.8,2.532429095380735
79,2021-05-26T16:30:00Z,10.8,2.532429095380735
80,2021-05-26T16:45:00Z,10.8,2.532429095380735
81,2021-05-26T17:00:00Z,10.8,2.532429095380735
82,2021-05-26T17:15:00Z,10.8,2.532429095380735
83,2021-05-26T17:30:00Z,0,1.7379766000000245
84,2021-05-26T17:45:00Z,21.5,3.3187213632270414
85,2021-05-26T18:00:00Z,10.8,2.532429095380735
86,2021-05-26T18:15:00Z,53.8,5.687448311120875
87,2021-05-26T18:30:00Z,32.3,4.1115512858840475
88,2021-05-26T18:45:00Z,43.1,4.903567399609187
89,2021-05-26T19:00:00Z,32.3,4.1115512858840475
90,2021-05-26T19:15:00Z,21.5,3.3187213632270414
