scan_no,date,time,raw1,raw2,odyPAR
1,25/05/2021,20:15:00,124,124,32.324570934
2,25/05/2021,20:30:00,130,130,33.790898394
3,25/05/2021,20:45:00,137,137,35.501613764
4,25/05/2021,21:00:00,134,134,34.768450034
5,25/05/2021,21:15:00,145,145,37.456717044
6,25/05/2021,21:30:00,119,119,31.102631384000002
7,25/05/2021,21:45:00,130,130,33.790898394
8,25/05/2021,22:00:00,123,123,32.08018302400001
9,25/05/2021,22:15:00,86,86,23.037830354
10,25/05/2021,22:30:00,109,109,28.658752284000002
11,25/05/2021,22:45:00,110,110,28.903140194000002
12,25/05/2021,23:00:00,71,71,19.372011704000002
13,25/05/2021,23:15:00,0,0,2.020470094
14,25/05/2021,23:30:00,0,0,2.020470094
15,25/05/2021,23:45:00,0,0,2.020470094
16,25/05/2021,24:00:00,0,0,2.020470094
17,26/05/2021,00:15:00,0,0,2.020470094
18,26/05/2021,00:30:00,0,0,2.020470094
19,26/05/2021,00:45:00,0,0,2.020470094
20,26/05/2021,01:00:00,0,0,2.020470094
21,26/05/2021,01:15:00,0,0,2.020470094
22,26/05/2021,01:30:00,0,0,2.020470094
23,26/05/2021,01:45:00,0,0,2.020470094
24,26/05/2021,02:00:00,0,0,2.020470094
25,26/05/2021,02:15:00,0,0,2.020470094
26,26/05/2021,02:30:00,0,0,2.020470094
27,26/05/2021,02:45:00,0,0,2.020470094
28,26/05/2021,03:00:00,0,0,2.020470094
29,26/05/2021,03:15:00,0,0,2.020470094
30,26/05/2021,03:30:00,0,0,2.020470094
31,26/05/2021,03:45:00,0,0,2.020470094
32,26/05/2021,04:00:00,0,0,2.020470094
33,26/05/2021,04:15:00,0,0,2.020470094
34,26/05/2021,04:30:00,0,0,2.020470094
35,26/05/2021,04:45:00,0,0,2.020470094
36,26/05/2021,05:00:00,0,0,2.020470094
37,26/05/2021,05:15:00,0,0,2.020470094
38,26/05/2021,05:30:00,0,0,2.020470094
39,26/05/2021,05:45:00,0,0,2.020470094
40,26/05/2021,06:00:00,0,0,2.020470094
41,26/05/2021,06:15:00,0,0,2.020470094
42,26/05/2021,06:30:00,0,0,2.020470094
43,26/05/2021,06:45:00,0,0,2.020470094
44,26/05/2021,07:00:00,0,0,2.020470094
45,26/05/2021,07:15:00,0,0,2.020470094
46,26/05/2021,07:30:00,0,0,2.020470094
47,26/05/2021,07:45:00,31,31,9.596495304000001
48,26/05/2021,08:00:00,39,39,11.551598584
49,26/05/2021,08:15:00,37,37,11.062822764
50,26/05/2021,08:30:00,36,36,10.818434854000001
51,26/05/2021,08:45:00,34,34,10.329659034
52,26/05/2021,09:00:00,12,12,4.953125014
53,26/05/2021,09:15:00,1,1,2.264858004
54,26/05/2021,09:30:00,3,3,2.7536338240000005
55,26/05/2021,09:45:00,3,3,2.7536338240000005
56,26/05/2021,10:00:00,2,2,2.509245914
57,26/05/2021,10:15:00,2,2,2.509245914
58,26/05/2021,10:30:00,2,2,2.509245914
59,26/05/2021,10:45:00,23,23,7.641392024000001
60,26/05/2021,11:00:00,3,3,2.7536338240000005
61,26/05/2021,11:15:00,4,4,2.9980217340000004
62,26/05/2021,11:30:00,10,10,4.464349194
63,26/05/2021,11:45:00,8,8,3.9755733740000005
64,26/05/2021,12:00:00,7,7,3.731185464
65,26/05/2021,12:15:00,6,6,3.4867975540000002
66,26/05/2021,12:30:00,6,6,3.4867975540000002
67,26/05/2021,12:45:00,8,8,3.9755733740000005
68,26/05/2021,13:00:00,5,5,3.2424096440000003
69,26/05/2021,13:15:00,6,6,3.4867975540000002
70,26/05/2021,13:30:00,6,6,3.4867975540000002
71,26/05/2021,13:45:00,5,5,3.2424096440000003
72,26/05/2021,14:00:00,6,6,3.4867975540000002
73,26/05/2021,14:15:00,5,5,3.2424096440000003
74,26/05/2021,14:30:00,59,59,16.439356784
75,26/05/2021,14:45:00,87,87,23.282218264
76,26/05/2021,15:00:00,81,81,21.815890804000002
