"Plot Title: JL_Light"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10612025, SEN S/N: 10612025)","Intensity, Lux (LGR S/N: 10612025, SEN S/N: 10612025)"
1,05/25/21 02:00:00 PM,22.908,10.8
2,05/25/21 02:15:00 PM,23.004,21.5
3,05/25/21 02:30:00 PM,23.004,10.8
4,05/25/21 02:45:00 PM,22.908,10.8
5,05/25/21 03:00:00 PM,22.908,10.8
6,05/25/21 03:15:00 PM,24.448,592.0
7,05/25/21 03:30:00 PM,23.100,549.0
8,05/25/21 03:45:00 PM,22.908,592.0
9,05/25/21 04:00:00 PM,22.812,570.5
10,05/25/21 04:15:00 PM,22.812,592.0
11,05/25/21 04:30:00 PM,22.908,592.0
12,05/25/21 04:45:00 PM,23.004,592.0
13,05/25/21 05:00:00 PM,23.100,592.0
14,05/25/21 05:15:00 PM,23.100,592.0
15,05/25/21 05:30:00 PM,23.292,592.0
16,05/25/21 05:45:00 PM,23.388,581.3
17,05/25/21 06:00:00 PM,23.484,602.8
18,05/25/21 06:15:00 PM,23.581,592.0
19,05/25/21 06:30:00 PM,23.677,592.0
20,05/25/21 06:45:00 PM,23.773,592.0
21,05/25/21 07:00:00 PM,23.869,581.3
22,05/25/21 07:15:00 PM,23.966,570.5
23,05/25/21 07:30:00 PM,24.062,570.5
24,05/25/21 07:45:00 PM,24.062,581.3
25,05/25/21 08:00:00 PM,24.351,731.9
26,05/25/21 08:15:00 PM,24.641,710.4
27,05/25/21 08:30:00 PM,26.879,75.3
28,05/25/21 08:45:00 PM,25.222,64.6
29,05/25/21 09:00:00 PM,24.835,64.6
30,05/25/21 09:15:00 PM,24.738,64.6
31,05/25/21 09:30:00 PM,24.641,64.6
32,05/25/21 09:45:00 PM,24.641,75.3
33,05/25/21 10:00:00 PM,24.641,86.1
34,05/25/21 10:15:00 PM,24.545,86.1
35,05/25/21 10:30:00 PM,27.665,193.8
36,05/25/21 10:45:00 PM,23.869,721.2
37,05/25/21 11:00:00 PM,23.196,118.4
38,05/25/21 11:15:00 PM,22.238,0.0
39,05/25/21 11:30:00 PM,21.855,0.0
40,05/25/21 11:45:00 PM,21.855,0.0
41,05/26/21 12:00:00 AM,21.760,0.0
42,05/26/21 12:15:00 AM,21.569,0.0
43,05/26/21 12:30:00 AM,21.664,0.0
44,05/26/21 12:45:00 AM,21.473,0.0
45,05/26/21 01:00:00 AM,21.473,0.0
46,05/26/21 01:15:00 AM,21.378,0.0
47,05/26/21 01:30:00 AM,21.282,0.0
48,05/26/21 01:45:00 AM,21.282,0.0
49,05/26/21 02:00:00 AM,21.187,0.0
50,05/26/21 02:15:00 AM,21.187,0.0
51,05/26/21 02:30:00 AM,21.091,0.0
52,05/26/21 02:45:00 AM,20.996,0.0
53,05/26/21 03:00:00 AM,20.901,0.0
54,05/26/21 03:15:00 AM,20.901,0.0
55,05/26/21 03:30:00 AM,20.805,0.0
56,05/26/21 03:45:00 AM,20.805,0.0
57,05/26/21 04:00:00 AM,20.710,0.0
58,05/26/21 04:15:00 AM,20.615,0.0
59,05/26/21 04:30:00 AM,20.519,0.0
60,05/26/21 04:45:00 AM,20.519,0.0
61,05/26/21 05:00:00 AM,20.424,0.0
62,05/26/21 05:15:00 AM,20.424,0.0
63,05/26/21 05:30:00 AM,20.329,0.0
64,05/26/21 05:45:00 AM,20.329,0.0
65,05/26/21 06:00:00 AM,20.234,0.0
66,05/26/21 06:15:00 AM,20.138,0.0
67,05/26/21 06:30:00 AM,20.138,0.0
68,05/26/21 06:45:00 AM,20.043,0.0
69,05/26/21 07:00:00 AM,20.329,0.0
70,05/26/21 07:15:00 AM,20.615,0.0
71,05/26/21 07:30:00 AM,20.519,0.0
72,05/26/21 07:45:00 AM,20.901,96.9
73,05/26/21 08:00:00 AM,20.805,96.9
74,05/26/21 08:15:00 AM,20.710,96.9
75,05/26/21 08:30:00 AM,20.710,96.9
76,05/26/21 08:45:00 AM,20.615,86.1
77,05/26/21 09:00:00 AM,20.519,0.0
78,05/26/21 09:15:00 AM,20.901,10.8
79,05/26/21 09:30:00 AM,20.519,10.8
80,05/26/21 09:45:00 AM,20.615,10.8
81,05/26/21 10:00:00 AM,20.805,10.8
82,05/26/21 10:15:00 AM,20.519,10.8
83,05/26/21 10:30:00 AM,20.424,0.0
84,05/26/21 10:45:00 AM,21.473,183.0
85,05/26/21 11:00:00 AM,21.664,31689.1
86,05/26/21 11:15:00 AM,18.616,68889.3
87,05/26/21 11:30:00 AM,20.996,115734.1
88,05/26/21 11:45:00 AM,18.045,35822.5
89,05/26/21 12:00:00 PM,20.043,93689.5
90,05/26/21 12:15:00 PM,21.855,110223.0
91,05/26/21 12:30:00 PM,21.760,99200.7
92,05/26/21 12:45:00 PM,24.448,159823.3
93,05/26/21 01:00:00 PM,23.100,176356.7
94,05/26/21 01:15:00 PM,24.931,176356.7
95,05/26/21 01:30:00 PM,24.931,159823.3
96,05/26/21 01:45:00 PM,26.000,176356.7
97,05/26/21 02:00:00 PM,25.222,132267.5
98,05/26/21 02:15:00 PM,23.388,137778.7
99,05/26/21 02:30:00 PM,17.570,52355.9
100,05/26/21 02:45:00 PM,16.332,26178.0
101,05/26/21 03:00:00 PM,15.760,15155.7
102,05/26/21 03:15:00 PM,13.173,8266.7
103,05/26/21 03:30:00 PM,12.013,2066.7
104,05/26/21 03:45:00 PM,11.431,1259.4
105,05/26/21 04:00:00 PM,11.139,1334.7
106,05/26/21 04:15:00 PM,11.041,2238.9
107,05/26/21 04:30:00 PM,10.944,1463.9
108,05/26/21 04:45:00 PM,10.846,1722.2
109,05/26/21 05:00:00 PM,10.944,1550.0
110,05/26/21 05:15:00 PM,10.944,1345.5
111,05/26/21 05:30:00 PM,11.041,1463.9
112,05/26/21 05:45:00 PM,11.139,1141.0
113,05/26/21 06:00:00 PM,11.041,914.9
114,05/26/21 06:15:00 PM,11.041,1097.9
115,05/26/21 06:30:00 PM,11.139,2927.8
116,05/26/21 06:45:00 PM,11.139,2066.7
117,05/26/21 07:00:00 PM,11.139,1636.1
118,05/26/21 07:15:00 PM,11.139,1463.9
119,05/26/21 07:30:00 PM,11.139,968.8
