"Plot Title: NI_C_Depth"
"#","Date Time, GMT-07:00","Abs Pres, kPa (LGR S/N: 10777827, SEN S/N: 10777827)","Temp, °C (LGR S/N: 10777827, SEN S/N: 10777827)"
1,05/25/21 02:00:00 PM,101.743,22.812
2,05/25/21 02:15:00 PM,101.747,22.908
3,05/25/21 02:30:00 PM,101.765,23.004
4,05/25/21 02:45:00 PM,101.777,22.908
5,05/25/21 03:00:00 PM,101.765,23.004
6,05/25/21 03:15:00 PM,101.780,23.004
7,05/25/21 03:30:00 PM,101.780,23.004
8,05/25/21 03:45:00 PM,101.780,23.004
9,05/25/21 04:00:00 PM,101.810,23.004
10,05/25/21 04:15:00 PM,101.814,23.100
11,05/25/21 04:30:00 PM,101.812,22.621
12,05/25/21 04:45:00 PM,101.813,22.238
13,05/25/21 05:00:00 PM,101.822,22.046
14,05/25/21 05:15:00 PM,101.800,21.855
15,05/25/21 05:30:00 PM,101.827,21.760
16,05/25/21 05:45:00 PM,101.827,21.760
17,05/25/21 06:00:00 PM,101.827,21.760
18,05/25/21 06:15:00 PM,101.842,21.760
19,05/25/21 06:30:00 PM,101.827,21.760
20,05/25/21 06:45:00 PM,101.845,21.855
21,05/25/21 07:00:00 PM,101.860,21.855
22,05/25/21 07:15:00 PM,101.879,21.951
23,05/25/21 07:30:00 PM,101.879,21.951
24,05/25/21 07:45:00 PM,101.882,22.046
25,05/25/21 08:00:00 PM,101.882,22.046
26,05/25/21 08:15:00 PM,101.882,22.046
27,05/25/21 08:30:00 PM,101.886,22.142
28,05/25/21 08:45:00 PM,101.886,22.142
29,05/25/21 09:00:00 PM,101.901,22.142
30,05/25/21 09:15:00 PM,101.916,22.142
31,05/25/21 09:30:00 PM,101.931,22.142
32,05/25/21 09:45:00 PM,101.941,22.429
33,05/25/21 10:00:00 PM,101.928,23.773
34,05/25/21 10:15:00 PM,101.985,23.677
35,05/25/21 10:30:00 PM,101.972,23.292
36,05/25/21 10:45:00 PM,101.991,23.004
37,05/25/21 11:00:00 PM,101.981,22.717
38,05/25/21 11:15:00 PM,101.983,22.333
39,05/25/21 11:30:00 PM,101.988,22.046
40,05/25/21 11:45:00 PM,102.008,21.760
41,05/26/21 12:00:00 AM,102.016,21.569
42,05/26/21 12:15:00 AM,102.043,21.473
43,05/26/21 12:30:00 AM,102.024,21.378
44,05/26/21 12:45:00 AM,102.018,21.187
45,05/26/21 01:00:00 AM,102.018,21.187
46,05/26/21 01:15:00 AM,102.029,21.091
47,05/26/21 01:30:00 AM,102.011,20.996
48,05/26/21 01:45:00 AM,102.011,20.996
49,05/26/21 02:00:00 AM,102.011,20.996
50,05/26/21 02:15:00 AM,102.023,20.901
51,05/26/21 02:30:00 AM,102.023,20.901
52,05/26/21 02:45:00 AM,102.038,20.901
53,05/26/21 03:00:00 AM,102.019,20.805
54,05/26/21 03:15:00 AM,102.034,20.805
55,05/26/21 03:30:00 AM,102.049,20.805
56,05/26/21 03:45:00 AM,102.046,20.710
57,05/26/21 04:00:00 AM,102.061,20.710
58,05/26/21 04:15:00 AM,102.046,20.710
59,05/26/21 04:30:00 AM,102.058,20.615
60,05/26/21 04:45:00 AM,102.043,20.615
61,05/26/21 05:00:00 AM,102.058,20.615
62,05/26/21 05:15:00 AM,102.039,20.519
63,05/26/21 05:30:00 AM,102.039,20.519
64,05/26/21 05:45:00 AM,102.051,20.424
65,05/26/21 06:00:00 AM,102.066,20.424
66,05/26/21 06:15:00 AM,102.018,20.329
67,05/26/21 06:30:00 AM,102.033,20.329
68,05/26/21 06:45:00 AM,102.018,20.329
69,05/26/21 07:00:00 AM,102.014,20.234
70,05/26/21 07:15:00 AM,102.014,20.234
71,05/26/21 07:30:00 AM,101.999,20.234
72,05/26/21 07:45:00 AM,102.003,20.329
73,05/26/21 08:00:00 AM,102.006,20.424
74,05/26/21 08:15:00 AM,102.006,20.424
75,05/26/21 08:30:00 AM,101.994,20.519
76,05/26/21 08:45:00 AM,102.009,20.519
77,05/26/21 09:00:00 AM,101.994,20.519
78,05/26/21 09:15:00 AM,101.994,20.519
79,05/26/21 09:30:00 AM,101.979,20.519
80,05/26/21 09:45:00 AM,101.976,20.424
81,05/26/21 10:00:00 AM,101.976,20.424
82,05/26/21 10:15:00 AM,101.976,20.424
83,05/26/21 10:30:00 AM,101.976,20.424
84,05/26/21 10:45:00 AM,101.946,20.424
85,05/26/21 11:00:00 AM,101.949,20.519
86,05/26/21 11:15:00 AM,101.919,20.519
87,05/26/21 11:30:00 AM,101.919,20.519
88,05/26/21 11:45:00 AM,101.922,20.615
89,05/26/21 12:00:00 PM,101.910,20.710
90,05/26/21 12:15:00 PM,101.880,20.710
91,05/26/21 12:30:00 PM,101.865,20.710
92,05/26/21 12:45:00 PM,101.850,20.710
93,05/26/21 01:00:00 PM,101.835,20.710
94,05/26/21 01:15:00 PM,101.820,20.710
95,05/26/21 01:30:00 PM,101.805,20.710
96,05/26/21 01:45:00 PM,101.805,20.710
97,05/26/21 02:00:00 PM,101.790,20.710
98,05/26/21 02:15:00 PM,101.787,20.615
99,05/26/21 02:30:00 PM,101.766,20.901
100,05/26/21 02:45:00 PM,101.758,21.091
101,05/26/21 03:00:00 PM,101.731,21.187
102,05/26/21 03:15:00 PM,101.708,21.378
103,05/26/21 03:30:00 PM,101.688,21.664
104,05/26/21 03:45:00 PM,101.674,22.142
105,05/26/21 04:00:00 PM,101.644,22.142
106,05/26/21 04:15:00 PM,101.641,22.046
107,05/26/21 04:30:00 PM,101.631,21.760
108,05/26/21 04:45:00 PM,101.609,21.569
109,05/26/21 05:00:00 PM,101.606,21.473
