"Plot Title: SA-C"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 10441886, SEN S/N: 10441886)","Temp, °C (LGR S/N: 10441886, SEN S/N: 10441886)"
1,05/25/21 04:00:00 PM,8.78,22.66
2,05/25/21 04:15:00 PM,8.86,22.32
3,05/25/21 04:30:00 PM,8.95,22.10
4,05/25/21 04:45:00 PM,9.06,22.00
5,05/25/21 05:00:00 PM,9.01,21.96
6,05/25/21 05:15:00 PM,9.00,21.88
7,05/25/21 05:30:00 PM,9.00,21.80
8,05/25/21 05:45:00 PM,9.01,21.76
9,05/25/21 06:00:00 PM,9.01,21.76
10,05/25/21 06:15:00 PM,9.03,21.78
11,05/25/21 06:30:00 PM,9.01,21.82
12,05/25/21 06:45:00 PM,9.01,21.86
13,05/25/21 07:00:00 PM,8.99,21.90
14,05/25/21 07:15:00 PM,8.99,21.94
15,05/25/21 07:30:00 PM,8.99,21.98
16,05/25/21 07:45:00 PM,8.99,22.02
17,05/25/21 08:00:00 PM,8.98,22.06
18,05/25/21 08:15:00 PM,8.97,22.08
19,05/25/21 08:30:00 PM,8.97,22.10
20,05/25/21 08:45:00 PM,8.96,22.12
21,05/25/21 09:00:00 PM,8.96,22.14
22,05/25/21 09:15:00 PM,8.97,22.16
23,05/25/21 09:30:00 PM,8.97,22.16
24,05/25/21 09:45:00 PM,8.98,22.14
25,05/25/21 10:00:00 PM,8.97,22.14
26,05/25/21 10:15:00 PM,8.98,22.12
27,05/25/21 10:30:00 PM,8.96,22.12
28,05/25/21 10:45:00 PM,8.98,22.10
29,05/25/21 11:00:00 PM,9.00,22.00
30,05/25/21 11:15:00 PM,9.02,21.90
31,05/25/21 11:30:00 PM,9.03,21.80
32,05/25/21 11:45:00 PM,9.05,21.68
33,05/26/21 12:00:00 AM,9.07,21.58
34,05/26/21 12:15:00 AM,9.10,21.48
35,05/26/21 12:30:00 AM,9.12,21.38
36,05/26/21 12:45:00 AM,9.14,21.28
37,05/26/21 01:00:00 AM,9.15,21.20
38,05/26/21 01:15:00 AM,9.16,21.12
39,05/26/21 01:30:00 AM,9.17,21.04
40,05/26/21 01:45:00 AM,9.18,20.98
41,05/26/21 02:00:00 AM,9.21,20.92
42,05/26/21 02:15:00 AM,9.21,20.84
43,05/26/21 02:30:00 AM,9.22,20.78
44,05/26/21 02:45:00 AM,9.23,20.74
45,05/26/21 03:00:00 AM,9.24,20.68
46,05/26/21 03:15:00 AM,9.26,20.62
47,05/26/21 03:30:00 AM,9.28,20.56
48,05/26/21 03:45:00 AM,9.29,20.52
49,05/26/21 04:00:00 AM,9.29,20.48
50,05/26/21 04:15:00 AM,9.29,20.44
51,05/26/21 04:30:00 AM,9.32,20.38
52,05/26/21 04:45:00 AM,9.33,20.34
53,05/26/21 05:00:00 AM,9.33,20.32
54,05/26/21 05:15:00 AM,9.35,20.26
55,05/26/21 05:30:00 AM,9.49,20.24
56,05/26/21 05:45:00 AM,9.51,20.20
57,05/26/21 06:00:00 AM,9.52,20.16
58,05/26/21 06:15:00 AM,9.53,20.14
59,05/26/21 06:30:00 AM,9.54,20.10
60,05/26/21 06:45:00 AM,9.51,20.00
61,05/26/21 07:00:00 AM,9.53,20.04
62,05/26/21 07:15:00 AM,9.52,20.12
63,05/26/21 07:30:00 AM,9.51,20.06
64,05/26/21 07:45:00 AM,9.51,20.20
65,05/26/21 08:00:00 AM,9.49,20.20
66,05/26/21 08:15:00 AM,9.49,20.14
67,05/26/21 08:30:00 AM,9.48,20.12
68,05/26/21 08:45:00 AM,9.50,20.06
69,05/26/21 09:00:00 AM,9.50,20.00
70,05/26/21 09:15:00 AM,9.52,20.12
71,05/26/21 09:30:00 AM,9.50,20.04
72,05/26/21 09:45:00 AM,9.52,20.02
73,05/26/21 10:00:00 AM,9.54,20.12
74,05/26/21 10:15:00 AM,9.52,20.04
75,05/26/21 10:30:00 AM,9.54,19.98
76,05/26/21 10:45:00 AM,9.57,20.08
77,05/26/21 11:00:00 AM,9.54,20.12
78,05/26/21 11:15:00 AM,9.53,20.06
79,05/26/21 11:30:00 AM,9.55,20.00
80,05/26/21 11:45:00 AM,9.55,20.00
81,05/26/21 12:00:00 PM,9.58,20.12
82,05/26/21 12:15:00 PM,9.54,20.20
83,05/26/21 12:30:00 PM,9.52,20.20
84,05/26/21 12:45:00 PM,9.52,20.20
85,05/26/21 01:00:00 PM,9.52,20.18
86,05/26/21 01:15:00 PM,9.53,20.18
87,05/26/21 01:30:00 PM,9.51,20.20
88,05/26/21 01:45:00 PM,9.51,20.22
89,05/26/21 02:00:00 PM,9.51,20.24
90,05/26/21 02:15:00 PM,9.50,20.28
91,05/26/21 02:30:00 PM,9.45,20.62
92,05/26/21 02:45:00 PM,9.41,20.82
93,05/26/21 03:00:00 PM,9.37,21.00
94,05/26/21 03:15:00 PM,9.34,21.16
95,05/26/21 03:30:00 PM,9.31,21.32
96,05/26/21 03:45:00 PM,9.29,21.42
97,05/26/21 04:00:00 PM,9.30,22.38
98,05/26/21 04:15:00 PM,9.12,22.46
99,05/26/21 04:30:00 PM,9.12,22.04
100,05/26/21 04:45:00 PM,9.19,21.78
101,05/26/21 05:00:00 PM,9.25,21.54
102,05/26/21 05:15:00 PM,9.27,21.46
103,05/26/21 05:30:00 PM,9.01,22.66
104,05/26/21 05:45:00 PM,8.83,23.84
105,05/26/21 06:00:00 PM,8.62,24.26
106,05/26/21 06:15:00 PM,8.71,23.92
107,05/26/21 06:30:00 PM,8.77,23.60
108,05/26/21 06:45:00 PM,8.82,23.30
109,05/26/21 07:00:00 PM,8.87,23.04
110,05/26/21 07:15:00 PM,8.92,22.82
111,05/26/21 07:30:00 PM,8.95,22.64
112,05/26/21 07:45:00 PM,9.00,22.50
113,05/26/21 08:00:00 PM,9.02,22.50
114,05/26/21 08:15:00 PM,9.02,22.46
115,05/26/21 08:30:00 PM,9.01,22.40
116,05/26/21 08:45:00 PM,9.03,22.30
117,05/26/21 09:00:00 PM,9.04,22.22
118,05/26/21 09:15:00 PM,9.06,22.12
119,05/26/21 09:30:00 PM,9.07,22.02
120,05/26/21 09:45:00 PM,9.08,21.96
121,05/26/21 10:00:00 PM,9.10,21.88
122,05/26/21 10:15:00 PM,9.11,21.80
123,05/26/21 10:30:00 PM,9.13,21.72
124,05/26/21 10:45:00 PM,9.13,21.64
125,05/26/21 11:00:00 PM,9.13,21.58
126,05/26/21 11:15:00 PM,9.15,21.52
127,05/26/21 11:30:00 PM,9.17,21.46
128,05/26/21 11:45:00 PM,9.17,21.38
129,05/27/21 12:00:00 AM,9.17,21.32
130,05/27/21 12:15:00 AM,9.19,21.26
131,05/27/21 12:30:00 AM,9.20,21.20
132,05/27/21 12:45:00 AM,9.21,21.14
133,05/27/21 01:00:00 AM,9.23,21.10
134,05/27/21 01:15:00 AM,9.23,21.04
135,05/27/21 01:30:00 AM,9.23,20.98
136,05/27/21 01:45:00 AM,9.24,20.94
137,05/27/21 02:00:00 AM,9.24,20.88
138,05/27/21 02:15:00 AM,9.26,20.84
139,05/27/21 02:30:00 AM,9.25,20.80
140,05/27/21 02:45:00 AM,9.26,20.74
141,05/27/21 03:00:00 AM,9.28,20.70
142,05/27/21 03:15:00 AM,9.28,20.66
143,05/27/21 03:30:00 AM,9.29,20.60
144,05/27/21 03:45:00 AM,9.30,20.56
145,05/27/21 04:00:00 AM,9.29,20.52
146,05/27/21 04:15:00 AM,9.31,20.48
147,05/27/21 04:30:00 AM,9.32,20.44
148,05/27/21 04:45:00 AM,9.33,20.40
149,05/27/21 05:00:00 AM,9.32,20.36
150,05/27/21 05:15:00 AM,9.35,20.32
151,05/27/21 05:30:00 AM,9.36,20.26
152,05/27/21 05:45:00 AM,9.36,20.20
153,05/27/21 06:00:00 AM,9.36,20.14
154,05/27/21 06:15:00 AM,9.38,20.08
155,05/27/21 06:30:00 AM,9.40,20.04
156,05/27/21 06:45:00 AM,9.39,20.00
157,05/27/21 07:00:00 AM,9.41,20.16
158,05/27/21 07:15:00 AM,9.38,20.22
159,05/27/21 07:30:00 AM,9.35,20.40
160,05/27/21 07:45:00 AM,9.33,20.44
161,05/27/21 08:00:00 AM,9.32,20.42
162,05/27/21 08:15:00 AM,9.32,20.86
163,05/27/21 08:30:00 AM,9.23,20.86
164,05/27/21 08:45:00 AM,9.22,20.68
165,05/27/21 09:00:00 AM,9.27,20.96
166,05/27/21 09:15:00 AM,9.20,20.88
167,05/27/21 09:30:00 AM,9.22,20.62
168,05/27/21 09:45:00 AM,9.27,20.84
169,05/27/21 10:00:00 AM,9.22,20.74
170,05/27/21 10:15:00 AM,9.07,20.26
171,05/27/21 10:30:00 AM,9.60,17.04
172,05/27/21 10:45:00 AM,10.34,14.44
173,05/27/21 11:00:00 AM,10.57,13.98
174,05/27/21 11:15:00 AM,10.60,14.04
175,05/27/21 11:30:00 AM,10.55,14.06
176,05/27/21 11:45:00 AM,10.47,14.38
177,05/27/21 12:00:00 PM,10.46,14.56
178,05/27/21 12:15:00 PM,10.29,14.62
179,05/27/21 12:30:00 PM,10.30,14.86
180,05/27/21 12:45:00 PM,10.24,14.98
181,05/27/21 01:00:00 PM,10.24,15.30
182,05/27/21 01:15:00 PM,10.03,16.26
183,05/27/21 01:30:00 PM,10.02,16.34
184,05/27/21 01:45:00 PM,10.07,16.12
185,05/27/21 02:00:00 PM,14.60,16.22
186,05/27/21 02:15:00 PM,14.49,15.96
187,05/27/21 02:30:00 PM,13.96,15.78
188,05/27/21 02:45:00 PM,11.72,15.40
189,05/27/21 03:00:00 PM,12.12,15.22
190,05/27/21 03:15:00 PM,12.06,15.04
191,05/27/21 03:30:00 PM,12.02,14.96
192,05/27/21 03:45:00 PM,11.83,14.90
193,05/27/21 04:00:00 PM,11.78,14.84
194,05/27/21 04:15:00 PM,11.55,14.44
195,05/27/21 04:30:00 PM,10.76,13.28
196,05/27/21 04:45:00 PM,10.45,11.98
197,05/27/21 05:00:00 PM,10.10,11.28
198,05/27/21 05:15:00 PM,10.03,11.14
199,05/27/21 05:30:00 PM,9.94,11.06
200,05/27/21 05:45:00 PM,9.86,10.94
201,05/27/21 06:00:00 PM,9.81,10.78
202,05/27/21 06:15:00 PM,9.76,10.70
203,05/27/21 06:30:00 PM,9.73,10.64
204,05/27/21 06:45:00 PM,9.69,10.64
205,05/27/21 07:00:00 PM,9.68,10.64
206,05/27/21 07:15:00 PM,9.71,10.62
207,05/27/21 07:30:00 PM,9.62,10.64
208,05/27/21 07:45:00 PM,9.62,10.64
209,05/27/21 08:00:00 PM,9.74,10.62
210,05/27/21 08:15:00 PM,9.71,10.62
211,05/27/21 08:30:00 PM,9.69,10.62
212,05/27/21 08:45:00 PM,9.71,10.64
213,05/27/21 09:00:00 PM,9.63,10.64
214,05/27/21 09:15:00 PM,9.59,10.64
215,05/27/21 09:30:00 PM,9.51,10.66
216,05/27/21 09:45:00 PM,9.47,10.68
217,05/27/21 10:00:00 PM,9.57,10.68
218,05/27/21 10:15:00 PM,9.58,10.68
219,05/27/21 10:30:00 PM,9.71,10.68
220,05/27/21 10:45:00 PM,9.63,10.68
221,05/27/21 11:00:00 PM,9.70,10.70
222,05/27/21 11:15:00 PM,9.68,10.70
223,05/27/21 11:30:00 PM,9.68,10.72
224,05/27/21 11:45:00 PM,9.67,10.74
225,05/28/21 12:00:00 AM,9.72,10.76
226,05/28/21 12:15:00 AM,9.83,10.76
227,05/28/21 12:30:00 AM,9.86,10.78
228,05/28/21 12:45:00 AM,9.86,10.80
229,05/28/21 01:00:00 AM,9.75,10.84
