"Plot Title: TS_Light"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10612055, SEN S/N: 10612055)","Intensity, Lux (LGR S/N: 10612055, SEN S/N: 10612055)"
1,05/25/21 02:00:00 PM,23.004,32.3
2,05/25/21 02:15:00 PM,23.100,32.3
3,05/25/21 02:30:00 PM,23.100,32.3
4,05/25/21 02:45:00 PM,23.196,32.3
5,05/25/21 03:00:00 PM,23.100,21.5
6,05/25/21 03:15:00 PM,24.062,161.5
7,05/25/21 03:30:00 PM,23.388,161.5
8,05/25/21 03:45:00 PM,23.100,161.5
9,05/25/21 04:00:00 PM,23.100,161.5
10,05/25/21 04:15:00 PM,23.100,172.2
11,05/25/21 04:30:00 PM,23.100,161.5
12,05/25/21 04:45:00 PM,23.196,161.5
13,05/25/21 05:00:00 PM,23.292,172.2
14,05/25/21 05:15:00 PM,23.292,172.2
15,05/25/21 05:30:00 PM,23.388,161.5
16,05/25/21 05:45:00 PM,23.484,161.5
17,05/25/21 06:00:00 PM,23.581,172.2
18,05/25/21 06:15:00 PM,23.677,161.5
19,05/25/21 06:30:00 PM,23.773,161.5
20,05/25/21 06:45:00 PM,23.869,161.5
21,05/25/21 07:00:00 PM,23.869,161.5
22,05/25/21 07:15:00 PM,23.966,161.5
23,05/25/21 07:30:00 PM,24.062,161.5
24,05/25/21 07:45:00 PM,24.062,161.5
25,05/25/21 08:00:00 PM,24.158,161.5
26,05/25/21 08:15:00 PM,24.158,161.5
27,05/25/21 08:30:00 PM,27.272,161.5
28,05/25/21 08:45:00 PM,26.097,172.2
29,05/25/21 09:00:00 PM,25.028,172.2
30,05/25/21 09:15:00 PM,24.738,172.2
31,05/25/21 09:30:00 PM,25.805,258.3
32,05/25/21 09:45:00 PM,23.484,215.3
33,05/25/21 10:00:00 PM,22.812,236.8
34,05/25/21 10:15:00 PM,22.812,226.0
35,05/25/21 10:30:00 PM,22.621,204.5
36,05/25/21 10:45:00 PM,22.621,215.3
37,05/25/21 11:00:00 PM,22.142,96.9
38,05/25/21 11:15:00 PM,21.760,0.0
39,05/25/21 11:30:00 PM,21.569,0.0
40,05/25/21 11:45:00 PM,21.664,0.0
41,05/26/21 12:00:00 AM,21.473,0.0
42,05/26/21 12:15:00 AM,21.378,0.0
43,05/26/21 12:30:00 AM,21.473,0.0
44,05/26/21 12:45:00 AM,21.282,0.0
45,05/26/21 01:00:00 AM,21.378,0.0
46,05/26/21 01:15:00 AM,21.282,0.0
47,05/26/21 01:30:00 AM,21.187,0.0
48,05/26/21 01:45:00 AM,21.282,0.0
49,05/26/21 02:00:00 AM,21.187,0.0
50,05/26/21 02:15:00 AM,21.091,0.0
51,05/26/21 02:30:00 AM,21.091,0.0
52,05/26/21 02:45:00 AM,20.996,0.0
53,05/26/21 03:00:00 AM,20.901,0.0
54,05/26/21 03:15:00 AM,20.901,0.0
55,05/26/21 03:30:00 AM,20.805,0.0
56,05/26/21 03:45:00 AM,20.805,0.0
57,05/26/21 04:00:00 AM,20.710,0.0
58,05/26/21 04:15:00 AM,20.615,0.0
59,05/26/21 04:30:00 AM,20.615,0.0
60,05/26/21 04:45:00 AM,20.519,0.0
61,05/26/21 05:00:00 AM,20.424,0.0
62,05/26/21 05:15:00 AM,20.424,0.0
63,05/26/21 05:30:00 AM,20.329,0.0
64,05/26/21 05:45:00 AM,20.329,0.0
65,05/26/21 06:00:00 AM,20.234,0.0
66,05/26/21 06:15:00 AM,20.234,0.0
67,05/26/21 06:30:00 AM,20.138,0.0
68,05/26/21 06:45:00 AM,20.043,0.0
69,05/26/21 07:00:00 AM,20.234,0.0
70,05/26/21 07:15:00 AM,20.519,0.0
71,05/26/21 07:30:00 AM,20.424,0.0
72,05/26/21 07:45:00 AM,20.710,96.9
73,05/26/21 08:00:00 AM,20.805,96.9
74,05/26/21 08:15:00 AM,20.710,86.1
75,05/26/21 08:30:00 AM,20.615,96.9
76,05/26/21 08:45:00 AM,20.615,75.3
77,05/26/21 09:00:00 AM,20.519,0.0
78,05/26/21 09:15:00 AM,20.805,10.8
79,05/26/21 09:30:00 AM,20.519,10.8
80,05/26/21 09:45:00 AM,20.519,10.8
81,05/26/21 10:00:00 AM,20.710,10.8
82,05/26/21 10:15:00 AM,20.519,10.8
83,05/26/21 10:30:00 AM,20.424,0.0
84,05/26/21 10:45:00 AM,20.710,21.5
85,05/26/21 11:00:00 AM,20.901,10.8
86,05/26/21 11:15:00 AM,20.615,53.8
87,05/26/21 11:30:00 AM,20.519,32.3
88,05/26/21 11:45:00 AM,20.615,43.1
89,05/26/21 12:00:00 PM,20.901,32.3
90,05/26/21 12:15:00 PM,20.901,21.5
91,05/26/21 12:30:00 PM,20.805,53.8
92,05/26/21 12:45:00 PM,20.805,32.3
93,05/26/21 01:00:00 PM,20.710,32.3
94,05/26/21 01:15:00 PM,20.805,43.1
95,05/26/21 01:30:00 PM,20.805,32.3
96,05/26/21 01:45:00 PM,20.805,43.1
97,05/26/21 02:00:00 PM,20.901,32.3
98,05/26/21 02:15:00 PM,20.901,32.3
99,05/26/21 02:30:00 PM,21.187,226.0
100,05/26/21 02:45:00 PM,21.473,204.5
101,05/26/21 03:00:00 PM,21.664,193.8
102,05/26/21 03:15:00 PM,21.760,193.8
103,05/26/21 03:30:00 PM,21.855,193.8
104,05/26/21 03:45:00 PM,21.951,215.3
105,05/26/21 04:00:00 PM,21.760,215.3
106,05/26/21 04:15:00 PM,21.760,43.1
107,05/26/21 04:30:00 PM,21.664,226.0
108,05/26/21 04:45:00 PM,21.760,215.3
109,05/26/21 05:00:00 PM,21.951,204.5
110,05/26/21 05:15:00 PM,21.951,204.5
111,05/26/21 05:30:00 PM,21.664,204.5
112,05/26/21 05:45:00 PM,21.664,204.5
113,05/26/21 06:00:00 PM,21.760,193.8
114,05/26/21 06:15:00 PM,22.525,43.1
115,05/26/21 06:30:00 PM,22.717,32.3
116,05/26/21 06:45:00 PM,22.621,32.3
117,05/26/21 07:00:00 PM,22.525,21.5
118,05/26/21 07:15:00 PM,22.525,10.8
119,05/26/21 07:30:00 PM,22.429,10.8
120,05/26/21 07:45:00 PM,22.429,226.0
121,05/26/21 08:00:00 PM,22.525,0.0
122,05/26/21 08:15:00 PM,22.525,0.0
123,05/26/21 08:30:00 PM,22.429,0.0
124,05/26/21 08:45:00 PM,22.333,0.0
125,05/26/21 09:00:00 PM,22.238,0.0
126,05/26/21 09:15:00 PM,22.142,0.0
127,05/26/21 09:30:00 PM,22.046,0.0
128,05/26/21 09:45:00 PM,21.951,0.0
129,05/26/21 10:00:00 PM,21.855,0.0
130,05/26/21 10:15:00 PM,21.760,0.0
131,05/26/21 10:30:00 PM,21.664,0.0
132,05/26/21 10:45:00 PM,21.664,0.0
133,05/26/21 11:00:00 PM,21.569,0.0
134,05/26/21 11:15:00 PM,21.473,0.0
135,05/26/21 11:30:00 PM,21.473,0.0
136,05/26/21 11:45:00 PM,21.378,0.0
137,05/27/21 12:00:00 AM,21.282,0.0
138,05/27/21 12:15:00 AM,21.282,0.0
139,05/27/21 12:30:00 AM,21.187,0.0
140,05/27/21 12:45:00 AM,21.091,0.0
141,05/27/21 01:00:00 AM,21.091,0.0
142,05/27/21 01:15:00 AM,20.996,0.0
143,05/27/21 01:30:00 AM,20.996,0.0
