7392-122893
OS REV: 1.11 Sensor Cal: 1439861837
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1622156400,+3.49,+12.080, +9.036,+1.003
1622157300,+3.49,+11.605, +8.856,+1.004
1622158200,+3.49,+11.343, +8.597,+1.004
1622159100,+3.49,+11.379, +8.745,+1.004
1622160000,+3.49,+11.153, +8.514,+1.004
1622160900,+3.48,+10.954, +8.158,+1.004
1622161800,+3.49,+10.945, +8.128,+1.004
1622162700,+3.48,+10.990, +8.169,+1.005
1622163600,+3.48,+10.999, +8.132,+1.004
1622164500,+3.48,+10.954, +8.079,+1.005
1622165400,+3.48,+10.927, +7.984,+1.005
1622166300,+3.48,+10.981, +7.652,+1.003
1622167200,+3.48,+10.981, +7.177,+1.003
1622168100,+3.48,+10.990, +6.191,+1.004
1622169000,+3.48,+11.008, +5.101,+1.005
1622169900,+3.48,+11.026, +4.038,+1.004
1622170800,+3.48,+11.063, +2.983,+1.004
1622171700,+3.48,+11.090, +2.140,+1.000
1622172600,+3.48,+11.063, +2.004,+1.000
1622173500,+3.48,+11.117, +2.450,+1.002
1622174400,+3.48,+11.099, +1.544,+0.997
1622175300,+3.48,+11.153, +1.078,+0.993
1622176200,+3.48,+11.144, +1.050,+0.992
1622177100,+3.48,+11.199, +1.470,+0.997
1622178000,+3.48,+11.208, +1.799,+0.999
1622178900,+3.48,+11.262, +3.190,+1.003
1622179800,+3.48,+11.398, +4.599,+1.005
1622180700,+3.48,+11.515, +5.324,+1.005
1622181600,+3.48,+11.560, +5.597,+1.005
1622182500,+3.48,+11.650, +5.752,+1.005
1622183400,+3.48,+11.740, +6.020,+1.004
1622184300,+3.48,+11.802, +6.196,+1.005
1622185200,+3.48,+11.901, +6.583,+1.005
1622186100,+3.48,+11.991, +6.506,+1.005
1622187000,+3.48,+12.035, +6.612,+1.005
1622187900,+3.48,+12.125, +6.725,+1.003
1622188800,+3.48,+12.169, +6.538,+1.004
1622189700,+3.48,+12.223, +6.654,+1.005
1622190600,+3.48,+12.214, +7.351,+1.005
1622191500,+3.48,+12.134, +7.560,+1.004
1622192400,+3.48,+11.937, +7.236,+1.004
1622193300,+3.48,+11.749, +6.958,+1.004
1622194200,+3.47,+11.578, +6.935,+1.004
1622195100,+3.48,+11.425, +6.718,+1.004
1622196000,+3.48,+11.334, +6.569,+1.005
1622196900,+3.48,+11.280, +6.634,+1.004
1622197800,+3.48,+11.235, +7.087,+1.003
1622198700,+3.48,+11.181, +7.357,+1.004
1622199600,+3.48,+11.108, +6.946,+1.004
1622200500,+3.48,+11.135, +5.458,+1.005
1622201400,+3.48,+11.162, +4.724,+1.005
1622202300,+3.48,+11.153, +4.826,+1.005
1622203200,+3.47,+11.172, +5.072,+1.005
1622204100,+3.48,+11.190, +6.607,+1.005
1622205000,+3.48,+11.181, +6.538,+1.005
1622205900,+3.48,+11.181, +6.360,+1.005
1622206800,+3.48,+11.190, +6.250,+1.005
1622207700,+3.47,+11.217, +6.241,+1.005
1622208600,+3.47,+11.235, +6.085,+1.004
1622209500,+3.47,+11.253, +6.285,+1.005
1622210400,+3.47,+11.244, +6.383,+1.004
1622211300,+3.47,+11.253, +6.354,+1.005
1622212200,+3.47,+11.289, +6.200,+1.005
1622213100,+3.47,+11.298, +6.593,+1.005
1622214000,+3.47,+11.298, +7.404,+1.004
1622214900,+3.47,+11.334, +7.693,+1.004
1622215800,+3.47,+11.343, +8.099,+1.004
1622216700,+3.47,+11.407, +9.127,+1.005
1622217600,+3.47,+11.515, +9.331,+1.004
1622218500,+3.47,+11.614, +9.437,+1.004
1622219400,+3.47,+11.973, +9.369,+1.004
1622220300,+3.47,+12.312, +9.348,+1.003
1622221200,+3.47,+12.721, +9.423,+1.004
1622222100,+3.48,+13.136, +9.087,+1.005
1622223000,+3.48,+13.259, +9.209,+1.004
1622223900,+3.48,+13.330, +9.983,+1.005
1622224800,+3.48,+13.681,+10.318,+1.005
1622225700,+3.48,+14.074,+10.705,+1.005
1622226600,+3.48,+14.813,+11.337,+1.006
1622227500,+3.48,+15.935,+11.078,+1.008
1622228400,+3.48,+16.731,+11.280,+1.007
1622229300,+3.48,+17.175,+10.987,+1.006
1622230200,+3.48,+17.473,+10.312,+1.005
1622231100,+3.48,+17.856, +9.737,+1.006
1622232000,+3.48,+18.051, +9.020,+1.005
1622232900,+3.49,+18.263, +8.618,+1.002
1622233800,+3.49,+18.704, +6.556,+1.005
1622234700,+3.49,+19.204, +9.668,+1.006
1622235600,+3.49,+19.711, +8.706,+1.007
1622236500,+3.49,+19.618, +8.581,+1.007
1622237400,+3.49,+19.263, +8.617,+1.006
1622238300,+3.49,+19.754, +8.345,+1.009
1622239200,+3.49,+20.581, +7.825,+1.005
1622240100,+3.49,+20.539, +7.000,+0.990
1622241000,+3.50,+20.775, +6.668,+0.986
1622241900,+3.50,+21.425, +8.164,+1.004
1622242800,+3.50,+20.269, +9.133,+0.999
