MiniDOT Logger Concatenated Data File
Sensor:             7392-122893
Concatenation Date: 2022Feb13 13:25:37 PST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Pacific Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1621895400,           2021-05-24 22:30:00,           2021-05-24 15:30:00,      3.510000,     19.111000,          8.650000,                    93.460386,      0.976000
                1621896300,           2021-05-24 22:45:00,           2021-05-24 15:45:00,      3.510000,     18.967000,          8.660000,                    93.296942,      0.977000
                1621897200,           2021-05-24 23:00:00,           2021-05-24 16:00:00,      3.510000,     18.933000,          8.683000,                    93.480479,      0.979000
                1621898100,           2021-05-24 23:15:00,           2021-05-24 16:15:00,      3.510000,     18.942000,          8.662000,                    93.271360,      0.978000
                1621899000,           2021-05-24 23:30:00,           2021-05-24 16:30:00,      3.510000,     18.891000,          8.674000,                    93.304313,      0.978000
                1621899900,           2021-05-24 23:45:00,           2021-05-24 16:45:00,      3.510000,     18.908000,          8.709000,                    93.713015,      0.980000
                1621900800,           2021-05-25 00:00:00,           2021-05-24 17:00:00,      3.510000,     18.899000,          8.676000,                    93.340929,      0.978000
                1621901700,           2021-05-25 00:15:00,           2021-05-24 17:15:00,      3.510000,     18.967000,          8.671000,                    93.415449,      0.978000
                1621902600,           2021-05-25 00:30:00,           2021-05-24 17:30:00,      3.510000,     18.984000,          8.677000,                    93.512194,      0.979000
                1621903500,           2021-05-25 00:45:00,           2021-05-24 17:45:00,      3.510000,     19.018000,          8.661000,                    93.403862,      0.978000
                1621904400,           2021-05-25 01:00:00,           2021-05-24 18:00:00,      3.510000,     19.043000,          8.659000,                    93.429419,      0.979000
                1621905300,           2021-05-25 01:15:00,           2021-05-24 18:15:00,      3.510000,     19.069000,          8.632000,                    93.186957,      0.978000
                1621906200,           2021-05-25 01:30:00,           2021-05-24 18:30:00,      3.510000,     19.102000,          8.637000,                    93.302997,      0.979000
                1621907100,           2021-05-25 01:45:00,           2021-05-24 18:45:00,      3.510000,     19.111000,          8.637000,                    93.319925,      0.979000
                1621908000,           2021-05-25 02:00:00,           2021-05-24 19:00:00,      3.510000,     19.136000,          8.621000,                    93.193987,      0.978000
                1621908900,           2021-05-25 02:15:00,           2021-05-24 19:15:00,      3.510000,     19.128000,          8.637000,                    93.351901,      0.978000
                1621909800,           2021-05-25 02:30:00,           2021-05-24 19:30:00,      3.510000,     19.162000,          8.608000,                    93.102202,      0.977000
                1621910700,           2021-05-25 02:45:00,           2021-05-24 19:45:00,      3.510000,     19.170000,          8.624000,                    93.290282,      0.978000
                1621911600,           2021-05-25 03:00:00,           2021-05-24 20:00:00,      3.510000,     19.179000,          8.633000,                    93.404564,      0.979000
                1621912500,           2021-05-25 03:15:00,           2021-05-24 20:15:00,      3.510000,     19.195000,          8.611000,                    93.196548,      0.978000
                1621913400,           2021-05-25 03:30:00,           2021-05-24 20:30:00,      3.510000,     19.195000,          8.609000,                    93.174902,      0.978000
                1621914300,           2021-05-25 03:45:00,           2021-05-24 20:45:00,      3.510000,     19.212000,          8.601000,                    93.120172,      0.978000
                1621915200,           2021-05-25 04:00:00,           2021-05-24 21:00:00,      3.510000,     19.204000,          8.604000,                    93.137656,      0.977000
                1621916100,           2021-05-25 04:15:00,           2021-05-24 21:15:00,      3.510000,     19.229000,          8.608000,                    93.227840,      0.978000
                1621917000,           2021-05-25 04:30:00,           2021-05-24 21:30:00,      3.510000,     19.246000,          8.634000,                    93.541409,      0.980000
                1621917900,           2021-05-25 04:45:00,           2021-05-24 21:45:00,      3.510000,     19.238000,          8.611000,                    93.277216,      0.978000
                1621918800,           2021-05-25 05:00:00,           2021-05-24 22:00:00,      3.510000,     19.221000,          8.618000,                    93.321123,      0.978000
                1621919700,           2021-05-25 05:15:00,           2021-05-24 22:15:00,      3.510000,     19.246000,          8.609000,                    93.270557,      0.978000
                1621920600,           2021-05-25 05:30:00,           2021-05-24 22:30:00,      3.510000,     19.246000,          8.619000,                    93.378898,      0.979000
                1621921500,           2021-05-25 05:45:00,           2021-05-24 22:45:00,      3.510000,     19.272000,          8.600000,                    93.221773,      0.978000
                1621922400,           2021-05-25 06:00:00,           2021-05-24 23:00:00,      3.510000,     19.238000,          8.605000,                    93.212222,      0.978000
                1621923300,           2021-05-25 06:15:00,           2021-05-24 23:15:00,      3.510000,     19.204000,          8.605000,                    93.148481,      0.977000
                1621924200,           2021-05-25 06:30:00,           2021-05-24 23:30:00,      3.510000,     19.187000,          8.622000,                    93.300575,      0.978000
                1621925100,           2021-05-25 06:45:00,           2021-05-24 23:45:00,      3.510000,     19.221000,          8.592000,                    93.039578,      0.977000
                1621926000,           2021-05-25 07:00:00,           2021-05-25 00:00:00,      3.510000,     19.204000,          8.620000,                    93.310855,      0.979000
                1621926900,           2021-05-25 07:15:00,           2021-05-25 00:15:00,      3.510000,     19.204000,          8.610000,                    93.202606,      0.979000
                1621927800,           2021-05-25 07:30:00,           2021-05-25 00:30:00,      3.510000,     19.170000,          8.634000,                    93.398457,      0.979000
                1621928700,           2021-05-25 07:45:00,           2021-05-25 00:45:00,      3.510000,     19.162000,          8.631000,                    93.350965,      0.978000
                1621929600,           2021-05-25 08:00:00,           2021-05-25 01:00:00,      3.510000,     19.145000,          8.642000,                    93.437939,      0.979000
                1621930500,           2021-05-25 08:15:00,           2021-05-25 01:15:00,      3.510000,     19.136000,          8.632000,                    93.312899,      0.979000
                1621931400,           2021-05-25 08:30:00,           2021-05-25 01:30:00,      3.510000,     19.119000,          8.625000,                    93.205295,      0.978000
                1621932300,           2021-05-25 08:45:00,           2021-05-25 01:45:00,      3.510000,     19.111000,          8.629000,                    93.233487,      0.978000
                1621933200,           2021-05-25 09:00:00,           2021-05-25 02:00:00,      3.510000,     19.085000,          8.633000,                    93.227828,      0.979000
