7392-798741
OS REV: 1.11 Sensor Cal: 1438807124
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1624164300,+3.51,+19.354,+10.925,+0.996
1624165200,+3.51,+19.168,+11.135,+0.998
1624166100,+3.51,+19.194,+11.217,+0.997
1624167000,+3.51,+19.185,+11.329,+0.997
1624167900,+3.51,+19.126,+11.459,+0.998
1624168800,+3.51,+19.034,+11.501,+0.996
1624169700,+3.51,+18.882,+11.642,+0.997
1624170600,+3.51,+18.697,+11.734,+0.997
1624171500,+3.51,+18.588,+11.778,+0.997
1624172400,+3.51,+18.326,+11.908,+0.998
1624173300,+3.51,+18.174,+11.931,+0.995
1624174200,+3.51,+18.107,+12.029,+0.998
1624175100,+3.51,+18.065,+12.042,+0.997
1624176000,+3.51,+17.980,+12.003,+0.994
1624176900,+3.51,+17.870,+12.083,+0.999
1624177800,+3.51,+17.693,+12.052,+0.997
1624178700,+3.51,+17.439,+12.051,+0.995
1624179600,+3.51,+17.346,+12.050,+0.997
1624180500,+3.51,+17.312,+12.036,+0.997
1624181400,+3.51,+17.312,+11.932,+0.996
1624182300,+3.51,+17.270,+11.844,+0.994
1624183200,+3.51,+17.270,+11.816,+0.997
1624184100,+3.51,+17.320,+11.725,+0.998
1624185000,+3.50,+17.549,+11.598,+0.999
1624185900,+3.50,+17.913,+11.351,+0.996
1624186800,+3.51,+18.292,+11.178,+0.998
1624187700,+3.50,+18.478,+11.001,+0.996
1624188600,+3.50,+18.663,+10.834,+0.997
1624189500,+3.50,+18.891,+10.654,+0.996
1624190400,+3.50,+19.118,+10.489,+0.997
1624191300,+3.50,+19.269,+10.319,+0.997
1624192200,+3.50,+19.429,+10.089,+0.994
1624193100,+3.50,+19.623, +9.934,+0.997
1624194000,+3.51,+19.791, +9.760,+0.997
1624194900,+3.51,+20.101, +9.535,+0.996
1624195800,+3.51,+20.403, +9.354,+0.995
1624196700,+3.51,+20.546, +9.218,+0.996
1624197600,+3.51,+20.546, +9.065,+0.994
1624198500,+3.51,+20.521, +8.993,+0.997
1624199400,+3.51,+20.538, +8.874,+0.996
1624200300,+3.51,+20.571, +8.758,+0.996
1624201200,+3.51,+20.672, +8.654,+0.997
1624202100,+3.51,+20.756, +8.572,+0.997
1624203000,+3.51,+20.815, +8.485,+0.997
1624203900,+3.51,+20.899, +8.426,+0.996
1624204800,+3.51,+21.016, +8.398,+0.997
1624205700,+3.51,+21.175, +8.352,+0.997
1624206600,+3.51,+21.259, +8.326,+0.996
1624207500,+3.51,+21.393, +8.309,+0.996
1624208400,+3.51,+21.460, +8.326,+0.996
1624209300,+3.51,+21.502, +8.324,+0.996
1624210200,+3.51,+21.486, +8.358,+0.996
1624211100,+3.51,+21.460, +8.445,+0.996
1624212000,+3.51,+21.402, +8.558,+0.996
1624212900,+3.51,+21.309, +8.723,+0.996
1624213800,+3.51,+21.175, +8.869,+0.996
1624214700,+3.51,+21.066, +9.034,+0.996
1624215600,+3.51,+20.840, +9.230,+0.995
1624216500,+3.51,+20.655, +9.405,+0.994
1624217400,+3.51,+20.605, +9.624,+0.996
1624218300,+3.51,+20.555, +9.802,+0.997
1624219200,+3.51,+20.622, +9.959,+0.996
1624220100,+3.51,+20.638,+10.097,+0.996
1624221000,+3.51,+20.630,+10.264,+0.996
1624221900,+3.51,+20.597,+10.418,+0.996
1624222800,+3.51,+20.487,+10.540,+0.995
1624223700,+3.51,+20.395,+10.640,+0.994
1624224600,+3.51,+20.387,+10.743,+0.995
1624225500,+3.51,+20.429,+10.800,+0.996
1624226400,+3.51,+20.471,+10.833,+0.996
1624227300,+3.51,+20.538,+10.842,+0.996
1624228200,+3.51,+20.588,+10.819,+0.996
1624229100,+3.51,+20.630,+10.792,+0.998
1624230000,+3.51,+20.647,+10.744,+0.996
1624230900,+3.51,+20.697,+10.543,+0.998
1624231800,+3.51,+20.748,+10.518,+0.998
1624232700,+3.51,+20.789,+10.458,+0.998
1624233600,+3.51,+20.890,+10.369,+0.996
1624234500,+3.51,+20.932,+10.284,+0.996
1624235400,+3.51,+20.991,+10.193,+0.996
1624236300,+3.51,+21.024,+10.057,+0.997
1624237200,+3.51,+21.091, +9.893,+0.996
1624238100,+3.51,+21.142, +9.723,+0.997
1624239000,+3.51,+21.167, +9.580,+0.997
1624239900,+3.51,+21.150, +9.398,+0.995
1624240800,+3.51,+21.142, +9.390,+0.995
1624241700,+3.51,+21.117, +9.373,+0.995
1624242600,+3.51,+21.049, +9.380,+0.995
1624243500,+3.51,+21.016, +9.383,+0.997
1624244400,+3.51,+20.966, +9.403,+0.996
1624245300,+3.51,+20.907, +9.413,+0.996
1624246200,+3.51,+20.932, +9.284,+0.995
1624247100,+3.51,+20.873, +9.207,+0.994
1624248000,+3.51,+20.848, +9.212,+0.994
1624248900,+3.51,+20.764, +9.258,+0.997
1624249800,+3.51,+20.622, +9.365,+0.997
1624250700,+3.51,+20.529, +9.364,+0.996
