7450-914536
OS REV: 1.05 Sensor Cal: 1620327588
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1622854860,+3.51,+16.215,+13.549,+0.957
1622855760,+3.51,+16.283,+13.505,+0.957
1622856660,+3.51,+16.360,+13.451,+0.957
1622857560,+3.51,+16.445,+13.372,+0.957
1622858460,+3.51,+16.521,+13.322,+0.957
1622859360,+3.51,+16.564,+13.332,+0.957
1622860260,+3.51,+16.598,+13.369,+0.958
1622861160,+3.51,+16.615,+13.416,+0.957
1622862060,+3.51,+16.581,+13.442,+0.957
1622862960,+3.51,+16.564,+13.540,+0.959
1622863860,+3.51,+16.717,+13.513,+0.957
1622864760,+3.51,+16.674,+13.612,+0.958
1622865660,+3.51,+16.666,+13.706,+0.958
1622866560,+3.51,+16.649,+13.825,+0.958
1622867460,+3.51,+16.623,+13.873,+0.958
1622868360,+3.51,+16.632,+13.902,+0.958
1622869260,+3.51,+16.640,+13.904,+0.958
1622870160,+3.51,+16.538,+13.980,+0.958
1622871060,+3.51,+16.411,+14.095,+0.958
1622871960,+3.52,+16.019,+14.321,+0.958
1622872860,+3.51,+15.720,+14.475,+0.958
1622873760,+3.51,+15.489,+14.587,+0.957
1622874660,+3.51,+15.240,+14.680,+0.958
1622875560,+3.52,+14.845,+14.794,+0.958
1622876460,+3.52,+14.612,+14.840,+0.959
1622877360,+3.51,+14.439,+14.836,+0.959
1622878260,+3.51,+14.344,+14.768,+0.958
1622879160,+3.51,+14.223,+14.755,+0.959
1622880060,+3.51,+14.214,+14.679,+0.958
1622880960,+3.51,+14.171,+14.636,+0.958
1622881860,+3.51,+14.162,+14.562,+0.958
1622882760,+3.51,+14.145,+14.485,+0.959
1622883660,+3.51,+14.153,+14.302,+0.957
1622884560,+3.52,+14.101,+14.250,+0.958
1622885460,+3.51,+14.101,+14.061,+0.957
1622886360,+3.51,+14.127,+13.877,+0.958
1622887260,+3.51,+14.179,+13.623,+0.958
1622888160,+3.51,+14.179,+13.420,+0.957
1622889060,+3.51,+14.179,+13.180,+0.956
1622889960,+3.51,+14.231,+12.993,+0.957
1622890860,+3.51,+14.231,+12.776,+0.956
1622891760,+3.51,+14.344,+12.551,+0.956
1622892660,+3.51,+14.448,+12.311,+0.955
1622893560,+3.51,+14.646,+12.121,+0.956
1622894460,+3.51,+15.025,+12.006,+0.958
1622895360,+3.51,+15.600,+12.028,+0.957
1622896260,+3.51,+16.079,+12.131,+0.957
1622897160,+3.51,+16.317,+12.274,+0.957
1622898060,+3.51,+16.496,+12.299,+0.957
1622898960,+3.51,+16.598,+12.327,+0.957
1622899860,+3.51,+16.725,+12.250,+0.956
1622900760,+3.51,+16.853,+12.156,+0.957
1622901660,+3.51,+17.065,+12.005,+0.957
1622902560,+3.51,+17.268,+11.873,+0.957
1622903460,+3.51,+17.428,+11.725,+0.956
1622904360,+3.51,+17.606,+11.483,+0.956
1622905260,+3.51,+17.733,+11.252,+0.955
1622906160,+3.51,+17.851,+11.044,+0.955
1622907060,+3.51,+17.859,+10.841,+0.953
1622907960,+3.51,+17.868,+10.665,+0.954
1622908860,+3.51,+17.868,+10.593,+0.953
1622909760,+3.51,+17.842,+10.482,+0.954
1622910660,+3.51,+17.834,+10.541,+0.955
1622911560,+3.51,+17.851,+10.598,+0.954
1622912460,+3.51,+17.851,+10.787,+0.955
1622913360,+3.51,+17.834,+11.015,+0.955
1622914260,+3.51,+17.809,+11.151,+0.957
1622915160,+3.51,+17.775,+11.180,+0.956
1622916060,+3.51,+17.809,+11.330,+0.956
1622916960,+3.51,+17.817,+11.622,+0.957
1622917860,+3.51,+17.733,+11.977,+0.957
1622918760,+3.51,+17.234,+12.388,+0.957
1622919660,+3.51,+16.725,+12.732,+0.956
1622920560,+3.51,+16.360,+12.945,+0.957
1622921460,+3.52,+15.993,+12.996,+0.956
1622922360,+3.51,+15.583,+12.911,+0.956
1622923260,+3.51,+15.334,+12.899,+0.956
1622924160,+3.52,+15.189,+12.971,+0.957
1622925060,+3.52,+14.999,+12.813,+0.956
1622925960,+3.52,+14.862,+12.664,+0.956
1622926860,+3.52,+14.888,+12.812,+0.957
1622927760,+3.52,+14.776,+12.604,+0.957
1622928660,+3.52,+14.672,+12.526,+0.955
1622929560,+3.52,+14.638,+12.490,+0.957
1622930460,+3.52,+14.586,+12.491,+0.956
1622931360,+3.51,+14.586,+12.495,+0.956
1622932260,+3.52,+14.620,+12.531,+0.956
1622933160,+3.52,+14.663,+12.638,+0.957
1622934060,+3.52,+14.732,+12.673,+0.957
1622934960,+3.52,+14.810,+12.674,+0.957
1622935860,+3.52,+14.974,+12.496,+0.957
1622936760,+3.51,+15.386,+12.662,+0.957
1622937660,+3.51,+16.147,+12.890,+0.957
1622938560,+3.51,+16.802,+12.737,+0.957
1622939460,+3.51,+17.158,+12.494,+0.957
1622940360,+3.51,+17.344,+12.272,+0.956
1622941260,+3.51,+17.606,+12.227,+0.956
