7392-122893
OS REV: 1.11 Sensor Cal: 1439861837
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1627339560,+3.51,+20.817, +8.327,+1.019
1627340460,+3.51,+21.357, +8.286,+1.023
1627341360,+3.51,+24.139, +8.152,+1.023
1627342260,+3.51,+22.731, +8.696,+1.019
1627343160,+3.51,+23.608, +8.997,+1.023
1627344060,+3.51,+19.855,+10.147,+1.014
1627344960,+3.51,+16.046,+11.237,+1.017
1627345860,+3.51,+14.605,+11.757,+1.019
1627346760,+3.51,+13.690,+12.068,+1.021
1627347660,+3.51,+13.374,+12.164,+1.020
1627348560,+3.51,+13.189,+12.267,+1.021
1627349460,+3.51,+13.101,+12.296,+1.021
1627350360,+3.50,+12.968,+12.357,+1.021
1627351260,+3.50,+12.898,+12.410,+1.021
1627352160,+3.50,+12.845,+12.427,+1.020
1627353060,+3.50,+12.818,+12.437,+1.020
1627353960,+3.50,+12.809,+12.469,+1.023
1627354860,+3.50,+12.924,+12.360,+1.020
1627355760,+3.50,+12.986,+12.293,+1.020
1627356660,+3.50,+13.004,+12.201,+1.020
1627357560,+3.50,+13.012,+12.141,+1.021
1627358460,+3.50,+13.083,+11.991,+1.021
1627359360,+3.50,+13.162,+11.808,+1.020
1627360260,+3.50,+13.171,+11.697,+1.023
1627361160,+3.50,+13.189,+11.471,+1.020
1627362060,+3.50,+13.277,+11.317,+1.020
1627362960,+3.50,+13.277,+11.194,+1.020
1627363860,+3.50,+13.251,+11.068,+1.020
1627364760,+3.50,+13.268,+10.948,+1.021
1627365660,+3.50,+13.295,+10.781,+1.021
1627366560,+3.50,+13.418,+10.609,+1.022
1627367460,+3.50,+13.541,+10.436,+1.021
1627368360,+3.49,+13.479,+10.317,+1.020
1627369260,+3.49,+13.549,+10.178,+1.020
1627370160,+3.49,+13.514,+10.107,+1.021
1627371060,+3.49,+13.584, +9.958,+1.020
1627371960,+3.49,+13.584, +9.865,+1.020
1627372860,+3.49,+13.602, +9.717,+1.019
1627373760,+3.49,+13.611, +9.612,+1.020
1627374660,+3.49,+13.628, +9.462,+1.020
1627375560,+3.49,+13.637, +9.314,+1.020
1627376460,+3.49,+13.672, +9.156,+1.020
1627377360,+3.49,+13.690, +9.001,+1.021
1627378260,+3.49,+13.663, +8.869,+1.020
1627379160,+3.49,+13.795, +8.751,+1.020
1627380060,+3.49,+13.812, +8.699,+1.020
1627380960,+3.49,+13.830, +8.647,+1.020
1627381860,+3.49,+13.847, +8.557,+1.021
1627382760,+3.49,+13.847, +8.436,+1.020
1627383660,+3.49,+13.917, +8.287,+1.020
1627384560,+3.49,+13.935, +8.138,+1.020
1627385460,+3.49,+14.127, +8.028,+1.021
1627386360,+3.49,+14.701, +7.881,+1.019
1627387260,+3.49,+14.475, +7.870,+1.019
1627388160,+3.49,+14.857, +7.819,+1.021
1627389060,+3.49,+14.909, +7.838,+1.020
1627389960,+3.49,+14.344, +7.960,+1.019
1627390860,+3.49,+14.066, +8.016,+1.019
1627391760,+3.49,+14.013, +8.041,+1.022
1627392660,+3.49,+14.004, +7.994,+1.021
1627393560,+3.49,+13.865, +7.958,+1.019
1627394460,+3.49,+13.821, +7.949,+1.021
1627395360,+3.49,+13.847, +7.918,+1.021
1627396260,+3.49,+13.795, +7.880,+1.021
1627397160,+3.49,+13.812, +7.810,+1.020
1627398060,+3.49,+13.830, +7.749,+1.021
1627398960,+3.49,+13.856, +7.657,+1.020
1627399860,+3.49,+13.865, +7.576,+1.020
1627400760,+3.48,+14.057, +7.501,+1.021
1627401660,+3.49,+14.891, +7.314,+1.021
1627402560,+3.49,+15.926, +7.159,+1.022
1627403460,+3.49,+16.594, +7.065,+1.021
1627404360,+3.49,+16.791, +7.060,+1.021
1627405260,+3.49,+17.004, +7.085,+1.021
1627406160,+3.49,+17.311, +7.090,+1.021
1627407060,+3.49,+17.592, +7.108,+1.022
1627407960,+3.49,+18.094, +7.075,+1.021
1627408860,+3.49,+18.798, +7.079,+1.022
1627409760,+3.49,+19.525, +7.023,+1.022
1627410660,+3.49,+20.421, +7.012,+1.022
1627411560,+3.49,+21.290, +7.010,+1.022
1627412460,+3.49,+22.175, +7.000,+1.023
1627413360,+3.50,+22.951, +7.032,+1.023
1627414260,+3.50,+23.524, +7.099,+1.023
1627415160,+3.50,+24.029, +7.245,+1.021
1627416060,+3.50,+24.704, +7.364,+1.021
1627416960,+3.50,+25.235, +7.526,+1.023
1627417860,+3.50,+22.453, +8.144,+1.021
1627418760,+3.50,+21.248, +8.302,+1.021
1627419660,+3.51,+20.750, +8.358,+1.020
1627420560,+3.50,+20.615, +8.398,+1.021
1627421460,+3.50,+20.632, +8.387,+1.021
1627422360,+3.51,+20.817, +8.349,+1.020
1627423260,+3.51,+20.961, +8.356,+1.022
1627424160,+3.51,+21.113, +8.318,+1.021
1627425060,+3.51,+21.374, +8.282,+1.022
1627425960,+3.51,+21.425, +8.281,+1.022
