7450-914536
OS REV: 1.05 Sensor Cal: 1620327588
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1628037960,+3.52,+15.951,+11.994,+0.935
1628038860,+3.52,+15.985,+11.872,+0.936
1628039760,+3.52,+16.002,+11.617,+0.935
1628040660,+3.52,+16.010,+11.319,+0.935
1628041560,+3.52,+16.027,+11.035,+0.935
1628042460,+3.52,+16.053,+10.834,+0.936
1628043360,+3.52,+16.061,+10.776,+0.935
1628044260,+3.52,+16.079,+11.218,+0.936
1628045160,+3.52,+16.096,+10.871,+0.936
1628046060,+3.52,+16.113,+10.614,+0.935
1628046960,+3.52,+16.104,+10.366,+0.935
1628047860,+3.52,+16.138,+10.366,+0.935
1628048760,+3.52,+16.138, +9.834,+0.934
1628049660,+3.52,+16.147, +9.526,+0.935
1628050560,+3.52,+16.155, +9.298,+0.936
1628051460,+3.52,+16.172, +9.000,+0.935
1628052360,+3.52,+16.164, +9.123,+0.935
1628053260,+3.52,+16.181, +9.181,+0.935
1628054160,+3.52,+16.206, +8.723,+0.935
1628055060,+3.52,+16.206, +8.337,+0.936
1628055960,+3.52,+16.206, +7.705,+0.936
1628056860,+3.51,+16.223, +7.334,+0.936
1628057760,+3.52,+16.232, +6.875,+0.936
1628058660,+3.52,+16.266, +6.582,+0.937
1628059560,+3.51,+16.275, +6.490,+0.936
1628060460,+3.51,+16.317, +8.228,+0.936
1628061360,+3.51,+16.266, +8.450,+0.935
1628062260,+3.52,+16.172,+10.527,+0.935
1628063160,+3.52,+16.198, +9.384,+0.935
1628064060,+3.51,+16.172, +9.880,+0.936
1628064960,+3.52,+16.138,+10.511,+0.935
1628065860,+3.52,+16.147, +9.783,+0.935
1628066760,+3.52,+16.138, +9.607,+0.935
1628067660,+3.52,+16.155, +9.381,+0.935
1628068560,+3.52,+16.172, +9.057,+0.935
1628069460,+3.52,+16.181, +8.671,+0.936
1628070360,+3.51,+16.215, +8.409,+0.936
1628071260,+3.51,+16.215, +7.897,+0.936
1628072160,+3.51,+16.453, +7.825,+0.935
1628073060,+3.51,+17.505, +9.499,+0.935
1628073960,+3.51,+18.070,+10.029,+0.935
1628074860,+3.51,+18.415,+10.309,+0.935
1628075760,+3.51,+18.785,+10.455,+0.935
1628076660,+3.51,+18.979,+10.264,+0.935
1628077560,+3.51,+19.172,+10.356,+0.934
1628078460,+3.51,+19.432,+10.107,+0.935
1628079360,+3.51,+19.507,+10.056,+0.935
1628080260,+3.51,+19.340, +9.939,+0.934
1628081160,+3.51,+19.281, +9.694,+0.935
1628082060,+3.51,+19.197, +9.341,+0.934
1628082960,+3.51,+19.121, +9.046,+0.934
1628083860,+3.52,+19.029, +8.804,+0.934
1628084760,+3.51,+19.180, +8.590,+0.934
1628085660,+3.51,+19.382, +8.404,+0.935
1628086560,+3.51,+19.482, +8.221,+0.934
1628087460,+3.51,+19.533, +8.144,+0.934
1628088360,+3.51,+19.650, +8.139,+0.935
1628089260,+3.51,+19.826, +8.185,+0.934
1628090160,+3.51,+19.968, +8.409,+0.934
1628091060,+3.51,+20.077, +8.570,+0.934
1628091960,+3.52,+20.086, +8.952,+0.934
1628092860,+3.52,+20.144, +9.487,+0.934
1628093760,+3.52,+20.178, +9.939,+0.933
1628094660,+3.52,+20.153,+10.468,+0.935
1628095560,+3.52,+20.211,+11.069,+0.935
1628096460,+3.52,+20.295,+11.351,+0.934
1628097360,+3.52,+20.370,+11.368,+0.935
1628098260,+3.51,+20.546,+11.496,+0.935
1628099160,+3.51,+20.596,+11.467,+0.934
1628100060,+3.51,+20.630,+12.177,+0.935
1628100960,+3.51,+20.847,+13.792,+0.936
1628101860,+3.51,+20.831,+13.571,+0.935
1628102760,+3.51,+19.935,+10.969,+0.934
1628103660,+3.52,+19.566,+10.106,+0.933
1628104560,+3.52,+19.298, +9.859,+0.934
1628105460,+3.52,+18.995, +9.835,+0.934
1628106360,+3.52,+18.407,+10.213,+0.934
1628107260,+3.52,+18.154,+10.256,+0.934
1628108160,+3.52,+17.682,+10.133,+0.934
1628109060,+3.52,+17.124,+10.345,+0.935
1628109960,+3.52,+16.530,+10.265,+0.934
1628110860,+3.52,+16.138,+10.141,+0.934
1628111760,+3.52,+15.754,+10.057,+0.935
1628112660,+3.52,+15.472, +9.935,+0.935
1628113560,+3.52,+15.343, +9.892,+0.935
1628114460,+3.52,+15.274, +9.930,+0.935
1628115360,+3.52,+15.369,+10.044,+0.936
1628116260,+3.52,+15.472,+10.063,+0.935
1628117160,+3.52,+15.480,+10.298,+0.935
1628118060,+3.52,+15.617,+10.378,+0.935
1628118960,+3.52,+15.686,+10.130,+0.935
1628119860,+3.52,+15.643,+10.303,+0.935
1628120760,+3.52,+15.592,+10.307,+0.935
1628121660,+3.52,+15.523,+10.279,+0.935
1628122560,+3.52,+15.506,+10.420,+0.935
1628123460,+3.52,+15.532,+10.825,+0.936
1628124360,+3.52,+15.549,+10.676,+0.935
