"Plot Title: BO_Depth"
"#","Date Time, GMT-07:00","Abs Pres, kPa (LGR S/N: 21071863, SEN S/N: 21071863)","Temp, °C (LGR S/N: 21071863, SEN S/N: 21071863)"
1,07/20/21 02:00:00 PM,101.868,24.255
2,07/20/21 02:15:00 PM,101.873,24.448
3,07/20/21 02:30:00 PM,101.846,24.641
4,07/20/21 02:45:00 PM,101.848,24.738
5,07/20/21 03:00:00 PM,101.835,24.835
6,07/20/21 03:15:00 PM,101.821,24.931
7,07/20/21 03:30:00 PM,101.818,25.416
8,07/20/21 03:45:00 PM,101.818,25.416
9,07/20/21 04:00:00 PM,101.796,25.222
10,07/20/21 04:15:00 PM,101.788,24.931
11,07/20/21 04:30:00 PM,101.785,24.835
12,07/20/21 04:45:00 PM,101.755,24.931
13,07/20/21 05:00:00 PM,101.758,25.028
14,07/20/21 05:15:00 PM,101.750,24.738
15,07/20/21 05:30:00 PM,101.714,24.641
16,07/20/21 05:45:00 PM,101.698,24.641
17,07/20/21 06:00:00 PM,101.698,24.641
18,07/20/21 06:15:00 PM,101.698,24.641
19,07/20/21 06:30:00 PM,101.681,24.641
20,07/20/21 06:45:00 PM,101.632,24.641
21,07/20/21 07:00:00 PM,101.632,24.641
22,07/20/21 07:15:00 PM,101.632,24.641
23,07/20/21 07:30:00 PM,101.616,24.641
24,07/20/21 07:45:00 PM,101.632,24.641
25,07/20/21 08:00:00 PM,101.629,24.545
26,07/20/21 08:15:00 PM,101.613,24.545
27,07/20/21 08:30:00 PM,101.616,24.641
28,07/20/21 08:45:00 PM,101.599,24.641
29,07/20/21 09:00:00 PM,101.599,24.641
30,07/20/21 09:15:00 PM,101.596,24.545
31,07/20/21 09:30:00 PM,101.613,24.545
32,07/20/21 09:45:00 PM,101.613,24.545
33,07/20/21 10:00:00 PM,101.627,24.448
34,07/20/21 10:15:00 PM,101.610,24.448
35,07/20/21 10:30:00 PM,101.607,24.351
36,07/20/21 10:45:00 PM,101.605,24.255
37,07/20/21 11:00:00 PM,101.605,24.255
38,07/20/21 11:15:00 PM,101.618,24.158
39,07/20/21 11:30:00 PM,101.618,24.158
40,07/20/21 11:45:00 PM,101.599,24.062
41,07/21/21 12:00:00 AM,101.580,23.966
42,07/21/21 12:15:00 AM,101.580,23.966
43,07/21/21 12:30:00 AM,101.594,23.869
44,07/21/21 12:45:00 AM,101.607,23.773
45,07/21/21 01:00:00 AM,101.607,23.773
46,07/21/21 01:15:00 AM,101.605,23.677
47,07/21/21 01:30:00 AM,101.618,23.581
48,07/21/21 01:45:00 AM,101.618,23.581
49,07/21/21 02:00:00 AM,101.616,23.484
50,07/21/21 02:15:00 AM,101.613,23.388
51,07/21/21 02:30:00 AM,101.613,23.388
52,07/21/21 02:45:00 AM,101.626,23.292
53,07/21/21 03:00:00 AM,101.626,23.292
54,07/21/21 03:15:00 AM,101.607,23.196
55,07/21/21 03:30:00 AM,101.624,23.196
56,07/21/21 03:45:00 AM,101.654,23.100
57,07/21/21 04:00:00 AM,101.637,23.100
58,07/21/21 04:15:00 AM,101.635,23.004
59,07/21/21 04:30:00 AM,101.667,23.004
60,07/21/21 04:45:00 AM,101.665,22.908
61,07/21/21 05:00:00 AM,101.662,22.812
62,07/21/21 05:15:00 AM,101.662,22.812
63,07/21/21 05:30:00 AM,101.676,22.717
64,07/21/21 05:45:00 AM,101.676,22.717
65,07/21/21 06:00:00 AM,101.673,22.621
66,07/21/21 06:15:00 AM,101.689,22.621
67,07/21/21 06:30:00 AM,101.686,22.525
68,07/21/21 06:45:00 AM,101.686,22.525
69,07/21/21 07:00:00 AM,101.678,22.238
70,07/21/21 07:15:00 AM,101.672,22.046
71,07/21/21 07:30:00 AM,101.683,21.855
72,07/21/21 07:45:00 AM,101.694,21.664
73,07/21/21 08:00:00 AM,101.721,21.473
74,07/21/21 08:15:00 AM,101.735,21.378
75,07/21/21 08:30:00 AM,101.732,21.282
76,07/21/21 08:45:00 AM,101.749,21.282
77,07/21/21 09:00:00 AM,101.735,21.378
78,07/21/21 09:15:00 AM,101.765,21.282
79,07/21/21 09:30:00 AM,101.781,21.282
80,07/21/21 09:45:00 AM,101.798,21.282
81,07/21/21 10:00:00 AM,101.798,21.282
82,07/21/21 10:15:00 AM,101.814,21.282
83,07/21/21 10:30:00 AM,101.814,21.282
84,07/21/21 10:45:00 AM,101.798,21.282
85,07/21/21 11:00:00 AM,101.817,21.378
86,07/21/21 11:15:00 AM,101.836,21.473
87,07/21/21 11:30:00 AM,101.836,21.473
88,07/21/21 11:45:00 AM,101.839,21.569
89,07/21/21 12:00:00 PM,101.842,21.664
90,07/21/21 12:15:00 PM,101.828,21.760
91,07/21/21 12:30:00 PM,101.815,21.855
