"Plot Title: JL_Salinity"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 21076247, SEN S/N: 21076247)","High Range, μS/cm (LGR S/N: 21076247, SEN S/N: 21076247)","Temp, °C (LGR S/N: 21076247, SEN S/N: 21076247)"
1,07/20/21 03:00:00 PM,2092.1,2079.0,23.09
2,07/20/21 03:15:00 PM,1768.7,1747.1,23.52
3,07/20/21 03:30:00 PM,1331.6,1348.9,23.97
4,07/20/21 03:45:00 PM,666.1,667.3,24.42
5,07/20/21 04:00:00 PM,566.0,569.9,24.69
6,07/20/21 04:15:00 PM,495.3,512.4,24.29
7,07/20/21 04:30:00 PM,464.0,488.7,24.35
8,07/20/21 04:45:00 PM,425.1,445.5,24.60
9,07/20/21 05:00:00 PM,348.3,368.9,24.81
10,07/20/21 05:15:00 PM,246.9,263.4,24.57
11,07/20/21 05:30:00 PM,0.0,0.0,24.69
12,07/20/21 05:45:00 PM,0.0,0.0,24.82
13,07/20/21 06:00:00 PM,0.0,0.0,24.92
14,07/20/21 06:15:00 PM,0.0,0.0,24.97
15,07/20/21 06:30:00 PM,0.0,0.0,24.97
16,07/20/21 06:45:00 PM,0.0,0.0,24.98
17,07/20/21 07:00:00 PM,0.0,0.0,24.98
18,07/20/21 07:15:00 PM,0.0,0.0,24.97
19,07/20/21 07:30:00 PM,0.0,0.0,24.97
20,07/20/21 07:45:00 PM,0.0,0.0,24.96
21,07/20/21 08:00:00 PM,0.0,0.0,24.96
22,07/20/21 08:15:00 PM,0.0,0.0,24.93
23,07/20/21 08:30:00 PM,0.0,0.0,24.95
24,07/20/21 08:45:00 PM,0.0,0.0,25.05
25,07/20/21 09:00:00 PM,0.0,0.0,25.01
26,07/20/21 09:15:00 PM,0.0,0.0,24.96
27,07/20/21 09:30:00 PM,0.0,0.0,24.91
28,07/20/21 09:45:00 PM,0.0,0.0,24.83
29,07/20/21 10:00:00 PM,0.0,0.0,24.78
30,07/20/21 10:15:00 PM,0.0,0.0,24.72
31,07/20/21 10:30:00 PM,0.0,0.0,24.64
32,07/20/21 10:45:00 PM,0.0,0.0,24.58
33,07/20/21 11:00:00 PM,0.0,0.0,24.50
34,07/20/21 11:15:00 PM,0.0,0.0,24.43
35,07/20/21 11:30:00 PM,0.0,0.0,24.36
36,07/20/21 11:45:00 PM,0.0,0.0,24.29
37,07/21/21 12:00:00 AM,0.0,0.0,24.20
38,07/21/21 12:15:00 AM,0.0,0.0,24.12
39,07/21/21 12:30:00 AM,0.0,0.0,24.05
40,07/21/21 12:45:00 AM,0.0,0.0,23.99
41,07/21/21 01:00:00 AM,0.0,0.0,23.91
42,07/21/21 01:15:00 AM,0.0,0.0,23.83
43,07/21/21 01:30:00 AM,0.0,0.0,23.75
44,07/21/21 01:45:00 AM,0.0,0.0,23.67
45,07/21/21 02:00:00 AM,0.0,0.0,23.61
46,07/21/21 02:15:00 AM,0.0,0.0,23.57
47,07/21/21 02:30:00 AM,0.0,0.0,23.54
48,07/21/21 02:45:00 AM,0.0,0.0,23.48
49,07/21/21 03:00:00 AM,0.0,0.0,23.43
50,07/21/21 03:15:00 AM,0.0,0.0,23.39
51,07/21/21 03:30:00 AM,0.0,0.0,23.33
52,07/21/21 03:45:00 AM,0.0,0.0,23.28
53,07/21/21 04:00:00 AM,0.0,0.0,23.21
54,07/21/21 04:15:00 AM,0.0,0.0,23.15
55,07/21/21 04:30:00 AM,0.0,0.0,23.11
56,07/21/21 04:45:00 AM,0.0,0.0,23.05
57,07/21/21 05:00:00 AM,0.0,0.0,23.00
58,07/21/21 05:15:00 AM,0.0,0.0,22.95
59,07/21/21 05:30:00 AM,0.0,0.0,22.90
60,07/21/21 05:45:00 AM,0.0,0.0,22.86
61,07/21/21 06:00:00 AM,0.0,0.0,22.81
62,07/21/21 06:15:00 AM,0.0,0.0,22.77
63,07/21/21 06:30:00 AM,0.0,0.0,22.73
64,07/21/21 06:45:00 AM,0.0,0.0,22.65
65,07/21/21 07:00:00 AM,0.0,0.0,22.20
66,07/21/21 07:15:00 AM,0.0,0.0,21.85
67,07/21/21 07:30:00 AM,0.0,0.0,21.60
68,07/21/21 07:45:00 AM,0.0,0.0,19.73
69,07/21/21 08:00:00 AM,0.0,0.0,18.49
70,07/21/21 08:15:00 AM,0.0,0.0,17.81
71,07/21/21 08:30:00 AM,0.0,0.0,17.50
72,07/21/21 08:45:00 AM,0.0,0.0,17.38
73,07/21/21 09:00:00 AM,0.0,0.0,17.30
74,07/21/21 09:15:00 AM,0.0,0.0,17.38
75,07/21/21 09:30:00 AM,0.0,0.0,17.63
76,07/21/21 09:45:00 AM,0.0,0.0,17.70
77,07/21/21 10:00:00 AM,0.0,0.0,17.73
78,07/21/21 10:15:00 AM,0.0,0.0,17.79
79,07/21/21 10:30:00 AM,0.0,0.0,17.77
80,07/21/21 10:45:00 AM,0.0,0.0,18.08
81,07/21/21 11:00:00 AM,0.0,0.0,18.36
82,07/21/21 11:15:00 AM,0.0,0.0,18.51
83,07/21/21 11:30:00 AM,0.0,0.0,18.70
84,07/21/21 11:45:00 AM,0.0,0.0,18.90
85,07/21/21 12:00:00 PM,0.0,0.0,19.11
86,07/21/21 12:15:00 PM,0.0,0.0,19.20
87,07/21/21 12:30:00 PM,0.0,0.0,19.51
88,07/21/21 12:45:00 PM,0.0,0.0,19.89
89,07/21/21 01:00:00 PM,0.0,0.0,20.24
90,07/21/21 01:15:00 PM,0.0,0.0,20.38
91,07/21/21 01:30:00 PM,0.0,0.0,22.17
92,07/21/21 01:45:00 PM,0.0,0.0,22.92
93,07/21/21 02:00:00 PM,0.0,0.0,23.33
94,07/21/21 02:15:00 PM,0.0,0.0,23.59
95,07/21/21 02:30:00 PM,0.0,0.0,23.78
96,07/21/21 02:45:00 PM,0.0,0.0,24.04
97,07/21/21 03:00:00 PM,0.0,0.0,24.25
98,07/21/21 03:15:00 PM,0.0,0.0,24.40
99,07/21/21 03:30:00 PM,0.0,0.0,24.59
100,07/21/21 03:45:00 PM,0.0,0.0,24.74
101,07/21/21 04:00:00 PM,0.0,0.0,24.92
102,07/21/21 04:15:00 PM,0.0,0.0,25.08
103,07/21/21 04:30:00 PM,0.0,0.0,25.10
104,07/21/21 04:45:00 PM,0.0,0.0,25.12
105,07/21/21 05:00:00 PM,0.0,0.0,25.11
106,07/21/21 05:15:00 PM,0.0,0.0,25.05
107,07/21/21 05:30:00 PM,0.0,0.0,24.98
108,07/21/21 05:45:00 PM,0.0,0.0,24.90
109,07/21/21 06:00:00 PM,0.0,0.0,24.83
110,07/21/21 06:15:00 PM,0.0,0.0,24.78
111,07/21/21 06:30:00 PM,0.0,0.0,24.73
112,07/21/21 06:45:00 PM,0.0,0.0,24.69
113,07/21/21 07:00:00 PM,0.0,0.0,24.67
114,07/21/21 07:15:00 PM,0.0,0.0,24.63
115,07/21/21 07:30:00 PM,0.0,0.0,24.59
116,07/21/21 07:45:00 PM,0.0,0.0,24.55
117,07/21/21 08:00:00 PM,0.0,0.0,24.52
118,07/21/21 08:15:00 PM,0.0,0.0,24.50
119,07/21/21 08:30:00 PM,0.0,0.0,24.48
120,07/21/21 08:45:00 PM,0.0,0.0,24.44
121,07/21/21 09:00:00 PM,0.0,0.0,24.43
122,07/21/21 09:15:00 PM,0.0,0.0,24.55
123,07/21/21 09:30:00 PM,0.0,0.0,24.60
124,07/21/21 09:45:00 PM,0.0,0.0,24.57
125,07/21/21 10:00:00 PM,0.0,0.0,24.48
126,07/21/21 10:15:00 PM,0.0,0.0,24.40
127,07/21/21 10:30:00 PM,0.0,0.0,24.33
128,07/21/21 10:45:00 PM,0.0,0.0,24.25
129,07/21/21 11:00:00 PM,0.0,0.0,24.20
130,07/21/21 11:15:00 PM,0.0,0.0,24.12
131,07/21/21 11:30:00 PM,0.0,0.0,24.06
132,07/21/21 11:45:00 PM,0.0,0.0,24.01
133,07/22/21 12:00:00 AM,0.0,0.0,23.93
134,07/22/21 12:15:00 AM,0.0,0.0,23.87
135,07/22/21 12:30:00 AM,0.0,0.0,23.82
136,07/22/21 12:45:00 AM,0.0,0.0,23.75
137,07/22/21 01:00:00 AM,0.0,0.0,23.69
138,07/22/21 01:15:00 AM,0.0,0.0,23.63
139,07/22/21 01:30:00 AM,0.0,0.0,23.57
140,07/22/21 01:45:00 AM,0.0,0.0,23.51
141,07/22/21 02:00:00 AM,0.0,0.0,23.45
142,07/22/21 02:15:00 AM,0.0,0.0,23.39
143,07/22/21 02:30:00 AM,0.0,0.0,23.32
144,07/22/21 02:45:00 AM,0.0,0.0,23.25
145,07/22/21 03:00:00 AM,0.0,0.0,23.19
146,07/22/21 03:15:00 AM,0.0,0.0,23.13
147,07/22/21 03:30:00 AM,0.0,0.0,23.06
148,07/22/21 03:45:00 AM,0.0,0.0,23.01
149,07/22/21 04:00:00 AM,0.0,0.0,22.94
150,07/22/21 04:15:00 AM,0.0,0.0,22.87
151,07/22/21 04:30:00 AM,0.0,0.0,22.81
152,07/22/21 04:45:00 AM,0.0,0.0,22.73
153,07/22/21 05:00:00 AM,0.0,0.0,22.67
154,07/22/21 05:15:00 AM,0.0,0.0,22.62
155,07/22/21 05:30:00 AM,0.0,0.0,22.56
156,07/22/21 05:45:00 AM,0.0,0.0,22.51
157,07/22/21 06:00:00 AM,0.0,0.0,22.44
158,07/22/21 06:15:00 AM,0.0,0.0,22.39
159,07/22/21 06:30:00 AM,0.0,0.0,22.35
160,07/22/21 06:45:00 AM,0.0,0.0,22.24
161,07/22/21 07:00:00 AM,0.0,0.0,21.81
162,07/22/21 07:15:00 AM,0.0,0.0,21.38
163,07/22/21 07:30:00 AM,0.0,0.0,21.05
164,07/22/21 07:45:00 AM,0.0,0.0,20.84
165,07/22/21 08:00:00 AM,0.0,0.0,20.70
166,07/22/21 08:15:00 AM,0.0,0.0,20.65
167,07/22/21 08:30:00 AM,0.0,0.0,20.69
168,07/22/21 08:45:00 AM,0.0,0.0,20.74
169,07/22/21 09:00:00 AM,0.0,0.0,20.80
170,07/22/21 09:15:00 AM,0.0,0.0,20.89
171,07/22/21 09:30:00 AM,0.0,0.0,21.02
172,07/22/21 09:45:00 AM,0.0,0.0,21.14
173,07/22/21 10:00:00 AM,0.0,0.0,21.29
174,07/22/21 10:15:00 AM,0.0,0.0,21.46
175,07/22/21 10:30:00 AM,0.0,0.0,21.65
176,07/22/21 10:45:00 AM,0.0,0.0,21.84
177,07/22/21 11:00:00 AM,0.0,0.0,22.03
178,07/22/21 11:15:00 AM,0.0,0.0,22.22
179,07/22/21 11:30:00 AM,0.0,0.0,22.46
180,07/22/21 11:45:00 AM,0.0,0.0,22.68
181,07/22/21 12:00:00 PM,0.0,0.0,22.89
182,07/22/21 12:15:00 PM,0.0,0.0,23.09
183,07/22/21 12:30:00 PM,0.0,0.0,23.32
184,07/22/21 12:45:00 PM,0.0,0.0,23.56
185,07/22/21 01:00:00 PM,0.0,0.0,23.80
186,07/22/21 01:15:00 PM,0.0,0.0,24.04
187,07/22/21 01:30:00 PM,0.0,0.0,24.28
188,07/22/21 01:45:00 PM,0.0,0.0,24.52
189,07/22/21 02:00:00 PM,0.0,0.0,24.78
190,07/22/21 02:15:00 PM,0.0,0.0,25.03
191,07/22/21 02:30:00 PM,0.0,0.0,25.59
192,07/22/21 02:45:00 PM,0.0,0.0,25.68
193,07/22/21 03:00:00 PM,0.0,0.0,25.65
194,07/22/21 03:15:00 PM,0.0,0.0,25.01
195,07/22/21 03:30:00 PM,0.0,0.0,25.60
196,07/22/21 03:45:00 PM,0.0,0.0,27.08
197,07/22/21 04:00:00 PM,0.0,0.0,25.98
198,07/22/21 04:15:00 PM,0.0,0.0,25.40
199,07/22/21 04:30:00 PM,0.0,0.0,24.98
200,07/22/21 04:45:00 PM,0.0,0.0,24.71
201,07/22/21 05:00:00 PM,0.0,0.0,24.54
202,07/22/21 05:15:00 PM,0.0,0.0,24.34
203,07/22/21 05:30:00 PM,0.0,0.0,24.24
204,07/22/21 05:45:00 PM,0.0,0.0,24.15
205,07/22/21 06:00:00 PM,0.0,0.0,24.10
206,07/22/21 06:15:00 PM,0.0,0.0,24.07
207,07/22/21 06:30:00 PM,0.0,0.0,24.07
208,07/22/21 06:45:00 PM,0.0,0.0,24.06
209,07/22/21 07:00:00 PM,0.0,0.0,24.05
210,07/22/21 07:15:00 PM,0.0,0.0,24.07
211,07/22/21 07:30:00 PM,0.0,0.0,24.06
212,07/22/21 07:45:00 PM,0.0,0.0,24.05
213,07/22/21 08:00:00 PM,0.0,0.0,24.07
214,07/22/21 08:15:00 PM,0.0,0.0,24.06
215,07/22/21 08:30:00 PM,0.0,0.0,24.05
216,07/22/21 08:45:00 PM,0.0,0.0,24.11
217,07/22/21 09:00:00 PM,0.0,0.0,24.12
218,07/22/21 09:15:00 PM,0.0,0.0,24.09
219,07/22/21 09:30:00 PM,0.0,0.0,24.06
220,07/22/21 09:45:00 PM,0.0,0.0,24.04
